"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_GAIUSB007_00814_SEQ_00<tab>Wheiskaet has an important mission for you.","TEXT_GAIUSB007_00814_SEQ_00<tab>У Вескаэта есть для вас важное поручение.","","False","0x00000000","",""
"","TEXT_GAIUSB007_00814_SEQ_01<tab>Two highly distinguished individuals are scheduled to visit Costa del Sol, and Master Gegeruju wishes to welcome them with an elaborate banquet. Wheiskaet bids you assist in this endeavor by bringing him the ingredients required for this exotic feast. To obtain the first ingredient, you must seek out Landenel at Camp Tranquil in the South Shroud.","TEXT_GAIUSB007_00814_SEQ_01<tab>Двое посетителей, чья личность остается тайной, вскоре собираются посетить Коста-дель-Соль, и господин Гегеруджу желает закатить по этому поводу исключительный банкет. Вескаэт просит вас помочь в этом начинании. Вам потребуется принести различные ингредиенты, необходимые для экзотического угощения. Чтобы получить первый ингредиент, поговорите с Ланденелем в лагере Безмятежности, что в Южной Роще.","","False","0x00000001","",""
"","TEXT_GAIUSB007_00814_SEQ_02<tab>You learn that the first ingredient is the egg of a giant adamantoise. Though Landenel will not assist you directly, he will tell you how you can obtain an egg yourself.","TEXT_GAIUSB007_00814_SEQ_02<tab>Вы узнаёте, что первый ингредиент — это яйцо адамантитовой черепахи. Ланденель не собирается помогать вам напрямую, однако в подробностях сообщает, как добыть яйцо в одиночку.","","False","0x00000002","",""
"","TEXT_GAIUSB007_00814_SEQ_03<tab>","","","False","0x00000003","",""
"","TEXT_GAIUSB007_00814_SEQ_04<tab>","","","False","0x00000004","",""
"","TEXT_GAIUSB007_00814_SEQ_05<tab>","","","False","0x00000005","",""
"","TEXT_GAIUSB007_00814_SEQ_06<tab>","","","False","0x00000006","",""
"","TEXT_GAIUSB007_00814_SEQ_07<tab>","","","False","0x00000007","",""
"","TEXT_GAIUSB007_00814_SEQ_08<tab>","","","False","0x00000008","",""
"","TEXT_GAIUSB007_00814_SEQ_09<tab>","","","False","0x00000009","",""
"","TEXT_GAIUSB007_00814_SEQ_10<tab>","","","False","0x0000000A","",""
"","TEXT_GAIUSB007_00814_SEQ_11<tab>","","","False","0x0000000B","",""
"","TEXT_GAIUSB007_00814_SEQ_12<tab>","","","False","0x0000000C","",""
"","TEXT_GAIUSB007_00814_SEQ_13<tab>","","","False","0x0000000D","",""
"","TEXT_GAIUSB007_00814_SEQ_14<tab>","","","False","0x0000000E","",""
"","TEXT_GAIUSB007_00814_SEQ_15<tab>","","","False","0x0000000F","",""
"","TEXT_GAIUSB007_00814_SEQ_16<tab>","","","False","0x00000010","",""
"","TEXT_GAIUSB007_00814_SEQ_17<tab>","","","False","0x00000011","",""
"","TEXT_GAIUSB007_00814_SEQ_18<tab>","","","False","0x00000012","",""
"","TEXT_GAIUSB007_00814_SEQ_19<tab>","","","False","0x00000013","",""
"","TEXT_GAIUSB007_00814_SEQ_20<tab>","","","False","0x00000014","",""
"","TEXT_GAIUSB007_00814_SEQ_21<tab>","","","False","0x00000015","",""
"","TEXT_GAIUSB007_00814_SEQ_22<tab>","","","False","0x00000016","",""
"","TEXT_GAIUSB007_00814_SEQ_23<tab>","","","False","0x00000017","",""
"","TEXT_GAIUSB007_00814_TODO_00<tab>Speak with Landenel.","TEXT_GAIUSB007_00814_TODO_00<tab>Поговорите с Ланденелем.","","False","0x00000018","",""
"","TEXT_GAIUSB007_00814_TODO_01<tab>","","","False","0x00000019","",""
"","TEXT_GAIUSB007_00814_TODO_02<tab>","","","False","0x0000001A","",""
"","TEXT_GAIUSB007_00814_TODO_03<tab>","","","False","0x0000001B","",""
"","TEXT_GAIUSB007_00814_TODO_04<tab>","","","False","0x0000001C","",""
"","TEXT_GAIUSB007_00814_TODO_05<tab>","","","False","0x0000001D","",""
"","TEXT_GAIUSB007_00814_TODO_06<tab>","","","False","0x0000001E","",""
"","TEXT_GAIUSB007_00814_TODO_07<tab>","","","False","0x0000001F","",""
"","TEXT_GAIUSB007_00814_TODO_08<tab>","","","False","0x00000020","",""
"","TEXT_GAIUSB007_00814_TODO_09<tab>","","","False","0x00000021","",""
"","TEXT_GAIUSB007_00814_TODO_10<tab>","","","False","0x00000022","",""
"","TEXT_GAIUSB007_00814_TODO_11<tab>","","","False","0x00000023","",""
"","TEXT_GAIUSB007_00814_TODO_12<tab>","","","False","0x00000024","",""
"","TEXT_GAIUSB007_00814_TODO_13<tab>","","","False","0x00000025","",""
"","TEXT_GAIUSB007_00814_TODO_14<tab>","","","False","0x00000026","",""
"","TEXT_GAIUSB007_00814_TODO_15<tab>","","","False","0x00000027","",""
"","TEXT_GAIUSB007_00814_TODO_16<tab>","","","False","0x00000028","",""
"","TEXT_GAIUSB007_00814_TODO_17<tab>","","","False","0x00000029","",""
"","TEXT_GAIUSB007_00814_TODO_18<tab>","","","False","0x0000002A","",""
"","TEXT_GAIUSB007_00814_TODO_19<tab>","","","False","0x0000002B","",""
"","TEXT_GAIUSB007_00814_TODO_20<tab>","","","False","0x0000002C","",""
"","TEXT_GAIUSB007_00814_TODO_21<tab>","","","False","0x0000002D","",""
"","TEXT_GAIUSB007_00814_TODO_22<tab>","","","False","0x0000002E","",""
"","TEXT_GAIUSB007_00814_TODO_23<tab>","","","False","0x0000002F","",""
"","TEXT_GAIUSB007_00814_WHEISKAET_000_000<tab>Two highly distinguished individuals are scheduled to visit Costa del Sol in the near future, and Master Gegeruju wishes to welcome them with an elaborate banquet.","TEXT_GAIUSB007_00814_WHEISKAET_000_000<tab>Двое посетителей, чья личность пока что должна оставаться в тайне, вскоре собираются посетить Коста-дель-Соль, и господин Гегеруджу желает закатить по этому поводу исключительный банкет.","","False","0x00000030","",""
"","TEXT_GAIUSB007_00814_WHEISKAET_000_001<tab>But while money is no object, not everything Master Gegeruju desires can be so easily purchased.","TEXT_GAIUSB007_00814_WHEISKAET_000_001<tab>Деньги для господина Гегеруджу не проблема, однако далеко не всё, чего он желает к столу, может быть так легко куплено.","","False","0x00000031","",""
"","TEXT_GAIUSB007_00814_WHEISKAET_000_002<tab>It is to be an extremely exotic feast. And so, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>, your mission is to seek out and obtain the rare ingredients our chef requires.","TEXT_GAIUSB007_00814_WHEISKAET_000_002<tab>Это будут очень экзотические угощения, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>. Твоей задачей станет поиск и получение редких ингредиентов для нашего шефа.","","False","0x00000032","",""
