"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_GAIUSB409_00865_SEQ_00<tab>Some minds are sieves and some are steel traps, and Commander Bloeidin has the latter sort. His remembrance of things past begins a mission of vengeance.","TEXT_GAIUSB409_00865_SEQ_00<tab>Si certains ont une mémoire peu fiable, le sous-commandant Bloeidin n'est sûrement pas de ceux-là. Des choses du passé lui revenant, il a déjà un plan en tête, et vous en faites partie.","","False","0x00000000","",""
"","TEXT_GAIUSB409_00865_SEQ_01<tab>Commander Bloeidin recounts to you the tale of how one Private Blaugybal was injured one rainy night in a kobold ambush. Racked with guilt over failing to protect his men, the commander now seeks revenge against a hated foe, the kobold priest of the 129th Order that arranged the deed. Use smoldering coal to set off three of the priest's bombs and lure him out of hiding.","TEXT_GAIUSB409_00865_SEQ_01<tab>Un vieil ennemi de l'unité, <var 33 ((BNpcName)) 03F207BC0202 /var>, semble être près du camp. Le sous-commandant vous demande de l'aider à le faire sortir de sa cachette en cherchant <var 33 ((EObj)) 02F61E8CAD0302 /var> et en les faisant détonner avec <var 33 ((EventItem)) 02F61E87200302 /var>.","","False","0x00000001","",""
"","TEXT_GAIUSB409_00865_SEQ_02<tab>You have set off all the bombs. Lurk at the specified spot and slay the priest when he appears.","TEXT_GAIUSB409_00865_SEQ_02<tab>Vous avez détruit <var 33 ((EObj)) 03F61E8CAD0302 /var>. Attendez à l'endroit indiqué et tuez <var 33 ((BNpcName)) 03F207BC0202 /var> lorsqu'<var 08 ((<var 28 ((BNpcName)) F207BC07 /var>)) ((elle)) ((il)) /var> se montrera.","","False","0x00000002","",""
"","TEXT_GAIUSB409_00865_SEQ_03<tab>After besting the cunning kobold priest, a strange impulse seizes you and you take his helm as a trophy. Show it to Commander Bloeidin.","TEXT_GAIUSB409_00865_SEQ_03<tab>Après avoir vaincu ce Kobold pour le moins rusé, vous avez été pris<var 08 E905 ((e)) (()) /var> d'une étrange pulsion et ramassé <var 33 ((EventItem)) 06F61E87E70202 /var> en tant que trophée. Montrez-le à Bloeidin.","","False","0x00000003","",""
"","TEXT_GAIUSB409_00865_SEQ_04<tab>Commander Bloeidin hears your report, and marks you as a friend of the Red Swallows. He bids you take the helm to Camp Bronze Lake to place in the hands of Blaugybal, who yet remains an invalid.","TEXT_GAIUSB409_00865_SEQ_04<tab>Le sous-commandant a écouté avec joie votre rapport et vous a déclaré que vous comptiez désormais parmi les amis des Hirondelles écarlates. Il vous demande une dernière faveur, de remettre <var 33 ((EventItem)) 03F61E87E70202 /var> au soldat Blaugybal, qui continue de se remettre de ses blessures.","","False","0x00000004","",""
"","TEXT_GAIUSB409_00865_SEQ_05<tab>You give the dead kobold's helm to Blaugybal, who supplies the final piece of the story for that night. Much moved by his fellow Red Swallows' love for him, he renews his devotion to his brothers and sisters.","TEXT_GAIUSB409_00865_SEQ_05<tab>Lorsque vous avez remis le trophée au soldat convalescent, ce dernier a repris espoir, comprenant que ses compagnons d'armes ne lui en voulaient pas pour l'attaque qui lui a valu ses blessures.","","False","0x00000005","",""
"","TEXT_GAIUSB409_00865_SEQ_06<tab>","TEXT_GAIUSB409_00865_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_GAIUSB409_00865_SEQ_07<tab>","TEXT_GAIUSB409_00865_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_GAIUSB409_00865_SEQ_08<tab>","TEXT_GAIUSB409_00865_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_GAIUSB409_00865_SEQ_09<tab>","TEXT_GAIUSB409_00865_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_GAIUSB409_00865_SEQ_10<tab>","TEXT_GAIUSB409_00865_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_GAIUSB409_00865_SEQ_11<tab>","TEXT_GAIUSB409_00865_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_GAIUSB409_00865_SEQ_12<tab>","TEXT_GAIUSB409_00865_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_GAIUSB409_00865_SEQ_13<tab>","TEXT_GAIUSB409_00865_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_GAIUSB409_00865_SEQ_14<tab>","TEXT_GAIUSB409_00865_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_GAIUSB409_00865_SEQ_15<tab>","TEXT_GAIUSB409_00865_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_GAIUSB409_00865_SEQ_16<tab>","TEXT_GAIUSB409_00865_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_GAIUSB409_00865_SEQ_17<tab>","TEXT_GAIUSB409_00865_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_GAIUSB409_00865_SEQ_18<tab>","TEXT_GAIUSB409_00865_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_GAIUSB409_00865_SEQ_19<tab>","TEXT_GAIUSB409_00865_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_GAIUSB409_00865_SEQ_20<tab>","TEXT_GAIUSB409_00865_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_GAIUSB409_00865_SEQ_21<tab>","TEXT_GAIUSB409_00865_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_GAIUSB409_00865_SEQ_22<tab>","TEXT_GAIUSB409_00865_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_GAIUSB409_00865_SEQ_23<tab>","TEXT_GAIUSB409_00865_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_GAIUSB409_00865_TODO_00<tab>Detonate kobold bombs with smoldering coal.","TEXT_GAIUSB409_00865_TODO_00<tab>Faire détonner <var 33 ((EObj)) 03F61E8CAD0302 /var> avec <var 33 ((EventItem)) 02F61E87200302 /var>","","False","0x00000018","",""
