"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_GAIUSB805_00914_SEQ_00<tab>Only Ishgard would have an actual valley of death, conveniently located nearby. A lady nobly born seeks an adventurer to walk in its shadow.","TEXT_GAIUSB805_00914_SEQ_00<tab>キャンプ・ドラゴンヘッドのジュリヌは、あるものを探してほしいようだ。","","False","0x00000000","",""
"","TEXT_GAIUSB805_00914_SEQ_01<tab>Juline desires whatever remains of the rosary her beloved wore when he perished at the hands of the inquisitors. Plumb the grim depth of Witchdrop to the east, and find the crystal beads.","TEXT_GAIUSB805_00914_SEQ_01<tab>ジュリヌは、異端審問を受けた恋人が身に着けていた、クリスタルの祈鎖を探しているようだ。祈鎖に使われていた「<var 28 ((EventItem)) F61E874D01 /var>」を探すため、キャンプ・ドラゴンヘッドの東、「ウィッチドロップ」の谷底を捜索しよう。","","False","0x00000001","",""
"","TEXT_GAIUSB805_00914_SEQ_02<tab>After a long search and an unsettling encounter, you have found three of the four beads. Keep the whereabouts of the fourth to yourself, for closed lips are a virtue in Ishgard, and deliver the beads to Juline.","TEXT_GAIUSB805_00914_SEQ_02<tab><var 28 ((EventItem)) F61E874D01 /var>を手に入れた。「キャンプ・ドラゴンヘッド」へ戻って「ジュリヌ」に<var 28 ((EventItem)) F61E874D01 /var>を渡そう。","","False","0x00000002","",""
"","TEXT_GAIUSB805_00914_SEQ_03<tab>Seemingly at peace in the calm waters between knowing and unknowing, Juline speaks of her lost love with a quiet grace that shames the sound and fury of the inquisition. How fragile life is in Ishgard, that a single accusation can end it all...","TEXT_GAIUSB805_00914_SEQ_03<tab>恋人の遺品をジュリヌに届けることができた。彼女はこれからも、恋人への想いを胸に秘して生きていくという……。","","False","0x00000003","",""
"","TEXT_GAIUSB805_00914_SEQ_04<tab>","TEXT_GAIUSB805_00914_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_GAIUSB805_00914_SEQ_05<tab>","TEXT_GAIUSB805_00914_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_GAIUSB805_00914_SEQ_06<tab>","TEXT_GAIUSB805_00914_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_GAIUSB805_00914_SEQ_07<tab>","TEXT_GAIUSB805_00914_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_GAIUSB805_00914_SEQ_08<tab>","TEXT_GAIUSB805_00914_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_GAIUSB805_00914_SEQ_09<tab>","TEXT_GAIUSB805_00914_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_GAIUSB805_00914_SEQ_10<tab>","TEXT_GAIUSB805_00914_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_GAIUSB805_00914_SEQ_11<tab>","TEXT_GAIUSB805_00914_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_GAIUSB805_00914_SEQ_12<tab>","TEXT_GAIUSB805_00914_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_GAIUSB805_00914_SEQ_13<tab>","TEXT_GAIUSB805_00914_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_GAIUSB805_00914_SEQ_14<tab>","TEXT_GAIUSB805_00914_SEQ_14<tab>","","False","0x0000000E","",""
