"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_GAIUSB902_00925_SEQ_00<tab>Ser Benedict appears to be stifling a laugh.","TEXT_GAIUSB902_00925_SEQ_00<tab>Ser Benedict appears to be stifling a laugh.","","False","0x00000000","",""
"","TEXT_GAIUSB902_00925_SEQ_01<tab><var 48 F20215 /var><var 49 F20216 /var><var 12 40 /var> This quest has been adjusted. Please abandon the quest and restart it by speaking to either Haustefort or Cid at Whitebrim Front, depending on your progress.<var 49 01 /var><var 48 01 /var><br><br>※The Main Scenario Guide shows the next available quest. You can toggle it on and off in Character Configuration, under UI Settings.","TEXT_GAIUSB902_00925_SEQ_01<tab><var 48 F20215 /var><var 49 F20216 /var><var 12 40 /var> This quest has been adjusted. Please abandon the quest and restart it by speaking to either Haustefort or Cid at Whitebrim Front, depending on your progress.<var 49 01 /var><var 48 01 /var><br><br>※The Main Scenario Guide shows the next available quest. You can toggle it on and off in Character Configuration, under UI Settings.","","False","0x00000001","",""
"","TEXT_GAIUSB902_00925_SEQ_02<tab>One might be inclined to tell you that those crocs fought the good fight. That they gave you a memorable challenge, one that you would proudly share with comrades over a tankard of ale. But Eorzea is no faerie-tale world, and life is not a song. Sometimes you slay a primal, sometimes not. But perhaps Ser Clotairion will have a greater appreciation for your accomplishments.","TEXT_GAIUSB902_00925_SEQ_02<tab>One might be inclined to tell you that those crocs fought the good fight. That they gave you a memorable challenge, one that you would proudly share with comrades over a tankard of ale. But Eorzea is no faerie-tale world, and life is not a song. Sometimes you slay a primal, sometimes not. But perhaps Ser Clotairion will have a greater appreciation for your accomplishments.","","False","0x00000002","",""
"","TEXT_GAIUSB902_00925_SEQ_03<tab>Ser Clotairion is grateful for your service, though he realizes full well that your intent was only to ingratiate yourself with him. Nevertheless, he promises that Lord Drillemont will know of your deeds.","TEXT_GAIUSB902_00925_SEQ_03<tab>Ser Clotairion is grateful for your service, though he realizes full well that your intent was only to ingratiate yourself with him. Nevertheless, he promises that Lord Drillemont will know of your deeds.","","False","0x00000003","",""
"","TEXT_GAIUSB902_00925_SEQ_04<tab>","TEXT_GAIUSB902_00925_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_GAIUSB902_00925_SEQ_05<tab>","TEXT_GAIUSB902_00925_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_GAIUSB902_00925_SEQ_06<tab>","TEXT_GAIUSB902_00925_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_GAIUSB902_00925_SEQ_07<tab>","TEXT_GAIUSB902_00925_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_GAIUSB902_00925_SEQ_08<tab>","TEXT_GAIUSB902_00925_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_GAIUSB902_00925_SEQ_09<tab>","TEXT_GAIUSB902_00925_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_GAIUSB902_00925_SEQ_10<tab>","TEXT_GAIUSB902_00925_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_GAIUSB902_00925_SEQ_11<tab>","TEXT_GAIUSB902_00925_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_GAIUSB902_00925_SEQ_12<tab>","TEXT_GAIUSB902_00925_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_GAIUSB902_00925_SEQ_13<tab>","TEXT_GAIUSB902_00925_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_GAIUSB902_00925_SEQ_14<tab>","TEXT_GAIUSB902_00925_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_GAIUSB902_00925_SEQ_15<tab>","TEXT_GAIUSB902_00925_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_GAIUSB902_00925_SEQ_16<tab>","TEXT_GAIUSB902_00925_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_GAIUSB902_00925_SEQ_17<tab>","TEXT_GAIUSB902_00925_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_GAIUSB902_00925_SEQ_18<tab>","TEXT_GAIUSB902_00925_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_GAIUSB902_00925_SEQ_19<tab>","TEXT_GAIUSB902_00925_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_GAIUSB902_00925_SEQ_20<tab>","TEXT_GAIUSB902_00925_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_GAIUSB902_00925_SEQ_21<tab>","TEXT_GAIUSB902_00925_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_GAIUSB902_00925_SEQ_22<tab>","TEXT_GAIUSB902_00925_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_GAIUSB902_00925_SEQ_23<tab>","TEXT_GAIUSB902_00925_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_GAIUSB902_00925_TODO_00<tab><var 48 F20215 /var><var 49 F20216 /var><var 12 40 /var> This quest has been adjusted. Please abandon the quest and accept it again to restart.<var 49 01 /var><var 48 01 /var>","TEXT_GAIUSB902_00925_TODO_00<tab><var 48 F20215 /var><var 49 F20216 /var><var 12 40 /var> This quest has been adjusted. Please abandon the quest and accept it again to restart.<var 49 01 /var><var 48 01 /var>","","False","0x00000018","",""
"","TEXT_GAIUSB902_00925_TODO_01<tab><var 48 F20215 /var><var 49 F20216 /var><var 12 40 /var> This quest has been adjusted. Please abandon the quest and accept it again to restart.<var 49 01 /var><var 48 01 /var>","TEXT_GAIUSB902_00925_TODO_01<tab><var 48 F20215 /var><var 49 F20216 /var><var 12 40 /var> This quest has been adjusted. Please abandon the quest and accept it again to restart.<var 49 01 /var><var 48 01 /var>","","False","0x00000019","",""
"","TEXT_GAIUSB902_00925_TODO_02<tab>","TEXT_GAIUSB902_00925_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_GAIUSB902_00925_TODO_03<tab>","TEXT_GAIUSB902_00925_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_GAIUSB902_00925_TODO_04<tab>","TEXT_GAIUSB902_00925_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_GAIUSB902_00925_TODO_05<tab>","TEXT_GAIUSB902_00925_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_GAIUSB902_00925_TODO_06<tab>","TEXT_GAIUSB902_00925_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_GAIUSB902_00925_TODO_07<tab>","TEXT_GAIUSB902_00925_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_GAIUSB902_00925_TODO_08<tab>","TEXT_GAIUSB902_00925_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_GAIUSB902_00925_TODO_09<tab>","TEXT_GAIUSB902_00925_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_GAIUSB902_00925_TODO_10<tab>","TEXT_GAIUSB902_00925_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_GAIUSB902_00925_TODO_11<tab>","TEXT_GAIUSB902_00925_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_GAIUSB902_00925_TODO_12<tab>","TEXT_GAIUSB902_00925_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_GAIUSB902_00925_TODO_13<tab>","TEXT_GAIUSB902_00925_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_GAIUSB902_00925_TODO_14<tab>","TEXT_GAIUSB902_00925_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_GAIUSB902_00925_TODO_15<tab>","TEXT_GAIUSB902_00925_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_GAIUSB902_00925_TODO_16<tab>","TEXT_GAIUSB902_00925_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_GAIUSB902_00925_TODO_17<tab>","TEXT_GAIUSB902_00925_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_GAIUSB902_00925_TODO_18<tab>","TEXT_GAIUSB902_00925_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_GAIUSB902_00925_TODO_19<tab>","TEXT_GAIUSB902_00925_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_GAIUSB902_00925_TODO_20<tab>","TEXT_GAIUSB902_00925_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_GAIUSB902_00925_TODO_21<tab>","TEXT_GAIUSB902_00925_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_GAIUSB902_00925_TODO_22<tab>","TEXT_GAIUSB902_00925_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_GAIUSB902_00925_TODO_23<tab>","TEXT_GAIUSB902_00925_TODO_23<tab>","","False","0x0000002F","",""
