"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_GAIUSB912_00935_SEQ_00<tab>What Charmine the chirurgeon seeks is an infusion for her ailing infirmary, but she will settle for an adventurer instead.","TEXT_GAIUSB912_00935_SEQ_00<tab>An der Weißenfels-Front ist die Wundärztin Charmine über eine schwerkranke Patientin besorgt.","","False","0x00000000","",""
"","TEXT_GAIUSB912_00935_SEQ_01<tab>Charmine's patient is past all help that can be provided by the undersupplied infirmary. Raging at her own helplessness, the chirurgeon ministers to her charge in the only way left─by bidding you send word to her betrothed, Laurence, a deserter condemned to the dungeons.","TEXT_GAIUSB912_00935_SEQ_01<tab>Die Patientin Fridgia scheint nicht mehr viel Zeit zu haben. Berichte Laurence, ihrem eingekerkerten Liebhaber, von ihrer schlimmen Lage. ","","False","0x00000001","",""
"","TEXT_GAIUSB912_00935_SEQ_02<tab>Roused from his gloom by the shocking news, Laurence urges you out after only a few hurried words. Your destination must be the forest to the southeast, for when the music of love and death plays, there is naught to do but dance.","TEXT_GAIUSB912_00935_SEQ_02<tab>Laurence scheint etwas im Wald vergraben zu haben. Er bittet dich, es zu suchen und zu Charmine zu bringen, die sich gerade um die Behandlung seiner Liebsten kümmert. Durchforste den Wald in südöstlicher Richtung, und du solltest fündig werden.","","False","0x00000002","",""
"","TEXT_GAIUSB912_00935_SEQ_03<tab>Laurence's treasure turns out to be an alchemic concoction of Ul'dahn origin. What you hold in your hand cost a man his freedom, and may save a woman's life. Deliver it to Charmine forthwith, and the Fury take you if you drop it.","TEXT_GAIUSB912_00935_SEQ_03<tab>Du hast <var 32 ((EventItem)) 02F61E875B020502 /var> gefunden. Bring das kostbare Gut sofort zu Charmine an die Weißenfels-Front.","","False","0x00000003","",""
"","TEXT_GAIUSB912_00935_SEQ_04<tab>Charmine's eyes widen at the sight of medicine so precious, and she immediately deduces Laurence's sacrifice. You sense in her fury and even disgust at the cruelty of war, and an iron determination to keep alight this guttering candle...","TEXT_GAIUSB912_00935_SEQ_04<tab>Du hast Charmine <var 32 ((EventItem)) 03F61E875B020502 /var> übergeben. Es handelt sich um äußerst kostbare Medizin, und sie glaubt, Fridgia damit heilen zu können.","","False","0x00000004","",""
"","TEXT_GAIUSB912_00935_SEQ_05<tab>","TEXT_GAIUSB912_00935_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_GAIUSB912_00935_SEQ_06<tab>","TEXT_GAIUSB912_00935_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_GAIUSB912_00935_SEQ_07<tab>","TEXT_GAIUSB912_00935_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_GAIUSB912_00935_SEQ_08<tab>","TEXT_GAIUSB912_00935_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_GAIUSB912_00935_SEQ_09<tab>","TEXT_GAIUSB912_00935_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_GAIUSB912_00935_SEQ_10<tab>","TEXT_GAIUSB912_00935_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_GAIUSB912_00935_SEQ_11<tab>","TEXT_GAIUSB912_00935_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_GAIUSB912_00935_SEQ_12<tab>","TEXT_GAIUSB912_00935_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_GAIUSB912_00935_SEQ_13<tab>","TEXT_GAIUSB912_00935_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_GAIUSB912_00935_SEQ_14<tab>","TEXT_GAIUSB912_00935_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_GAIUSB912_00935_SEQ_15<tab>","TEXT_GAIUSB912_00935_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_GAIUSB912_00935_SEQ_16<tab>","TEXT_GAIUSB912_00935_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_GAIUSB912_00935_SEQ_17<tab>","TEXT_GAIUSB912_00935_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_GAIUSB912_00935_SEQ_18<tab>","TEXT_GAIUSB912_00935_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_GAIUSB912_00935_SEQ_19<tab>","TEXT_GAIUSB912_00935_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_GAIUSB912_00935_SEQ_20<tab>","TEXT_GAIUSB912_00935_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_GAIUSB912_00935_SEQ_21<tab>","TEXT_GAIUSB912_00935_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_GAIUSB912_00935_SEQ_22<tab>","TEXT_GAIUSB912_00935_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_GAIUSB912_00935_SEQ_23<tab>","TEXT_GAIUSB912_00935_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_GAIUSB912_00935_TODO_00<tab>Speak with Laurence.","TEXT_GAIUSB912_00935_TODO_00<tab>Mit Laurence sprechen","","False","0x00000018","",""
"","TEXT_GAIUSB912_00935_TODO_01<tab>Search the forest.","TEXT_GAIUSB912_00935_TODO_01<tab>Den Wald absuchen","","False","0x00000019","",""
