"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_GAIUSC507_00995_SEQ_00<tab>Wandering Breeze has a recurring gigas problem he would like you to solve.","TEXT_GAIUSC507_00995_SEQ_00<tab>Wandering Breeze has a recurring gigas problem he would like you to solve.","","False","0x00000000","",""
"","TEXT_GAIUSC507_00995_SEQ_01<tab>According to Wandering Breeze, the gigas who recently met their end at your hands may not have been quite the mindless brutes you took them for. Like a good historian─or a tactician─Wandering Breeze wants to study the threat. Slay four gigas and search their remains for items of interest.","TEXT_GAIUSC507_00995_SEQ_01<tab>According to Wandering Breeze, the gigas who recently met their end at your hands may not have been quite the mindless brutes you took them for. Like a good historian─or a tactician─Wandering Breeze wants to study the threat. Slay four gigas and search their remains for items of interest.","","False","0x00000001","",""
"","TEXT_GAIUSC507_00995_SEQ_02<tab>You find a jagged piece of crystal on each of the gigas, the only things out of place among their effects. The crystals seem to be carved in some fashion, but analyzing them is well beyond your area of expertise. Perhaps Wandering Breeze will have better luck.","TEXT_GAIUSC507_00995_SEQ_02<tab>You find a jagged piece of crystal on each of the gigas, the only things out of place among their effects. The crystals seem to be carved in some fashion, but analyzing them is well beyond your area of expertise. Perhaps Wandering Breeze will have better luck.","","False","0x00000002","",""
"","TEXT_GAIUSC507_00995_SEQ_03<tab>Wandering Breeze theorizes that the gigas consider the Crystal Tower a holy place, and seek to claim it for themselves. Place the carved likeness of the Tower on the chosen spot, and see what happens.","TEXT_GAIUSC507_00995_SEQ_03<tab>Wandering Breeze theorizes that the gigas consider the Crystal Tower a holy place, and seek to claim it for themselves. Place the carved likeness of the Tower on the chosen spot, and see what happens.","","False","0x00000003","",""
"","TEXT_GAIUSC507_00995_SEQ_04<tab>Being a mite fuzzy on what a scientific observation entails, you slay the gigas who comes to retrieve the crystal. The dead giant carries with him a detailed sketch of the Crystal Tower. Curious indeed. Hand it to Wandering Breeze and see what he says.","TEXT_GAIUSC507_00995_SEQ_04<tab>Being a mite fuzzy on what a scientific observation entails, you slay the gigas who comes to retrieve the crystal. The dead giant carries with him a detailed sketch of the Crystal Tower. Curious indeed. Hand it to Wandering Breeze and see what he says.","","False","0x00000004","",""
"","TEXT_GAIUSC507_00995_SEQ_05<tab>The drawing turns out to be from the documents stolen from the Sons of Saint Coinach. Do these fell creatures also burn to discover the secret of the Crystal Tower? If so, they may be an even greater threat than was supposed...","TEXT_GAIUSC507_00995_SEQ_05<tab>The drawing turns out to be from the documents stolen from the Sons of Saint Coinach. Do these fell creatures also burn to discover the secret of the Crystal Tower? If so, they may be an even greater threat than was supposed...","","False","0x00000005","",""
"","TEXT_GAIUSC507_00995_SEQ_06<tab>","TEXT_GAIUSC507_00995_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_GAIUSC507_00995_SEQ_07<tab>","TEXT_GAIUSC507_00995_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_GAIUSC507_00995_SEQ_08<tab>","TEXT_GAIUSC507_00995_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_GAIUSC507_00995_SEQ_09<tab>","TEXT_GAIUSC507_00995_SEQ_09<tab>","","False","0x00000009","",""
