"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_GAIUSC807_01031_SEQ_00<tab>Eilis requires you to supply the lines of Tidegate.","TEXT_GAIUSC807_01031_SEQ_00<tab>キャンプ・スカルバレーのエイリス中甲士には、配達してほしいものがあるようだ。","","False","0x00000000","",""
"","TEXT_GAIUSC807_01031_SEQ_01<tab>Eilis has asked you to deliver rations to the two tidegates. See one serving to the hands of Nortmoen in the north, and Sthalrhet to the south.","TEXT_GAIUSC807_01031_SEQ_01<tab>南北の防波壁に配達を依頼された。北防波壁の兄「ノルトムーン大甲士」に「<var 28 ((EventItem)) F61E878F01 /var>」を渡し、南防波壁の弟「スタルレット大甲士」に「<var 28 ((EventItem)) F61E878F01 /var>」を渡そう。","","False","0x00000001","",""
"","TEXT_GAIUSC807_01031_SEQ_02<tab>You have delivered both servings of rations and borne witness to the sibling rivalry forewarned. Notify Eilis that the provisions have reached their destinations.","TEXT_GAIUSC807_01031_SEQ_02<tab><var 28 ((EventItem)) F61E878F01 /var>の配達が終わった。キャンプ・スカルバレーに戻り「エイリス中甲士」に報告しよう。","","False","0x00000002","",""
"","TEXT_GAIUSC807_01031_SEQ_03<tab>While Eilis bemoans the brothers' bickering, she trusts the pair will work in lockstep when war comes to the wall.","TEXT_GAIUSC807_01031_SEQ_03<tab>犬猿の仲の兄弟に、頭を痛めている様子のエイリス中甲士。だが彼らは、ここぞという場面では、連携して砦の防衛にあたるそうだ。","","False","0x00000003","",""
"","TEXT_GAIUSC807_01031_SEQ_04<tab>","TEXT_GAIUSC807_01031_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_GAIUSC807_01031_SEQ_05<tab>","TEXT_GAIUSC807_01031_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_GAIUSC807_01031_SEQ_06<tab>","TEXT_GAIUSC807_01031_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_GAIUSC807_01031_SEQ_07<tab>","TEXT_GAIUSC807_01031_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_GAIUSC807_01031_SEQ_08<tab>","TEXT_GAIUSC807_01031_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_GAIUSC807_01031_SEQ_09<tab>","TEXT_GAIUSC807_01031_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_GAIUSC807_01031_SEQ_10<tab>","TEXT_GAIUSC807_01031_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_GAIUSC807_01031_SEQ_11<tab>","TEXT_GAIUSC807_01031_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_GAIUSC807_01031_SEQ_12<tab>","TEXT_GAIUSC807_01031_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_GAIUSC807_01031_SEQ_13<tab>","TEXT_GAIUSC807_01031_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_GAIUSC807_01031_SEQ_14<tab>","TEXT_GAIUSC807_01031_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_GAIUSC807_01031_SEQ_15<tab>","TEXT_GAIUSC807_01031_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_GAIUSC807_01031_SEQ_16<tab>","TEXT_GAIUSC807_01031_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_GAIUSC807_01031_SEQ_17<tab>","TEXT_GAIUSC807_01031_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_GAIUSC807_01031_SEQ_18<tab>","TEXT_GAIUSC807_01031_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_GAIUSC807_01031_SEQ_19<tab>","TEXT_GAIUSC807_01031_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_GAIUSC807_01031_SEQ_20<tab>","TEXT_GAIUSC807_01031_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_GAIUSC807_01031_SEQ_21<tab>","TEXT_GAIUSC807_01031_SEQ_21<tab>","","False","0x00000015","",""
