"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_JOBBLM300_01073_SEQ_00<tab>Yayake has need of a talented thaumaturge.","TEXT_JOBBLM300_01073_SEQ_00<tab>Yayake von der Thaumaturgengilde ist auf der Suche nach einem Abenteurer.","","False","0x00000000","",""
"","TEXT_JOBBLM300_01073_SEQ_01<tab>Yayake of Arrzaneth Ossuary has asked you to ascertain the truth of a prophecy being spoken by one Ququruka, a prisoner who claims to hear the voice of Nald'thal. To do this, proceed to Highbridge in eastern Thanalan and investigate the planar fissure that is said to be there. Once looked into, fell any fiends that emerge, and secure a vial of their blood.","TEXT_JOBBLM300_01073_SEQ_01<tab>Yayake möchte, dass du den planaren Riss in Hohenbrück im östlichen Thanalan näher untersuchst. Erschlage die Bestien, die du dort vorfindest, und besorge <var 32 ((EventItem)) 02F61E883A020502 /var>.","","False","0x00000001","",""
"","TEXT_JOBBLM300_01073_SEQ_02<tab>You have obtained a vial of fresh blood. Pour it into the planar fissure that remains.","TEXT_JOBBLM300_01073_SEQ_02<tab>Du hast <var 32 ((EventItem)) 02F61E883A020502 /var> erlangt. Schütte ihren Inhalt in <var 32 ((EObj)) 03F61E8DFD020502 /var> in Hohenbrück im östlichen Thanalan.","","False","0x00000002","",""
"","TEXT_JOBBLM300_01073_SEQ_03<tab>After pouring the voidsent blood into the planar fissure, an Amalj'aa named Kazagg Chah appears and presents you with the Gem of Shatotto. Take the gem and word of your feat back to Yayake at the Thaumaturges' Guild.","TEXT_JOBBLM300_01073_SEQ_03<tab>Du hast das frische Blut in den planaren Riss geschüttet. Erstatte Yayake in der Thaumaturgengilde Bericht.","","False","0x00000003","",""
"","TEXT_JOBBLM300_01073_SEQ_04<tab>Yayake is surprised to see that the so-called “prophecy” carried with it some legitimacy, but is even more surprised when the prophecy maker himself, Ququruka, makes an appearance in the guild. After hurling a few well-timed insults in Yayake's general direction, the self-proclaimed black mage bids you proceed to Milvaneth Sacrarium. Once there, speak with his companion, Lalai.","TEXT_JOBBLM300_01073_SEQ_04<tab>Begib dich zur Milvaneth-Kapelle und sprich dort mit Lalai.","","False","0x00000004","",""
"","TEXT_JOBBLM300_01073_SEQ_05<tab>Upon arriving at the Sacrarium, you learn that Ququruka is preoccupied with his meditations, and has entrusted Lalai with guiding you along the path of the black mage. Continue your study into the black arts, and return when you feel the arcane might within you has grown.

※The next black mage quest will be available from Lalai upon reaching level 35.","TEXT_JOBBLM300_01073_SEQ_05<tab>Ququruka ist mit seinen Meditationen beschäftigt und hat Lalai damit beauftragt, dich auf deinem Weg des Schwarzmagiers zu leiten.

※ Sobald du als Schwarzmagier<var 08 E905 ((in)) (()) /var> (Thaumaturg<var 08 E905 ((in)) (()) /var>) Stufe 35 erreicht hast, kannst du von Lalai den nächsten Auftrag erhalten.","","False","0x00000005","",""
"","TEXT_JOBBLM300_01073_SEQ_06<tab>","TEXT_JOBBLM300_01073_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_JOBBLM300_01073_SEQ_07<tab>","TEXT_JOBBLM300_01073_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_JOBBLM300_01073_SEQ_08<tab>","TEXT_JOBBLM300_01073_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_JOBBLM300_01073_SEQ_09<tab>","TEXT_JOBBLM300_01073_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_JOBBLM300_01073_SEQ_10<tab>","TEXT_JOBBLM300_01073_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_JOBBLM300_01073_SEQ_11<tab>","TEXT_JOBBLM300_01073_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_JOBBLM300_01073_SEQ_12<tab>","TEXT_JOBBLM300_01073_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_JOBBLM300_01073_SEQ_13<tab>","TEXT_JOBBLM300_01073_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_JOBBLM300_01073_SEQ_14<tab>","TEXT_JOBBLM300_01073_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_JOBBLM300_01073_SEQ_15<tab>","TEXT_JOBBLM300_01073_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_JOBBLM300_01073_SEQ_16<tab>","TEXT_JOBBLM300_01073_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_JOBBLM300_01073_SEQ_17<tab>","TEXT_JOBBLM300_01073_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_JOBBLM300_01073_SEQ_18<tab>","TEXT_JOBBLM300_01073_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_JOBBLM300_01073_SEQ_19<tab>","TEXT_JOBBLM300_01073_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_JOBBLM300_01073_SEQ_20<tab>","TEXT_JOBBLM300_01073_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_JOBBLM300_01073_SEQ_21<tab>","TEXT_JOBBLM300_01073_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_JOBBLM300_01073_SEQ_22<tab>","TEXT_JOBBLM300_01073_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_JOBBLM300_01073_SEQ_23<tab>","TEXT_JOBBLM300_01073_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_JOBBLM300_01073_TODO_00<tab>Investigate the planar fissure at Highbridge and procure the blood of any fiends that emerge.","TEXT_JOBBLM300_01073_TODO_00<tab><var 2B ((<var 32 ((EObj)) 03F61E8DFD020502 /var>)) /var> untersuchen und die Bestien erschlagen","","False","0x00000018","",""
"","TEXT_JOBBLM300_01073_TODO_01<tab>Pour the voidsent blood into the planar fissure.","TEXT_JOBBLM300_01073_TODO_01<tab><var 32 ((EventItem)) 06F61E883A020502 /var> in <var 32 ((EObj)) 03F61E8DFD020502 /var> schütten","","False","0x00000019","",""
"","TEXT_JOBBLM300_01073_TODO_02<tab>Speak with Yayake at the Thaumaturges' Guild.","TEXT_JOBBLM300_01073_TODO_02<tab>Mit Yayake sprechen","","False","0x0000001A","",""
"","TEXT_JOBBLM300_01073_TODO_03<tab>Report to Lalai at Milvaneth Sacrarium.","TEXT_JOBBLM300_01073_TODO_03<tab>Lalai Bericht erstatten","","False","0x0000001B","",""
"","TEXT_JOBBLM300_01073_TODO_04<tab>","TEXT_JOBBLM300_01073_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_JOBBLM300_01073_TODO_05<tab>","TEXT_JOBBLM300_01073_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_JOBBLM300_01073_TODO_06<tab>","TEXT_JOBBLM300_01073_TODO_06<tab>","","False","0x0000001E","",""
