"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_JOBBRD451_01089_SEQ_00<tab>Jehantel has a request for you.","TEXT_JOBBRD451_01089_SEQ_00<tab>У Жеантеля есть к вам просьба.","","False","0x00000000","",""
"","TEXT_JOBBRD451_01089_SEQ_01<tab>The bard known as the Godsbow has bid you gather the four parts of the choral attire. Search the sacks at Halfstone in western La Noscea, Urth's Gift in the South Shroud, Raubahn's Push in northern Thanalan, and the Goldleaf Dais in the East Shroud.","TEXT_JOBBRD451_01089_SEQ_01<tab>Бард по прозванию Божий Лук попросил вас собрать четыре части одеяния хора. Обыщите мешки в районе Плоского камня (Западная Ла Ноша), Дара Урты (Южная Роща), Напора Робанна (Северный Таналан) и у Помоста поклонения (Южная Роща).","","False","0x00000001","",""
"","TEXT_JOBBRD451_01089_SEQ_02<tab>You have gathered the four parts of the choral attire. Return to Jehantel's camp west of Quarrymill in the South Shroud.","TEXT_JOBBRD451_01089_SEQ_02<tab>Вы собрали четыре части одеяния хора. Вернитесь к Жеантелю в его лагерь к западу от Каменоломни, что в Южной Роще.","","False","0x00000002","",""
"","TEXT_JOBBRD451_01089_SEQ_03<tab>You have returned to Jehantel bearing the garments he once surrendered to fate. Now fully convinced of your destiny to don the choral attire, it appears that the bard has come to a decision. He asks for time to make certain preparations, and sends you away to focus on your training

※The next bard quest will be available from Jehantel upon reaching level 50.","TEXT_JOBBRD451_01089_SEQ_03<tab>Вы вернулись к Жеантелю и принесли одеяния, которые он когда-то бросил на милость судьбы. Теперь бард целиком и полностью уверен, что эти убранства предназначены вам, и, похоже, пришёл к какому-то решению. Он просит у вас времени на подготовку и отпускает вас, чтобы вы могли сосредоточиться на тренировках.

※Следующее задание барда будет доступно у Жеантеля по достижении уровня 50.","","False","0x00000003","",""
"","TEXT_JOBBRD451_01089_SEQ_04<tab>","","","False","0x00000004","",""
"","TEXT_JOBBRD451_01089_SEQ_05<tab>","","","False","0x00000005","",""
"","TEXT_JOBBRD451_01089_SEQ_06<tab>","","","False","0x00000006","",""
"","TEXT_JOBBRD451_01089_SEQ_07<tab>","","","False","0x00000007","",""
"","TEXT_JOBBRD451_01089_SEQ_08<tab>","","","False","0x00000008","",""
"","TEXT_JOBBRD451_01089_SEQ_09<tab>","","","False","0x00000009","",""
"","TEXT_JOBBRD451_01089_SEQ_10<tab>","","","False","0x0000000A","",""
"","TEXT_JOBBRD451_01089_SEQ_11<tab>","","","False","0x0000000B","",""
"","TEXT_JOBBRD451_01089_SEQ_12<tab>","","","False","0x0000000C","",""
"","TEXT_JOBBRD451_01089_SEQ_13<tab>","","","False","0x0000000D","",""
"","TEXT_JOBBRD451_01089_SEQ_14<tab>","","","False","0x0000000E","",""
"","TEXT_JOBBRD451_01089_SEQ_15<tab>","","","False","0x0000000F","",""
"","TEXT_JOBBRD451_01089_SEQ_16<tab>","","","False","0x00000010","",""
"","TEXT_JOBBRD451_01089_SEQ_17<tab>","","","False","0x00000011","",""
"","TEXT_JOBBRD451_01089_SEQ_18<tab>","","","False","0x00000012","",""
"","TEXT_JOBBRD451_01089_SEQ_19<tab>","","","False","0x00000013","",""
"","TEXT_JOBBRD451_01089_SEQ_20<tab>","","","False","0x00000014","",""
"","TEXT_JOBBRD451_01089_SEQ_21<tab>","","","False","0x00000015","",""
"","TEXT_JOBBRD451_01089_SEQ_22<tab>","","","False","0x00000016","",""
"","TEXT_JOBBRD451_01089_SEQ_23<tab>","","","False","0x00000017","",""
"","TEXT_JOBBRD451_01089_TODO_00<tab>Find choral attire at Halfstone.","TEXT_JOBBRD451_01089_TODO_00<tab>Отыщите одеяние хора в районе Плоского Камня.","","False","0x00000018","",""
"","TEXT_JOBBRD451_01089_TODO_01<tab>Find choral attire at Urth's Gift.","TEXT_JOBBRD451_01089_TODO_01<tab>Отыщите одеяние хора в районе Дара Урты.","","False","0x00000019","",""
"","TEXT_JOBBRD451_01089_TODO_02<tab>Find choral attire at Raubahn's Push.","TEXT_JOBBRD451_01089_TODO_02<tab>Отыщите одеяние хора в районе Напора Робанна.","","False","0x0000001A","",""
"","TEXT_JOBBRD451_01089_TODO_03<tab>Find choral attire at the Goldleaf Dais.","TEXT_JOBBRD451_01089_TODO_03<tab>Отыщите одеяние хора у Помоста поклонения.","","False","0x0000001B","",""
"","TEXT_JOBBRD451_01089_TODO_04<tab>Return to Jehantel at his camp west of Quarrymill.","TEXT_JOBBRD451_01089_TODO_04<tab>Вернитесь к Жеантелю в его лагерь к западу от Каменоломни.","","False","0x0000001C","",""
"","TEXT_JOBBRD451_01089_TODO_05<tab>","","","False","0x0000001D","",""
"","TEXT_JOBBRD451_01089_TODO_06<tab>","","","False","0x0000001E","",""
"","TEXT_JOBBRD451_01089_TODO_07<tab>","","","False","0x0000001F","",""
"","TEXT_JOBBRD451_01089_TODO_08<tab>","","","False","0x00000020","",""
"","TEXT_JOBBRD451_01089_TODO_09<tab>","","","False","0x00000021","",""
"","TEXT_JOBBRD451_01089_TODO_10<tab>","","","False","0x00000022","",""
"","TEXT_JOBBRD451_01089_TODO_11<tab>","","","False","0x00000023","",""
"","TEXT_JOBBRD451_01089_TODO_12<tab>","","","False","0x00000024","",""
"","TEXT_JOBBRD451_01089_TODO_13<tab>","","","False","0x00000025","",""
"","TEXT_JOBBRD451_01089_TODO_14<tab>","","","False","0x00000026","",""
"","TEXT_JOBBRD451_01089_TODO_15<tab>","","","False","0x00000027","",""
"","TEXT_JOBBRD451_01089_TODO_16<tab>","","","False","0x00000028","",""
"","TEXT_JOBBRD451_01089_TODO_17<tab>","","","False","0x00000029","",""
"","TEXT_JOBBRD451_01089_TODO_18<tab>","","","False","0x0000002A","",""
"","TEXT_JOBBRD451_01089_TODO_19<tab>","","","False","0x0000002B","",""
"","TEXT_JOBBRD451_01089_TODO_20<tab>","","","False","0x0000002C","",""
"","TEXT_JOBBRD451_01089_TODO_21<tab>","","","False","0x0000002D","",""
"","TEXT_JOBBRD451_01089_TODO_22<tab>","","","False","0x0000002E","",""
"","TEXT_JOBBRD451_01089_TODO_23<tab>","","","False","0x0000002F","",""
"","TEXT_JOBBRD451_01089_JEHANTEL_000_000<tab>You will listen to my request though you know me for the vainglorious fool I am? I am humbled.","TEXT_JOBBRD451_01089_JEHANTEL_000_000<tab>Ты выслушаешь моё пожелание, хотя знаешь, насколько тщеславен и глуп я был? Я растроган.","","False","0x00000030","",""
"","TEXT_JOBBRD451_01089_JEHANTEL_000_001<tab>The boon I ask of you is simple: I would have you sing for me.","TEXT_JOBBRD451_01089_JEHANTEL_000_001<tab>Милость, о которой я прошу, проста. Спой для меня.","","False","0x00000031","",""
"","TEXT_JOBBRD451_01089_Q1_000_000<tab>Will you sing for Jehantel?","TEXT_JOBBRD451_01089_Q1_000_000<tab>Вы споёте для Жеантеля?","","False","0x00000032","",""
"","TEXT_JOBBRD451_01089_A1_000_001<tab>Yes","TEXT_JOBBRD451_01089_A1_000_001<tab>Да","","False","0x00000033","",""
"","TEXT_JOBBRD451_01089_A2_000_002<tab>No","TEXT_JOBBRD451_01089_A2_000_002<tab>Нет","","False","0x00000034","",""
"","TEXT_JOBBRD451_01089_JEHANTEL_000_002<tab>A heartfelt performance, masterfully delivered. You have come far in such a short time, my young apprentice.","TEXT_JOBBRD451_01089_JEHANTEL_000_002<tab>Проникновенное и искусное выступление. Ты многого <var 08 E905 ((добилась)) ((добился)) /var> за столь короткий срок, <var 08 E905 ((моя юная ученица)) ((мой юный ученик)) /var>.","","False","0x00000035","",""
"","TEXT_JOBBRD451_01089_JEHANTEL_000_003<tab>Hearing your song this day, I am convinced that you are well on your way to surpassing me, as bard and archer both. Soon there will be naught left for me to impart to you.","TEXT_JOBBRD451_01089_JEHANTEL_000_003<tab>Услышав сегодня твоё пение, я убеждён, что уже скоро ты превзойдёшь меня и как бард, и как лучник. Ещё чуть-чуть, и мне нечему будет тебя учить.","","False","0x00000036","",""
