"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_JOBSMN451_01095_SEQ_00<tab>Y'mhitra wishes you to attempt the next summoning ritual.","TEXT_JOBSMN451_01095_SEQ_00<tab>Y'mhitra hält die Zeit für das nächste Ritual gekommen.","","False","0x00000000","",""
"","TEXT_JOBSMN451_01095_SEQ_01<tab>You are ready to perform the Austerities of Wind. Travel to the Floating City of Nym in outer La Noscea and speak with Y'mhitra to begin the ritual.","TEXT_JOBSMN451_01095_SEQ_01<tab>Um die <var 1A 02 /var>Windgeißel<var 1A 01 /var> anzutreten, sollst du Y'mhitra an der Himmelsstiege im äußeren La Noscea treffen. Sicher ist die flinke Miqo'te wieder vor dir da. Lass sie nicht so lange warten!","","False","0x00000001","",""
"","TEXT_JOBSMN451_01095_SEQ_02<tab>You have succeeded in controlling the storm that is Garuda-Egi. Speak with Y'mhitra and celebrate your victory.","TEXT_JOBSMN451_01095_SEQ_02<tab>Du hast den Garuda-Egi bezwungen. Teile deine Freude über den Sieg mit Y'mhitra.","","False","0x00000002","",""
"","TEXT_JOBSMN451_01095_SEQ_03<tab>After praising your skills as a summoner and showing her gratitude for your contribution to her research, Y'mhitra suggests a return to Apkallu Falls.","TEXT_JOBSMN451_01095_SEQ_03<tab>Y'mhitra hatte es einmal mehr sehr eilig, nach Gridania zurückzukehren. Die Apkallu-Fälle müssen eine wahrhaft magische Anziehungskraft auf sie ausüben.","","False","0x00000003","",""
"","TEXT_JOBSMN451_01095_SEQ_04<tab>Y'mhitra explains to you the nature of the ally you have gained. While the researcher continues to investigate the mysterious Tristan, she bids you experiment with your egi, and master their abilities in preparation for the coming confrontation.<br><br>※The next summoner quest will be available from Y'mhitra upon reaching level 50.","TEXT_JOBSMN451_01095_SEQ_04<tab>Y'mhitra glaubt, dass du für die Konfrontation mit Tristan nun gut gewappnet bist. Vertiefe dein Verständnis der Beschwörungsmagie, damit du die erlernten Zauber und Techniken auch sinnvoll einzusetzen weißt, wenn es ernst wird.<br><br>※ Sobald du als Beschwörer<var 08 E905 ((in)) (()) /var> (Hermetiker<var 08 E905 ((in)) (()) /var>) Stufe 50 erreicht hast, kannst du von Y'mhitra den nächsten Auftrag erhalten.","","False","0x00000004","",""
"","TEXT_JOBSMN451_01095_SEQ_05<tab>","TEXT_JOBSMN451_01095_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_JOBSMN451_01095_SEQ_06<tab>","TEXT_JOBSMN451_01095_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_JOBSMN451_01095_SEQ_07<tab>","TEXT_JOBSMN451_01095_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_JOBSMN451_01095_SEQ_08<tab>","TEXT_JOBSMN451_01095_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_JOBSMN451_01095_SEQ_09<tab>","TEXT_JOBSMN451_01095_SEQ_09<tab>","","False","0x00000009","",""
