"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_GAIUSD015_01198_SEQ_00<tab>Urianger wishes to introduce you to a means of acquiring superior arms.","TEXT_GAIUSD015_01198_SEQ_00<tab>Urianger semble avoir une idée pour vous permettre d'affronter les Primordiaux à <var 1A 02 /var>armes égales<var 1A 01 /var>.","","False","0x00000000","",""
"","TEXT_GAIUSD015_01198_SEQ_01<tab>Urianger has arranged for a merchant in Mor Dhona to accept the ritual foci as fair exchange for a unique weapon. Take the three primal trophies you collected, and trade them to Rowena at Revenant's Toll.","TEXT_GAIUSD015_01198_SEQ_01<tab>Urianger vous a expliqué que Rowena, une marchande du Glas des revenants, dans le Mor Dhona, lui avait dit être intéressée par les étranges totems de Primordiaux que vous avez découverts récemment. En échange, elle serait prête à vous céder des pièces d'équipement. Apportez-lui les trois objets rituels qu'Urianger vous a rendus.","","False","0x00000001","",""
"","TEXT_GAIUSD015_01198_SEQ_02<tab>After scrutinizing the uncanny objects of bone, Rowena appears satisfied that they will sell for a handsome sum. Deliver the ritual tools to Laraina, the merchant's acquisitions officer, and formalize the transaction.","TEXT_GAIUSD015_01198_SEQ_02<tab>Après examen des trois totems, Rowena vous a confirmé son intention de procéder à un échange. Remettez ces trois effigies à sa nouvelle assistante, Laraina, pour obtenir votre récompense.","","False","0x00000002","",""
"","TEXT_GAIUSD015_01198_SEQ_03<tab>You deliver the primal trophies to Laraina, and receive three tokens in exchange. With such tokens in your possession, you are now able to make a selection from Rowena's stock of high-quality armaments. Laraina explains that should you wish to obtain more of their weapons, you need only bring her another set of “stomach-churning” ritual foci.","TEXT_GAIUSD015_01198_SEQ_03<tab>Bien que dégoûtée par l'apparence des trois totems, la jeune Élézenne les a acceptés et vous a donné <var 33 ((Item)) 02 ((　7004)) 0302 /var> en échange. Elle vous a conseillé de lui apporter d'autres de ces objets si vous désirez davantage <var 33 ((Item)) 09 ((　7004)) 0302 /var>.","","False","0x00000003","",""
"","TEXT_GAIUSD015_01198_SEQ_04<tab>","TEXT_GAIUSD015_01198_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_GAIUSD015_01198_SEQ_05<tab>","TEXT_GAIUSD015_01198_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_GAIUSD015_01198_SEQ_06<tab>","TEXT_GAIUSD015_01198_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_GAIUSD015_01198_SEQ_07<tab>","TEXT_GAIUSD015_01198_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_GAIUSD015_01198_SEQ_08<tab>","TEXT_GAIUSD015_01198_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_GAIUSD015_01198_SEQ_09<tab>","TEXT_GAIUSD015_01198_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_GAIUSD015_01198_SEQ_10<tab>","TEXT_GAIUSD015_01198_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_GAIUSD015_01198_SEQ_11<tab>","TEXT_GAIUSD015_01198_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_GAIUSD015_01198_SEQ_12<tab>","TEXT_GAIUSD015_01198_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_GAIUSD015_01198_SEQ_13<tab>","TEXT_GAIUSD015_01198_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_GAIUSD015_01198_SEQ_14<tab>","TEXT_GAIUSD015_01198_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_GAIUSD015_01198_SEQ_15<tab>","TEXT_GAIUSD015_01198_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_GAIUSD015_01198_SEQ_16<tab>","TEXT_GAIUSD015_01198_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_GAIUSD015_01198_SEQ_17<tab>","TEXT_GAIUSD015_01198_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_GAIUSD015_01198_SEQ_18<tab>","TEXT_GAIUSD015_01198_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_GAIUSD015_01198_SEQ_19<tab>","TEXT_GAIUSD015_01198_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_GAIUSD015_01198_SEQ_20<tab>","TEXT_GAIUSD015_01198_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_GAIUSD015_01198_SEQ_21<tab>","TEXT_GAIUSD015_01198_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_GAIUSD015_01198_SEQ_22<tab>","TEXT_GAIUSD015_01198_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_GAIUSD015_01198_SEQ_23<tab>","TEXT_GAIUSD015_01198_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_GAIUSD015_01198_TODO_00<tab>Take the three ritual foci to Rowena at Revenant's Toll in Mor Dhona.","TEXT_GAIUSD015_01198_TODO_00<tab>Montrer les trois totems de Primordiaux à Rowena","","False","0x00000018","",""
"","TEXT_GAIUSD015_01198_TODO_01<tab>Deliver the three ritual foci to Laraina.","TEXT_GAIUSD015_01198_TODO_01<tab>Donner les trois totems de Primordiaux à Laraina","","False","0x00000019","",""
"","TEXT_GAIUSD015_01198_TODO_02<tab>","TEXT_GAIUSD015_01198_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_GAIUSD015_01198_TODO_03<tab>","TEXT_GAIUSD015_01198_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_GAIUSD015_01198_TODO_04<tab>","TEXT_GAIUSD015_01198_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_GAIUSD015_01198_TODO_05<tab>","TEXT_GAIUSD015_01198_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_GAIUSD015_01198_TODO_06<tab>","TEXT_GAIUSD015_01198_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_GAIUSD015_01198_TODO_07<tab>","TEXT_GAIUSD015_01198_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_GAIUSD015_01198_TODO_08<tab>","TEXT_GAIUSD015_01198_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_GAIUSD015_01198_TODO_09<tab>","TEXT_GAIUSD015_01198_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_GAIUSD015_01198_TODO_10<tab>","TEXT_GAIUSD015_01198_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_GAIUSD015_01198_TODO_11<tab>","TEXT_GAIUSD015_01198_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_GAIUSD015_01198_TODO_12<tab>","TEXT_GAIUSD015_01198_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_GAIUSD015_01198_TODO_13<tab>","TEXT_GAIUSD015_01198_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_GAIUSD015_01198_TODO_14<tab>","TEXT_GAIUSD015_01198_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_GAIUSD015_01198_TODO_15<tab>","TEXT_GAIUSD015_01198_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_GAIUSD015_01198_TODO_16<tab>","TEXT_GAIUSD015_01198_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_GAIUSD015_01198_TODO_17<tab>","TEXT_GAIUSD015_01198_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_GAIUSD015_01198_TODO_18<tab>","TEXT_GAIUSD015_01198_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_GAIUSD015_01198_TODO_19<tab>","TEXT_GAIUSD015_01198_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_GAIUSD015_01198_TODO_20<tab>","TEXT_GAIUSD015_01198_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_GAIUSD015_01198_TODO_21<tab>","TEXT_GAIUSD015_01198_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_GAIUSD015_01198_TODO_22<tab>","TEXT_GAIUSD015_01198_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_GAIUSD015_01198_TODO_23<tab>","TEXT_GAIUSD015_01198_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_GAIUSD015_01198_URIANGER_000_000<tab>If thou art to weather these constant clashes against ever-more-potent primals, then thou must perforce arm thyself with extraordinary weapons. I have concluded negotiations with one Rowena, a merchant who doth abide at Revenant's Toll.","TEXT_GAIUSD015_01198_URIANGER_000_000<tab>Les artifices dont je veux parler, vous devriez pouvoir les obtenir au Glas des revenants, dans le Mor Dhona.","","False","0x00000030","",""
"","TEXT_GAIUSD015_01198_URIANGER_000_001<tab>In exchange for the ritual objects thou hast collected, she hath promised to provide thee with a selection from her stock of unique armaments.","TEXT_GAIUSD015_01198_URIANGER_000_001<tab>Pendant que vous affrontiez Ifrit, une marchande appelée Rowena m'a contacté, se disant intéressée par les objets rituels que vous avez trouvés à Hurlœil et au Nombril.","","False","0x00000031","",""
"","TEXT_GAIUSD015_01198_URIANGER_000_002<tab>Why wouldst she consent to purchase these unsavory trophies? It is a simple question of infamy. Certain of her clientele are like to salivate at the very thought of possessing such forbidden items─there are few who can lay claim to the ownership of a ritual tool employed in the summoning of a primal.","TEXT_GAIUSD015_01198_URIANGER_000_002<tab>Il semble que certains col<var 16 /var>lec<var 16 /var>tion<var 16 /var>neurs d'art tribal soient prêts à débourser des fortunes pour acquérir des totems aussi rares, et cette jeune femme y voit donc une opportunité d'affaires.","","False","0x00000032","",""
"","TEXT_GAIUSD015_01198_URIANGER_100_002<tab>There is no cause for alarum. Any power the objects once held has long since been surrendered to the summoned deities. And lest thou worry on my account, I have gleaned from them what wisdom we required.","TEXT_GAIUSD015_01198_URIANGER_100_002<tab>En échange de ces objets, Rowena acceptera de vous donner quelque chose qui sera assurément utile pour vaincre les Primordiaux. Ne vous inquiétez pas, j'ai suf<var 16 /var>fi<var 16 /var>sam<var 16 /var>ment étudié ces effigies en os, et elles ne possèdent plus aucun pouvoir.","","False","0x00000033","",""
"","TEXT_GAIUSD015_01198_URIANGER_000_003<tab>I return to thee thy hard-won prizes. Hie thee to Revenant's Toll in Mor Dhona, and see them swiftly into Rowena's hands.","TEXT_GAIUSD015_01198_URIANGER_000_003<tab>Tenez, reprenez-les et apportez-les à cette marchande.","","False","0x00000034","",""
"","TEXT_GAIUSD015_01198_ROWENA_000_010<tab>Greetin's, adventurer. So, you're the one as hopes to trade some primal curiosities, are you? Urianger's guaranteed their authenticity, so why don't you let ol' Rowena here have a look at these ritual objects o' yours?","TEXT_GAIUSD015_01198_ROWENA_000_010<tab>C'est donc toi qui as obtenu ces étranges objets faits par les hommes-bêtes<var 1D /var>? Urianger m'a expliqué d'où ils proviennent. Si tu le permets, j'aimerais y jeter un œil avant de conclure la moindre transaction.","","False","0x00000035","",""
"","TEXT_GAIUSD015_01198_ROWENA_000_011<tab>Hmmm, carved from beastman bones, just like he described... Well, I'd be lyin' if I said these trinkets didn't make my skin crawl like a diremite in my undergarments.","TEXT_GAIUSD015_01198_ROWENA_000_011<tab>... Hmpf<var 1D /var>! Je n'ai jamais vu quelque chose d'aussi grotesque et repoussant... Ne t'inquiète pas, je ne dis pas ça de manière péjorative, au contraire même.","","False","0x00000036","",""
"","TEXT_GAIUSD015_01198_ROWENA_000_012<tab>In case you misunderstand, that's an expression o' high praise, <var 08 E905 ((lass)) ((lad)) /var>. My customers'll be guttin' each other in the streets for a chance to purchase your trophies! Show them to Laraina, my acquisitions officer, and she'll walk you through the transaction.","TEXT_GAIUSD015_01198_ROWENA_000_012<tab>Ces totems réjouiront sûrement mes clients les plus férus d'art traditionnel des tribus barbares. Je vais donc te les prendre. Apporte-les à ma nouvelle assistante, Laraina, s'il te plaît. Elle te donnera quelque chose en échange.","","False","0x00000037","",""
"","TEXT_GAIUSD015_01198_LARAINA_000_020<tab>Gods damn you, Rowena. You promised me a life of excitement in the exotic land of Mor Dhona, and here I am stocking your shelves like a trained opo─ Ahem. May I help you, <var 08 E905 ((miss)) ((sir)) /var>?","TEXT_GAIUSD015_01198_LARAINA_000_020<tab>Oui<var 1D /var>? Que me voulez-vous au juste<var 1D /var>? J'espère que c'est important, parce que laissez-moi vous dire que je commence à en avoir marre de cet endr...","","False","0x00000038","",""
