"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_JOBSCH450_01100_SEQ_00<tab>Alka Zolka has news which should be of great interest to you.","TEXT_JOBSCH450_01100_SEQ_00<tab>Alka Zolka sourit jusqu'aux oreilles, et a donc sûrement une bonne nouvelle à partager avec vous.","","False","0x00000000","",""
"","TEXT_JOBSCH450_01100_SEQ_01<tab>Alka Zolka has come into possession of ancient engravings which purport to show the traditional raiments of Nymian scholars. Coupled with information gleaned from other sources, he believes he has deduced the raiments' design. However, he wishes to conclusively verify their historical accuracy by recreating the garments and gauging your faerie's reaction. In order to do so, he will need to enlist the aid of a preeminent Eorzean weaver─namely, Master Redolent Rose of Sunsilk Tapestries. Approaching him now would be premature, though, as you must first gather the leaves of a direwort. These plants, which can be found only in the Fogfens of Mor Dhona, are essential for producing the distinct colors of a Nymian scholar's uniform.","TEXT_JOBSCH450_01100_SEQ_01<tab>Alka Zolka vous a révélé avoir découvert des éléments qui pourraient permettre de recréer la tenue que portaient les érudits des temps de Nym. Pour cela, il a contacté Redolent Rose, le maître de la guilde des couturiers, à Ul'dah. Il vous envoie tout d'abord obtenir <var 33 ((EventItem)) 02F61E87490202 /var> à Fangebrume, dans le Mor Dhona. Cherchez donc du côté d'<var 33 ((EObj)) 02F61E8DD10202 /var> qu'il y a là-bas.","","False","0x00000001","",""
"","TEXT_JOBSCH450_01100_SEQ_02<tab>Your initial attempt to gather the direwort leaves is foiled by the sudden appearance of belligerent wildlife, which you are forced to dispatch. Hopefully, your second attempt will not be so rudely interrupted.","TEXT_JOBSCH450_01100_SEQ_02<tab>Vous avez jeté un œil du côté <var 33 ((EObj)) 0AF61E8DD10202 /var>, mais des créatures vous ont aussitôt attaqué<var 08 E905 ((e)) (()) /var>. Heu<var 16 /var>reu<var 16 /var>se<var 16 /var>ment, vous avez réussi à vous en débarrasser. Fouillez de nouveau les environs à la recherche d'<var 33 ((EventItem)) 02F61E87490202 /var>.","","False","0x00000002","",""
"","TEXT_JOBSCH450_01100_SEQ_03<tab>To your relief, no rampaging beast attempts to devour you this time. Journey to Ul'dah and speak with Redolent Rose, who should have hopefully been contacted by Alka Zolka by now.","TEXT_JOBSCH450_01100_SEQ_03<tab>Vous avez trouvé <var 33 ((EventItem)) 03F61E87490202 /var> qu'il vous faut. Apportez ça et <var 33 ((EventItem)) 03F61E87480202 /var>, que vous a remis<var 08 ((<var 28 ((EventItem)) F61E874807 /var>)) ((e)) (()) /var> Alka Zolka, à Redolent Rose.","","False","0x00000003","",""
"","TEXT_JOBSCH450_01100_SEQ_04<tab>Redolent Rose works feverishly to render the ancient designs into modern creations. Alas, his skill is insufficient to produce more than the culottes; the other pieces will require the skills of a master goldsmith and leatherworker. Realizing that you were not aware of this fact, Redolent Rose offers to contact Mistresses Serendipity and Geva of the Goldsmiths' and Leatherworkers' Guilds on your behalf, so that you need only visit each guild and present the items to receive their help.","TEXT_JOBSCH450_01100_SEQ_04<tab>Redolent Rose a fait appel à tout son talent pour con<var 16 /var>fec<var 16 /var>tion<var 16 /var>ner vos habits nymiens. Ils ne sont toutefois pas com<var 16 /var>plè<var 16 /var>te<var 16 /var>ment terminés. Remettez <var 33 ((EventItem)) 03F61E88440202 /var> qu'il vous a donné<var 08 ((<var 28 ((EventItem)) F61E884407 /var>)) ((e)) (()) /var> à Serendipity, à la guilde des orfèvres, pour qu'elle apporte sa touche au chapeau.","","False","0x00000004","",""
"","TEXT_JOBSCH450_01100_SEQ_05<tab>The ever-cheerful Serendipity requires but a moment to fashion a mythril tassel for your mortarboard. You can only hope that Geva will work with similar alacrity.","TEXT_JOBSCH450_01100_SEQ_05<tab>Votre mortier d'érudit<var 08 E905 ((e)) (()) /var> est fini. Au tour des gants, et pour cela vous devez aller à Gridania, à la guilde des tanneurs, et remettre <var 33 ((EventItem)) 03F61E88440202 /var> à maître Geva.","","False","0x00000005","",""
"","TEXT_JOBSCH450_01100_SEQ_06<tab>Geva effortlessly crafts a pair of fingerless gloves in accordance with Alka Zolka's designs. However, she has no intention of spoiling you further, and bids you speak with Beli, her subordinate, about the boots.","TEXT_JOBSCH450_01100_SEQ_06<tab>Vous possédez désormais une jolie paire de mitaines d'érudit<var 08 E905 ((e)) (()) /var> en cuir. Il ne vous manque plus qu'une paire de souliers, et qui de mieux pour ça que le cordonnier Beli<var 1D /var>? Montrez-lui <var 33 ((EventItem)) 03F61E88440202 /var> pour qu'il puisse se mettre à l'œuvre.","","False","0x00000006","",""
"","TEXT_JOBSCH450_01100_SEQ_07<tab>Beli relishes the opportunity to finish the famed Redolent Rose's work, wasting no time in constructing the leather boots. Now that the set is complete, all that remains is to show Alka Zolka what the craftsmen have wrought.","TEXT_JOBSCH450_01100_SEQ_07<tab>Votre panoplie d'érudit<var 08 E905 ((e)) (()) /var> est désormais complète. Il ne vous reste plus qu'à montrer à votre camarade de recherche, Alka Zolka, de quoi vous avez l'air avec. Nul doute qu'il doit faire les cent pas à la guilde des maraudeurs, à Limsa Lominsa, en vous attendant.","","False","0x00000007","",""
"","TEXT_JOBSCH450_01100_SEQ_08<tab>Alka Zolka is thrilled by the resemblance you bear to the Nymian scholars of eld. He is not alone in his excitement, as your faerie also appears to approve of your new raiments. Wear them with pride as you continue to pursue your studies.","TEXT_JOBSCH450_01100_SEQ_08<tab>Alka Zolka était im<var 16 /var>pres<var 16 /var>sion<var 16 /var>né en vous voyant vêtu<var 08 E905 ((e)) (()) /var> comme un<var 08 E905 ((e)) (()) /var> vrai<var 08 E905 ((e)) (()) /var> érudit<var 08 E905 ((e)) (()) /var> de la cité de Nym, ayant du mal à croire que les artisans d'Éorzéa aient réussi ce tour de force.","","False","0x00000008","",""
"","TEXT_JOBSCH450_01100_SEQ_09<tab>","TEXT_JOBSCH450_01100_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_JOBSCH450_01100_SEQ_10<tab>","TEXT_JOBSCH450_01100_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_JOBSCH450_01100_SEQ_11<tab>","TEXT_JOBSCH450_01100_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_JOBSCH450_01100_SEQ_12<tab>","TEXT_JOBSCH450_01100_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_JOBSCH450_01100_SEQ_13<tab>","TEXT_JOBSCH450_01100_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_JOBSCH450_01100_SEQ_14<tab>","TEXT_JOBSCH450_01100_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_JOBSCH450_01100_SEQ_15<tab>","TEXT_JOBSCH450_01100_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_JOBSCH450_01100_SEQ_16<tab>","TEXT_JOBSCH450_01100_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_JOBSCH450_01100_SEQ_17<tab>","TEXT_JOBSCH450_01100_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_JOBSCH450_01100_SEQ_18<tab>","TEXT_JOBSCH450_01100_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_JOBSCH450_01100_SEQ_19<tab>","TEXT_JOBSCH450_01100_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_JOBSCH450_01100_SEQ_20<tab>","TEXT_JOBSCH450_01100_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_JOBSCH450_01100_SEQ_21<tab>","TEXT_JOBSCH450_01100_SEQ_21<tab>","","False","0x00000015","",""
