"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANAMA003_01219_SEQ_00<tab>Hamujj Gah wishes to hurl you into the heart of enemy territory, as he would a spear.","TEXT_BANAMA003_01219_SEQ_00<tab>Hamujj Gah a de nouveau besoin de faire appel à vos services.","","False","0x00000000","",""
"","TEXT_BANAMA003_01219_SEQ_01<tab>The warleader has received a report from Loonh Gah describing a vicious assault perpetrated by the Flamefangs upon a Forgotten Springs hunting party. Rendezvous with Loonh Gah to the southwest of the Ring of Ash, and rescue the surviving U tribe Miqo'te.","TEXT_BANAMA003_01219_SEQ_01<tab>Les Crocs de Feu ont enlevé des Miqo'tes du hameau. Rejoignez Loonh Gah au sud-ouest du camp de la Ligue des cendres pour tenter une opération de sauvetage.","","False","0x00000001","",""
"","TEXT_BANAMA003_01219_SEQ_02<tab>Loonh Gah has devised a rescue plan that requires you to provide an explosive distraction. Mounted upon the Miqo'te warrior's cavalry drake, you are to use the creature's Fiery Breath to destroy the barrels of oil stockpiled about the Zanr'ak encampment.<br><br>※Speak with Loonh Gah southwest of the Ring of Ash to borrow her cavalry drake.","TEXT_BANAMA003_01219_SEQ_02<tab>Loonh Gah vous a expliqué votre plan d'attaque qui consiste à créer une diversion en faisant sauter <var 33 ((EObj)) 02F61E900C0202 /var> grâce au souffle brûlant de votre draconide. Pénétrez dans le camp sur la monture prêtée par la Miqo'te pour exécuter cette stratégie.<br>* Si vous descendez du draconide, parlez à Loonh Gah pour remonter dessus.","","False","0x00000002","",""
"","TEXT_BANAMA003_01219_SEQ_03<tab>You have destroyed the barrels of oil in a series of spectacular explosions. Make good your escape from the encampment, and rendezvous with Loonh Gah to the southeast.","TEXT_BANAMA003_01219_SEQ_03<tab>Vous avez réussi à faire exploser <var 33 ((EObj)) 03F61E900C0302 /var>. Retrouvez à présent Loonh Gah, au sud-est de Zanr'ak. ","","False","0x00000003","",""
"","TEXT_BANAMA003_01219_SEQ_04<tab>After charging you with seeing the rescued huntress safely home, Loonh Gah abruptly departs for the Ring of Ash. Speak with U'napa to offer her an escort.","TEXT_BANAMA003_01219_SEQ_04<tab>Loonh Gah vous a laissé<var 08 E905 ((e)) (()) /var>. À présent, parlez à U'napa, la Miqo'te enlevée.","","False","0x00000004","",""
"","TEXT_BANAMA003_01219_SEQ_05<tab>It appears that U'napa has more to tell you about “U'loonh.” Speak with the huntress in the settlement of Forgotten Springs.","TEXT_BANAMA003_01219_SEQ_05<tab>U'napa semble avoir quelque chose à vous dire. Allez la voir à l'Oasis oubliée. ","","False","0x00000005","",""
"","TEXT_BANAMA003_01219_SEQ_06<tab>U'napa seems convinced that Loonh Gah is the U'loonh she once knew─a Miqo'te who used to dwell in Forgotten Springs. Speak with huntresses around the settlement, and piece together what you can of the Brotherhood warrior's past.","TEXT_BANAMA003_01219_SEQ_06<tab>Vous avez appris que Loonh Gah est en fait une Miqo'te originaire de l'Oasis. Interrogez les Miqo'tes sur place pour en savoir plus sur elle.","","False","0x00000006","",""
"","TEXT_BANAMA003_01219_SEQ_07<tab>At your prompting, the rangers of Forgotten Springs reveal that U'loonh's tale is one of tragedy and loss. Return to the Ring of Ash and speak with Loonh Gah.","TEXT_BANAMA003_01219_SEQ_07<tab>Les Miqo'tes de l'Oasis vous ont raconté une histoire surprenante sur le passé de Loonh Gah. Retournez au camp de la Ligue des cendres pour y retrouver cette dernière.","","False","0x00000007","",""
"","TEXT_BANAMA003_01219_SEQ_08<tab>Loonh Gah brusquely explains her decision to become a Brotherhood warrior, and spurns any sympathy at the loss of her Miqo'te heritage. Seemingly unwilling to discuss the subject further, she orders you to make your report to Hamujj Gah.","TEXT_BANAMA003_01219_SEQ_08<tab>Vous avez discuté avec Loonh Gah de son passé. Retournez voir Hamujj Gah.","","False","0x00000008","",""
"","TEXT_BANAMA003_01219_SEQ_09<tab>Hamujj Gah praises your efforts in rescuing the Miqo'te huntress from a nightmarish fate at the hands of the Flamefangs. Restating the warrior creed of the Brotherhood of Ash, the warleader bids you join his soldiers in the traditional Amalj'aa pursuit of honorable strength.","TEXT_BANAMA003_01219_SEQ_09<tab>Vous avez pu sauver la Miqo'te, mais les Crocs de Feu ne manqueront pas de frapper de nouveau à l'avenir. Continuez votre combat aux côtés de la Ligue des cendres.","","False","0x00000009","",""
"","TEXT_BANAMA003_01219_SEQ_10<tab>","TEXT_BANAMA003_01219_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_BANAMA003_01219_SEQ_11<tab>","TEXT_BANAMA003_01219_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_BANAMA003_01219_SEQ_12<tab>","TEXT_BANAMA003_01219_SEQ_12<tab>","","False","0x0000000C","",""
