"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANAMA303_01244_SEQ_00<tab>Yadovv Gah seeks to deprive his god-coddled kin of their undeserved might.","TEXT_BANAMA303_01244_SEQ_00<tab>Im Ring der Asche hat Yadovv Gah eine gefährliche Aufgabe für dich.","","False","0x00000000","",""
"","TEXT_BANAMA303_01244_SEQ_01<tab>Yadovv Gah fears that the Brotherhood will soon face the Ifrit-blessed spears of the enemy in the field. Steal into Zahar'ak and seize the deadly weapons before they are distributed to the frontline soldiers.","TEXT_BANAMA303_01244_SEQ_01<tab>Yadovv Gah hat dich gebeten, in Ifrits Feuer gehärtete Waffen aus Zahar'ak zu besorgen. Bringe fünf <var 32 ((EObj)) 06F61E9050030502 /var> in deinen Besitz!","","False","0x00000001","",""
"","TEXT_BANAMA303_01244_SEQ_02<tab>You have taken possession of the tempered weapons. Return to the Ring of Ash, and deliver them to Yadovv Gah.","TEXT_BANAMA303_01244_SEQ_02<tab>Du hast <var 32 ((EventItem)) 03F51E89030502 /var> erobert. Bringe sie zu Yadovv Gah im Ring der Asche.","","False","0x00000002","",""
"","TEXT_BANAMA303_01244_SEQ_03<tab>You have safely delivered the inferno-imbued weapons into the waiting hands of Yadovv Gah. Derisive of his weakling kin's failure to resist the temptation of Ifrit's might, the Brotherhood warrior quickly seeks to dispose of the enchanted arms.","TEXT_BANAMA303_01244_SEQ_03<tab>Yadovv Gah hat bestätigt, dass die von dir sichergestellten Waffen in Ifrits Feuer gehärtet wurden, wodurch ihnen göttliche Macht innewohnt. Er verachtet die feindlichen Amalj'aa dafür, dass sie auf göttliche Hilfe anstatt auf ihre eigene Stärke vertrauen.","","False","0x00000003","",""
"","TEXT_BANAMA303_01244_SEQ_04<tab>","TEXT_BANAMA303_01244_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_BANAMA303_01244_SEQ_05<tab>","TEXT_BANAMA303_01244_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_BANAMA303_01244_SEQ_06<tab>","TEXT_BANAMA303_01244_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANAMA303_01244_SEQ_07<tab>","TEXT_BANAMA303_01244_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANAMA303_01244_SEQ_08<tab>","TEXT_BANAMA303_01244_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANAMA303_01244_SEQ_09<tab>","TEXT_BANAMA303_01244_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_BANAMA303_01244_SEQ_10<tab>","TEXT_BANAMA303_01244_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_BANAMA303_01244_SEQ_11<tab>","TEXT_BANAMA303_01244_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_BANAMA303_01244_SEQ_12<tab>","TEXT_BANAMA303_01244_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_BANAMA303_01244_SEQ_13<tab>","TEXT_BANAMA303_01244_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_BANAMA303_01244_SEQ_14<tab>","TEXT_BANAMA303_01244_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_BANAMA303_01244_SEQ_15<tab>","TEXT_BANAMA303_01244_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_BANAMA303_01244_SEQ_16<tab>","TEXT_BANAMA303_01244_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_BANAMA303_01244_SEQ_17<tab>","TEXT_BANAMA303_01244_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_BANAMA303_01244_SEQ_18<tab>","TEXT_BANAMA303_01244_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_BANAMA303_01244_SEQ_19<tab>","TEXT_BANAMA303_01244_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_BANAMA303_01244_SEQ_20<tab>","TEXT_BANAMA303_01244_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_BANAMA303_01244_SEQ_21<tab>","TEXT_BANAMA303_01244_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_BANAMA303_01244_SEQ_22<tab>","TEXT_BANAMA303_01244_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_BANAMA303_01244_SEQ_23<tab>","TEXT_BANAMA303_01244_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_BANAMA303_01244_TODO_00<tab>Steal tempered arms from Zahar'ak.","TEXT_BANAMA303_01244_TODO_00<tab>In Zahar'ak <var 32 ((EObj)) 03F61E9050030502 /var> erobern","","False","0x00000018","",""
"","TEXT_BANAMA303_01244_TODO_01<tab>Deliver the tempered arms to Yadovv Gah.","TEXT_BANAMA303_01244_TODO_01<tab>Yadovv Gah <var 32 ((EventItem)) 03F51E89030502 /var> bringen","","False","0x00000019","",""
"","TEXT_BANAMA303_01244_TODO_02<tab>","TEXT_BANAMA303_01244_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_BANAMA303_01244_TODO_03<tab>","TEXT_BANAMA303_01244_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_BANAMA303_01244_TODO_04<tab>","TEXT_BANAMA303_01244_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_BANAMA303_01244_TODO_05<tab>","TEXT_BANAMA303_01244_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_BANAMA303_01244_TODO_06<tab>","TEXT_BANAMA303_01244_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_BANAMA303_01244_TODO_07<tab>","TEXT_BANAMA303_01244_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_BANAMA303_01244_TODO_08<tab>","TEXT_BANAMA303_01244_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_BANAMA303_01244_TODO_09<tab>","TEXT_BANAMA303_01244_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_BANAMA303_01244_TODO_10<tab>","TEXT_BANAMA303_01244_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_BANAMA303_01244_TODO_11<tab>","TEXT_BANAMA303_01244_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_BANAMA303_01244_TODO_12<tab>","TEXT_BANAMA303_01244_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_BANAMA303_01244_TODO_13<tab>","TEXT_BANAMA303_01244_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_BANAMA303_01244_TODO_14<tab>","TEXT_BANAMA303_01244_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_BANAMA303_01244_TODO_15<tab>","TEXT_BANAMA303_01244_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_BANAMA303_01244_TODO_16<tab>","TEXT_BANAMA303_01244_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_BANAMA303_01244_TODO_17<tab>","TEXT_BANAMA303_01244_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_BANAMA303_01244_TODO_18<tab>","TEXT_BANAMA303_01244_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_BANAMA303_01244_TODO_19<tab>","TEXT_BANAMA303_01244_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_BANAMA303_01244_TODO_20<tab>","TEXT_BANAMA303_01244_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_BANAMA303_01244_TODO_21<tab>","TEXT_BANAMA303_01244_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_BANAMA303_01244_TODO_22<tab>","TEXT_BANAMA303_01244_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_BANAMA303_01244_TODO_23<tab>","TEXT_BANAMA303_01244_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_BANAMA303_01244_YADOVVGAH_000_000<tab>Honored ally, our sniveling, god-coddled enemy once more seeks to wield a strength they have not earned!","TEXT_BANAMA303_01244_YADOVVGAH_000_000<tab><var 08 E905 ((Abenteurerin)) ((Abenteurer)) /var>, hilf mir dabei, jene Schwächlinge zu strafen, die sich auf ihren Gott verlassen, anstatt ihren eigenen Geist und ihren Körper zu stählen!","","False","0x00000030","",""
"","TEXT_BANAMA303_01244_YADOVVGAH_000_001<tab>The “sacred flame” they shelter harbors the might of Ifrit, and any weapon infused with its blessing becomes a force of infernal destruction.","TEXT_BANAMA303_01244_YADOVVGAH_000_001<tab>Sie haben heilige Flammen entzündet, in denen Ifrits Kraft lodert. Darin härten sie Waffen, die ihnen unverdiente Kraft gewähren.","","False","0x00000031","",""
"","TEXT_BANAMA303_01244_YADOVVGAH_000_002<tab>Should these inferno-imbued arms find their way into the hands of the common soldiery, we will be hard-pressed to meet their blows with simple steel.","TEXT_BANAMA303_01244_YADOVVGAH_000_002<tab>Mit diesen heiligen Waffen stellen selbst ihre schwächsten Krieger eine ernste Gefahr dar. Wenn wir die Verbreitung der Waffen nicht stoppen, könnten sie damit die Bruderschaft der Asche auslöschen.","","False","0x00000032","",""
"","TEXT_BANAMA303_01244_YADOVVGAH_000_003<tab>Our scouts report that a batch of such weapons was recently transported to the front lines and left all but unattended. Why do they not wield them? Do they squabble over which weakling is the more deserving? I know not.","TEXT_BANAMA303_01244_YADOVVGAH_000_003<tab>Die Waffen werden mitten in ihrem Lager aufbewahrt und stark bewacht, doch dich werden sie nicht aufhalten können!","","False","0x00000033","",""
"","TEXT_BANAMA303_01244_YADOVVGAH_000_004<tab>I know only that the fates have awarded us the chance to seize a potential threat by the throat. You need only steal into Zahar'ak, and snatch the weapons from under their bickering snouts!","TEXT_BANAMA303_01244_YADOVVGAH_000_004<tab>Dringe nach Zahar'ak vor und erobere <var 32 ((EventItem)) 03F51E89030502 /var>!","","False","0x00000034","",""
"","TEXT_BANAMA303_01244_YADOVVGAH_000_010<tab>The flame-infused weapons are being held deep within Zahar'ak. Though bloodshed will likely be unavoidable, do not be distracted from your true purpose!","TEXT_BANAMA303_01244_YADOVVGAH_000_010<tab><var 08 E905 ((Ehrenwerte Abenteurerin)) ((Ehrenwerter Abenteurer)) /var>, ich bitte dich: Dringe in das feindliche Lager in Zahar'ak ein und erobere <var 32 ((EventItem)) 03F51E89030502 /var>!","","False","0x00000035","",""
"","TEXT_BANAMA303_01244_YADOVVGAH_000_020<tab>Have you carried out the task with which you were entrusted? The weapons, honored ally, do you have the weapons?","TEXT_BANAMA303_01244_YADOVVGAH_000_020<tab>Willkommen zurück! Sprich, konntest du unseren Feinden die unsäglichen Waffen entreißen?","","False","0x00000036","",""
"","TEXT_BANAMA303_01244_YADOVVGAH_000_021<tab>So, this is how it feels to hold the heat of Ifrit in one's hand...","TEXT_BANAMA303_01244_YADOVVGAH_000_021<tab>Oh ja, ich kann die göttliche Kraft, die in diesen Waffen steckt, spüren. Sie wurden zweifellos in Ifrits Feuer gehärtet.","","False","0x00000037","",""
"","TEXT_BANAMA303_01244_YADOVVGAH_000_022<tab>Hmph. My kin are weak to yield to such temptation. I will see these abominations destroyed at once.","TEXT_BANAMA303_01244_YADOVVGAH_000_022<tab>Es ist ein Zeichen von Schwäche, dass unsere Feinde auf solche Waffen vertrauen und uns nicht mit eigener Stärke gegenübertreten. Doch dank dir bleibt ihnen nun keine Wahl mehr, und wenn wir aufeinander treffen, werden wir sie zerschmettern!","","False","0x00000038","",""
