"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANSYL102_01258_SEQ_00<tab>Tonaxia is beside herself in giggling glee.","TEXT_BANSYL102_01258_SEQ_00<tab>Tonaxia is beside herself in giggling glee.","","False","0x00000000","",""
"","TEXT_BANSYL102_01258_SEQ_01<tab>Despite her attempts to play innocent, it is evident that Tonaxia is in need of ingredients for her latest prank. Strike out for Larkscall; slay a morbol, an old-growth treant, and two molted ziz; and harvest the malodorous items she seeks─a phial of morbol bile, a rotting acorn, and two phials of ziz venom, respectively.","TEXT_BANSYL102_01258_SEQ_01<tab>Despite her attempts to play innocent, it is evident that Tonaxia is in need of ingredients for her latest prank. Strike out for Larkscall; slay a morbol, an old-growth treant, and two molted ziz; and harvest the malodorous items she seeks─a phial of morbol bile, a rotting acorn, and two phials of ziz venom, respectively.","","False","0x00000001","",""
"","TEXT_BANSYL102_01258_SEQ_02<tab>The unpleasant creatures are no more, and their unpleasant remains are yours. Deliver the aforementioned goods to Tonaxia.","TEXT_BANSYL102_01258_SEQ_02<tab>The unpleasant creatures are no more, and their unpleasant remains are yours. Deliver the aforementioned goods to Tonaxia.","","False","0x00000002","",""
"","TEXT_BANSYL102_01258_SEQ_03<tab>Tonaxia is pleased to receive the items she requested, and promises that you will not be the victim of her foul-smelling plot─provided, of course, you continue to do her bidding.","TEXT_BANSYL102_01258_SEQ_03<tab>Tonaxia is pleased to receive the items she requested, and promises that you will not be the victim of her foul-smelling plot─provided, of course, you continue to do her bidding.","","False","0x00000003","",""
"","TEXT_BANSYL102_01258_SEQ_04<tab>","TEXT_BANSYL102_01258_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_BANSYL102_01258_SEQ_05<tab>","TEXT_BANSYL102_01258_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_BANSYL102_01258_SEQ_06<tab>","TEXT_BANSYL102_01258_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANSYL102_01258_SEQ_07<tab>","TEXT_BANSYL102_01258_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANSYL102_01258_SEQ_08<tab>","TEXT_BANSYL102_01258_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANSYL102_01258_SEQ_09<tab>","TEXT_BANSYL102_01258_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_BANSYL102_01258_SEQ_10<tab>","TEXT_BANSYL102_01258_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_BANSYL102_01258_SEQ_11<tab>","TEXT_BANSYL102_01258_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_BANSYL102_01258_SEQ_12<tab>","TEXT_BANSYL102_01258_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_BANSYL102_01258_SEQ_13<tab>","TEXT_BANSYL102_01258_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_BANSYL102_01258_SEQ_14<tab>","TEXT_BANSYL102_01258_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_BANSYL102_01258_SEQ_15<tab>","TEXT_BANSYL102_01258_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_BANSYL102_01258_SEQ_16<tab>","TEXT_BANSYL102_01258_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_BANSYL102_01258_SEQ_17<tab>","TEXT_BANSYL102_01258_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_BANSYL102_01258_SEQ_18<tab>","TEXT_BANSYL102_01258_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_BANSYL102_01258_SEQ_19<tab>","TEXT_BANSYL102_01258_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_BANSYL102_01258_SEQ_20<tab>","TEXT_BANSYL102_01258_SEQ_20<tab>","","False","0x00000014","",""
