"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANSYL307_01283_SEQ_00<tab>Moxia fears for the safety of the little ones.","TEXT_BANSYL307_01283_SEQ_00<tab>Moxia s'inquiète de l'avenir des bébés sylphes.","","False","0x00000000","",""
"","TEXT_BANSYL307_01283_SEQ_01<tab>Moxia explains to you how newborn sylphs sprout forth from “podlings,” which are bulb-like objects that must be incubated deep in the heart of the Sylphlands. With touched sylphs ever looking to steal away podlings to add to their numbers, Moxia would ask your aid in delivering a ready-to-sprout podling back to the safety of Little Solace. Travel to the Seedbed and take the podling in hand.","TEXT_BANSYL307_01283_SEQ_01<tab>Moxia ne veut pas que les Dénaturés se chargent de l'éducation des enfants sylphes. Il veut donc que vous alliez chercher <var 33 ((EObj)) 02F61E915C0202 /var> au Berceau pour la rapporter à des amis à lui qui se trouvent au nord des Terres sylphes.","","False","0x00000001","",""
"","TEXT_BANSYL307_01283_SEQ_02<tab>You have successfully retrieved the podling. Deliver it to the specified location, where two sylphs of Little Solace await.<br><br>※To bolster your strength while carrying the podling, interact with the patches of moongrass that you find along the way.","TEXT_BANSYL307_01283_SEQ_02<tab>Vous avez trouvé <var 33 ((EObj)) 02F61E915C0202 /var>. Il vous faut la transporter à l'endroit indiqué.<br>* La cosse est lourde et vous serez obligé<var 08 E905 ((e)) (()) /var> de la poser après un certain temps. Vous pouvez retrouver des forces en effleurant <var 33 ((EObj)) 02F61E91BD0202 /var>.","","False","0x00000002","",""
"","TEXT_BANSYL307_01283_SEQ_03<tab>You have safely navigated the most dangerous depths of the Sylphlands and delivered the podling to the waiting hands of the sylphs. Inform Moxia that the little one is safe.","TEXT_BANSYL307_01283_SEQ_03<tab>Vous avez placé la cosse à l'endroit indiqué, à la grande joie des amis de Moxia. Vous pouvez retourner faire votre rapport à celui-ci, au Refuge.","","False","0x00000003","",""
"","TEXT_BANSYL307_01283_SEQ_04<tab>Moxia joyously informs you that a healthy little one has sprouted forth from the podling you helped deliver to safety, leading to much rejoicing among the sylphs of Little Solace. She fears, however, that the touched sylphs will not cease their attempt to rob the Seedbed, and asks that you lend your aid again.","TEXT_BANSYL307_01283_SEQ_04<tab>La cosse a été transportée saine et sauve au Refuge. Vos efforts ont permis à un enfant sylphe de prétendre à un meilleur avenir, loin de la folie des Dénaturés.","","False","0x00000004","",""
"","TEXT_BANSYL307_01283_SEQ_05<tab>","TEXT_BANSYL307_01283_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_BANSYL307_01283_SEQ_06<tab>","TEXT_BANSYL307_01283_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANSYL307_01283_SEQ_07<tab>","TEXT_BANSYL307_01283_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANSYL307_01283_SEQ_08<tab>","TEXT_BANSYL307_01283_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANSYL307_01283_SEQ_09<tab>","TEXT_BANSYL307_01283_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_BANSYL307_01283_SEQ_10<tab>","TEXT_BANSYL307_01283_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_BANSYL307_01283_SEQ_11<tab>","TEXT_BANSYL307_01283_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_BANSYL307_01283_SEQ_12<tab>","TEXT_BANSYL307_01283_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_BANSYL307_01283_SEQ_13<tab>","TEXT_BANSYL307_01283_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_BANSYL307_01283_SEQ_14<tab>","TEXT_BANSYL307_01283_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_BANSYL307_01283_SEQ_15<tab>","TEXT_BANSYL307_01283_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_BANSYL307_01283_SEQ_16<tab>","TEXT_BANSYL307_01283_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_BANSYL307_01283_SEQ_17<tab>","TEXT_BANSYL307_01283_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_BANSYL307_01283_SEQ_18<tab>","TEXT_BANSYL307_01283_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_BANSYL307_01283_SEQ_19<tab>","TEXT_BANSYL307_01283_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_BANSYL307_01283_SEQ_20<tab>","TEXT_BANSYL307_01283_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_BANSYL307_01283_SEQ_21<tab>","TEXT_BANSYL307_01283_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_BANSYL307_01283_SEQ_22<tab>","TEXT_BANSYL307_01283_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_BANSYL307_01283_SEQ_23<tab>","TEXT_BANSYL307_01283_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_BANSYL307_01283_TODO_00<tab>Pick up the podling from the Seedbed.","TEXT_BANSYL307_01283_TODO_00<tab>Soulever <var 33 ((EObj)) 02F61E915C0202 /var> du Berceau","","False","0x00000018","",""
"","TEXT_BANSYL307_01283_TODO_01<tab>Carry the podling to the specified location.","TEXT_BANSYL307_01283_TODO_01<tab>Placer <var 33 ((EObj)) 03F61E915C0202 /var> à l'endroit indiqué","","False","0x00000019","",""
