"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_FESNYR001_01292_SEQ_00<tab>The season of Heavensturn has come, and Damaris would tell you of a madcap visitor.<br>※This quest is available for a limited time only.","TEXT_FESNYR001_01292_SEQ_00<tab>※本クエストは、期間限定のクエストとなります。<br><br>グリダニアのダマリスは、冒険者に降神祭の催しを紹介したいようだ。","","False","0x00000000","",""
"","TEXT_FESNYR001_01292_SEQ_01<tab>Damaris informs you that Heavensturn celebrates the changing of the guard among the Twelve─as if any Eorzean of your age would not know such a thing! The conversation was not without profit, however. Enter Mih Khetto's Amphitheatre and receive a souvenir from a certain uma bugyo from the Far East.<br><br>※Please note that you will be unable to complete this quest after the seasonal event has ended. For details, please check the Lodestone.","TEXT_FESNYR001_01292_SEQ_01<tab>※本クエストは、シーズナルイベント開催中にかぎり、<br>　受注、進行できます。<br>　開催期間終了後は進行できませんので、ご注意ください。<br>　期間等の詳細についてはLodestoneをご覧ください。<br><br>「降神祭」は新たな主神の選定を祝う祭典なのだと、ダマリスから教えられた。ミィ・ケット野外音楽堂に入り、東方からきた「馬奉行」と話して、記念品をもらおう。","","False","0x00000001","",""
"","TEXT_FESNYR001_01292_SEQ_02<tab>You learn that the Easterlings choose a totemic animal for every Heavensturn, and this turn is presided over by something they call the “horse.” A land almost beyond imagining is the East, where mounts <var 1A 02 /var>neigh<var 1A 01 /var>, not <var 1A 02 /var>kweh<var 1A 01 /var>. The uma bugyo presents you with a horse helm and bids you show the good folk of Gridania, Limsa Lominsa, and Ul'dah the spirit of this animal. No opportunity for professional development is unwelcome to the intrepid adventurer. Embrace your inner horse, or die in the attempt.","TEXT_FESNYR001_01292_SEQ_02<tab>東方の遠国では降神祭ごとに象徴となる動物を選ぶらしい。馬奉行から、今回の象徴である「馬」を模した飾り兜を贈呈された。その兜を被り、グリダニア、リムサ・ロミンサ、ウルダハでの宣伝活動を手伝ってほしいのだという。冒険者は馬になりきり、宣伝を成功させることができるのだろうか……？","","False","0x00000002","",""
"","TEXT_FESNYR001_01292_SEQ_03<tab>","TEXT_FESNYR001_01292_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_FESNYR001_01292_SEQ_04<tab>","TEXT_FESNYR001_01292_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_FESNYR001_01292_SEQ_05<tab>","TEXT_FESNYR001_01292_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_FESNYR001_01292_SEQ_06<tab>","TEXT_FESNYR001_01292_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_FESNYR001_01292_SEQ_07<tab>","TEXT_FESNYR001_01292_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_FESNYR001_01292_SEQ_08<tab>","TEXT_FESNYR001_01292_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_FESNYR001_01292_SEQ_09<tab>","TEXT_FESNYR001_01292_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_FESNYR001_01292_SEQ_10<tab>","TEXT_FESNYR001_01292_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_FESNYR001_01292_SEQ_11<tab>","TEXT_FESNYR001_01292_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_FESNYR001_01292_SEQ_12<tab>","TEXT_FESNYR001_01292_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_FESNYR001_01292_SEQ_13<tab>","TEXT_FESNYR001_01292_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_FESNYR001_01292_SEQ_14<tab>","TEXT_FESNYR001_01292_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_FESNYR001_01292_SEQ_15<tab>","TEXT_FESNYR001_01292_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_FESNYR001_01292_SEQ_16<tab>","TEXT_FESNYR001_01292_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_FESNYR001_01292_SEQ_17<tab>","TEXT_FESNYR001_01292_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_FESNYR001_01292_SEQ_18<tab>","TEXT_FESNYR001_01292_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_FESNYR001_01292_SEQ_19<tab>","TEXT_FESNYR001_01292_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_FESNYR001_01292_SEQ_20<tab>","TEXT_FESNYR001_01292_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_FESNYR001_01292_SEQ_21<tab>","TEXT_FESNYR001_01292_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_FESNYR001_01292_SEQ_22<tab>","TEXT_FESNYR001_01292_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_FESNYR001_01292_SEQ_23<tab>","TEXT_FESNYR001_01292_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_FESNYR001_01292_TODO_00<tab>Speak with the uma bugyo.","TEXT_FESNYR001_01292_TODO_00<tab>馬奉行と話す","","False","0x00000018","",""
"","TEXT_FESNYR001_01292_TODO_01<tab>","TEXT_FESNYR001_01292_TODO_01<tab>","","False","0x00000019","",""
"","TEXT_FESNYR001_01292_TODO_02<tab>","TEXT_FESNYR001_01292_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_FESNYR001_01292_TODO_03<tab>","TEXT_FESNYR001_01292_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_FESNYR001_01292_TODO_04<tab>","TEXT_FESNYR001_01292_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_FESNYR001_01292_TODO_05<tab>","TEXT_FESNYR001_01292_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_FESNYR001_01292_TODO_06<tab>","TEXT_FESNYR001_01292_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_FESNYR001_01292_TODO_07<tab>","TEXT_FESNYR001_01292_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_FESNYR001_01292_TODO_08<tab>","TEXT_FESNYR001_01292_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_FESNYR001_01292_TODO_09<tab>","TEXT_FESNYR001_01292_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_FESNYR001_01292_TODO_10<tab>","TEXT_FESNYR001_01292_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_FESNYR001_01292_TODO_11<tab>","TEXT_FESNYR001_01292_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_FESNYR001_01292_TODO_12<tab>","TEXT_FESNYR001_01292_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_FESNYR001_01292_TODO_13<tab>","TEXT_FESNYR001_01292_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_FESNYR001_01292_TODO_14<tab>","TEXT_FESNYR001_01292_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_FESNYR001_01292_TODO_15<tab>","TEXT_FESNYR001_01292_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_FESNYR001_01292_TODO_16<tab>","TEXT_FESNYR001_01292_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_FESNYR001_01292_TODO_17<tab>","TEXT_FESNYR001_01292_TODO_17<tab>","","False","0x00000029","",""
