"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_SUBCTS802_01211_SEQ_00<tab>H'loonh would entice you with the prospect of untold riches.","TEXT_SUBCTS802_01211_SEQ_00<tab>H'loonh a les yeux qui brillent et le sourire aux lèvres, comme si elle avait une fabuleuse histoire de chasse aux trésors à partager avec quelqu'un.","","False","0x00000000","",""
"","TEXT_SUBCTS802_01211_SEQ_01<tab>H'loonh regales you with a tale of buried treasure, as recounted to her by a half-wit drunkard at the local alehouse. With hopes high, set off in pursuit of her eminently reliable informant, said to be visiting a miner acquaintance in Raincatcher Gully.","TEXT_SUBCTS802_01211_SEQ_01<tab>Un ivrogne a vanté les mérites de la chasse aux trésors à H'loonh, et cette dernière, pensant que cette histoire pourrait intéresser des gens aussi bourlingueurs que les aventuriers, a décidé de vous en parler. Elle vous a indiqué que l'étrange personnage était parti pour le quai de la ravine des Cueillepluies afin d'y rencontrer un ami mineur. Allez là-bas pour obtenir plus de détails sur cette mystérieuse activité.","","False","0x00000001","",""
"","TEXT_SUBCTS802_01211_SEQ_02<tab>The miner puts little stock in the tall tales of his drinking companion, strongly advising you against chasing after apocryphal fortunes. Should you choose to ignore his warning, you may find the would-be treasure hunter Ealdwine where X marks the spot to the southeast of Camp Bronze Lake.","TEXT_SUBCTS802_01211_SEQ_02<tab>Le mineur acharné que vous avez rencontré au quai de la ravine des Cueillepluies vous a dit que la personne que vous recherchez, et qui répond au nom d'Ealdwine, s'en est allée, avec une vieille carte en main et l'air excité, vers un endroit au sud-est du camp du lac d'Airain. Saurez-vous retrouver cet excentrique<var 1D /var>?","","False","0x00000002","",""
"","TEXT_SUBCTS802_01211_SEQ_03<tab>Self-styled treasure hunter Ealdwine reeks heavily of his namesake and has likely not seen a bath in several moons. He invites you─for better or for worse─to open, in his stead, an unearthed casket, which he absolutely, positively, beyond-a-shadow-of-a-doubt assures you is not trapped.","TEXT_SUBCTS802_01211_SEQ_03<tab>Vous avez réussi à rejoindre Ealdwine, et qui plus est, alors même qu'il a découvert un coffre<var 1D /var>! Heureux de voir en vous une personne s'intéressant à son <var 1A 02 /var>métier<var 1A 01 /var> de chasseur de trésors, il vous fait l'honneur d'ouvrir le mystérieux réceptacle... tout en vous assurant qu'il n'y a aucun piège.","","False","0x00000003","",""
"","TEXT_SUBCTS802_01211_SEQ_04<tab>In an entirely unexpected turn of events, the chest was indeed trapped. Having dispatched the nasty critters lured to the scene, you are free to inspect the chest once more and retrieve its contents.","TEXT_SUBCTS802_01211_SEQ_04<tab>... Ce qui s'est révélé faux. À peine avez-vous examiné la serrure du coffre que des monstres féroces ont surgi et vous ont attaqué<var 08 E905 ((e)) (()) /var>. Heu<var 16 /var>reu<var 16 /var>se<var 16 /var>ment, ils n'étaient pas de taille face à un<var 08 E905 ((e)) (()) /var> aventuri<var 08 E905 ((ère)) ((er)) /var> chevronné<var 08 E905 ((e)) (()) /var> comme vous. Cette menace étant écartée, voyez maintenant ce que contenait cette <var 1A 02 /var>boîte à surprise<var 1A 01 /var>.","","False","0x00000004","",""
"","TEXT_SUBCTS802_01211_SEQ_05<tab>You have retrieved the treasure─if one could call it that─from the casket. Deliver the tattered coinpurse and bottle you found to Ealdwine, and let him know that the rewards were hardly worth the effort.","TEXT_SUBCTS802_01211_SEQ_05<tab>Vous avez trouvé <var 33 ((EventItem)) 02F61E88FD0202 /var> et <var 33 ((EventItem)) 02F61E88EA0202 /var> dans le coffre. Apportez-les à Ealdwine pour qu'il en détermine la valeur.","","False","0x00000005","",""
"","TEXT_SUBCTS802_01211_SEQ_06<tab>Showing considerably more concern for his own coinpurse than your ordeal, Ealdwine nevertheless encourages you to join him in the hunt for treasure, imparting to you the skill of map-reading to serve this end. Notwithstanding the liable nature of your mentor, who is to say what treasures lie hidden across the realm? With your newfound knowledge, strike forth in search of riches and glory.","TEXT_SUBCTS802_01211_SEQ_06<tab>L'étrange chasseur de trésors vous a assuré qu'il n'avait aucune idée que le coffre était piégé, et vous a même juré qu'il aurait préféré rosser lui-même les vilaines bêtes qui vous ont attaqué<var 08 E905 ((e)) (()) /var>. Pour s'excuser, il a décidé de vous enseigner “Déchiffrage”, sa technique pour décoder les cartes aux trésors, et “Excavation”, celle qui lui permet de les déterrer, vous permettant ainsi de marcher dans ses pas... avec plus de succès que lui, espérons-le.","","False","0x00000006","",""
"","TEXT_SUBCTS802_01211_SEQ_07<tab>","TEXT_SUBCTS802_01211_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_SUBCTS802_01211_SEQ_08<tab>","TEXT_SUBCTS802_01211_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_SUBCTS802_01211_SEQ_09<tab>","TEXT_SUBCTS802_01211_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_SUBCTS802_01211_SEQ_10<tab>","TEXT_SUBCTS802_01211_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_SUBCTS802_01211_SEQ_11<tab>","TEXT_SUBCTS802_01211_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_SUBCTS802_01211_SEQ_12<tab>","TEXT_SUBCTS802_01211_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_SUBCTS802_01211_SEQ_13<tab>","TEXT_SUBCTS802_01211_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_SUBCTS802_01211_SEQ_14<tab>","TEXT_SUBCTS802_01211_SEQ_14<tab>","","False","0x0000000E","",""
