"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_SUBSEA158_01291_SEQ_00<tab>Skribyld requires assistance with an ongoing investigation.","TEXT_SUBSEA158_01291_SEQ_00<tab>Skribyld a besoin de quelqu'un pour mener une enquête.","","False","0x00000000","",""
"","TEXT_SUBSEA158_01291_SEQ_01<tab>Skribyld explains to you the growing threat of coeurls still roaming the lands around Aleport. Fearful for the local populace, Skribyld feels there is no other choice but to exterminate the remaining coeurls. You are to head to Skull Valley and carry out this grievous task.","TEXT_SUBSEA158_01291_SEQ_01<tab>Skribyld vous a expliqué que les coeurls errent toujours autour de Port-aux-Ales. Craignant pour la sécurité des autochtones, il pense qu'il va falloir exterminer ces créatures. Rendez-vous dans la vallée du Crâne pour effectuer cette triste tâche.","","False","0x00000001","",""
"","TEXT_SUBSEA158_01291_SEQ_02<tab>You locate a coeurl, but find she has been slain by a pack of jackals, leaving behind a defenseless newborn. As you ponder what is to be done with the kitten, you are set upon by a pair of the grisly jackals. You defeat them with your usual flourish, but the question of how to care for the baby coeurl remains. Approach him with gentleness to see what comfort you might provide.","TEXT_SUBSEA158_01291_SEQ_02<tab>Vous avez trouvé une femelle coeurl tuée par une meute de chacals. Elle laisse derrière elle un petit sans défense. Alors que vous vous demandez ce que vous allez bien pouvoir faire du félin, deux chacals s'en prennent à vous. Vous les terrassez sans effort, mais l'avenir du petit reste en suspens. Approchez-vous doucement pour voir si vous pouvez l'aider.","","False","0x00000002","",""
"","TEXT_SUBSEA158_01291_SEQ_03<tab>To your surprise, the baby coeurl immediately warms to your presence. Take him back to Skribyld and report your findings.","TEXT_SUBSEA158_01291_SEQ_03<tab>Contre toute attente, le petit coeurl semble apprécier votre présence. Ramenez-le auprès de Skribyld.","","False","0x00000003","",""
"","TEXT_SUBSEA158_01291_SEQ_04<tab>Although relieved to hear the coeurls running rampant in Aleport are no more, Skribyld is saddened by the loss of life and the now orphaned baby coeurl. Rather than leave him to fend for himself in the wilderness, Skribyld insists that you look after him, that he may grow to become a friend to man.","TEXT_SUBSEA158_01291_SEQ_04<tab>Bien que ravi d'apprendre que les coeurls ne feront plus de mal à Port-aux-Ales, Skribyld est attristé du sort du félin orphelin. Ne voulant pas le laisser sans protection, Skribyld vous conjure de vous en occuper et de veiller à ce qu'il ne devienne jamais une menace pour l'homme.","","False","0x00000004","",""
"","TEXT_SUBSEA158_01291_SEQ_05<tab>","TEXT_SUBSEA158_01291_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_SUBSEA158_01291_SEQ_06<tab>","TEXT_SUBSEA158_01291_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_SUBSEA158_01291_SEQ_07<tab>","TEXT_SUBSEA158_01291_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_SUBSEA158_01291_SEQ_08<tab>","TEXT_SUBSEA158_01291_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_SUBSEA158_01291_SEQ_09<tab>","TEXT_SUBSEA158_01291_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_SUBSEA158_01291_SEQ_10<tab>","TEXT_SUBSEA158_01291_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_SUBSEA158_01291_SEQ_11<tab>","TEXT_SUBSEA158_01291_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_SUBSEA158_01291_SEQ_12<tab>","TEXT_SUBSEA158_01291_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_SUBSEA158_01291_SEQ_13<tab>","TEXT_SUBSEA158_01291_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_SUBSEA158_01291_SEQ_14<tab>","TEXT_SUBSEA158_01291_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_SUBSEA158_01291_SEQ_15<tab>","TEXT_SUBSEA158_01291_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_SUBSEA158_01291_SEQ_16<tab>","TEXT_SUBSEA158_01291_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_SUBSEA158_01291_SEQ_17<tab>","TEXT_SUBSEA158_01291_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_SUBSEA158_01291_SEQ_18<tab>","TEXT_SUBSEA158_01291_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_SUBSEA158_01291_SEQ_19<tab>","TEXT_SUBSEA158_01291_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_SUBSEA158_01291_SEQ_20<tab>","TEXT_SUBSEA158_01291_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_SUBSEA158_01291_SEQ_21<tab>","TEXT_SUBSEA158_01291_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_SUBSEA158_01291_SEQ_22<tab>","TEXT_SUBSEA158_01291_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_SUBSEA158_01291_SEQ_23<tab>","TEXT_SUBSEA158_01291_SEQ_23<tab>","","False","0x00000017","",""
