"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANKOB001_01320_SEQ_00<tab>Trachraet seeks an adventurer with superior sleuthing skills.","TEXT_BANKOB001_01320_SEQ_00<tab>Trachraet braucht deine Hilfe bei der Lösung eines kniffligen Falls.","","False","0x00000000","",""
"","TEXT_BANKOB001_01320_SEQ_01<tab>Lieutenant Trachraet reveals to you a troubling development: a Maelstrom convoy was recently intercepted, the unidentified perpetrators absconding with a vital shipment of saltpeter. He beseeches your aid, asking you to travel to Swiftperch in western La Noscea to assist Lieutenant Skaetswys, the officer tasked with leading the investigation.","TEXT_BANKOB001_01320_SEQ_01<tab>Ein Warentransport des Mahlstroms, der eine große Menge Salpeter geladen hatte, wurde überfallen. Von der Ladung fehlt bisher jede Spur, doch nicht mehr lange. Eile zur Tölpelturm-Siedlung und befrage Skaetswys zu diesem schändlichen Raub.","","False","0x00000001","",""
"","TEXT_BANKOB001_01320_SEQ_02<tab>Lieutenant Skaetswys is grateful for your assistance, as her subordinates have thus far not demonstrated much in the way of investigative skills. Search Swiftperch for the evidence which has thus far eluded her grasp.","TEXT_BANKOB001_01320_SEQ_02<tab>Skaetswys hat dich gebeten, bei den Nach<var 16 /var>for<var 16 /var>schungen zu helfen. Suche auf dem Gelände der Tölpelturm-Siedlung nach Hinweisen auf die Täter.","","False","0x00000002","",""
"","TEXT_BANKOB001_01320_SEQ_03<tab>A thorough scouring of Swiftperch has turned up a misshapen pickaxe of curious make. Could this be a tool left behind by the saltpeter thieves? Present it to Lieutenant Skaetswys in hopes that it sheds light on her inquiry.","TEXT_BANKOB001_01320_SEQ_03<tab>Du hast <var 32 ((EventItem)) 02F61E8950020502 /var> gefunden, die von einem der Räuber benutzt worden sein könnte. Bring das Beweisstück zu Skaetswys, die in der Tölpelturm-Siedlung auf dich wartet.","","False","0x00000003","",""
"","TEXT_BANKOB001_01320_SEQ_04<tab>Upon a close examination of the pick, Skaetswys is now convinced that the ambush of the convoy was carried out by a band of kobolds. Accompany Skaetswys to Camp Overlook and seek out Commander Bloeidin, whose vast knowledge of the tunnel-dwelling beastmen will prove vital in determining a proper course of action.","TEXT_BANKOB001_01320_SEQ_04<tab>Skaetswys hegt den Verdacht, dass der Raubüberfall von Kobolden verübt worden sein könnte. Du solltest jemanden befragen, der sich mit den kleinwüchsigen Höhlenbewohnern bestens auskennt. Da kommt nur einer in Frage: Bloeidin. Deine Reise führt dich nun also nach Camp Ausblick im äußeren La Noscea.","","False","0x00000004","",""
"","TEXT_BANKOB001_01320_SEQ_05<tab>Upon your arrival at Camp Overlook, a captive kobold under interrogation by Commander Bloeidin is quick to confess that a notorious order of his kin, the 789th, were the masterminds behind the saltpeter theft. Exercising due caution, infiltrate their den of villainy and rendezvous once more with Skaetswys.","TEXT_BANKOB001_01320_SEQ_05<tab>Just bei deiner Ankunft war der unnachgiebige Bloeidin gerade damit beschäftigt, einen gefangenen Kobold zu verhören. Die Befragung hat ergeben, dass der Raubüberfall auf die Salpeterlieferung vermutlich von Kobolden des 789. Ordens verübt wurde. Der Sache solltest du direkt im Abbaugebiet des besagten Ordens nachgehen, welches im äußeren La Noscea unterhalb von Camp Ausblick liegt. Suche dort nach dem geraubten Salpeter!","","False","0x00000005","",""
"","TEXT_BANKOB001_01320_SEQ_06<tab>No sooner do you arrive at the dig and locate the stolen supplies than does the 789th Order sniff out your presence, quickly surrounding you. The mystery then deepens, however, when the vicious kobolds surrender the stolen goods with nary a fight. Speak with Skaetswys again, that the two of you might puzzle out exactly what has transpired.","TEXT_BANKOB001_01320_SEQ_06<tab>Gute Arbeit! Dir ist es gelungen, den geraubten Salpeter im Abbaugebiet des 789. Ordens aufzuspüren. Allerdings verhalten sich die Kobolde des Ordens nicht gerade so, wie man es von kaltblütigen Räubern erwarten würde. Beratschlage dich mit Skaetswys über euer weiteres Vorgehen.","","False","0x00000006","",""
"","TEXT_BANKOB001_01320_SEQ_07<tab>Thoroughly confused by the kobolds' behavior, Skaetswys nonetheless elects to put off any further pondering until the supplies are safely conveyed to their original destination. Before setting off for Camp Overlook, she encourages you to explore the dig and seek out the leader of the 789th, that you might glean some knowledge of the surprisingly nonconfrontational kobolds.","TEXT_BANKOB001_01320_SEQ_07<tab>Skaetswys will den geraubten Salpeter nach Camp Ausblick bringen. Dich hingegen hat sie gebeten, den ansonsten recht friedlich scheinenden Kobolden auf den Zahn zu fühlen, warum sie den Raub überhaupt begangen haben. Unterhalte dich mit ihrem Anführer, dem Hauer des 789. Ordens Gi Gu.","","False","0x00000007","",""
"","TEXT_BANKOB001_01320_SEQ_08<tab>The foreman of the 789th, an uninspiring kobold by the name of Gi Gu, sheepishly expresses his remorse for his order's actions, while insisting that they only stooped to common thievery due to extenuating circumstances. It would seem there is more to these kobolds' plight than meets the eye...","TEXT_BANKOB001_01320_SEQ_08<tab>Gi Gu hat sich aufrichtig für den Raub des Salpeters entschuldigt. Offensichtlich sah er sich dazu gezwungen. Was könnte der Grund für diese Ver<var 16 /var>zweif<var 16 /var>lungstat gewesen sein?","","False","0x00000008","",""
"","TEXT_BANKOB001_01320_SEQ_09<tab>","TEXT_BANKOB001_01320_SEQ_09<tab>","","False","0x00000009","",""
