"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANSAH107_01385_SEQ_00<tab>Fyuu seeks your aid in broadening the culinary horizons of his spawnbrothers.","TEXT_BANSAH107_01385_SEQ_00<tab>Fyuu cherche à varier le menu servi à ses petits frères.","","False","0x00000000","",""
"","TEXT_BANSAH107_01385_SEQ_01<tab>Concerned that his younger siblings' diet has been restricted to what can be caught in the waters near the nursery, Fyuu requests that you procure some ocean delicacies from somewhat further afield. Borrow an elbst from Pahh to cross the waves, and collect the whitecap clams found on the beach of Moonshade Isle.","TEXT_BANSAH107_01385_SEQ_01<tab>Fyuu veut s'assurer que ses petits frères bénéficient d'une ali<var 16 /var>men<var 16 /var>ta<var 16 /var>tion variée. Il aimerait donc que vous alliez chercher cinq <var 33 ((EventItem)) 0DF61E89750302 /var> sur l'îlet d'Ombrelune. Vous pouvez vous y rendre en chevauchant un des elbsts de Pahh.","","False","0x00000001","",""
"","TEXT_BANSAH107_01385_SEQ_02<tab>You have gathered an armful of whitecap clams. Return to Novv's Nursery and deliver your haul to Fyuu.","TEXT_BANSAH107_01385_SEQ_02<tab>Vous avez obtenu cinq <var 33 ((EventItem)) 0DF61E89750302 /var>. Allez les livrer à Fyuu à la Couvée de Novv.","","False","0x00000002","",""
"","TEXT_BANSAH107_01385_SEQ_03<tab>Fyuu's eyes appear to bulge even further from his head when he beholds the bounty with which you have returned. Judging by his joyful reaction, it may not be long before you find yourself back on an elbst, headed for the sands of Moonshade Isle once more...","TEXT_BANSAH107_01385_SEQ_03<tab>Fyuu n'a pas caché sa sa<var 16 /var>tis<var 16 /var>fac<var 16 /var>tion à la vue des délicieux clams que vous lui avez rapportés. À en juger par sa réaction, vous retournerez pro<var 16 /var>ba<var 16 /var>ble<var 16 /var>ment à l'îlet d'Ombrelune en quête de nourriture dans un avenir pas si lointain...","","False","0x00000003","",""
"","TEXT_BANSAH107_01385_SEQ_04<tab>","TEXT_BANSAH107_01385_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_BANSAH107_01385_SEQ_05<tab>","TEXT_BANSAH107_01385_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_BANSAH107_01385_SEQ_06<tab>","TEXT_BANSAH107_01385_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANSAH107_01385_SEQ_07<tab>","TEXT_BANSAH107_01385_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANSAH107_01385_SEQ_08<tab>","TEXT_BANSAH107_01385_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANSAH107_01385_SEQ_09<tab>","TEXT_BANSAH107_01385_SEQ_09<tab>","","False","0x00000009","",""
