"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_GAIUSE206_01350_SEQ_00<tab>Hozan has another favor to ask of you.","TEXT_GAIUSE206_01350_SEQ_00<tab>ベスパーベイのホウザンは、冒険者に新たな依頼があるようだ。","","False","0x00000000","",""
"","TEXT_GAIUSE206_01350_SEQ_01<tab><var 48 F20215 /var><var 49 F20216 /var><var 12 40 /var> This quest has been adjusted. Please abandon the quest and restart it by speaking to Alphinaud at the Quicksand.<var 49 01 /var><var 48 01 /var><br><br>※The Main Scenario Guide shows the next available quest. You can toggle it on and off in Character Configuration, under UI Settings.","TEXT_GAIUSE206_01350_SEQ_01<tab><var 48 F20215 /var><var 49 F20216 /var><var 12 40 /var>本クエストは調整されました。一度破棄し、クイックサンドの「アルフィノ」から再受注してください。<var 49 01 /var><var 48 01 /var><br><br>※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。","","False","0x00000001","",""
"","TEXT_GAIUSE206_01350_SEQ_02<tab>Hozan is proud of his son, and with good reason: Yozan has already instructed the other children to make their preparations. The only ones who have yet to be located are a trio who were engaged in a game of hide-and-seek. It would seem that the children are very serious when it comes to the game, and will not move from their hiding spots unless found, leaving you with no choice but to find them yourself.","TEXT_GAIUSE206_01350_SEQ_02<tab>ヨウザンと話したところ、子どもたちは、隠れんぼをしているという。ベスパーベイ周辺にて「隠れている子ども」3人を見つけ出し、声をかけよう。","","False","0x00000002","",""
"","TEXT_GAIUSE206_01350_SEQ_03<tab>Despite their dedication to the game, the three remaining children were not particularly good at it. Inform Hozan that your work is finished.","TEXT_GAIUSE206_01350_SEQ_03<tab>隠れていた子ども3人に、ホウザンのもとへ向かうよう伝言した。ベスパーベイの「ホウザン」に報告しよう。","","False","0x00000003","",""
"","TEXT_GAIUSE206_01350_SEQ_04<tab>You learn that Yugiri is responsible for the children's regular practice of hide-and-seek, as she deemed it necessary to ensure their survival in the event of an imperial attack. Many would consider it a valuable skill, to be sure─albeit one Hozan hopes the children never need to use.","TEXT_GAIUSE206_01350_SEQ_04<tab>ホウザンによると、ウルダハへの出発の準備は整ったようだが、出発を妨げる厄介な問題があるようだ……。","","False","0x00000004","",""
"","TEXT_GAIUSE206_01350_SEQ_05<tab>","TEXT_GAIUSE206_01350_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_GAIUSE206_01350_SEQ_06<tab>","TEXT_GAIUSE206_01350_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_GAIUSE206_01350_SEQ_07<tab>","TEXT_GAIUSE206_01350_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_GAIUSE206_01350_SEQ_08<tab>","TEXT_GAIUSE206_01350_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_GAIUSE206_01350_SEQ_09<tab>","TEXT_GAIUSE206_01350_SEQ_09<tab>","","False","0x00000009","",""
