"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANIXA103_01496_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>As ablest of Ixal, Yazel Ahuatan has a reputation to maintain.<br>※The crafting portion of this quest is recommended for Disciples of the Hand level 1 and above, and the battle portion for Disciples of War or Magic level 41 and above.","TEXT_BANIXA103_01496_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>Règle spéciale<var 1D /var>:  synchronisation de quête<var 49 01 /var><var 48 01 /var><br>* <var 1A 02 /var>Avant de commencer cette quête, il est recommandé d'être au niveau 1 minimum pour les disciples de la main, et au niveau 41 minimum pour les disciples de la guerre et de la magie.<var 1A 01 /var><br><br>Yazel Ahuatan voudrait que vous lui rendiez un service.","","False","0x00000000","",""
"","TEXT_BANIXA103_01496_SEQ_01<tab>The recent loss of starboard hull component materials has placed Yazel Ahuatan in a precarious position. So that none may have cause to doubt his ableness, recover the materials his courier abandoned when attacked by Ixal in Treespeak.<br><br>※Please note that the difficulty of this quest has been synced to your current level.","TEXT_BANIXA103_01496_SEQ_01<tab>* <var 1A 02 /var>Cette quête est <var 48 F201FC /var><var 49 F201FD /var> synchronisée<var 49 01 /var><var 48 01 /var> avec votre niveau.<var 1A 01 /var><br><br>Yazel Ahuatan vous a confié la tâche de fabriquer <var 33 ((Item)) 02 ((　8093)) 0302 /var>. Pour commencer, vous allez devoir vous rendre à la futaie des Murmures pour retrouver <var 33 ((EObj)) 03F61E95E80302 /var> qui ont été volé<var 08 ((<var 28 ((EObj)) F61E95E807 /var>)) ((e)) (()) /var>s par <var 33 ((BNpcName)) 02F20BA90302 /var>.","","False","0x00000001","",""
"","TEXT_BANIXA103_01496_SEQ_02<tab>After a brief skirmish, the materials are yours. However, returning the materials will not suffice to redeem Yazel Ahuatan. Visit the crafting facility at Treespeak Stables, and present the component materials to Nellemond, so that you may use the facilities to construct the requisite components.","TEXT_BANIXA103_01496_SEQ_02<tab>Vous avez mis la main sur le contenu d'<var 33 ((EObj)) 02F61E95E80202 /var>. Rendez-vous maintenant aux écuries des Murmures et demandez à Nellemond l'au<var 16 /var>to<var 16 /var>ri<var 16 /var>sa<var 16 /var>tion d'utiliser les ins<var 16 /var>tal<var 16 /var>la<var 16 /var>tions d'artisanat.","","False","0x00000002","",""
"","TEXT_BANIXA103_01496_SEQ_03<tab>You have handed over the component materials to Nellemond, and gained access to the crafting facility. Synthesize two starboard hull components, and deliver them to Yazel Ahuatan at Ehcatl.<br><br>※In the event that the status <var 48 F201F4 /var><var 49 F201F5 /var>Facility Access: Finishing<var 49 01 /var><var 48 01 /var> wears off or the synthesis ends in failure, you may try again by speaking with Nellemond.","TEXT_BANIXA103_01496_SEQ_03<tab>Tout est prêt pour que vous commenciez à travailler. En vous servant des matériaux, fabriquez deux <var 33 ((Item)) 0D ((　8093)) 0302 /var> et remettez-les à Yazel Ahuatan, au centre d'essais d'Ehcatl.<br>* <var 1A 02 /var>Adressez-vous de nouveau à Nellemond si vous n'avez plus de matériaux ou si vous avez perdu l'effet Installation<var 1D /var>: finition.<var 1A 01 /var>","","False","0x00000003","",""
"","TEXT_BANIXA103_01496_SEQ_04<tab>The squa-hawk which echoes throughout Ehcatl is one of ultimate relief, as Yazel Ahuatan's comrades no longer have cause to doubt his competence. Maintaining an image as an able Ixal can be difficult at times, but the adulation of Ixali maidens more than justifies the effort─or so Yazel Ahuatan would doubtless say, if the question were put to him.","TEXT_BANIXA103_01496_SEQ_04<tab>Vous avez apporté à Yazel Ahuatan <var 33 ((Item)) 03 ((　8093)) 0302 /var> dont il avait besoin. D'après lui, ses congénères du site de déboisement ixal ne sont pas près d'arrêter leurs agissements néfastes. Aidez les Planeurs d'Ehcatl à mener à bien leur projet malgré tout.","","False","0x00000004","",""
"","TEXT_BANIXA103_01496_SEQ_05<tab>","TEXT_BANIXA103_01496_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_BANIXA103_01496_SEQ_06<tab>","TEXT_BANIXA103_01496_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANIXA103_01496_SEQ_07<tab>","TEXT_BANIXA103_01496_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANIXA103_01496_SEQ_08<tab>","TEXT_BANIXA103_01496_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANIXA103_01496_SEQ_09<tab>","TEXT_BANIXA103_01496_SEQ_09<tab>","","False","0x00000009","",""
