"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANSAH301_01400_SEQ_00<tab>Seww needs your help to curtail a Sahagin strike force.","TEXT_BANSAH301_01400_SEQ_00<tab>Seww möchte, dass du den Anführern der Plündernden Schlangen eine Abreibung erteilst.","","False","0x00000000","",""
"","TEXT_BANSAH301_01400_SEQ_01<tab>Seww has caught word of a Coral Trident strike force assembling for a concerted attack on the Maelstrom's defenses. He reasons that eliminating the leaders of the operation will steal the momentum from the assault. Defeat members of the Sapsa shelfscale, shelfclaw, and shelftooth clans, then slay the clan chiefs when they come forth to avenge their fallen kin.","TEXT_BANSAH301_01400_SEQ_01<tab>Seww hat dich beauftragt, am Sapsa-Laichplatz drei Anführer der Riff-Harpunen auszuschalten.<br><var 2B ((<var 32 ((BNpcName)) 06F20AAE020202 /var>)) /var> erscheint, wenn du <var 32 ((BNpcName)) 02F20723020502 /var> erledigst.<br><var 2B ((<var 32 ((BNpcName)) 06F20AAF020202 /var>)) /var> erscheint, wenn du <var 32 ((BNpcName)) 02F20724020502 /var> erledigst.<br><var 2B ((<var 32 ((BNpcName)) 06F20AB0020202 /var>)) /var> erscheint, wenn du <var 32 ((BNpcName)) 02F20726020502 /var> erledigst.","","False","0x00000001","",""
"","TEXT_BANSAH301_01400_SEQ_02<tab>You have eliminated the clan chiefs. Return to Novv's Nursery and report to Seww.","TEXT_BANSAH301_01400_SEQ_02<tab>Du hast die Anführer der Riff-Harpunen ausgeschaltet. Erstatte Seww in Novvs Aufzucht Bericht.","","False","0x00000002","",""
"","TEXT_BANSAH301_01400_SEQ_03<tab>You report your success to Seww, and the young Sahagin is relieved to hear of his violent kin's demise. Though the Sahagin have once again narrowly avoided the threat of full-scale war, Novv's spawnling cautions that the next crop of leaders may very well take up where their shortsighted predecessors left off.","TEXT_BANSAH301_01400_SEQ_03<tab>Seww ist zufrieden mit deiner Arbeit. Dadurch, dass du die Anführer der Riff-Harpunen ausgeschaltet hast, konnte eine direkte Konfrontation mit der Flotte des Mahlstroms vermieden werden. Seww hat für die Strategie der Riff-Harpunen, sich nur in Kämpfe zu begeben, die sie gewinnen können, nichts übrig. Er kann es nicht erwarten, den Anführern der Riff-Harpunen wieder eine Lektion zu erteilen.","","False","0x00000003","",""
"","TEXT_BANSAH301_01400_SEQ_04<tab>","TEXT_BANSAH301_01400_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_BANSAH301_01400_SEQ_05<tab>","TEXT_BANSAH301_01400_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_BANSAH301_01400_SEQ_06<tab>","TEXT_BANSAH301_01400_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANSAH301_01400_SEQ_07<tab>","TEXT_BANSAH301_01400_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANSAH301_01400_SEQ_08<tab>","TEXT_BANSAH301_01400_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANSAH301_01400_SEQ_09<tab>","TEXT_BANSAH301_01400_SEQ_09<tab>","","False","0x00000009","",""
