"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_FESEST006_01419_SEQ_00<tab>Jihli Aliapoh has gleaned the location of yet another set of eggs, and would ask for your aid in retrieving them.<br>※This quest is available for a limited time only.","TEXT_FESEST006_01419_SEQ_00<tab>※ Dieser Auftrag ist nur für die Dauer des saisonalen Ereignisses verfügbar.<br><br>Jihli Aliapoh braucht deine Hilfe bei der Sicherstellung von Saliah-Eiern in einer anderen Stadt.","","False","0x00000000","",""
"","TEXT_FESEST006_01419_SEQ_01<tab>Jihli Aliapoh has been granted a vision of what she claims to be the last set of stolen Archon eggs in southern Thanalan. With Dreamers dispatched to retrieve them, she wishes to ensure their security, and would have you speak with Orselfaux in Ul'dah to confirm they have arrived without incident. Travel to Ul'dah and speak with Orselfaux to discern the status of the Archon eggs.<br><br>※Please note that you will be unable to complete this quest after the seasonal event has ended. For details, please check the Lodestone.","TEXT_FESEST006_01419_SEQ_01<tab>※ Dieser Auftrag kann nur für die Dauer des saisonalen Ereignisses angenommen und gespielt werden. Nach Ende des saisonalen Ereignisses kann er nicht mehr abgeschlossen werden. Weitere Informationen findest du auf dem Lodestone.<br><br>Jihli Aliapoh bittet dich, bei der Suche nach Saliah-Eiern in Ul'dah zu helfen. Setz <var 32 ((Item)) 03 ((　2659)) 020502 /var> auf und sprich mit Orselfaux auf dem Rubinstraßenmarkt im Nald-Kreuzgang von Ul'dah.","","False","0x00000001","",""
"","TEXT_FESEST006_01419_SEQ_02<tab>You learn from Orselfaux that Augustiniel has once again volunteered to help in the delivery of the eggs in spite of his recent exertions. With a group of spriggans now roaming the halls of Ul'dah, Orselfaux is concerned that Augustiniel is not fit to watch the eggs, and would ask that you seek him out to ensure they are secure. Orselfaux suspects the eggs may need to be moved to a safer location, and suggests you seek the aid of another adventurer to assist you in Augustiniel's stead. Team up with a like<var 1F /var>minded adventurer and search for Augustiniel and the eggs on the Steps of Thal.","TEXT_FESEST006_01419_SEQ_02<tab>Jihli Aliapoh hat dich beauftragt, in Ul'dah bei der Sicherstellung zweier Saliah-Eier zu helfen. Setz <var 32 ((Item)) 03 ((　2659)) 020502 /var> oder <var 32 ((Item)) 03 ((　2809)) 020502 /var> auf, verbünde dich mit einem Abenteurer oder einer Abenteurerin (bildet zu zweit eine Gruppe) und sprich mit Augustiniel am Tor des Thal im Thal-Kreuzgang von Ul'dah.","","False","0x00000002","",""
"","TEXT_FESEST006_01419_SEQ_03<tab>You find Augustiniel in the Steps of Thal, too weak to go on and in desperate need of assistance. Having collapsed after reaching the Gate of Thal, his partner ran off in search of assistance, leaving him to care for both eggs on his own. No longer fit to continue with the delivery, he implores you and your friend to carry them to the Gold Court where they may be protected until the spriggans are driven out of Ul'dah. One of you must carry the pristine Archon egg, and the other the midnight Archon egg. Wearing your respective caps, carry the eggs together with your companion to the Gold Court.","TEXT_FESEST006_01419_SEQ_03<tab>Du hast mit Augustiniel gesprochen. Nimm vor dem Tor des Thal im Thal-Kreuzgang ein Saliah-Ei auf, das dem Muster deiner Eierkappe entspricht.","","False","0x00000003","",""
"","TEXT_FESEST006_01419_SEQ_04<tab>See that your Archon egg is carried safely to the Gold Court, avoiding any spriggans that may cross your path.","TEXT_FESEST006_01419_SEQ_04<tab>Du hast ein Saliah-Ei aufgenommen. Lege das Saliah-Ei in seinen Korb auf dem Platz der Sultana.<br>※ Der Transport muss innerhalb einer bestimmten Zeitspanne abgeschlossen sein.<br>※ Schlägt der Transport fehl, kann er am Ausgangsort von neuem begonnen werden.","","False","0x00000004","",""
"","TEXT_FESEST006_01419_SEQ_05<tab>Carefully maneuvering through the corridors of the Steps of Thal, you deliver the Archon eggs to the Dreamers waiting in the Gold Court. Report to Orselfaux and tell him the eggs are now in safe hands.","TEXT_FESEST006_01419_SEQ_05<tab>Du hast das Saliah-Ei in den richtigen Eierkorb gelegt. Kehre zu Orselfaux zurück.","","False","0x00000005","",""
"","TEXT_FESEST006_01419_SEQ_06<tab>Orselfaux is glad to hear the Archon eggs have been safely delivered to the Gold Court, and thanks you for your efforts. With time still remaining until Hatching Hour, he returns to the affairs of the celebration, and bids you speak with Jihli Aliapoh to assure her that the eggs are safe.","TEXT_FESEST006_01419_SEQ_06<tab>Du hast Orselfaux Bericht erstattet. Kehre nun zu Jihli Aliapoh zurück und berichte ihr, dass die Vor<var 16 /var>bereitungen abgeschlossen sind.","","False","0x00000006","",""
"","TEXT_FESEST006_01419_SEQ_07<tab>With all of the Archon eggs back in the possession of her Dreamers, Jihli Aliapoh is at a loss for words in expressing her gratitude for your efforts. Though you must now part ways until the long<var 1F /var>awaited egg ceremony, she assures you it will be an unforgettable experience.","TEXT_FESEST006_01419_SEQ_07<tab>Du hast Jihli Aliapoh von dem Abschluss der Vor<var 16 /var>bereitungen berichtet. Sie ist sehr gespannt und sieht der Rückkehr der Weisen erwartungsvoll entgegen. Bis der richtige Zeitpunkt gekommen ist, kannst du dich weiter der gewöhnlichen Wundereiersuche widmen.","","False","0x00000007","",""
"","TEXT_FESEST006_01419_SEQ_08<tab>","TEXT_FESEST006_01419_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_FESEST006_01419_SEQ_09<tab>","TEXT_FESEST006_01419_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_FESEST006_01419_SEQ_10<tab>","TEXT_FESEST006_01419_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_FESEST006_01419_SEQ_11<tab>","TEXT_FESEST006_01419_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_FESEST006_01419_SEQ_12<tab>","TEXT_FESEST006_01419_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_FESEST006_01419_SEQ_13<tab>","TEXT_FESEST006_01419_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_FESEST006_01419_SEQ_14<tab>","TEXT_FESEST006_01419_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_FESEST006_01419_SEQ_15<tab>","TEXT_FESEST006_01419_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_FESEST006_01419_SEQ_16<tab>","TEXT_FESEST006_01419_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_FESEST006_01419_SEQ_17<tab>","TEXT_FESEST006_01419_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_FESEST006_01419_SEQ_18<tab>","TEXT_FESEST006_01419_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_FESEST006_01419_SEQ_19<tab>","TEXT_FESEST006_01419_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_FESEST006_01419_SEQ_20<tab>","TEXT_FESEST006_01419_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_FESEST006_01419_SEQ_21<tab>","TEXT_FESEST006_01419_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_FESEST006_01419_SEQ_22<tab>","TEXT_FESEST006_01419_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_FESEST006_01419_SEQ_23<tab>","TEXT_FESEST006_01419_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_FESEST006_01419_TODO_00<tab>Speak with Orselfaux in Ul'dah while equipped with a pristine egg cap.","TEXT_FESEST006_01419_TODO_00<tab>Mit Orselfaux im Nald-Kreuzgang sprechen","","False","0x00000018","",""
"","TEXT_FESEST006_01419_TODO_01<tab>Form a party of two, then speak with Augustiniel while wearing an appropriate egg cap.","TEXT_FESEST006_01419_TODO_01<tab>Zu zweit mit Augustiniel im Thal-Kreuzgang sprechen","","False","0x00000019","",""
"","TEXT_FESEST006_01419_TODO_02<tab>Pick up the Archon egg matching your cap.","TEXT_FESEST006_01419_TODO_02<tab>Die Saliah-Eier aufnehmen","","False","0x0000001A","",""
"","TEXT_FESEST006_01419_TODO_03<tab>Deliver the Archon egg to the Gold Court.","TEXT_FESEST006_01419_TODO_03<tab>Die Saliah-Eier in die richtigen Körbe legen","","False","0x0000001B","",""
"","TEXT_FESEST006_01419_TODO_04<tab>Speak with Orselfaux.","TEXT_FESEST006_01419_TODO_04<tab>Zu Orselfaux zurückkehren","","False","0x0000001C","",""
"","TEXT_FESEST006_01419_TODO_05<tab>Report to Jihli Aliapoh.","TEXT_FESEST006_01419_TODO_05<tab>Jihli Aliapoh in Alt-Gridania berichten","","False","0x0000001D","",""
"","TEXT_FESEST006_01419_TODO_06<tab>","TEXT_FESEST006_01419_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_FESEST006_01419_TODO_07<tab>","TEXT_FESEST006_01419_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_FESEST006_01419_TODO_08<tab>","TEXT_FESEST006_01419_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_FESEST006_01419_TODO_09<tab>","TEXT_FESEST006_01419_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_FESEST006_01419_TODO_10<tab>","TEXT_FESEST006_01419_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_FESEST006_01419_TODO_11<tab>","TEXT_FESEST006_01419_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_FESEST006_01419_TODO_12<tab>","TEXT_FESEST006_01419_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_FESEST006_01419_TODO_13<tab>","TEXT_FESEST006_01419_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_FESEST006_01419_TODO_14<tab>","TEXT_FESEST006_01419_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_FESEST006_01419_TODO_15<tab>","TEXT_FESEST006_01419_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_FESEST006_01419_TODO_16<tab>","TEXT_FESEST006_01419_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_FESEST006_01419_TODO_17<tab>","TEXT_FESEST006_01419_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_FESEST006_01419_TODO_18<tab>","TEXT_FESEST006_01419_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_FESEST006_01419_TODO_19<tab>","TEXT_FESEST006_01419_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_FESEST006_01419_TODO_20<tab>","TEXT_FESEST006_01419_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_FESEST006_01419_TODO_21<tab>","TEXT_FESEST006_01419_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_FESEST006_01419_TODO_22<tab>","TEXT_FESEST006_01419_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_FESEST006_01419_TODO_23<tab>","TEXT_FESEST006_01419_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_FESEST006_01419_JIHLIALIAPOH_000_000<tab>Greetings, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>! I hope you are well rested from your run through Limsa.","TEXT_FESEST006_01419_JIHLIALIAPOH_000_000<tab>♪ Ei, ei, ei, wer bringt's getragen? ♪<br>♪ Das Wunderei in bunten Farben! ♪<br>Mach mit bei der lustigen Eiersuche!","","False","0x00000030","",""
"","TEXT_FESEST006_01419_JIHLIALIAPOH_000_001<tab>It gives me great pleasure to inform you of my most recent vision─a vision of the final set of Archon eggs waylaid by the spriggans!","TEXT_FESEST006_01419_JIHLIALIAPOH_000_001<tab>Ich hab schon ungeduldig auf dich gewartet, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>! Ich habe inzwischen wieder einen Traum gehabt. Darin haben die Weisen mir verraten, wo sich die Saliah-Eier befinden, die in Ul'dah gestohlen wurden.","","False","0x00000031","",""
"","TEXT_FESEST006_01419_JIHLIALIAPOH_000_002<tab>Buried in sand, I nearly mistook their location for a beach along Lominsan shores...but then I saw turtles! Monstrous beasts the size of a small cottage. Consultation with Dreamers far more knowledgeable of wildlife than I revealed they were hidden in Zanr'ak in southern Thanalan.","TEXT_FESEST006_01419_JIHLIALIAPOH_000_002<tab>Die Spriggan-Diebe haben sie in einem Eisenschildkröten-Nest versteckt. Das stelle man sich mal vor! Die zerbrechlichen Eier zwischen den schweren Viechern! Die Spriggans sind aber auch wirklich zu blöd.","","False","0x00000032","",""
"","TEXT_FESEST006_01419_JIHLIALIAPOH_000_003<tab>I received word not long ago that they have been retrieved, though not without interference by the spriggans. I can think of no one better to see to the security of the eggs, and so I would ask that you make haste to Ul'dah and speak with Orselfaux. He oversees the Hatching<var 1F /var>tide festivities there.","TEXT_FESEST006_01419_JIHLIALIAPOH_000_003<tab>In Ul'dah kümmert Orselfaux sich um die Eiersuche. Er ist ebenfalls Barde bei den Homunkuli. Er weiß Genaueres über den Verbleib der Saliah-Eier, also reise nach Ul'dah und befrage ihn.","","False","0x00000033","",""
"","TEXT_FESEST006_01419_JIHLIALIAPOH_000_004<tab>He will be expecting you, but I would suggest wearing your pristine egg cap, that he may readily know of your intentions.","TEXT_FESEST006_01419_JIHLIALIAPOH_000_004<tab>Orselfaux kann etwas griesgrämig sein. Gib dich mit deiner Eierkappe als <var 08 E905 ((Eiersuchende)) ((Eiersuchender)) /var> zu erkennen, dann solltest du keine Probleme haben. Viel Erfolg bei der Eiersuche!<br>♪ Ei, ei, ei, wer bringt's getragen?♪ ...","","False","0x00000034","",""
"","TEXT_FESEST006_01419_JIHLIALIAPOH_000_005<tab>We must secure the last set of eggs before Hatching Hour! Please make haste to Ul'dah and speak with Orselfaux.","TEXT_FESEST006_01419_JIHLIALIAPOH_000_005<tab>♪ Ei, ei, ei, wer bringt's getragen? ♪<br>♪ Das Wunderei in bunten Farben! ♪<br>Mach mit bei der lustigen Eiersuche!","","False","0x00000035","",""
"","TEXT_FESEST006_01419_JIHLIALIAPOH_000_006<tab>Tarry not, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>! Orselfaux is expecting your arrival in Ul'dah. And be sure to wear your headpiece when you greet him!","TEXT_FESEST006_01419_JIHLIALIAPOH_000_006<tab>Sprich im Nald-Kreuzgang mit Orselfaux, aber vergiss nicht, deine Eierkappe zu tragen!","","False","0x00000036","",""
"","TEXT_FESEST006_01419_ORSELFAUX_000_010<tab>I would love to chat, but I'm waiting on someone for important business. I do wonder where <var 08 E905 ((she)) ((he)) /var> could be...","TEXT_FESEST006_01419_ORSELFAUX_000_010<tab>♪ Ei, ei, ei, wer ... bist du denn?<br><var 2B ((<var 32 ((Item)) 05 ((　2659)) 020202 /var>)) /var>? Dann bist du <var 08 E905 ((keine Eiersuchende)) ((kein Eiersuchender)) /var>? Wenn du eine dieser Klatschreporter-Hyänen sein solltest, dann rate ich dir, dich schnellstens in dünne Luft zu verwandeln!","","False","0x00000037","",""
"","TEXT_FESEST006_01419_ORSELFAUX_000_015<tab>Ah, welcome, welcome. I take it Miss Aliapoh has sent you regarding the Archon eggs.","TEXT_FESEST006_01419_ORSELFAUX_000_015<tab>♪ Ei, ei, ei, wer bringt's getragen? ♪<br>Sieh an, <var 08 E905 ((eine Eiersuchende)) ((ein Eiersuchender)) /var>! Nur echt mit der Eierkappe.","","False","0x00000038","",""
"","TEXT_FESEST006_01419_ORSELFAUX_000_016<tab>Well, you'll be happy to know they arrived in Ul'dah <var 08 E3E90C0D ((<var 08 E3E90C05 ((just this afternoon)) ((just last night)) /var>)) ((<var 08 E3E90C12 ((just this morning)) ((just this afternoon)) /var>)) /var>, although I wish Augustiniel would not push himself so.","TEXT_FESEST006_01419_ORSELFAUX_000_016<tab>Lass uns keine Zeit mit Gequatsche vertrödeln. Augustiniel hat die gestohlenen Saliah-Eier bereits zurückergattert und bis in die Stadt gebracht. Zum Tor des Thal im Thal-Kreuzgang, um genauer zu sein.","","False","0x00000039","",""
"","TEXT_FESEST006_01419_ORSELFAUX_000_017<tab>He was injured in Limsa Lominsa, was he not? You would think the man would see his wounds heal before undertaking more duties, but he insisted on helping deliver the eggs to Ul'dah.","TEXT_FESEST006_01419_ORSELFAUX_000_017<tab>Allerdings kann der Schussel Thal nicht von Nald unterscheiden und findet den Weg zum Platz der Sultana nicht. Jetzt schmollt er und will keinen Schritt mehr durch die staubigen Straßen von Ul'dah tun.","","False","0x0000003A","",""
