"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_GAIUSE312_01453_SEQ_00<tab>The serpent lieutenant is ready to send you on your way.","TEXT_GAIUSE312_01453_SEQ_00<tab>Der Offizier der Bruderschaft in der Sylphen-Zuflucht möchte dich zu Kan-E-Senna schicken.","","False","0x00000000","",""
"","TEXT_GAIUSE312_01453_SEQ_01<tab>After hearing the account of your battle with Ramuh, the serpent lieutenant urges you to make your report directly to Kan<var 1F /var>E<var 1F /var>Senna. Return to Gridania, and speak with the silent conjurer to gain access to the Lotus Stand.","TEXT_GAIUSE312_01453_SEQ_01<tab>Du sollst dich zum Wasserrosentisch begeben und Kan-E-Senna Bericht erstatten. Die stille Druidin an Nophicas Altar wird dich hinführen.","","False","0x00000001","",""
"","TEXT_GAIUSE312_01453_SEQ_02<tab>You describe your encounter with the sylphs' guardian deity to the Elder Seedseer. The words of Ramuh appear to resonate with Kan<var 1F /var>E<var 1F /var>Senna, and she is unable to refute the Lord of Levin's claim that wherever man wanders, darkness follows closely behind. You exit the Lotus Stand at the conclusion to your audience, leaving Gridania's leader troubled and thoughtful despite the news of your victory. Report the details of your meeting to Papalymo who awaits you at Nophica's Altar.","TEXT_GAIUSE312_01453_SEQ_02<tab>Kan-E-Senna hört sich mit großem Ernst Ramuhs Worte über das Böse, das in uns wohnt, an. Sprich mit Papalymo.","","False","0x00000002","",""
"","TEXT_GAIUSE312_01453_SEQ_03<tab>Unlike the Elder Seedseer, Papalymo appears satisfied with the outcome. Return to the Rising Stones and report to Minfilia.","TEXT_GAIUSE312_01453_SEQ_03<tab>Auch Papalymo pflichtet den Worten des Sylphengottes bei. Kehr nach Geisterzoll zu Minfilia zurück.","","False","0x00000003","",""
"","TEXT_GAIUSE312_01453_SEQ_04<tab>After listening to your report, Minfilia alludes to some news of her own. Before divulging anything more, however, the Antecedent suggests you first listen to Urianger's latest discovery concerning the nature of the Ascians' immortality. Could it be that the scholar has stumbled upon a means to bring about the permanent destruction of the Paragons?","TEXT_GAIUSE312_01453_SEQ_04<tab>Minfilia sagt dir, dass Urianger dank seiner Beobachtung des Kampfs gegen Ramuh wertvolle Hinweise auf die Existenzform der Ascians gewonnen habe. Wenn man den Äther der Ascians einfangen könnte, wenn er dabei ist, in einen anderen Körper überzugehen ...?","","False","0x00000004","",""
"","TEXT_GAIUSE312_01453_SEQ_05<tab>","TEXT_GAIUSE312_01453_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_GAIUSE312_01453_SEQ_06<tab>","TEXT_GAIUSE312_01453_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_GAIUSE312_01453_SEQ_07<tab>","TEXT_GAIUSE312_01453_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_GAIUSE312_01453_SEQ_08<tab>","TEXT_GAIUSE312_01453_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_GAIUSE312_01453_SEQ_09<tab>","TEXT_GAIUSE312_01453_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_GAIUSE312_01453_SEQ_10<tab>","TEXT_GAIUSE312_01453_SEQ_10<tab>","","False","0x0000000A","",""
