"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_SUBPST001_01482_SEQ_00<tab>The deputy postmoogle has a smile on his face and a letter bearing a Gridanian address in his paw.","TEXT_SUBPST001_01482_SEQ_00<tab>Votre maître veut vous confier une nouvelle lettre à livrer à Gridania.","","False","0x00000000","",""
"","TEXT_SUBPST001_01482_SEQ_01<tab>The deputy postmoogle has entrusted you with a letter. Your assignment, which he assures you will be a pleasant one: deliver it safely to the hands of Mother Miounne, proprietress of the Carline Canopy in Gridania.","TEXT_SUBPST001_01482_SEQ_01<tab>Votre maître vous a confié une lettre à livrer à Miounne, gérante du café les Feuilles de carline. ","","False","0x00000001","",""
"","TEXT_SUBPST001_01482_SEQ_02<tab>Pleased to receive good tidings, Miounne shares with you the story of two Lalafells befriended by her grandfather in days gone by. Father and daughter, they overcame initial ostracism to raise a great waterwheel that still stands as a symbol of Gridania to this day. Miounne would visit the wheel with you, but before that asks that you pick four carline blossoms from around town.","TEXT_SUBPST001_01482_SEQ_02<tab>Miounne vous a proposé de vous emmener voir la grande roue à aubes de Gridania. Mais avant cela, elle vous demande de cueillir quatre <var 33 ((EventItem)) 0DF61E89AA0302 /var> dans la ville. ","","False","0x00000002","",""
"","TEXT_SUBPST001_01482_SEQ_03<tab>You have picked four carline blossoms at Miounne's request. Return to the Carline Canopy and present them to her.","TEXT_SUBPST001_01482_SEQ_03<tab>Vous avez rapporté les <var 33 ((EventItem)) 0DF61E89AA0302 /var> demandées par Miounne. Remettez-les-lui aux Feuilles de carline. ","","False","0x00000003","",""
"","TEXT_SUBPST001_01482_SEQ_04<tab>Smiling upon seeing the flowers you picked, Miounne offers to show you the waterwheel as promised. Make for the Central Shroud and wait for Miounne in the vicinity of the Jadeite Flood.","TEXT_SUBPST001_01482_SEQ_04<tab>Vous avez remis les <var 33 ((EventItem)) 0DF61E89AA0302 /var> à Miounne. Elle aimerait vous emmener quelque part, avant de vous révéler ce à quoi elle les destinait. Retrouvez-la près <var 33 ((EObj)) 0AF61E952E0202 /var> aux berges de Jade dans la Forêt centrale.","","False","0x00000004","",""
"","TEXT_SUBPST001_01482_SEQ_05<tab>Miounne shares with you the touching tale of Figaga, the Lalafellin girl who saw her stricken father's dream to fruition. Through passion and force of will, she became a master builder and raised the great waterwheel that now bears her name...before she tragically succumbed to the same illness that took her father. Miounne pays her respects at this brave woman's final resting place before returning to the Carline Canopy, named for Figaga's favorite flower. Join her there, that she might share with you the rest of the story.","TEXT_SUBPST001_01482_SEQ_05<tab>Vous avez rejoint Miounne. Elle vous a raconté l'histoire du Don de Figaga, la grande roue à aubes de Gridania. Retrouvez-la dans son café pour connaître le fin mot de toute cette histoire. ","","False","0x00000005","",""
"","TEXT_SUBPST001_01482_SEQ_06<tab>Back at the Canopy, Miounne explains how she converted the old cabin into the establishment it is today to carry on the spirit of her dear departed grandfather, who spared no effort in welcoming the various peoples who came to Gridania seeking a new home. It is in this same spirit that she accepted her current position with the Adventurers' Guild. Miounne reflects upon her fated meeting with you, and expresses her joy and anticipation at the many meetings with new adventurers that yet lie ahead.","TEXT_SUBPST001_01482_SEQ_06<tab>Miounne vous a expliqué que les fleurs de carline qui ont donné leur nom au café étaient les préférées de Figaga. C'est en souvenir d'elle que Miounne a donné ce nom à son éta<var 16 /var>blis<var 16 /var>se<var 16 /var>ment, et dans l'espoir que les Gridaniens se montreront plus hospitaliers envers les visiteurs venus de loin comme Figaga et son père autrefois. ","","False","0x00000006","",""
"","TEXT_SUBPST001_01482_SEQ_07<tab>","TEXT_SUBPST001_01482_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_SUBPST001_01482_SEQ_08<tab>","TEXT_SUBPST001_01482_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_SUBPST001_01482_SEQ_09<tab>","TEXT_SUBPST001_01482_SEQ_09<tab>","","False","0x00000009","",""
