"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_HEAVNA101_01580_SEQ_00<tab>The time for action has come, and Alphinaud knows what he must do.","TEXT_HEAVNA101_01580_SEQ_00<tab>Пришло время действовать, и Альфино знает, как именно следует поступить.","","False","0x00000000","",""
"","TEXT_HEAVNA101_01580_SEQ_01<tab>The Scions of the Seventh Dawn, once proclaimed the saviors of Eorzea, are now condemned as murderers─betrayed by the Crystal Braves and forced to flee the banquet held to celebrate the very victory they helped to bring about. One by one, your comrades remained behind in a bid to aid your escape, until you alone emerged from the tunnels beneath Ul'dah to be reunited with Alphinaud and seek refuge in Coerthas. But will you ever find sanctuary behind the walls of Ishgard? Having bided your time in Camp Dragonhead for what feels like an age, you finally have your answer: <var 1A 02 /var>yes<var 1A 01 /var>. As wards of House Fortemps, you will be granted admission to the city proper. Haurchefant will tell you more.","TEXT_HEAVNA101_01580_SEQ_01<tab>Хранители Седьмого рассвета — спасители Эорзии, ныне провозглашённые убийцами, преданы Храбрецами Хайделин и вынуждены были бежать с банкета, устроенного в честь одержанной орденом победы. Один за другим, ваши товарищи оставались позади, дабы задержать преследователей — и вот, вы в одиночестве выныриваете из руин Силь'ди далеко за стенами Уль'ды, где вы и натыкаетесь на Альфино. Теперь вы просите убежища в Кёртасе. Но найдёте ли вы долгожданное укрытие за стенами Ишгарда? После нескольких дней, проведённых в лагере Драконьей Головы и показавшихся вам вечностью, вам дают ответ: <var 1A 02 /var>да<var 1A 01 /var>. Как тем, кому покровительствует дом Фортам, вам будет дано разрешение войти в город. Оршефан расскажет больше.","","False","0x00000001","",""
"","TEXT_HEAVNA101_01580_SEQ_02<tab>In the end, it is as simple as speaking with a sentry at the Gates of Judgement. All has been arranged, and none will deny you passage.","TEXT_HEAVNA101_01580_SEQ_02<tab>В конце концов всё оказалось просто — нужно будет просто поговорить с часовым у врат Правосудия. Стражники уже предупреждены, и никто не станет препятствовать вам.","","False","0x00000002","",""
"","TEXT_HEAVNA101_01580_SEQ_03<tab>Eyeing you warily, the sentry motions for you to enter. The Steps of Faith await─and beyond, Ishgard.","TEXT_HEAVNA101_01580_SEQ_03<tab>Внимательно осмотрев вас с головы до ног, стражник жестом показывает вам проходить. Шаги Надежды ждут, а за ними — Ишгард.","","False","0x00000003","",""
"","TEXT_HEAVNA101_01580_SEQ_04<tab>As you arrive in Foundation, you find that the destruction wrought by the wyverns is still fresh. Nearby, a well-dressed man beckons to you─presumably the manservant of whom Lord Haurchefant spoke.","TEXT_HEAVNA101_01580_SEQ_04<tab>Вы прибываете в городской район Фундамент, где воочию наблюдаете разрушения, оставленные вивернами после недавней атаки. Вас уже ожидает хорошо одетый человек — должно быть, дворецкий Фортамов, о котором предупреждал вас лорд Оршефан.","","False","0x00000004","",""
"","TEXT_HEAVNA101_01580_SEQ_05<tab>The House Fortemps manservant welcomes you to Ishgard, and bids you follow him to the family manor in the Pillars above, where Haurchefant awaits.","TEXT_HEAVNA101_01580_SEQ_05<tab>Слуга Фортамов приветствует вас в Ишгарде и просит следовать за ним в фамильное имение, которое находится на верхнем ярусе города — Столпах. Там вас уже будет ждать Оршефан.","","False","0x00000005","",""
"","TEXT_HEAVNA101_01580_SEQ_06<tab>At the manor, Haurchefant presents you to Count Edmont de Fortemps, who invites you to treat his home as your own. When Alphinaud expresses concern over the possible repercussions of harboring foreign fugitives, Edmont reassures you that your reputation does not concern him, and expresses confidence that his fellow Ishgardians will come to accept your presence given time.","TEXT_HEAVNA101_01580_SEQ_06<tab>В имении Оршефан представляет вам графа Эдмонта де Фортама, который призывает вас чувствовать себя как дома. Когда Альфино выражает беспокойство по поводу возможных затруднений, с которыми может столкнутся Эдмонт, укрывая у себя иностранных беженцев, граф отметает их, утверждая, что ваша репутация ему не помеха, и что со временем другие ишгардцы также примут ваше присутствие.","","False","0x00000006","",""
"","TEXT_HEAVNA101_01580_SEQ_07<tab>","","","False","0x00000007","",""
"","TEXT_HEAVNA101_01580_SEQ_08<tab>","","","False","0x00000008","",""
"","TEXT_HEAVNA101_01580_SEQ_09<tab>","","","False","0x00000009","",""
"","TEXT_HEAVNA101_01580_SEQ_10<tab>","","","False","0x0000000A","",""
"","TEXT_HEAVNA101_01580_SEQ_11<tab>","","","False","0x0000000B","",""
"","TEXT_HEAVNA101_01580_SEQ_12<tab>","","","False","0x0000000C","",""
"","TEXT_HEAVNA101_01580_SEQ_13<tab>","","","False","0x0000000D","",""
"","TEXT_HEAVNA101_01580_SEQ_14<tab>","","","False","0x0000000E","",""
"","TEXT_HEAVNA101_01580_SEQ_15<tab>","","","False","0x0000000F","",""
"","TEXT_HEAVNA101_01580_SEQ_16<tab>","","","False","0x00000010","",""
"","TEXT_HEAVNA101_01580_SEQ_17<tab>","","","False","0x00000011","",""
"","TEXT_HEAVNA101_01580_SEQ_18<tab>","","","False","0x00000012","",""
"","TEXT_HEAVNA101_01580_SEQ_19<tab>","","","False","0x00000013","",""
"","TEXT_HEAVNA101_01580_SEQ_20<tab>","","","False","0x00000014","",""
"","TEXT_HEAVNA101_01580_SEQ_21<tab>","","","False","0x00000015","",""
"","TEXT_HEAVNA101_01580_SEQ_22<tab>","","","False","0x00000016","",""
"","TEXT_HEAVNA101_01580_SEQ_23<tab>","","","False","0x00000017","",""
"","TEXT_HEAVNA101_01580_TODO_00<tab>Speak with Haurchefant.","TEXT_HEAVNA101_01580_TODO_00<tab>Поговорите с Оршефаном.","","False","0x00000018","",""
"","TEXT_HEAVNA101_01580_TODO_01<tab>Speak with the Temple Knight gateguard at the Gates of Judgement.","TEXT_HEAVNA101_01580_TODO_01<tab>Поговорите с храмовником на страже врат Правосудия.","","False","0x00000019","",""
"","TEXT_HEAVNA101_01580_TODO_02<tab>Speak with the Temple Knight gateguard at the Gates of Judgement.","TEXT_HEAVNA101_01580_TODO_02<tab>Поговорите с храмовником на страже врат Правосудия.","","False","0x0000001A","",""
"","TEXT_HEAVNA101_01580_TODO_03<tab>Speak with the House Fortemps manservant.","TEXT_HEAVNA101_01580_TODO_03<tab>Поговорите со слугой дома Фортам.","","False","0x0000001B","",""
"","TEXT_HEAVNA101_01580_TODO_04<tab>Speak with Haurchefant outside Fortemps Manor in the Pillars.","TEXT_HEAVNA101_01580_TODO_04<tab>Поднимайтесь в Столпы и поговорите с Оршефаном снаружи у имения Фортамов.","","False","0x0000001C","",""
"","TEXT_HEAVNA101_01580_TODO_05<tab>","","","False","0x0000001D","",""
"","TEXT_HEAVNA101_01580_TODO_06<tab>","","","False","0x0000001E","",""
"","TEXT_HEAVNA101_01580_TODO_07<tab>","","","False","0x0000001F","",""
"","TEXT_HEAVNA101_01580_TODO_08<tab>","","","False","0x00000020","",""
"","TEXT_HEAVNA101_01580_TODO_09<tab>","","","False","0x00000021","",""
"","TEXT_HEAVNA101_01580_TODO_10<tab>","","","False","0x00000022","",""
"","TEXT_HEAVNA101_01580_TODO_11<tab>","","","False","0x00000023","",""
"","TEXT_HEAVNA101_01580_TODO_12<tab>","","","False","0x00000024","",""
"","TEXT_HEAVNA101_01580_TODO_13<tab>","","","False","0x00000025","",""
"","TEXT_HEAVNA101_01580_TODO_14<tab>","","","False","0x00000026","",""
"","TEXT_HEAVNA101_01580_TODO_15<tab>","","","False","0x00000027","",""
"","TEXT_HEAVNA101_01580_TODO_16<tab>","","","False","0x00000028","",""
"","TEXT_HEAVNA101_01580_TODO_17<tab>","","","False","0x00000029","",""
"","TEXT_HEAVNA101_01580_TODO_18<tab>","","","False","0x0000002A","",""
"","TEXT_HEAVNA101_01580_TODO_19<tab>","","","False","0x0000002B","",""
"","TEXT_HEAVNA101_01580_TODO_20<tab>","","","False","0x0000002C","",""
"","TEXT_HEAVNA101_01580_TODO_21<tab>","","","False","0x0000002D","",""
"","TEXT_HEAVNA101_01580_TODO_22<tab>","","","False","0x0000002E","",""
"","TEXT_HEAVNA101_01580_TODO_23<tab>","","","False","0x0000002F","",""
"","TEXT_HEAVNA101_01580_ALPHINAUD_000_010<tab>Not at all the circumstances under which I had hoped to visit Ishgard for the first time, but so be it.","TEXT_HEAVNA101_01580_ALPHINAUD_000_010<tab>Совсем не при таких обстоятельствах я ожидал посетить Ишгард в первый раз... Но так и быть.","","False","0x00000030","",""
