"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_HEAVNA325_01626_SEQ_00<tab>Moghan seems fretful about the weather.","TEXT_HEAVNA325_01626_SEQ_00<tab>Quelque chose semble préoccuper votre ami Moghan.","","False","0x00000000","",""
"","TEXT_HEAVNA325_01626_SEQ_01<tab>To your frustration, Moghan insists that with the winds blowing as they are, Hraesvelgr is unlikely to be found at Zenith. It would seem you have no choice but to make yourself comfortable, and wait for the weather to turn. Join the moogle in the clearing to the southeast of the wyrm's palace, and inquire if there is anything you can do to make the time pass more quickly.","TEXT_HEAVNA325_01626_SEQ_01<tab>Selon Moghan, Hraesvelgr a quitté L'Écume des cieux de Dravania et vous devez attendre que le vent tourne, ce qui indiquera son retour. Vous avez donc décidé de prendre un peu de repos en attendant. Reparlez au Mog céleste, au sud-ouest du passe-nuage d'Asah.","","False","0x00000001","",""
"","TEXT_HEAVNA325_01626_SEQ_02<tab>Alphinaud has left to gather wood for a fire, but Estinien seems concerned by the youth's distracted air. Follow after your fellow Scion, and see that he returns safely.","TEXT_HEAVNA325_01626_SEQ_02<tab>Alphinaud est parti chercher du bois pour faire un feu, et Estinien vous a conseillé de débarrasser les environs des monstres qui pourraient l'attaquer par surprise. Allez aux endroits propices et faites mordre la poussière à ces créatures.","","False","0x00000002","",""
"","TEXT_HEAVNA325_01626_SEQ_03<tab>You have slain the creatures lurking in Alphinaud's vicinity. Return to the clearing, and reassure Estinien that all is well.","TEXT_HEAVNA325_01626_SEQ_03<tab>Vous avez sécurisé la zone pour Alphinaud. Retournez à Zénith et parlez à Estinien.","","False","0x00000003","",""
"","TEXT_HEAVNA325_01626_SEQ_04<tab>You and your companions enjoy the warmth of the crackling campfire, speaking of the road you have traveled, and the lessons you have learned. But though shared adversity has brought you closer together, tensions yet simmer between Estinien and Ysayle. You can only hope that tomorrow's negotiations will bring a final resolution to their─and Ishgard's─conflict...","TEXT_HEAVNA325_01626_SEQ_04<tab>Vos compagnons et vous avez décidé de passer la nuit autour d'un feu bien chaud avant de partir à la rencontre du dragon sacré. Alphinaud, Ysayle et Estinien en ont profité pour se dévoiler un peu plus, expliquer leur passé ainsi que leurs différentes motivations. La journée suivante risque d'être d'une importance cruciale pour votre mission. Comment Hraesvelgr réagira-t-il à votre venue<var 1D /var>?","","False","0x00000004","",""
"","TEXT_HEAVNA325_01626_SEQ_05<tab>","TEXT_HEAVNA325_01626_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_HEAVNA325_01626_SEQ_06<tab>","TEXT_HEAVNA325_01626_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_HEAVNA325_01626_SEQ_07<tab>","TEXT_HEAVNA325_01626_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_HEAVNA325_01626_SEQ_08<tab>","TEXT_HEAVNA325_01626_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_HEAVNA325_01626_SEQ_09<tab>","TEXT_HEAVNA325_01626_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_HEAVNA325_01626_SEQ_10<tab>","TEXT_HEAVNA325_01626_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_HEAVNA325_01626_SEQ_11<tab>","TEXT_HEAVNA325_01626_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_HEAVNA325_01626_SEQ_12<tab>","TEXT_HEAVNA325_01626_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_HEAVNA325_01626_SEQ_13<tab>","TEXT_HEAVNA325_01626_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_HEAVNA325_01626_SEQ_14<tab>","TEXT_HEAVNA325_01626_SEQ_14<tab>","","False","0x0000000E","",""
