"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_HEAVNA707_01669_SEQ_00<tab>The guidance node has been awaiting your arrival at the Flagship with customary patience.","TEXT_HEAVNA707_01669_SEQ_00<tab>アジス・ラー旗艦島の誘導システムは、冒険者を待っていたようだ。","","False","0x00000000","",""
"","TEXT_HEAVNA707_01669_SEQ_01<tab>According to the guidance node, you are but a few steps away from your destination. However, it would seem that intruders have been detected ahead. Follow the node towards the heart of the isle, and be ready to defend yourself.","TEXT_HEAVNA707_01669_SEQ_01<tab>誘導システムと話し、案内を続行してもらうことになった。アジス・ラー旗艦島の魔科学研究所付近にいる「誘導システム」と話し、検知された侵入者を討伐しよう。","","False","0x00000001","",""
"","TEXT_HEAVNA707_01669_SEQ_02<tab>You have eliminated the imperial troops and secured the area. Speak with the guidance node to be granted entry to the Aetherochemical Research Facility.","TEXT_HEAVNA707_01669_SEQ_02<tab>侵入したガレマール帝国兵を討伐した。魔科学研究所付近の「誘導システム」と話そう。","","False","0x00000002","",""
"","TEXT_HEAVNA707_01669_SEQ_03<tab>Having opened the way to the Aetherochemical Research Facility, the guidance node bids you farewell and deactivates for what might very well be another five millennia. After casting a final glance at Gilly's motionless form, you turn your mind to the challenges of the present. Somewhere within, the archbishop and his knights await. Ready yourself for the worst and continue your pursuit.

※Challenge the Aetherochemical Research Facility with other players via the Duty Finder, or with a party of NPCs via Duty Support. Both systems are accessible from the main menu as well as the dungeon's entrance point.","TEXT_HEAVNA707_01669_SEQ_03<tab>誘導システムが、魔科学研究所への入口を開いてくれた。役目を終えた誘導システムは、責務を果たせたことに感謝し、静かに停止した。「蒼天聖戦 魔科学研究所」を攻略しよう。

※進入地点を調べて「サポートNPCと突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、サポートNPCと一緒に攻略できます。
※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。","","False","0x00000003","",""
"","TEXT_HEAVNA707_01669_SEQ_04<tab>While fighting your way through the Aetherochemical Research Facility, you find yourself face-to-face with Lahabrea and Igeyorhm. In a bid to eliminate you, the Ascians attack as one, but with Hydaelyn's blessing restored, you are more than a match for them.","TEXT_HEAVNA707_01669_SEQ_04<tab>「蒼天聖戦 魔科学研究所」を攻略し、立ちはだかった、アシエン・ラハブレアとアシエン・イゲオルムを討伐した。魔科学研究所には、まだ教皇と蒼天騎士がいるはずだ……！","","False","0x00000004","",""
"","TEXT_HEAVNA707_01669_SEQ_05<tab>Realizing the battle is lost, Igeyorhm attempts to flee, but before she can make good her escape, you destroy her with a blade of Light forged from the Eye's remaining aether. Alas, you are left without the means to strike down Lahabrea. Just when it seems certain that the Ascian will slip through your grasp, the archbishop and his knights arrive, bearing the body of Haldrath...and the Eye's long-lost twin. Having summoned the soul of the legendary King Thordan into himself, the archbishop conjures a divine blade using the power of the second Eye, and summarily executes Lahabrea. Judgment passed, the self-proclaimed god-king duly turns to leave, but not before issuing you a challenge. Answer it, and put an end to his madness once and for all.

※The Singularity Reactor can be accessed via the Duty Finder.","TEXT_HEAVNA707_01669_SEQ_05<tab>冒険者は、白聖石と竜の眼によって、アシエン・イゲオルムを完全に消滅させた。残るアシエン・ラハブレアの前に、教皇トールダン7世が立ちはだかった。教皇は、行方の知れなかったニーズヘッグの右眼が、征竜将「ハルドラス」の遺体とともにあることを明かし、それをもって騎神「トールダン」となった。アシエン・ラハブレアは、騎神「トールダン」にエーテルを喰われて消滅。今、最後の戦いが始まろうとしている……。蛮神「ナイツ・オブ・ラウンド」を討伐しよう。

※コンテンツファインダーから攻略に参加できます。","","False","0x00000005","",""
"","TEXT_HEAVNA707_01669_SEQ_06<tab>At the end of a titanic struggle, you triumph over Thordan and his knights, bringing to an end their deranged dream of founding a new world order.","TEXT_HEAVNA707_01669_SEQ_06<tab>蛮神「ナイツ・オブ・ラウンド」を討滅した。イシュガルドのフォルタン伯爵邸へ帰ろう。","","False","0x00000006","",""
"","TEXT_HEAVNA707_01669_SEQ_07<tab>Still breathless from your exertions, you look up to see Estinien, who sullenly collects the Eye and its twin. Alas, in so doing, the dragoon falls prey to Nidhogg's lingering influence and is claimed as a vessel for the great wyrm's rage. No sooner has he departed than the facility begins to collapse around you, prompting Midgardsormr to appear once again, and bear you away to safety.

Still reeling from what you have seen, you rejoin your comrades aboard the <var 1A 02 /var>Excelsior<var 1A 01 /var>, and are borne back to Ishgard and a hero's welcome. At the airship landing, Midgardsormr addresses Aymeric, and the two speak candidly of the future, their meeting marking the start of the journey towards peace between man and dragon.

Some days later, the Holy See makes its long-awaited return to the Eorzean Alliance in an uplifting ceremony attended by the leaders of all four city<var 1F /var>states. A fitting reward for your efforts, no doubt, but one that you wish Haurchefant, Ysayle, and Estinien could have seen... Speak with Alphinaud at Fortemps Manor and hear his thoughts on this momentous occasion.","TEXT_HEAVNA707_01669_SEQ_07<tab>蛮神「ナイツ・オブ・ラウンド」と化した、教皇トールダン7世と蒼天騎士を討伐した冒険者。万事解決かと思いきや、ふたつの竜の眼を手にしたエスティニアンが、ニーズヘッグと化して、いずこかへ飛び去ってしまった……。懸念を残しつつも、冒険者は仲間とともに、ミドガルズオルムの背に乗ってイシュガルドへと凱旋する。そして邂逅した、イシュガルドの人々とミドガルズオルム。再び竜と人との調和を望まんとする人の言葉に応え、ミドガルズオルムは、次の世代に希望を伝えろと告げるのであった。後日、イシュガルドは、教皇代行のアイメリクのもと、エオルゼア都市軍事同盟に復帰を果たした。皇都に響く歓声を遠くに聞きながら、冒険者は、友に戦いの終わりを告げるのだった……。フォルタン伯爵邸の「アルフィノ」と話そう。","","False","0x00000007","",""
"","TEXT_HEAVNA707_01669_SEQ_08<tab>Alphinaud is elated that his dream of a unified Eorzea has finally been realized. Though upheaval will invariably accompany the coming changes, he is confident that, with effort, peace and prosperity will follow. Together with your fellow Scions, do your part to see that it is so.","TEXT_HEAVNA707_01669_SEQ_08<tab>アルフィノと話した。彼は、イシュガルドが同盟に復帰したことを、心から喜んでいるようだ。こうしてまたひとつの物語の幕が閉じ、エオルゼアは、新たな歴史の歩みを踏み出していくことだろう。改革の痛みを伴いながら、それでも、真の平和の実現を信じて……。冒険者もまた、仲間とともに、未来へ向かって歩んでいこう。","","False","0x00000008","",""
"","TEXT_HEAVNA707_01669_SEQ_09<tab>","TEXT_HEAVNA707_01669_SEQ_09<tab>","","False","0x00000009","",""
