"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_JOBNIN600_01688_SEQ_00<tab>Oboro stands deathly still, as if listening for something.","TEXT_JOBNIN600_01688_SEQ_00<tab>船着場の平屋のオボロは、油断なく周囲の気配を探っているようだ。","","False","0x00000000","",""
"","TEXT_JOBNIN600_01688_SEQ_01<tab>In a voice barely above a whisper, Oboro tells you the storehouse is surrounded. The blades in the shadows are no doubt loyal to Redway, waiting to attack you when you are most vulnerable. Oboro bids you give them a target, by patrolling and pretending to /doze, then striking back.","TEXT_JOBNIN600_01688_SEQ_01<tab>船着場の平屋が、何者かに囲まれている。油断したふりで何者かを誘い出し、撃退しよう。船着場の平屋付近の「<var 28 ((EObj)) F61E9BB401 /var>」にエモート「居眠りする」をして、現れた「灰犬一家」を討伐しよう。","","False","0x00000001","",""
"","TEXT_JOBNIN600_01688_SEQ_02<tab>The unwanted visitors are no more. Tell Oboro as much.","TEXT_JOBNIN600_01688_SEQ_02<tab>灰犬一家を討伐した。船着場の平屋の「オボロ」と話そう。","","False","0x00000002","",""
"","TEXT_JOBNIN600_01688_SEQ_03<tab>Though Oboro had come up with a plan to sneak across to Hullbreaker Isle, the recent attack on the storehouse has changed his mind. If Redway has seen fit to send assassins to your hideout, no doubt unfriendly eyes watch the docks, as well. Oboro reasons the wisest course of action now is to see what opposition awaits you, and asks that you join him at the Moraby Drydocks.","TEXT_JOBNIN600_01688_SEQ_03<tab>オボロと話した。敵の拠点へ乗り込むため、モラビー造船廠へ行かなければ。低地ラノシアのモラビー造船廠にいる「オボロ」と話そう。","","False","0x00000003","",""
"","TEXT_JOBNIN600_01688_SEQ_04<tab>Crouched on a battlement, you and Oboro look out over the harbor in dismay. There are too many guards to fight. However, your friend is not without a plan. He supposes that since it is <var 1A 02 /var>you<var 1A 01 /var> who is bound by duty to save Princess Yuki, he is therefore free to put himself at risk and draw Redway's attention. This will allow you to sneak across the channel in the boat Jacke has provided. Retreat to Oschon's Torch and wait for your moment.","TEXT_JOBNIN600_01688_SEQ_04<tab>オボロと話し、彼が囮を務めることになった。囮の効果が出るまで、しばらく待つ必要がある。低地ラノシアのオシュオン灯台にある「<var 28 ((EObj)) F61E9BB501 /var>」で待機しよう。","","False","0x00000004","",""
"","TEXT_JOBNIN600_01688_SEQ_05<tab>Redway has gleefully captured Oboro, and left with his men. After pacifying an agitated Akagi, the two of you resolve to infiltrate the Truehounds' camp on Hullbreaker Isle. Speak with him at the Moraby Drydocks.","TEXT_JOBNIN600_01688_SEQ_05<tab>囮となったオボロを捕らえたレッドウェイは、モラビー造船廠から去っていったようだ。モラビー造船廠の「アカギ」と話そう。","","False","0x00000005","",""
"","TEXT_JOBNIN600_01688_SEQ_06<tab>You have spoken with Akagi. Approach him again when you are ready to board the boat to Hullbreaker Isle.","TEXT_JOBNIN600_01688_SEQ_06<tab>アカギと話した。敵の拠点へ乗り込む準備を整えたら、モラビー造船廠の「アカギ」と話そう。","","False","0x00000006","",""
"","TEXT_JOBNIN600_01688_SEQ_07<tab>Rosalinde promised the captive vassals' freedom in exchange for the treasures of the Yatsurugi clan. However, the captain goes back on her word when Princess Yuki brings them, and orders her bound and stowed with the other prisoners. Just as all hope seems lost, you appear with Akagi. Princess Yuki finally commands you to rescue her. You draw your daggers, slash Oboro's bonds, and take the fight to Redway. When the sellsword realizes he is losing, he makes to run─only to meet a gory end on Rosalinde's axe blade. After the battle continues, you finally put an end to the cutthroat captain's reaving for good. Their leader dead, the remaining Truehounds run, leaving behind all the treasures of the Yatsurugi clan. Princess Yuki offers her heartfelt thanks, and then turns excitedly to her freed vassals. With the profits from these treasures, her lands can be rebuilt. Oboro indicates it is time to take your leave. Speak with him in the dock storehouse.","TEXT_JOBNIN600_01688_SEQ_07<tab>ロサリンデとレッドウェイを倒し、ユキたちを助けだした。家宝もすべて取り取り戻し、すべては丸く収まった。船着場の平屋の「オボロ」と話そう。","","False","0x00000007","",""
"","TEXT_JOBNIN600_01688_SEQ_08<tab>Oboro congratulates you for the successful completion of your first mission. Truly, few other shinobi could have earned their master's trust as you earned Princess Yuki's. Now, he bids you meditate upon your experiences, and continue upon the path towards mastery of the art of ninjutsu.

※The next ninja quest will be available from Oboro once you have completed the main scenario quest “The Far Edge of Fate.”","TEXT_JOBNIN600_01688_SEQ_08<tab>こうして一連の任務が終わった。任務を通じて、冒険者は忍びとしてひとつ上の段階へ至った。これに安堵することなく、さらなる高みを目指して忍びの道を歩んでいこう。

※以下の条件を満たすと、船着場の平屋のオボロから、新たなジョブクエストを受注することができます。
1.「メインクエスト：竜詩戦争 戦後編」の、
　「宿命の果て」を完了する。","","False","0x00000008","",""
"","TEXT_JOBNIN600_01688_SEQ_09<tab>","TEXT_JOBNIN600_01688_SEQ_09<tab>","","False","0x00000009","",""
