"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_JOBWAR561_01677_SEQ_00<tab>The storm captain would hear more of your battle.","TEXT_JOBWAR561_01677_SEQ_00<tab>エールポートの黒渦団の大甲士は、冒険者の話を聞きたいようだ。","","False","0x00000000","",""
"","TEXT_JOBWAR561_01677_SEQ_01<tab>Your fighting has inspired the Maelstrom outfit, and each member will take lessons from the battle back with them. With the operation against the Serpent Reavers coming to a successful close, the troops will report to Maelstrom Command. Bring word of your operation at the Isles of Umbra to Broken Mountain at Camp Bronze Lake.","TEXT_JOBWAR561_01677_SEQ_01<tab>海賊討伐部隊は、散開した。高地ラノシアのキャンプ・ブロンズレイクにいる「ブロークン・マウンテン」と話そう。","","False","0x00000001","",""
"","TEXT_JOBWAR561_01677_SEQ_02<tab>Broken Mountain is reassured at your safe return, and surprised that such weak foes were able to awaken the inner beast so fiercely that you learned a new technique. He informs you that Curious Gorge is recovering from recent injuries suffered during his latest operation against the kobolds. Visit Curious Gorge and exchange battle stories in the relaxing hot springs.","TEXT_JOBWAR561_01677_SEQ_02<tab>ブロークン・マウンテンと話した。別の作戦に参加していたキュリアス・ゴージが負傷したという。キャンプ・ブロンズレイクの「キュリアス・ゴージ」と話そう。","","False","0x00000002","",""
"","TEXT_JOBWAR561_01677_SEQ_03<tab>You learn that Curious Gorge was injured in an operation against the kobolds after throwing himself on top of a bomb with more destructive capability than any that have been seen from the kobolds before. Despite the strength of the bomb, Curious Gorge's wounds are relatively light, and he is on the road to make a full recovery. Broken Mountain makes the connection between his brother's story and yours, and surmises that the key to taming the inner beast might lie in the resolve to protect the lives of one's allies.<br><br>However, while Broken Mountain is eager to test his theory by having his brother challenge a powerful adversary as you did, Curious Gorge remains fearful that the beast within will overcome him. The troubled warrior asks you let him think on this dilemma in peace. It seems Broken Mountain has some words he would like to share with you before you depart. Visit him to get his read on the situation.","TEXT_JOBWAR561_01677_SEQ_03<tab>キュリアス・ゴージと話した。彼は、すでに「原初の魂」を手懐けているようだが、本人は自信が持てずにいるようだ。キャンプ・ブロンズレイクの「ブロークン・マウンテン」と話そう。","","False","0x00000003","",""
"","TEXT_JOBWAR561_01677_SEQ_04<tab>Broken Mountain's theory is that the inner beast is roused in the heat of battle, and tamed when a warrior resolves to protect the lives of his allies. If he is correct, then his brother will no longer have to fear losing control, so long as he fights to protect those he holds dear. However, if Curious Gorge does lose control again, someone must have the strength to bring him back from the brink of bloodlust. Continue your training so that Curious Gorge can swing his axe without hesitation during his next battle.<br><br>※The next warrior quest will be available from Broken Mountain upon reaching level 58.","TEXT_JOBWAR561_01677_SEQ_04<tab>ブロークン・マウンテンと話した。キュリアス・ゴージが心置きなく全力を出せるように、さらなる鍛練を積もう。<br><br>※戦士のレベルが58以上になると、キャンプ・ブロンズレイクのブロークン・マウンテンから次の戦士クエストを受注することができます。","","False","0x00000004","",""
"","TEXT_JOBWAR561_01677_SEQ_05<tab>","TEXT_JOBWAR561_01677_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_JOBWAR561_01677_SEQ_06<tab>","TEXT_JOBWAR561_01677_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_JOBWAR561_01677_SEQ_07<tab>","TEXT_JOBWAR561_01677_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_JOBWAR561_01677_SEQ_08<tab>","TEXT_JOBWAR561_01677_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_JOBWAR561_01677_SEQ_09<tab>","TEXT_JOBWAR561_01677_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_JOBWAR561_01677_SEQ_10<tab>","TEXT_JOBWAR561_01677_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_JOBWAR561_01677_SEQ_11<tab>","TEXT_JOBWAR561_01677_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_JOBWAR561_01677_SEQ_12<tab>","TEXT_JOBWAR561_01677_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_JOBWAR561_01677_SEQ_13<tab>","TEXT_JOBWAR561_01677_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_JOBWAR561_01677_SEQ_14<tab>","TEXT_JOBWAR561_01677_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_JOBWAR561_01677_SEQ_15<tab>","TEXT_JOBWAR561_01677_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_JOBWAR561_01677_SEQ_16<tab>","TEXT_JOBWAR561_01677_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_JOBWAR561_01677_SEQ_17<tab>","TEXT_JOBWAR561_01677_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_JOBWAR561_01677_SEQ_18<tab>","TEXT_JOBWAR561_01677_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_JOBWAR561_01677_SEQ_19<tab>","TEXT_JOBWAR561_01677_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_JOBWAR561_01677_SEQ_20<tab>","TEXT_JOBWAR561_01677_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_JOBWAR561_01677_SEQ_21<tab>","TEXT_JOBWAR561_01677_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_JOBWAR561_01677_SEQ_22<tab>","TEXT_JOBWAR561_01677_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_JOBWAR561_01677_SEQ_23<tab>","TEXT_JOBWAR561_01677_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_JOBWAR561_01677_TODO_00<tab>Speak with Broken Mountain.","TEXT_JOBWAR561_01677_TODO_00<tab>キャンプ・ブロンズレイクのブロークン・マウンテンと話す","","False","0x00000018","",""
"","TEXT_JOBWAR561_01677_TODO_01<tab>Speak with Curious Gorge.","TEXT_JOBWAR561_01677_TODO_01<tab>キャンプ・ブロンズレイクのキュリアス・ゴージと話す","","False","0x00000019","",""
"","TEXT_JOBWAR561_01677_TODO_02<tab>Speak with Broken Mountain.","TEXT_JOBWAR561_01677_TODO_02<tab>ブロークン・マウンテンと話す","","False","0x0000001A","",""
"","TEXT_JOBWAR561_01677_TODO_03<tab>","TEXT_JOBWAR561_01677_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_JOBWAR561_01677_TODO_04<tab>","TEXT_JOBWAR561_01677_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_JOBWAR561_01677_TODO_05<tab>","TEXT_JOBWAR561_01677_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_JOBWAR561_01677_TODO_06<tab>","TEXT_JOBWAR561_01677_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_JOBWAR561_01677_TODO_07<tab>","TEXT_JOBWAR561_01677_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_JOBWAR561_01677_TODO_08<tab>","TEXT_JOBWAR561_01677_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_JOBWAR561_01677_TODO_09<tab>","TEXT_JOBWAR561_01677_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_JOBWAR561_01677_TODO_10<tab>","TEXT_JOBWAR561_01677_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_JOBWAR561_01677_TODO_11<tab>","TEXT_JOBWAR561_01677_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_JOBWAR561_01677_TODO_12<tab>","TEXT_JOBWAR561_01677_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_JOBWAR561_01677_TODO_13<tab>","TEXT_JOBWAR561_01677_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_JOBWAR561_01677_TODO_14<tab>","TEXT_JOBWAR561_01677_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_JOBWAR561_01677_TODO_15<tab>","TEXT_JOBWAR561_01677_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_JOBWAR561_01677_TODO_16<tab>","TEXT_JOBWAR561_01677_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_JOBWAR561_01677_TODO_17<tab>","TEXT_JOBWAR561_01677_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_JOBWAR561_01677_TODO_18<tab>","TEXT_JOBWAR561_01677_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_JOBWAR561_01677_TODO_19<tab>","TEXT_JOBWAR561_01677_TODO_19<tab>","","False","0x0000002B","",""
