"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_HEAVNZ113_01762_SEQ_00<tab>Dominiac is simmering with impatience.","TEXT_HEAVNZ113_01762_SEQ_00<tab>聖フィネア連隊の露営地のドミニアクは、焦燥感をにじませながら深く考えこんでいる。","","False","0x00000000","",""
"","TEXT_HEAVNZ113_01762_SEQ_01<tab>Dominiac wants to support Ser Aymeric, but cannot do so without first gaining glory slaying dragons. Unfortunately, he is not having much luck. He simply does not know much about what he is hunting. Lend him a hand by finding out what you can about these mysterious creatures.","TEXT_HEAVNZ113_01762_SEQ_01<tab>ドミニアクから、ドラゴン族についての情報を集めるよう頼まれた。聖フィネア連隊の露営地で、ドラゴン族の情報を持っている人物を探そう。","","False","0x00000001","",""
"","TEXT_HEAVNZ113_01762_SEQ_02<tab>The sly scout says he is happy to share his knowledge of dragons, but for a price. Do his patrol duty for him and he'll tell you what he knows.","TEXT_HEAVNZ113_01762_SEQ_02<tab>小賢しい巡回兵が、ドラゴン族の情報を教えてくれるという。しかし、その代わりに巡回を頼まれた。聖フィネア連隊の露営地付近にある「<var 28 ((EObj)) F61E9BF501 /var>」で周囲を見渡そう。","","False","0x00000002","",""
"","TEXT_HEAVNZ113_01762_SEQ_03<tab>You have completed the patrol duty as requested. Return to the scout at the Convictory and find out what he knows.","TEXT_HEAVNZ113_01762_SEQ_03<tab>巡回を完了した。聖フィネア連隊の露営地にいる「小賢しい巡回兵」に報告しよう。","","False","0x00000003","",""
"","TEXT_HEAVNZ113_01762_SEQ_04<tab>True to his word, the scout shares a useful secret about dragons. For reasons as yet unknown, the bodies of slain dragons seem to attract more powerful dragons. This has obvious tactical and strategic implications, but the scout implores you not to share this information, as it has the potential to be very, very dangerous. Tell Dominiac anyway.","TEXT_HEAVNZ113_01762_SEQ_04<tab>小賢しい巡回兵から、ドラゴン族の眷属の死体を放置していると、別の眷属をおびき出せるという情報を引き出した。聖フィネア連隊の露営地の「ドミニアク」に報告しよう。","","False","0x00000004","",""
"","TEXT_HEAVNZ113_01762_SEQ_05<tab>Dominiac realizes that he can start with a small dragon and, by leaving its corpse, attract larger prey. By repeating this process, he can attract increasingly larger dragons until he gains the glory he seeks. Hopefully he will use this knowledge wisely.","TEXT_HEAVNZ113_01762_SEQ_05<tab>ドミニアクに報告した。彼はドラゴン族の眷属の習性を利用し、上位のドラゴン族を誘い出す計画を立てたようだ。冒険者も、その計画に協力しよう。","","False","0x00000005","",""
"","TEXT_HEAVNZ113_01762_SEQ_06<tab>","TEXT_HEAVNZ113_01762_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_HEAVNZ113_01762_SEQ_07<tab>","TEXT_HEAVNZ113_01762_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_HEAVNZ113_01762_SEQ_08<tab>","TEXT_HEAVNZ113_01762_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_HEAVNZ113_01762_SEQ_09<tab>","TEXT_HEAVNZ113_01762_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_HEAVNZ113_01762_SEQ_10<tab>","TEXT_HEAVNZ113_01762_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_HEAVNZ113_01762_SEQ_11<tab>","TEXT_HEAVNZ113_01762_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_HEAVNZ113_01762_SEQ_12<tab>","TEXT_HEAVNZ113_01762_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_HEAVNZ113_01762_SEQ_13<tab>","TEXT_HEAVNZ113_01762_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_HEAVNZ113_01762_SEQ_14<tab>","TEXT_HEAVNZ113_01762_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_HEAVNZ113_01762_SEQ_15<tab>","TEXT_HEAVNZ113_01762_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_HEAVNZ113_01762_SEQ_16<tab>","TEXT_HEAVNZ113_01762_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_HEAVNZ113_01762_SEQ_17<tab>","TEXT_HEAVNZ113_01762_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_HEAVNZ113_01762_SEQ_18<tab>","TEXT_HEAVNZ113_01762_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_HEAVNZ113_01762_SEQ_19<tab>","TEXT_HEAVNZ113_01762_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_HEAVNZ113_01762_SEQ_20<tab>","TEXT_HEAVNZ113_01762_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_HEAVNZ113_01762_SEQ_21<tab>","TEXT_HEAVNZ113_01762_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_HEAVNZ113_01762_SEQ_22<tab>","TEXT_HEAVNZ113_01762_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_HEAVNZ113_01762_SEQ_23<tab>","TEXT_HEAVNZ113_01762_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_HEAVNZ113_01762_TODO_00<tab>Gather information about the Dravanian Horde.","TEXT_HEAVNZ113_01762_TODO_00<tab>聖フィネア連隊の露営地でドラゴン族についての情報を集める","","False","0x00000018","",""
"","TEXT_HEAVNZ113_01762_TODO_01<tab>Stand watch at the specified locations.","TEXT_HEAVNZ113_01762_TODO_01<tab><var 28 ((EObj)) F61E9BF501 /var>で見渡す","","False","0x00000019","",""
"","TEXT_HEAVNZ113_01762_TODO_02<tab>Speak with the sly scout at the Convictory.","TEXT_HEAVNZ113_01762_TODO_02<tab>小賢しい巡回兵に報告","","False","0x0000001A","",""
"","TEXT_HEAVNZ113_01762_TODO_03<tab>Report to Dominiac.","TEXT_HEAVNZ113_01762_TODO_03<tab>ドミニアクに報告","","False","0x0000001B","",""
"","TEXT_HEAVNZ113_01762_TODO_04<tab>","TEXT_HEAVNZ113_01762_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_HEAVNZ113_01762_TODO_05<tab>","TEXT_HEAVNZ113_01762_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_HEAVNZ113_01762_TODO_06<tab>","TEXT_HEAVNZ113_01762_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_HEAVNZ113_01762_TODO_07<tab>","TEXT_HEAVNZ113_01762_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_HEAVNZ113_01762_TODO_08<tab>","TEXT_HEAVNZ113_01762_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_HEAVNZ113_01762_TODO_09<tab>","TEXT_HEAVNZ113_01762_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_HEAVNZ113_01762_TODO_10<tab>","TEXT_HEAVNZ113_01762_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_HEAVNZ113_01762_TODO_11<tab>","TEXT_HEAVNZ113_01762_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_HEAVNZ113_01762_TODO_12<tab>","TEXT_HEAVNZ113_01762_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_HEAVNZ113_01762_TODO_13<tab>","TEXT_HEAVNZ113_01762_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_HEAVNZ113_01762_TODO_14<tab>","TEXT_HEAVNZ113_01762_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_HEAVNZ113_01762_TODO_15<tab>","TEXT_HEAVNZ113_01762_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_HEAVNZ113_01762_TODO_16<tab>","TEXT_HEAVNZ113_01762_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_HEAVNZ113_01762_TODO_17<tab>","TEXT_HEAVNZ113_01762_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_HEAVNZ113_01762_TODO_18<tab>","TEXT_HEAVNZ113_01762_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_HEAVNZ113_01762_TODO_19<tab>","TEXT_HEAVNZ113_01762_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_HEAVNZ113_01762_TODO_20<tab>","TEXT_HEAVNZ113_01762_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_HEAVNZ113_01762_TODO_21<tab>","TEXT_HEAVNZ113_01762_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_HEAVNZ113_01762_TODO_22<tab>","TEXT_HEAVNZ113_01762_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_HEAVNZ113_01762_TODO_23<tab>","TEXT_HEAVNZ113_01762_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_HEAVNZ113_01762_DOMINIAC_000_000<tab>Greetings, <var 08 E905 ((madam)) ((sir)) /var>. Your reputation precedes you. Once you slay a few primals, word gets around. Seeing as you're so strong and powerful, I was wondering if you might be able to help me out with something.","TEXT_HEAVNZ113_01762_DOMINIAC_000_000<tab>……むっ、貴公はフォルタン家に出入する冒険者か？<br>貴公の話は、我が友アイメリクから聞いている。<br>蛮神をも退けるその力、ぜひお借りしたい。","","False","0x00000030","",""
"","TEXT_HEAVNZ113_01762_DOMINIAC_000_001<tab>I want nothing more than to support the great Ser Aymeric. But Ishgardian society revolves around the nobility. Those not of noble birth─such as myself─have no power at all.","TEXT_HEAVNZ113_01762_DOMINIAC_000_001<tab>我が望みは、盟友アイメリクの志を支えること！<br>なれども、イシュガルドの厳しい貴族社会においては、<br>爵位を持たぬ私には、何の力もない。","","False","0x00000031","",""
"","TEXT_HEAVNZ113_01762_DOMINIAC_000_002<tab>The only way to gain the power of nobility is through a truly noble display of courage. There's one simple way to do that─slay a monstrous, ancient dragon. There are some feats that cannot be ignored.","TEXT_HEAVNZ113_01762_DOMINIAC_000_002<tab>では、力を得るにはどうしたら良いのか！<br>大物のドラゴン族を討ち倒し、大いなる武勲を挙げる、<br>これこそが最上の道といえるだろう。","","False","0x00000032","",""
