"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_HEAVNA406_01993_SEQ_00<tab>Alphinaud is not one to be easily deterred.","TEXT_HEAVNA406_01993_SEQ_00<tab>Alphinaud möchte noch weitere Erkundigungen einziehen.","","False","0x00000000","",""
"","TEXT_HEAVNA406_01993_SEQ_01<tab>Displaying an uncharacteristic lack of imagination, Alphinaud decides to continue questioning the people of the Brume, and bids you speak with Gibrillont in the meantime. Perhaps the proprietor of the Forgotten Knight will be more forthcoming than his customers.","TEXT_HEAVNA406_01993_SEQ_01<tab>Alphinaud hat dich gebeten, mit Gibrillont im Vergessenen Ritter zu sprechen. Er hofft, dass dem Wirt etwas zu Ohren gekommen ist, das ihn zu Langohr führen wird.","","False","0x00000001","",""
"","TEXT_HEAVNA406_01993_SEQ_02<tab>In response to your inquiries about the Mongrel, Gibrillont stresses that discretion is key to running a successful tavern, making it all too clear that he will divulge no useful information. Before you can turn to leave, however, he offers to point you in the right direction in exchange for a small favor. Make your way to the Jeweled Crozier and collect a satchel of herbs from a hunter in Gibrillont's stead.","TEXT_HEAVNA406_01993_SEQ_02<tab>Du hast mit Gibrillont gesprochen. Wenn du für ihn einen Botengang erledigst, will er dir verraten, wie du Langohr finden kannst. Sprich mit dem geschickten Jäger in der Ferula-Zeile in Ishgard.","","False","0x00000002","",""
"","TEXT_HEAVNA406_01993_SEQ_03<tab>The hunter hands over the herbs with minimal fuss. Return to the Forgotten Knight and deliver them to Gibrillont.","TEXT_HEAVNA406_01993_SEQ_03<tab>Du hast von dem geschickten Jäger <var 32 ((EventItem)) 02F61E8AB7020502 /var> erhalten. Übergib es Gibrillont im Vergessenen Ritter.","","False","0x00000003","",""
"","TEXT_HEAVNA406_01993_SEQ_04<tab>Herbs in hand, the proprietor of the Forgotten Knight sets about preparing a batch of mulled wine. Few things stir the hearts of men so well, he says. If shared with the right people, what stories─and secrets─might spill from their lips?","TEXT_HEAVNA406_01993_SEQ_04<tab>Du hast Gibrillont <var 32 ((EventItem)) 03F61E8AB7020502 /var> überreicht, der daraus einen Glühwein herstellen möchte. Er verrät dir nicht, wozu er ihn braucht, sondern meint nur vielsagend, dass guter Wein schon so manche Zunge gelockert habe ...","","False","0x00000004","",""
"","TEXT_HEAVNA406_01993_SEQ_05<tab>","TEXT_HEAVNA406_01993_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_HEAVNA406_01993_SEQ_06<tab>","TEXT_HEAVNA406_01993_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_HEAVNA406_01993_SEQ_07<tab>","TEXT_HEAVNA406_01993_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_HEAVNA406_01993_SEQ_08<tab>","TEXT_HEAVNA406_01993_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_HEAVNA406_01993_SEQ_09<tab>","TEXT_HEAVNA406_01993_SEQ_09<tab>","","False","0x00000009","",""
