"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_HEAVNZ726_01930_SEQ_00<tab>The Vath fleetfoot is looking at you expectantly.","TEXT_HEAVNZ726_01930_SEQ_00<tab>Idaten vous regarde avec des yeux pleins d'espoir.","","False","0x00000000","",""
"","TEXT_HEAVNZ726_01930_SEQ_01<tab>The Vath fleetfoot is worried by news of an impending Gnath assault on Loth ast Vath. The Vath are ill prepared to deal with a direct, all-out offensive from the much larger Gnath hive. Their only option is a preemptive assault, weakening the enemy before it can finish mobilizing.","TEXT_HEAVNZ726_01930_SEQ_01<tab>Pour contrecarrer les plans des Gnathes, Idaten vous a demandé d'affaiblir leurs troupes. Rendez-vous à Loth ast Gnath et éliminez quatre Gnathes parmi <var 33 ((BNpcName)) 03F20E060302 /var>, <var 33 ((BNpcName)) 03F20E070302 /var> et <var 33 ((BNpcName)) 03F20E080302 /var>.","","False","0x00000001","",""
"","TEXT_HEAVNZ726_01930_SEQ_02<tab>You slay the Gnath as instructed, hopefully stymieing their plans of an attack on the Vath. Report back to the Vath fleetfoot with news of the completion of your mission.","TEXT_HEAVNZ726_01930_SEQ_02<tab>Vous avez affaibli les troupes gnathes comme Idaten vous l'avait demandé. Retournez auprès de lui pour lui annoncer la bonne nouvelle.","","False","0x00000002","",""
"","TEXT_HEAVNZ726_01930_SEQ_03<tab>The fleetfoot congratulates you on a successful mission. He goes on to explain how he had knowledge of the planned attack: While the Vath of the Nonmind cannot hear the thoughts of the Gnath Onemind, this is not due to a complete severing of the mental connection; the link is merely massively weakened. Some Vath can, from time to time, perceive the Onemind's thoughts. It does not seem that the Gnath are aware of this vestigial connection or the knowledge it provides the Vath with.","TEXT_HEAVNZ726_01930_SEQ_03<tab>Vous avez annoncé la réussite de votre mission à Idaten, qui vous a expliqué comment il avait appris les plans d'attaque des Gnathes. Même si le lien spirituel qui relie les Égarés à l'Éveillé n'est pas aussi fort que pour les Fidèles, il leur arrive parfois malgré tout de percevoir ses pensées. Les Gnathes ne semblent pas conscients de ce fait, ce qui constitue un avantage pour Idaten et les siens.","","False","0x00000003","",""
"","TEXT_HEAVNZ726_01930_SEQ_04<tab>","TEXT_HEAVNZ726_01930_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_HEAVNZ726_01930_SEQ_05<tab>","TEXT_HEAVNZ726_01930_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_HEAVNZ726_01930_SEQ_06<tab>","TEXT_HEAVNZ726_01930_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_HEAVNZ726_01930_SEQ_07<tab>","TEXT_HEAVNZ726_01930_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_HEAVNZ726_01930_SEQ_08<tab>","TEXT_HEAVNZ726_01930_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_HEAVNZ726_01930_SEQ_09<tab>","TEXT_HEAVNZ726_01930_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_HEAVNZ726_01930_SEQ_10<tab>","TEXT_HEAVNZ726_01930_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_HEAVNZ726_01930_SEQ_11<tab>","TEXT_HEAVNZ726_01930_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_HEAVNZ726_01930_SEQ_12<tab>","TEXT_HEAVNZ726_01930_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_HEAVNZ726_01930_SEQ_13<tab>","TEXT_HEAVNZ726_01930_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_HEAVNZ726_01930_SEQ_14<tab>","TEXT_HEAVNZ726_01930_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_HEAVNZ726_01930_SEQ_15<tab>","TEXT_HEAVNZ726_01930_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_HEAVNZ726_01930_SEQ_16<tab>","TEXT_HEAVNZ726_01930_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_HEAVNZ726_01930_SEQ_17<tab>","TEXT_HEAVNZ726_01930_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_HEAVNZ726_01930_SEQ_18<tab>","TEXT_HEAVNZ726_01930_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_HEAVNZ726_01930_SEQ_19<tab>","TEXT_HEAVNZ726_01930_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_HEAVNZ726_01930_SEQ_20<tab>","TEXT_HEAVNZ726_01930_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_HEAVNZ726_01930_SEQ_21<tab>","TEXT_HEAVNZ726_01930_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_HEAVNZ726_01930_SEQ_22<tab>","TEXT_HEAVNZ726_01930_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_HEAVNZ726_01930_SEQ_23<tab>","TEXT_HEAVNZ726_01930_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_HEAVNZ726_01930_TODO_00<tab>Slay Gnath.","TEXT_HEAVNZ726_01930_TODO_00<tab>Tuer des Gnathes <var 1A 02 /var>du loth<var 1A 01 /var>","","False","0x00000018","",""
"","TEXT_HEAVNZ726_01930_TODO_01<tab>Report to the Vath fleetfoot.","TEXT_HEAVNZ726_01930_TODO_01<tab>Parler à Idaten","","False","0x00000019","",""
