"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_HEAVNZ906_01971_SEQ_00<tab>Saro Roggo is resigned to his fate.","TEXT_HEAVNZ906_01971_SEQ_00<tab>Saro Roggo sitzt nach wie vor in Matoyas Höhle und bläst Trübsal.","","False","0x00000000","",""
"","TEXT_HEAVNZ906_01971_SEQ_01<tab>Saro Roggo has resigned himself to reverting to being an ordinary toad, and plans to go back to dwelling in the wetlands outside Matoya's Cave. However, flat-footed opkens lurk near the area and prey upon his kind. Lie in wait at the specified locations and slay three of the creatures, that Saro Roggo need not live in fear.","TEXT_HEAVNZ906_01971_SEQ_01<tab>Saro Roggo befürchtet, bald wieder ein Dasein als normaler Frosch zu fristen. Er macht sich Sorgen, dass irgendwelche „Fischwesen“ ihm dann das Leben schwer machen. Dünne ihre Population im Feuchtgebiet vor der Höhle etwas aus.","","False","0x00000001","",""
"","TEXT_HEAVNZ906_01971_SEQ_02<tab>You have eliminated the opkens. Take word of your success back to Saro Roggo.","TEXT_HEAVNZ906_01971_SEQ_02<tab>Du hast dich der Plattfuß-Opken angenommen. Kehre zu Saro Roggo zurück.","","False","0x00000002","",""
"","TEXT_HEAVNZ906_01971_SEQ_03<tab>Saro Roggo thanks you for making his past and future home safe again. But in spite of his apparent resignation, it is painfully obvious that he is not ready to give up. Use your powers of deduction to ascertain what he desires of you, and perform the appropriate action for him.","TEXT_HEAVNZ906_01971_SEQ_03<tab>Saro Roggo sieht seiner Zukunft als gemeiner Frosch etwas entspannter entgegen, aber so richtig scheint er sich mit seinem Schicksal doch noch nicht abgefunden zu haben. Was kann man nur für so eine be<var 16 /var>mit<var 16 /var>leidens<var 16 /var>werte Gestalt tun?","","False","0x00000003","",""
"","TEXT_HEAVNZ906_01971_SEQ_04<tab>Your boisterous cheering has the desired effect, and Saro Roggo regains his determination to please his mistress. He declares that he will ask after her desires directly...right after you soften her up for him.","TEXT_HEAVNZ906_01971_SEQ_04<tab>Sprich mit Matoya. Vielleicht kannst du sie überzeugen, Saro Roggo zu behalten.","","False","0x00000004","",""
"","TEXT_HEAVNZ906_01971_SEQ_05<tab>Following your lead, Saro Roggo approaches his mistress, and begs to know her desires. To his disappointment, however, she replies that she has none, explaining that she is but an old woman awaiting her death. Moved by his devotion, Matoya entrusts to Saro Roggo the task of closing her Crystal Eye when she dies, and then laying the serendipitous broom at her side. You may rest assured in the knowledge that Saro Roggo has finally found a purpose for his existence.","TEXT_HEAVNZ906_01971_SEQ_05<tab>Matoya hat zwar jetzt keine Verwendung für einen ungeschickten Poroggo, aber sie schätzt Saro Roggos Treue und hat sich eine besondere Aufgabe für ihn überlegt. Er soll die Besenschwester rufen, wenn Matoyas Stündlein geschlagen hat. Die Besenschwester bewahrt Matoyas Erinnerungen auf und diesen wertvollen Schatz möchte die alte Frau neben sich wissen, wenn sie aus dem Leben scheidet.","","False","0x00000005","",""
"","TEXT_HEAVNZ906_01971_SEQ_06<tab>","TEXT_HEAVNZ906_01971_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_HEAVNZ906_01971_SEQ_07<tab>","TEXT_HEAVNZ906_01971_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_HEAVNZ906_01971_SEQ_08<tab>","TEXT_HEAVNZ906_01971_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_HEAVNZ906_01971_SEQ_09<tab>","TEXT_HEAVNZ906_01971_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_HEAVNZ906_01971_SEQ_10<tab>","TEXT_HEAVNZ906_01971_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_HEAVNZ906_01971_SEQ_11<tab>","TEXT_HEAVNZ906_01971_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_HEAVNZ906_01971_SEQ_12<tab>","TEXT_HEAVNZ906_01971_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_HEAVNZ906_01971_SEQ_13<tab>","TEXT_HEAVNZ906_01971_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_HEAVNZ906_01971_SEQ_14<tab>","TEXT_HEAVNZ906_01971_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_HEAVNZ906_01971_SEQ_15<tab>","TEXT_HEAVNZ906_01971_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_HEAVNZ906_01971_SEQ_16<tab>","TEXT_HEAVNZ906_01971_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_HEAVNZ906_01971_SEQ_17<tab>","TEXT_HEAVNZ906_01971_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_HEAVNZ906_01971_SEQ_18<tab>","TEXT_HEAVNZ906_01971_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_HEAVNZ906_01971_SEQ_19<tab>","TEXT_HEAVNZ906_01971_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_HEAVNZ906_01971_SEQ_20<tab>","TEXT_HEAVNZ906_01971_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_HEAVNZ906_01971_SEQ_21<tab>","TEXT_HEAVNZ906_01971_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_HEAVNZ906_01971_SEQ_22<tab>","TEXT_HEAVNZ906_01971_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_HEAVNZ906_01971_SEQ_23<tab>","TEXT_HEAVNZ906_01971_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_HEAVNZ906_01971_TODO_00<tab>Lie in wait outside Matoya's Cave and defeat flat-footed opkens.","TEXT_HEAVNZ906_01971_TODO_00<tab>Vor der Höhle Fischwesen erledigen","","False","0x00000018","",""
"","TEXT_HEAVNZ906_01971_TODO_01<tab>Report to Saro Roggo in Matoya's Cave.","TEXT_HEAVNZ906_01971_TODO_01<tab>Zu Saro Roggo zurückkehren","","False","0x00000019","",""
"","TEXT_HEAVNZ906_01971_TODO_02<tab>Perform the appropriate action for Saro Roggo.","TEXT_HEAVNZ906_01971_TODO_02<tab>???","","False","0x0000001A","",""
"","TEXT_HEAVNZ906_01971_TODO_03<tab>Speak with Matoya.","TEXT_HEAVNZ906_01971_TODO_03<tab>Mit Matoya sprechen","","False","0x0000001B","",""
"","TEXT_HEAVNZ906_01971_TODO_04<tab>","TEXT_HEAVNZ906_01971_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_HEAVNZ906_01971_TODO_05<tab>","TEXT_HEAVNZ906_01971_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_HEAVNZ906_01971_TODO_06<tab>","TEXT_HEAVNZ906_01971_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_HEAVNZ906_01971_TODO_07<tab>","TEXT_HEAVNZ906_01971_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_HEAVNZ906_01971_TODO_08<tab>","TEXT_HEAVNZ906_01971_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_HEAVNZ906_01971_TODO_09<tab>","TEXT_HEAVNZ906_01971_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_HEAVNZ906_01971_TODO_10<tab>","TEXT_HEAVNZ906_01971_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_HEAVNZ906_01971_TODO_11<tab>","TEXT_HEAVNZ906_01971_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_HEAVNZ906_01971_TODO_12<tab>","TEXT_HEAVNZ906_01971_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_HEAVNZ906_01971_TODO_13<tab>","TEXT_HEAVNZ906_01971_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_HEAVNZ906_01971_TODO_14<tab>","TEXT_HEAVNZ906_01971_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_HEAVNZ906_01971_TODO_15<tab>","TEXT_HEAVNZ906_01971_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_HEAVNZ906_01971_TODO_16<tab>","TEXT_HEAVNZ906_01971_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_HEAVNZ906_01971_TODO_17<tab>","TEXT_HEAVNZ906_01971_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_HEAVNZ906_01971_TODO_18<tab>","TEXT_HEAVNZ906_01971_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_HEAVNZ906_01971_TODO_19<tab>","TEXT_HEAVNZ906_01971_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_HEAVNZ906_01971_TODO_20<tab>","TEXT_HEAVNZ906_01971_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_HEAVNZ906_01971_TODO_21<tab>","TEXT_HEAVNZ906_01971_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_HEAVNZ906_01971_TODO_22<tab>","TEXT_HEAVNZ906_01971_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_HEAVNZ906_01971_TODO_23<tab>","TEXT_HEAVNZ906_01971_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_HEAVNZ906_01971_SYSTEM_000_000<tab>Should you choose to undertake this quest, you will receive no guidance from the journal or the duty list. You will need to read the text carefully and decipher the clues to determine your next course of action.","TEXT_HEAVNZ906_01971_SYSTEM_000_000<tab>Dieser Auftrag enthält Rätsel, die der Spieler selbstständig lösen muss. Die Aufgabenliste, das Archiv und die Karte geben stellenweise keine konkreten Anweisungen.","","False","0x00000030","",""
"","TEXT_HEAVNZ906_01971_SAROROGGO_000_001<tab>It feels like only yesterday that I was a simple toad, without a thought for aught beyond the next bug I would eat.","TEXT_HEAVNZ906_01971_SAROROGGO_000_001<tab>Wenn ich daran denke, dass ich bald wieder in einem kalten Tümpel sitze und nichts als „Quaaak!“ von mir geben kann, wird mir ganz anders.","","False","0x00000031","",""
"","TEXT_HEAVNZ906_01971_SAROROGGO_000_002<tab>But a twist of fate saw me chosen by Mistress Matoya. She raised me up, ribbit, making me into a poroggo and bestowing upon me a name.","TEXT_HEAVNZ906_01971_SAROROGGO_000_002<tab>Ich war so stolz, als Frau Matoya mich auswählte, mich zum Poroggo machte und mir einen Namen und Verstand schenkte.","","False","0x00000032","",""
"","TEXT_HEAVNZ906_01971_SAROROGGO_000_003<tab>Short though my time was serving my mistress, and poorly, these were the happiest days of my life. <croak>","TEXT_HEAVNZ906_01971_SAROROGGO_000_003<tab>Saro Roggo hat viel falsch gemacht, aber nie mit Absicht ... Ach, ich hatte es gut, wenn auch nur für kurz.","","False","0x00000033","",""
"","TEXT_HEAVNZ906_01971_SAROROGGO_000_004<tab>Will you oblige me one last favor, kind adventurer? A request from a condemned soul, ribbit?","TEXT_HEAVNZ906_01971_SAROROGGO_000_004<tab>Und dann sind da ja noch diese widerlichen Fischwesen ... Diese Rabauken. Einmal haben sie mir meinen Fliegenvorrat gestohlen, ein anderes Mal sogar meinen Laich im ganzen See verteilt.","","False","0x00000034","",""
"","TEXT_HEAVNZ906_01971_SAROROGGO_000_005<tab>When I revert to an ordinary toad, I will go back to dwelling in the wetlands outside my mistress's cave. However, opkens lurk near the area, preying upon my kind. Please vanquish the beasts, that I needn't live in fear.","TEXT_HEAVNZ906_01971_SAROROGGO_000_005<tab>Ach, <var 08 E905 ((freundliche Abenteurerin)) ((freundlicher Abenteurer)) /var>, tust du mir noch einen Gefallen, bevor ich wieder zu einem ganz normalen Frosch werde? Vertreib ein paar dieser Fischwesen. Dann fühle ich mich etwas sicherer. ","","False","0x00000035","",""
"","TEXT_HEAVNZ906_01971_SAROROGGO_000_010<tab>When I revert to an ordinary toad, I will go back to dwelling in the wetlands outside my mistress's cave. However, opkens lurk near the area, preying upon my kind. Please vanquish the beasts, that I needn't live in fear.","TEXT_HEAVNZ906_01971_SAROROGGO_000_010<tab>Vertreib ein paar der Fischwesen in den Wassern vor der Höhle. Dann fühle ich mich etwas sicherer.","","False","0x00000036","",""
"","TEXT_HEAVNZ906_01971_SAROROGGO_000_020<tab>You have seen to the opkens? Thank you ever so much, ribbit!","TEXT_HEAVNZ906_01971_SAROROGGO_000_020<tab>Wirklich staaark, quaaak! <var 08 E905 ((Die freundliche Abenteurerin)) ((Der freundliche Abenteurer)) /var> hat die Fischwesen vertrieben!","","False","0x00000037","",""
"","TEXT_HEAVNZ906_01971_SAROROGGO_000_021<tab>Now I can live out my days as a mindless toad in peace. I don't know what I would do without you, kind adventurer.","TEXT_HEAVNZ906_01971_SAROROGGO_000_021<tab>Du hast schon so viel für mich getan. Auch wenn Frau Matoya keine Verwendung mehr für mich hat, ist wenigstens mein Tümpel etwas sicherer geworden.","","False","0x00000038","",""
"","TEXT_HEAVNZ906_01971_SAROROGGO_000_023<tab>Well, I suppose this is it. Perhaps we'll meet again, at a muddy pond or in a swath of swamp grass. Please be careful that you don't accidentally step on me.","TEXT_HEAVNZ906_01971_SAROROGGO_000_023<tab>Leb wohl! Wenn du mal einen Frosch durchs Gras springen siehst, denk an mich. Vielleicht bin ich es ja.","","False","0x00000039","",""
"","TEXT_HEAVNZ906_01971_SAROROGGO_000_024<tab><croak> Would that there were another way. But there isn't, and I must accept my fate. Lest you are thinking to cheer me up, know that it's no use, ribbit.","TEXT_HEAVNZ906_01971_SAROROGGO_000_024<tab>... <seufz> ...<br>Hmpf. Das war's dann wohl ... Jetzt kann ich nur noch warten ...","","False","0x0000003A","",""
"","TEXT_HEAVNZ906_01971_SAROROGGO_000_025<tab>No use at all. Cheering me up, that is.","TEXT_HEAVNZ906_01971_SAROROGGO_000_025<tab>... ... <glotz> ... ... ","","False","0x0000003B","",""
"","TEXT_HEAVNZ906_01971_SYSTEM_000_026<tab>Saro Roggo gazes at you with anticipation.","TEXT_HEAVNZ906_01971_SYSTEM_000_026<tab>Der deprimierte Saro Roggo sieht dich an, als würde er etwas von dir erwarten.","","False","0x0000003C","",""
"","TEXT_HEAVNZ906_01971_SAROROGGO_000_030<tab>I'll say it again, in case you didn't hear me. It's no use cheering me up. No use at all.","TEXT_HEAVNZ906_01971_SAROROGGO_000_030<tab>Hmpf. Das war's dann wohl ... Jetzt kann ich nur noch warten ...<br>... ... <glotz> ... ...","","False","0x0000003D","",""
"","TEXT_HEAVNZ906_01971_SYSTEM_000_031<tab>Saro Roggo gazes at you with anticipation.","TEXT_HEAVNZ906_01971_SYSTEM_000_031<tab>Der deprimierte Saro Roggo sieht dich an, als würde er etwas von dir erwarten.","","False","0x0000003E","",""
