"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CLSBSM600_02011_SEQ_00<tab>Fremondain's eyes are alight with hope.

<var 48 F201F4 /var><var 49 F201F5 /var>In order to complete this quest, you must have learned the advanced recipes contained within <var 1A 02 /var>Master Blacksmith III<var 1A 01 /var>.<var 49 01 /var><var 48 01 /var>","TEXT_CLSBSM600_02011_SEQ_00<tab>Fremondains Augen strahlen zuversichtlich.

※ Um diesen Auftrag abschließen zu können, musst du das Meisterrezeptbuch „Der Meister-Grobschmied III“ in deinem Inventar benutzen und die darin enthaltenen Rezepte erlernen.","","False","0x00000000","",""
"","TEXT_CLSBSM600_02011_SEQ_01<tab>The final round of the grand tournament has come, and Fremondain informs you that Baroness Laurisse is off to a flying start. She has proven herself in the eyes of many spectators, and become a crowd favorite. However, now that she will face the final eight challengers, he fears his mistress needs every advantage. He bids you forge a high-quality adamantite winglet, of the same size and shape as the original Integrity. Do so, that the steward might present a truly fearsome weapon to the baroness.

<var 48 F201F4 /var><var 49 F201F5 /var>In order to complete this quest, you must have learned the advanced recipes contained within <var 1A 02 /var>Master Blacksmith III<var 1A 01 /var>.<var 49 01 /var><var 48 01 /var>","TEXT_CLSBSM600_02011_SEQ_01<tab>Die letzte Runde des großen Turniers steht an und Fremondain lässt dich wissen, dass Laurisse einen glänzenden Start hingelegt hat. Sie hat sich vor den Augen zahlreicher Zuschauer bewährt und ist zu einem Liebling der Massen geworden. Nun jedoch stehen ihr die acht letzten Herausforderer gegenüber und Fremondain fürchtet, dass seine Herrin dringend jegliche Unterstützung benötigt. Er bittet dich darum, <var 32 ((ItemHQ)) 02F2295F020502 /var> anzufertigen, das die gleiche Form und Größe wie das Original-Schwert des Hauses Jervaint aufweist. Wenn dir dies gelingt, kann der treue Diener Madame Laurisse eine wahrhaft furcht<var 16 /var>ein<var 16 /var>flößende Waffe überreichen.

※ Um diesen Auftrag abschließen zu können, musst du das Meisterrezeptbuch „Der Meister-Grobschmied III“ in deinem Inventar benutzen und die darin enthaltenen Rezepte erlernen.","","False","0x00000001","",""
"","TEXT_CLSBSM600_02011_SEQ_02<tab>Fremondain gratefully accepts the adamantite winglet, and transfers the sacred bone to the new weapon. Baroness Laurisse joins you, and Fremondain makes to present her the sword. However, in so doing, he reveals that he has not paid you so much as one gil. Taken aback, the baroness refuses the gift─until a few heartfelt words from her loyal steward cause her to change her mind. Yet she will not simply have it for free, and gives you the last remaining valuable of House Jervaint, the cygnine rosary, with the understanding that you will return it in exchange for her winnings in the tournament. Suddenly nervous, Baroness Laurisse leaves to find either great glory or abject failure in the final round. Fremondain bids you follow her to the Lightfeather Proving Grounds, and encourage her if necessary.","TEXT_CLSBSM600_02011_SEQ_02<tab>Fremondain nimmt das Adamantit-Zeremonialschwert dankend entgegen und überträgt den heiligen Knochen auf die neue Waffe. Laurisse gesellt sich zu euch und Fremondain will ihr die Klinge überreichen. Dabei enthüllt er jedoch, dass er dir bisher nicht einen einzigen Gil als Lohn für deine Mühen gezahlt hat. Daraufhin lehnt Laurisse das Geschenk zunächst ab, aber ein paar eindringliche Worte ihres treuen Dieners können sie schließlich doch dazu bewegen, es anzunehmen. Sie will es jedoch nicht kostenlos annehmen und überreicht dir stattdessen den letzten Wertgegenstand des Hauses Jervaint: den Schwanenrosenkranz. Diesen hätte sie allerdings gerne später im Austausch gegen ihren Gewinn aus dem Turnier wieder. Laurisse macht auf einmal einen etwas nervösen Eindruck und verabschiedet sich, um entweder einen glorreichen Sieg zu erringen oder eine klägliche Niederlage in der letzten Runde des Turniers erleiden zu müssen. Fremondain bittet dich, ihr zur Leichtfeder-Arena zu folgen und wenn nötig ein wenig Mut zuzusprechen.","","False","0x00000002","",""
"","TEXT_CLSBSM600_02011_SEQ_03<tab>You find the baroness standing outside of the proving grounds. She is nervous, though she does not admit it in quite so many words. However, your presence allows her to find some measure of confidence, and the splendor of Integrity gives her even more. Thanking you, she turns and goes through the gates, and to whatever fate awaits therein. Join Fremondain in the Jeweled Crozier, and wait for tidings of the daughter of House Jervaint.","TEXT_CLSBSM600_02011_SEQ_03<tab>Du triffst Laurisse vor der Leichtfeder-Arena an. Sie ist sichtlich nervös, aber lässt das mit keinem Wort durchblicken. Aus deiner Anwesenheit jedoch schöpft sie neues Selbst<var 16 /var>ver<var 16 /var>trauen und ihr stattliches Schwert verstärkt dieses noch. Sie dankt dir und schreitet durch die Tore ihrem Schicksal entgegen. Triff Fremondain in der Ferula-Zeile und warte auf Neuigkeiten von der Tochter des Hauses Jervaint.","","False","0x00000003","",""
"","TEXT_CLSBSM600_02011_SEQ_04<tab>Baroness Laurisse returns with sad news: she lost in the first bout to an opponent far greater in stature and girth. However, such was her ferocity and bravery that the Temple Knights took notice. Via a messenger, they offer Baroness Laurisse the position of apprentice squire, and praise her valor. The man also inquires into the origin of Integrity, and Baroness Laurisse proudly proclaims it the work of Master <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>. You return the cygnine rosary, and take your payment for all the work you have done...finally. The daughter of House Jervaint says that you are doubtless meant for greater things yet, and gives her thanks. You have raised a hero with your creations, and now, the hero will carry your name to new heights.

※The next blacksmith quest will be available from Brithael once you have completed the main scenario quest “The Far Edge of Fate.”","TEXT_CLSBSM600_02011_SEQ_04<tab>Laurisse kehrt mit traurigen Nachrichten zurück - sie hat bereits im ersten Kampf gegen einen deutlich größeren und stärkeren Gegner verloren. Aber ihre Ent<var 16 /var>schlos<var 16 /var>sen<var 16 /var>heit und ihr Mut sind den Tempelrittern nicht entgangen. Über einen Boten bieten sie Laurisse eine Position als Ritteranwärterin an und loben ihre Tapferkeit. Der Mann interessiert sich zudem für die Herkunft von Lauterkeit und Laurisse verkündet voller Stolz, dass dies das Werk von Meister<var 08 E905 ((in)) (()) /var> <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var> ist. Du gibst den Schwanenrosenkranz zurück und erhältst endlich den Lohn für all deine harte Arbeit. Die Tochter des Hauses ist davon überzeugt, dass du für Großes bestimmt bist, und dankt dir herzlich. Du hast mit deinen Werken eine Heldin erschaffen, und dank dieser Heldin wird auch dein Name zu Berühmtheit gelangen.

※ Die Auftragsreihe wird bei Brithael in der Gilde der Grobschmiede fortgesetzt, wenn die folgenden Voraus<var 16 /var>setzungen erfüllt sind:
- Der Auftrag des Hauptszenarios (Nach dem Drachenkrieg) „Anlass zu einem mutigen Schritt“ ist abgeschlossen.","","False","0x00000004","",""
"","TEXT_CLSBSM600_02011_SEQ_05<tab>","TEXT_CLSBSM600_02011_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_CLSBSM600_02011_SEQ_06<tab>","TEXT_CLSBSM600_02011_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_CLSBSM600_02011_SEQ_07<tab>","TEXT_CLSBSM600_02011_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_CLSBSM600_02011_SEQ_08<tab>","TEXT_CLSBSM600_02011_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_CLSBSM600_02011_SEQ_09<tab>","TEXT_CLSBSM600_02011_SEQ_09<tab>","","False","0x00000009","",""
