"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CLSHRV550_02050_SEQ_00<tab>Mujih Mewrilah has received word of another task from Basyle.","TEXT_CLSHRV550_02050_SEQ_00<tab>Mujih erwartet dich ungeduldig mit einem neuen Auftrag von Basyle.","","False","0x00000000","",""
"","TEXT_CLSHRV550_02050_SEQ_01<tab>Mujih informs you that Basyle has need of your expertise once more. Speak with the botanist at Camp Cloudtop and inquire after the particulars.","TEXT_CLSHRV550_02050_SEQ_01<tab>Basyle möchte, dass du ihn in Camp Wolkenwipfel triffst. Begib dich zum Camp und sprich mit Basyle.","","False","0x00000001","",""
"","TEXT_CLSHRV550_02050_SEQ_02<tab>Basyle explains to you his latest dilemma: in order to maintain soil fertility, he wishes to grow crops of the bean family at regular intervals. However, such varieties of beans as are found in Coerthas refuse to grow in the Sea of Clouds. Based on your recommendation, Basyle asks you to return to Gridania to trouble Fufucha for advice.","TEXT_CLSHRV550_02050_SEQ_02<tab>Basyle hat dir erzählt, dass er nach einer Pflanzenart sucht, die er in Mischkultur anpflanzen könnte, um so einer Auslaugung des Bodens vorzubeugen. Geh zu Fufucha und frage sie, welche Pflanze sich zu diesem Zweck am besten eignet.","","False","0x00000002","",""
"","TEXT_CLSHRV550_02050_SEQ_03<tab>Fufucha believes that the Shroud vetch would be best suited to Basyle's needs. Even so, she does not think it entirely ideal, and suggests that you find another strain with which to cross it and create a new variety. To this end, you must seek the counsel of a specialist─an Ishgardian native versed in local flora. During her time in Ishgard, Mujih may have come to know of such an individual; seek the reporter out at the aetheryte plaza in Foundation.","TEXT_CLSHRV550_02050_SEQ_03<tab>Fufucha empfiehlt, <var 32 ((EventItem)) 03F51E8B020502 /var> mit einer Pflanzenart zu kreuzen, die auch in großer Höhe gut gedeiht. Frag Mujih in Ishgard, ob sie nicht einen Experten kennt, der dir bei der Suche nach einer solchen Pflanzenart helfen könnte.","","False","0x00000003","",""
"","TEXT_CLSHRV550_02050_SEQ_04<tab>Most fortuitously, Mujih knows just the person you are looking for─the foremost herbalist in Ishgard, a man named Martineau. She offers to arrange a meeting with him, and instructs you to go to Saint Reymanaud's Cathedral, where he will supposedly be.","TEXT_CLSHRV550_02050_SEQ_04<tab>Mujih kennt tatsächlich einen Kräuterexperten und will ihn dir vorstellen. Geh zur Sankt Reymanaud-Kathedrale und sprich mit Martineau.","","False","0x00000004","",""
"","TEXT_CLSHRV550_02050_SEQ_05<tab>Having marveled at the fine specimens of Shroud vetch, Martineau gives you his recommendation for a crossing match: emerald beans, which can be harvested from lush vegetation in the Churning Mists. Procure ten handfuls of these beans and deliver them to Basyle.","TEXT_CLSHRV550_02050_SEQ_05<tab>Gemäß Martineau erhält man die Pflanze mit den gewünschten Eigenschaften, wenn man <var 32 ((EventItem)) 03F51E8B020502 /var> mit <var 32 ((Item)) 03F2324F020402 /var> kreuzt. Besorge zehn <var 32 ((Item)) 06F2324F030502 /var> und bringe sie zu Basyle in Camp Wolkenwipfel.","","False","0x00000005","",""
"","TEXT_CLSHRV550_02050_SEQ_06<tab>Basyle receives the Shroud vetch and emerald beans with thanks. Though it will require time and effort to cross them, he believes that it will be worthwhile in the end. In parting, he informs you that Mujih has left a message asking you to meet her at the aetheryte plaza in Ishgard.","TEXT_CLSHRV550_02050_SEQ_06<tab>Du hast Basyle <var 32 ((Item)) 03F2324F030502 /var> überreicht. Er will sich sogleich ans Kreuzen machen und ist zuversichtlich, dass der Kreuzungsversuch gelingen wird. Kehre zurück zu Mujih auf dem Ätherytenplatz.","","False","0x00000006","",""
"","TEXT_CLSHRV550_02050_SEQ_07<tab>With great satisfaction, Mujih informs you that the second installment in her series is on its way to <var 1A 02 /var>The Raven<var 1A 01 /var>. She praises you for your part in Basyle's recent successes, and bids you keep up your efforts.<br><br>※The next botanist quest will be available from Mujih Mewrilah upon reaching level 58.","TEXT_CLSHRV550_02050_SEQ_07<tab>Mujih scheint sehr zufrieden mit ihrem Artikel zu sein. Mujih bleibt weiterhin in Ishgard, für den Fall, dass Basyle sie erneut kontaktiert.<br><br>※ Sobald du als <var 08 E905 ((Gärtnerin)) ((Gärtner)) /var> Stufe 58 erreicht hast, kannst du von Mujih den nächsten Auftrag erhalten.","","False","0x00000007","",""
"","TEXT_CLSHRV550_02050_SEQ_08<tab>","TEXT_CLSHRV550_02050_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_CLSHRV550_02050_SEQ_09<tab>","TEXT_CLSHRV550_02050_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_CLSHRV550_02050_SEQ_10<tab>","TEXT_CLSHRV550_02050_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_CLSHRV550_02050_SEQ_11<tab>","TEXT_CLSHRV550_02050_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_CLSHRV550_02050_SEQ_12<tab>","TEXT_CLSHRV550_02050_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_CLSHRV550_02050_SEQ_13<tab>","TEXT_CLSHRV550_02050_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_CLSHRV550_02050_SEQ_14<tab>","TEXT_CLSHRV550_02050_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_CLSHRV550_02050_SEQ_15<tab>","TEXT_CLSHRV550_02050_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_CLSHRV550_02050_SEQ_16<tab>","TEXT_CLSHRV550_02050_SEQ_16<tab>","","False","0x00000010","",""
