"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_HEAVNY802_02096_SEQ_00<tab>Lydirlona thinks you might benefit from becoming a specialist.","TEXT_HEAVNY802_02096_SEQ_00<tab>Lydirlona hat interessante Informationen für Handwerker.","","False","0x00000000","",""
"","TEXT_HEAVNY802_02096_SEQ_01<tab>Judging you to be a rather skilled crafts<var 08 E905 ((woman)) ((man)) /var>, Lydirlona suggests that it might be in your best interests to become a specialist. She instructs you to seek out Alderan, a master craftsman in Ishgard, and present to him her letter that he might show you the way.","TEXT_HEAVNY802_02096_SEQ_01<tab>Lydirlona hat dir über die „Spezialisten“ erzählt. Mehr darüber kannst du von Alderan in der Nähe des Luftschiff-Landeplatzes von Ishgard erfahren, indem du ihm <var 32 ((EventItem)) 03F61E8B79020502 /var> von Lydirlona überreichst.","","False","0x00000001","",""
"","TEXT_HEAVNY802_02096_SEQ_02<tab>Intrigued by Lydirlona's endorsement, Alderan tells you that it is only right that those with talent learn every trade. However, even masters must come to terms with their limitations, for one can specialize in no more than three disciplines. He gives you a Soul of the Crafter and bids you decide which trades are most important to you. When you have reached a decision, he will be waiting to guide you on your new journey.","TEXT_HEAVNY802_02096_SEQ_02<tab>Alderan hat dir alles erklärt, was du wissen musst, um <var 08 E905 ((eine Spezialistin)) ((ein Spezialist)) /var> zu werden. Überleg dir gut, auf welche Gebiete du dich verlegen möchtest, und lass dir dann von Alderan einen Handwerker-Kristall anfertigen, der dich zum Spezialisten in der jeweiligen Klasse macht. Dazu musst du ihm einen noch unspezifischen Spezialistenkristall bringen, der das Ausgangsmaterial eines jeden Handwerker-Kristalls bildet.","","False","0x00000002","",""
"","TEXT_HEAVNY802_02096_SEQ_03<tab>","TEXT_HEAVNY802_02096_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_HEAVNY802_02096_SEQ_04<tab>","TEXT_HEAVNY802_02096_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_HEAVNY802_02096_SEQ_05<tab>","TEXT_HEAVNY802_02096_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_HEAVNY802_02096_SEQ_06<tab>","TEXT_HEAVNY802_02096_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_HEAVNY802_02096_SEQ_07<tab>","TEXT_HEAVNY802_02096_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_HEAVNY802_02096_SEQ_08<tab>","TEXT_HEAVNY802_02096_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_HEAVNY802_02096_SEQ_09<tab>","TEXT_HEAVNY802_02096_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_HEAVNY802_02096_SEQ_10<tab>","TEXT_HEAVNY802_02096_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_HEAVNY802_02096_SEQ_11<tab>","TEXT_HEAVNY802_02096_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_HEAVNY802_02096_SEQ_12<tab>","TEXT_HEAVNY802_02096_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_HEAVNY802_02096_SEQ_13<tab>","TEXT_HEAVNY802_02096_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_HEAVNY802_02096_SEQ_14<tab>","TEXT_HEAVNY802_02096_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_HEAVNY802_02096_SEQ_15<tab>","TEXT_HEAVNY802_02096_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_HEAVNY802_02096_SEQ_16<tab>","TEXT_HEAVNY802_02096_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_HEAVNY802_02096_SEQ_17<tab>","TEXT_HEAVNY802_02096_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_HEAVNY802_02096_SEQ_18<tab>","TEXT_HEAVNY802_02096_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_HEAVNY802_02096_SEQ_19<tab>","TEXT_HEAVNY802_02096_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_HEAVNY802_02096_SEQ_20<tab>","TEXT_HEAVNY802_02096_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_HEAVNY802_02096_SEQ_21<tab>","TEXT_HEAVNY802_02096_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_HEAVNY802_02096_SEQ_22<tab>","TEXT_HEAVNY802_02096_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_HEAVNY802_02096_SEQ_23<tab>","TEXT_HEAVNY802_02096_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_HEAVNY802_02096_TODO_00<tab>Deliver the letter to Alderan in the Pillars.","TEXT_HEAVNY802_02096_TODO_00<tab>Alderan in Ishgard den Brief überreichen","","False","0x00000018","",""
"","TEXT_HEAVNY802_02096_TODO_01<tab>","TEXT_HEAVNY802_02096_TODO_01<tab>","","False","0x00000019","",""
"","TEXT_HEAVNY802_02096_TODO_02<tab>","TEXT_HEAVNY802_02096_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_HEAVNY802_02096_TODO_03<tab>","TEXT_HEAVNY802_02096_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_HEAVNY802_02096_TODO_04<tab>","TEXT_HEAVNY802_02096_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_HEAVNY802_02096_TODO_05<tab>","TEXT_HEAVNY802_02096_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_HEAVNY802_02096_TODO_06<tab>","TEXT_HEAVNY802_02096_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_HEAVNY802_02096_TODO_07<tab>","TEXT_HEAVNY802_02096_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_HEAVNY802_02096_TODO_08<tab>","TEXT_HEAVNY802_02096_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_HEAVNY802_02096_TODO_09<tab>","TEXT_HEAVNY802_02096_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_HEAVNY802_02096_TODO_10<tab>","TEXT_HEAVNY802_02096_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_HEAVNY802_02096_TODO_11<tab>","TEXT_HEAVNY802_02096_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_HEAVNY802_02096_TODO_12<tab>","TEXT_HEAVNY802_02096_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_HEAVNY802_02096_TODO_13<tab>","TEXT_HEAVNY802_02096_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_HEAVNY802_02096_TODO_14<tab>","TEXT_HEAVNY802_02096_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_HEAVNY802_02096_TODO_15<tab>","TEXT_HEAVNY802_02096_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_HEAVNY802_02096_TODO_16<tab>","TEXT_HEAVNY802_02096_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_HEAVNY802_02096_TODO_17<tab>","TEXT_HEAVNY802_02096_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_HEAVNY802_02096_TODO_18<tab>","TEXT_HEAVNY802_02096_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_HEAVNY802_02096_TODO_19<tab>","TEXT_HEAVNY802_02096_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_HEAVNY802_02096_TODO_20<tab>","TEXT_HEAVNY802_02096_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_HEAVNY802_02096_TODO_21<tab>","TEXT_HEAVNY802_02096_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_HEAVNY802_02096_TODO_22<tab>","TEXT_HEAVNY802_02096_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_HEAVNY802_02096_TODO_23<tab>","TEXT_HEAVNY802_02096_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_HEAVNY802_02096_LYDIRLONA_000_000<tab>Given your talents as <var 08 E4E9450B ((an <var 28 ((ClassJob)) E94501 /var>)) ((<var 08 E4E9450F ((an <var 28 ((ClassJob)) E94501 /var>)) ((<var 08 E4E94506 ((an <var 28 ((ClassJob)) E94501 /var>)) ((<var 08 E4E9451B ((an <var 28 ((ClassJob)) E94501 /var>)) ((<var 08 E4E94522 ((an <var 28 ((ClassJob)) E94501 /var>)) ((a <var 28 ((ClassJob)) E94501 /var>)) /var>)) /var>)) /var>)) /var>)) /var>, I must ask: have you considered becoming a specialist?","TEXT_HEAVNY802_02096_LYDIRLONA_000_000<tab>Haben dir meine Informationen über das Raffinieren geholfen? Das würde mich freuen. Und es freut mich noch mehr, dass ich dir noch einen weiteren unbezahlbaren Tipp geben kann. Hast du schon etwas von den „Spezialisten“ gehört? ","","False","0x00000030","",""
