"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_JOBMNK501_02026_SEQ_00<tab>Professor Erik is concerned for a mutual friend, though he would be the last to admit it.","TEXT_JOBMNK501_02026_SEQ_00<tab>Professor Erik hat interessante Neuigkeiten über Widargelt.","","False","0x00000000","",""
"","TEXT_JOBMNK501_02026_SEQ_01<tab>You learn from Professor Erik that your friend and fellow monk, Widargelt, has cast aside his all-consuming desire for vengeance, and now seeks to rebuild the Fist of Rhalgr. To that end, he has begun taking on pupils, whom he trains at Revenant's Toll. The good professor bids you pay Widargelt a visit, that you might cease worrying about your friend.","TEXT_JOBMNK501_02026_SEQ_01<tab>Was bisher geschah:

Professor Erik hatte dich gebeten, mit seinem Assistenten Widargelt Äthermessungen vorzunehmen. Widargelt plante im Geheimen, seine auf den ätherreichen Schlachtfeldern erworbenen Fähigkeiten als Mönch dafür einzusetzen, Ala Mhigo zu befreien. Er unterlag dir aber im Kampf und gelobte, sein Leben als guter Mönch fortzuführen.

　　　　　　　　　　　　*　*　*

Professor Erik hat dir vorgeschlagen, Widargelt und seinen neuen Schülern in Geisterzoll einen Besuch abzustatten. ","","False","0x00000001","",""
"","TEXT_JOBMNK501_02026_SEQ_02<tab>Widargelt introduces you to two of his most promising pupils, D'zentsa and O'tchakha, orphans who one day appeared before him. As their senior and his foremost pupil, Widargelt now asks you to assist in their training. Join Widargelt to the southeast of Revenant's Toll.","TEXT_JOBMNK501_02026_SEQ_02<tab>Widargelt hat dir zwei seiner neuen Schülerinnen, die Miqo'te D'zentsa und O'tchakha, vorgestellt. Sie sind begierig darauf, etwas von dir zu lernen. Triff Widargelt am Silbertränen-Nordufer, das ihnen als Trainingsgelände dient.","","False","0x00000002","",""
"","TEXT_JOBMNK501_02026_SEQ_03<tab>First, Widargelt asks you to demonstrate your prowess to D'zentsa. Seek her out to the northeast, and defeat any enemies that appear.","TEXT_JOBMNK501_02026_SEQ_03<tab>Deine erste Schülerin ist D'zentsa. Zeig ihr die gnadenlose Stärke deiner stahlharten Fäuste!","","False","0x00000003","",""
"","TEXT_JOBMNK501_02026_SEQ_04<tab>You fell your fearsome foe with ease. Turn your attention back to D'zentsa.","TEXT_JOBMNK501_02026_SEQ_04<tab>Plötzlich erschien <var 32 ((BNpcName)) 02F20FFE020502 /var>, die ein willkommenes Anschauungsobjekt bot. Sprich nun mit D'zentsa.","","False","0x00000004","",""
"","TEXT_JOBMNK501_02026_SEQ_05<tab>You have won D'zentsa's respect and admiration. O'tchakha is next in line to be treated to a display of your sublime skills. Seek her out to the south, and defeat any enemies that appear.","TEXT_JOBMNK501_02026_SEQ_05<tab>D'zentsa ist beeindruckt von deinen Fähigkeiten. Zeige nun O'tchakha die atemberaubende Ge<var 16 /var>schwindig<var 16 /var>keit deiner Schläge!","","False","0x00000005","",""
"","TEXT_JOBMNK501_02026_SEQ_06<tab>You fell more fearsome foes with ease. Turn your attention back to O'tchakha.","TEXT_JOBMNK501_02026_SEQ_06<tab>Diesmal tauchten <var 32 ((BNpcName)) 06F20FFD030502 /var> auf, die du zu Trainingszwecken vermöbelst. Sprich als Nächstes mit O'tchakha.","","False","0x00000006","",""
"","TEXT_JOBMNK501_02026_SEQ_07<tab>You have won O'tchakha's respect and admiration as well. But as the two friends speak excitedly of training under you, a yell rings out. It appears Widargelt is in danger. Make haste to the place you left him.","TEXT_JOBMNK501_02026_SEQ_07<tab>Auch O'tchakha ist von deiner Demonstration begeistert. Just in diesem Moment hört ihr einen Schrei - war es Widargelt? Kehre schnell zu ihm zurück, um nach dem Rechten zu sehen.","","False","0x00000007","",""
"","TEXT_JOBMNK501_02026_SEQ_08<tab>You arrive to find Widargelt alone and on his knees, his assailants having since fled. He explains that he was attacked by strange men who fought in the style of monks. During the encounter, a new chakra appears to have opened within Widargelt, though the sensation was unlike anything he has experienced before. For now, return to the safety of Revenant's Toll and rejoin your fellow monks.","TEXT_JOBMNK501_02026_SEQ_08<tab>Widargelt ist überfallen worden! Er glaubt, dass die Angreifer Mönche waren. Rätselhaft ist auch, dass sich bei Widargelt ein weiteres Chakra geöffnet zu haben scheint. Triff ihn in Geisterzoll.","","False","0x00000008","",""
"","TEXT_JOBMNK501_02026_SEQ_09<tab>Widargelt recounts his encounter with the strange men in detail. As he defended himself, his body was racked by a sudden pain as though something had pierced it. While he is certain that a chakra has opened within him, he does not believe it to be the seventh. For lack of an explanation, he declares that he will seek Professor Erik's advice. Should this phenomenon prove to be a new source of power, Widargelt promises to share its secrets with you.

※The next monk quest will be available from Widargelt upon reaching level 52.","TEXT_JOBMNK501_02026_SEQ_09<tab>Widargelt hat dir mehr über seine Erfahrung beim Kampf mit den fremden Mönchen erzählt. Was hat es nur mit dem neuen Chakra auf sich?

※ Sobald du als Mönch (<var 08 E905 ((Faustkämpferin)) ((Faustkämpfer)) /var>) Stufe 52 erreicht hast, kannst du von Widargelt einen neuen Auftrag erhalten.","","False","0x00000009","",""
