"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANVAN204_02184_SEQ_00<tab>Muna Vanu's stomach growls subtly like distant thunder.<br>※The difficulty of this quest will be synced to your current level.","TEXT_BANVAN204_02184_SEQ_00<tab>Muna Vanu's stomach growls subtly like distant thunder.<br>※The difficulty of this quest will be synced to your current level.","","False","0x00000000","",""
"","TEXT_BANVAN204_02184_SEQ_01<tab>Muna Vanu recalls it has been a while since he enjoyed a reasonably plump cloudfish and asks you to inquire with Eenu Vanu about when the next haul will arrive.<br><br>※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest.","TEXT_BANVAN204_02184_SEQ_01<tab>Muna Vanu recalls it has been a while since he enjoyed a reasonably plump cloudfish and asks you to inquire with Eenu Vanu about when the next haul will arrive.<br><br>※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest.","","False","0x00000001","",""
"","TEXT_BANVAN204_02184_SEQ_02<tab>Eenu Vanu tells you that Vundu cloudfishers have been greedily snatching up all the plump fish, leaving very few to feed the villagers of Ok' Gundu Nakki. He asks you to ride on sanuwa-back to the fishing spot near Neverreap in the east and stop the cloudfishers from bleeding the Sea of Clouds dry. Approach Luna Vanu and ask him to lend you one of his cloudkin for the journey.","TEXT_BANVAN204_02184_SEQ_02<tab>Eenu Vanu tells you that Vundu cloudfishers have been greedily snatching up all the plump fish, leaving very few to feed the villagers of Ok' Gundu Nakki. He asks you to ride on sanuwa-back to the fishing spot near Neverreap in the east and stop the cloudfishers from bleeding the Sea of Clouds dry. Approach Luna Vanu and ask him to lend you one of his cloudkin for the journey.","","False","0x00000002","",""
"","TEXT_BANVAN204_02184_SEQ_03<tab>With Luna Vanu's generosity in lending one of the village sanuwas, you mount the cloudkin and set course for Ok' Vundu Vana. Travel to the Vundu tribe's fishing spot and pester the cloudfishers out of their catches using the sanuwa's blustery breath.<br><br>※Speak with Luna Vanu in Ok' Gundu Nakki to mount a sanuwa.","TEXT_BANVAN204_02184_SEQ_03<tab>With Luna Vanu's generosity in lending one of the village sanuwas, you mount the cloudkin and set course for Ok' Vundu Vana. Travel to the Vundu tribe's fishing spot and pester the cloudfishers out of their catches using the sanuwa's blustery breath.<br><br>※Speak with Luna Vanu in Ok' Gundu Nakki to mount a sanuwa.","","False","0x00000003","",""
"","TEXT_BANVAN204_02184_SEQ_04<tab>With the fish populations no longer in peril of being depleted, return to Ok' Gundu Nakki and report to Eenu Vanu.","TEXT_BANVAN204_02184_SEQ_04<tab>With the fish populations no longer in peril of being depleted, return to Ok' Gundu Nakki and report to Eenu Vanu.","","False","0x00000004","",""
"","TEXT_BANVAN204_02184_SEQ_05<tab>Eenu Vanu has a good laugh over the reactions of the Vundu cloudfishers when their day's catch was foiled, calling their misery “striking two paissas with a single lightning bolt.” Now that the stock has returned to the wind, the Gundu tribe will once again feast upon fat cloudfish.","TEXT_BANVAN204_02184_SEQ_05<tab>Eenu Vanu has a good laugh over the reactions of the Vundu cloudfishers when their day's catch was foiled, calling their misery “striking two paissas with a single lightning bolt.” Now that the stock has returned to the wind, the Gundu tribe will once again feast upon fat cloudfish.","","False","0x00000005","",""
"","TEXT_BANVAN204_02184_SEQ_06<tab>","TEXT_BANVAN204_02184_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANVAN204_02184_SEQ_07<tab>","TEXT_BANVAN204_02184_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANVAN204_02184_SEQ_08<tab>","TEXT_BANVAN204_02184_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANVAN204_02184_SEQ_09<tab>","TEXT_BANVAN204_02184_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_BANVAN204_02184_SEQ_10<tab>","TEXT_BANVAN204_02184_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_BANVAN204_02184_SEQ_11<tab>","TEXT_BANVAN204_02184_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_BANVAN204_02184_SEQ_12<tab>","TEXT_BANVAN204_02184_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_BANVAN204_02184_SEQ_13<tab>","TEXT_BANVAN204_02184_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_BANVAN204_02184_SEQ_14<tab>","TEXT_BANVAN204_02184_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_BANVAN204_02184_SEQ_15<tab>","TEXT_BANVAN204_02184_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_BANVAN204_02184_SEQ_16<tab>","TEXT_BANVAN204_02184_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_BANVAN204_02184_SEQ_17<tab>","TEXT_BANVAN204_02184_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_BANVAN204_02184_SEQ_18<tab>","TEXT_BANVAN204_02184_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_BANVAN204_02184_SEQ_19<tab>","TEXT_BANVAN204_02184_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_BANVAN204_02184_SEQ_20<tab>","TEXT_BANVAN204_02184_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_BANVAN204_02184_SEQ_21<tab>","TEXT_BANVAN204_02184_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_BANVAN204_02184_SEQ_22<tab>","TEXT_BANVAN204_02184_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_BANVAN204_02184_SEQ_23<tab>","TEXT_BANVAN204_02184_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_BANVAN204_02184_TODO_00<tab>Speak with Eenu Vanu.","TEXT_BANVAN204_02184_TODO_00<tab>Speak with Eenu Vanu.","","False","0x00000018","",""
"","TEXT_BANVAN204_02184_TODO_01<tab>Speak with Luna Vanu.","TEXT_BANVAN204_02184_TODO_01<tab>Speak with Luna Vanu.","","False","0x00000019","",""
"","TEXT_BANVAN204_02184_TODO_02<tab>Ride the sanuwa and use Buffet on the Vundu cloudfishers.","TEXT_BANVAN204_02184_TODO_02<tab>Ride the sanuwa and use Buffet on the Vundu cloudfishers.","","False","0x0000001A","",""
"","TEXT_BANVAN204_02184_TODO_03<tab>Report to Eenu Vanu.","TEXT_BANVAN204_02184_TODO_03<tab>Report to Eenu Vanu.","","False","0x0000001B","",""
"","TEXT_BANVAN204_02184_TODO_04<tab>","TEXT_BANVAN204_02184_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_BANVAN204_02184_TODO_05<tab>","TEXT_BANVAN204_02184_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_BANVAN204_02184_TODO_06<tab>","TEXT_BANVAN204_02184_TODO_06<tab>","","False","0x0000001E","",""
