"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_FESSUM203_02138_SEQ_00<tab>J'nangho looks off into the distance, a deepening frown upon her lips.
※This quest is available for a limited time only.","TEXT_FESSUM203_02138_SEQ_00<tab>※ Dieser Auftrag ist nur für die Dauer des saisonalen Ereignisses verfügbar.

J'nangho blickt besorgt in die Ferne.","","False","0x00000000","",""
"","TEXT_FESSUM203_02138_SEQ_01<tab>It is an unusually hot day in Costa del Sol, and J'nangho is concerned that the Black Ranger will overexert herself if she attempts to complete her regular training regimen. After trying and failing to convince the obstinate Ranger to stay indoors until temperatures drop, she asks that you deliver three cups of rolanberry shaved ice to the lady in black so that she will not succumb to the summer heat.

※Please note that you will be unable to complete this quest after the seasonal event has ended. For details, please check the Lodestone.","TEXT_FESSUM203_02138_SEQ_01<tab>※ Dieser Auftrag kann nur für die Dauer des saisonalen Ereignisses angenommen und gespielt werden. Nach Ende des saisonalen Ereignisses kann er nicht mehr abgeschlossen werden. Weitere Informationen findest du auf dem Lodestone.

Es ist ein ungewöhnlich heißer Tag an der Sonnenküste und J'nangho macht sich Sorgen, dass die Schwarze Bombattantin sich mit ihrem üblichen Trainingsprogramm über<var 16 /var>nehmen könnte. Ihr Versuch, die sture Bombattantin davon zu überzeugen, eine Zeit lang drinnen zu bleiben, bis die Temperaturen um ein paar Grad gefallen sind, ist fehlgeschlagen. Daher bittet sie dich, der Dame in Schwarz drei Portionen Rolanbeeren-Wassereis zu bringen, um ihr zumindest ein wenig Erleichterung von der Sommerhitze zu verschaffen.","","False","0x00000001","",""
"","TEXT_FESSUM203_02138_SEQ_02<tab>You deliver the rolanberry shaved ice to the Black Ranger. Taking the first of the cups, she expresses to you her dislike of ice. Upon explaining to her that it is not for the pleasure of eating but rather to counteract the heat from the sun, she hands the cup back to you, proposing the two of you play a game of hide-and-seek, but with a twist. You will give her a head start of twenty seconds to hide. She will continue performing squats as you search for her and, if you find her before she is able to complete the designated number, you win. Should she finish before you find her, she wins. The loser must then eat the shaved ice as punishment.","TEXT_FESSUM203_02138_SEQ_02<tab>Du übergibst das Rolanbeeren-Wassereis an die Schwarze Bombattantin, die daraufhin ihre Abneigung gegenüber jeder Form von Eis zum Ausdruck bringt. Nachdem du ihr erklärt hast, dass es weniger dem Genuss als vielmehr der Abkühlung in der Hitze dienen soll, gibt sie dir das Eis zurück und schlägt dir ein Spiel vor. Die Regeln? Nachdem sie eine Anzahl von zu absolvierenden Kniebeugen genannt hat, läuft sie los und versteckt sich. Wenn du sie findest, bevor sie mit den Kniebeugen fertig ist, gewinnst du. Wenn sie die Kniebeugen vorher absolviert, gewinnt sie. Der Verlierer isst das Wassereis, um sich einen Vorteil in der nächsten Runde zu verschaffen.","","False","0x00000002","",""
"","TEXT_FESSUM203_02138_SEQ_03<tab>You spy the Black Ranger and see that she has yet to complete her squats. Approaching her, you offer her the first cup of rolanberry shaved ice, once more, and this time she does not hesitate. Taking it from you, she gulps it down before racing off to begin her next round of squats. Find and deliver the second cup of shaved ice to her.","TEXT_FESSUM203_02138_SEQ_03<tab>Du findest die Schwarze Bombattantin recht schnell und sie hat ihre Kniebeugen noch nicht beendet. Du überreichst ihr einmal mehr ein Wassereis und dieses Mal zögert sie nicht lange. Kaum hat sie es in den Händen, schlingt sie es herunter und startet dann in die nächste Runde eures Spiels. Finde sie und gib ihr die zweite Portion Wassereis.","","False","0x00000003","",""
"","TEXT_FESSUM203_02138_SEQ_04<tab>When you find her, the Black Ranger is only a few squats away from finishing. Sighing with defeat, she extends her hand to receive the rolanberry shaved ice and quickly eats it. Declaring the number of squats she intends to acheive with the next round, she runs off. Locate her and deliver the last cup of shaved ice to the Black Ranger.","TEXT_FESSUM203_02138_SEQ_04<tab>Bei deiner Ankunft fehlen der Schwarzen Bombattantin nur noch wenige Kniebeugen bis zu ihrer Zielvorgabe. Sie seufzt angesichts ihrer Niederlage und nimmt das zweite Rolanbeeren-Wassereis entgegen, um kurz darauf die Messlatte an Kniebeugen erneut anzuheben und loszulaufen. Finde sie, bevor sie die Übung abschließen kann, und überreiche ihr die letzte Portion Wassereis.","","False","0x00000004","",""
"","TEXT_FESSUM203_02138_SEQ_05<tab>The Black Ranger quickly downs the final cup of soppy rolanberry ice and while clearly disappointed by today's outcome, she seems determined, promising to improve so that she might further aid the Red and Yellow Rangers. Return to Haermaga and inform him of the successes and failures of today's session.","TEXT_FESSUM203_02138_SEQ_05<tab>Die Schwarze Bombattantin verschlingt die letzte Portion Wassereis. Obwohl ihr die Enttäuschung ins Gesicht geschrieben steht, zeugen ihre Worte von Überzeugung und sie verspricht, sich weiter zu verbessern, um die anderen Bombattanten unterstützen zu können. Kehre zu Haermaga zurück und teile ihm die Ereignisse der Trainingseinheit mit.","","False","0x00000005","",""
"","TEXT_FESSUM203_02138_SEQ_06<tab>Haermaga is delighted by your dedication and the progress of his Rangers. He asks that you continue supporting them with the same fervor you have shown today.","TEXT_FESSUM203_02138_SEQ_06<tab>Haermaga freut sich über deine Hingabe und den Fortschritt der Bombattanten. Er bittet dich, sie auch weiterhin mit dem heute zur Schau gestellten Eifer zu unterstützen. ","","False","0x00000006","",""
"","TEXT_FESSUM203_02138_SEQ_07<tab>","TEXT_FESSUM203_02138_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_FESSUM203_02138_SEQ_08<tab>","TEXT_FESSUM203_02138_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_FESSUM203_02138_SEQ_09<tab>","TEXT_FESSUM203_02138_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_FESSUM203_02138_SEQ_10<tab>","TEXT_FESSUM203_02138_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_FESSUM203_02138_SEQ_11<tab>","TEXT_FESSUM203_02138_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_FESSUM203_02138_SEQ_12<tab>","TEXT_FESSUM203_02138_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_FESSUM203_02138_SEQ_13<tab>","TEXT_FESSUM203_02138_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_FESSUM203_02138_SEQ_14<tab>","TEXT_FESSUM203_02138_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_FESSUM203_02138_SEQ_15<tab>","TEXT_FESSUM203_02138_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_FESSUM203_02138_SEQ_16<tab>","TEXT_FESSUM203_02138_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_FESSUM203_02138_SEQ_17<tab>","TEXT_FESSUM203_02138_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_FESSUM203_02138_SEQ_18<tab>","TEXT_FESSUM203_02138_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_FESSUM203_02138_SEQ_19<tab>","TEXT_FESSUM203_02138_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_FESSUM203_02138_SEQ_20<tab>","TEXT_FESSUM203_02138_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_FESSUM203_02138_SEQ_21<tab>","TEXT_FESSUM203_02138_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_FESSUM203_02138_SEQ_22<tab>","TEXT_FESSUM203_02138_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_FESSUM203_02138_SEQ_23<tab>","TEXT_FESSUM203_02138_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_FESSUM203_02138_TODO_00<tab>Procure and deliver the rolanberry shaved ice to the Black Ranger.","TEXT_FESSUM203_02138_TODO_00<tab>Rolanbeeren-Wassereis besorgen und bei der Schwarzen Bombattantin abliefern","","False","0x00000018","",""
"","TEXT_FESSUM203_02138_TODO_01<tab>Deliver the first cup of rolanberry shaved ice to the Black Ranger.","TEXT_FESSUM203_02138_TODO_01<tab>Das erste Rolanbeeren-Wassereis bei der Schwarzen Bombattantin abliefern","","False","0x00000019","",""
"","TEXT_FESSUM203_02138_TODO_02<tab>Deliver the second cup of rolanberry shaved ice to the Black Ranger.","TEXT_FESSUM203_02138_TODO_02<tab>Das zweite Rolanbeeren-Wassereis bei der Schwarzen Bombattantin abliefern","","False","0x0000001A","",""
"","TEXT_FESSUM203_02138_TODO_03<tab>Deliver the final cup of rolanberry shaved ice to the Black Ranger.","TEXT_FESSUM203_02138_TODO_03<tab>Das letzte Rolanbeeren-Wassereis bei der Schwarzen Bombattantin abliefern","","False","0x0000001B","",""
"","TEXT_FESSUM203_02138_TODO_04<tab>Report to Haermaga.","TEXT_FESSUM203_02138_TODO_04<tab>Haermaga Bericht erstatten","","False","0x0000001C","",""
"","TEXT_FESSUM203_02138_TODO_05<tab>","TEXT_FESSUM203_02138_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_FESSUM203_02138_TODO_06<tab>","TEXT_FESSUM203_02138_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_FESSUM203_02138_TODO_07<tab>","TEXT_FESSUM203_02138_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_FESSUM203_02138_TODO_08<tab>","TEXT_FESSUM203_02138_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_FESSUM203_02138_TODO_09<tab>","TEXT_FESSUM203_02138_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_FESSUM203_02138_TODO_10<tab>","TEXT_FESSUM203_02138_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_FESSUM203_02138_TODO_11<tab>","TEXT_FESSUM203_02138_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_FESSUM203_02138_TODO_12<tab>","TEXT_FESSUM203_02138_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_FESSUM203_02138_TODO_13<tab>","TEXT_FESSUM203_02138_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_FESSUM203_02138_TODO_14<tab>","TEXT_FESSUM203_02138_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_FESSUM203_02138_TODO_15<tab>","TEXT_FESSUM203_02138_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_FESSUM203_02138_TODO_16<tab>","TEXT_FESSUM203_02138_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_FESSUM203_02138_TODO_17<tab>","TEXT_FESSUM203_02138_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_FESSUM203_02138_TODO_18<tab>","TEXT_FESSUM203_02138_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_FESSUM203_02138_TODO_19<tab>","TEXT_FESSUM203_02138_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_FESSUM203_02138_TODO_20<tab>","TEXT_FESSUM203_02138_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_FESSUM203_02138_TODO_21<tab>","TEXT_FESSUM203_02138_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_FESSUM203_02138_TODO_22<tab>","TEXT_FESSUM203_02138_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_FESSUM203_02138_TODO_23<tab>","TEXT_FESSUM203_02138_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_FESSUM203_02138_JNANGHO_000_000<tab>Wonderful timing, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>─I was just about to send for you. As you've likely noticed, the sun today has been particularly intense and even the shade provides little reprieve from the heat.","TEXT_FESSUM203_02138_JNANGHO_000_000<tab>Ah, du kommst genau richtig, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>. Ich wollte schon jemanden nach dir suchen lassen. Du hast sicher schon bemerkt, dass die Sonne heute besonders stark brennt und selbst der Aufenthalt im Schatten einem nur wenig Erleichterung von der Hitze verschafft.","","False","0x00000030","",""
"","TEXT_FESSUM203_02138_JNANGHO_000_001<tab>Ranger or not, it is unwise to push the limits of one's body on a day such as this, but my attempts to convince a certain someone to remain indoors have fallen on deaf ears.","TEXT_FESSUM203_02138_JNANGHO_000_001<tab>Bombattant hin oder her, es ist nicht gerade ratsam, seinen Körper an einem Tag wie diesem bis an die Grenzen zu treiben. Meine Versuche, eine gewisse Dame davon zu überzeugen, sind jedoch auf taube Ohren gestoßen.","","False","0x00000031","",""
"","TEXT_FESSUM203_02138_JNANGHO_000_002<tab>If the Black Ranger will not listen to sense, then we are left with but one other option: we must stuff her full of rolanberry shaved ice─one of the few surefire ways to cool the body! I think three cups should do the trick!","TEXT_FESSUM203_02138_JNANGHO_000_002<tab>Wenn die Schwarze Bombattantin nicht auf die Stimme der Vernunft hören mag, bleibt uns wohl nur eine Wahl: Wir müssen sie mit Rolanbeeren-Wassereis vollstopfen! Das ist ein sicherer Weg, um den Körper abzukühlen. Ich denke, drei Portionen sollten genügen!","","False","0x00000032","",""
"","TEXT_FESSUM203_02138_JNANGHO_000_003<tab>You can purchase some from our iceman just below, or should you be so inclined, you can prepare it yourself!","TEXT_FESSUM203_02138_JNANGHO_000_003<tab>Du kannst das Wassereis dort unten beim Eisverkäufer erwerben. Wenn du die Zeit dazu hast, kannst du es aber natürlich auch selbst herstellen!","","False","0x00000033","",""
"","TEXT_FESSUM203_02138_JNANGHO_000_008<tab>","TEXT_FESSUM203_02138_JNANGHO_000_008<tab>（★未使用／削除予定★）","","False","0x00000034","",""
"","TEXT_FESSUM203_02138_JNANGHO_000_009<tab>","TEXT_FESSUM203_02138_JNANGHO_000_009<tab>（★未使用／削除予定★）","","False","0x00000035","",""
"","TEXT_FESSUM203_02138_HILDELANA_000_010<tab>Hut, two, three, four! Hut, two, th─ Ah, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>, are you here to join me for a round of─","TEXT_FESSUM203_02138_HILDELANA_000_010<tab>Eins, zwei, drei, vier! Eins, zwei, dr... Ah, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>, bist du hier, um mich beim Training zu unterstützen?","","False","0x00000036","",""
"","TEXT_FESSUM203_02138_HILDELANA_000_011<tab>Oh! Rolanberry shaved ice? It certainly is a kind gesture, but I don't much care for frozen desserts, or cold things in general, really.","TEXT_FESSUM203_02138_HILDELANA_000_011<tab>Oh, Rolanbeeren-Wassereis? Das ist ja eine nette Geste, aber ich hatte noch nie eine besondere Vorliebe für Eis. Oder kalte Dinge im Allgemeinen.","","False","0x00000037","",""
"","TEXT_FESSUM203_02138_HILDELANA_000_012<tab><var 1A 02 /var>This<var 1A 01 /var> will help me combat the heat, you say? Speaking from experience, I can assure you it will do nothing of the sort.","TEXT_FESSUM203_02138_HILDELANA_000_012<tab>Ernsthaft? Es soll mir gegen die drückende Hitze helfen? Nun, jetzt wo du es erwähnst ... Mir ist schon ein wenig warm, und diese enge schwarze Rüstung macht die Sache nicht gerade besser! Na gut, ich werde dein Eis versuchen, aber lass uns das Ganze ein wenig interessanter gestalten und eine Art Spiel draus machen. Wie viele Portionen hast du denn mitgebracht?","","False","0x00000038","",""
"","TEXT_FESSUM203_02138_HILDELANA_000_013<tab>Nevertheless, it would be a shame to let such an expensive dessert go to waste... Ah, I know! Allow me to propose a contest.","TEXT_FESSUM203_02138_HILDELANA_000_013<tab>Drei? Hahaha! Das sind zugegeben mehr als ich erwartet habe, aber genau richtig für meinen Vorschlag!","","False","0x00000039","",""
"","TEXT_FESSUM203_02138_HILDELANA_000_014<tab>I will go and hide, and you will attempt to find me. While I wait, I will continue to perform squats. Should you manage to find me before I squat one hundred times, you win. If not, I win─and the loser must eat the shaved ice as punishment.","TEXT_FESSUM203_02138_HILDELANA_000_014<tab>Die Regeln sind einfach. Du gibst mir ein wenig Vorsprung, und wenn du mich finden kannst, bevor ich 100 Kniebeugen gemacht habe, gewinnst du. Wenn ich mit den Kniebeugen vorher fertig bin, gewinne ich. Der Verlierer isst das Wassereis, um sich einen Schub für die nächste Runde zu geben.","","False","0x0000003A","",""
"","TEXT_FESSUM203_02138_HILDELANA_000_015<tab>Are you ready, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>? Good. Now hold on to the shaved ice for now and wait until the count of twenty before starting your search. Good luck!","TEXT_FESSUM203_02138_HILDELANA_000_015<tab>Bist du bereit, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>? Sehr gut. Nimm das erst mal wieder an dich und dann flitze ich los!","","False","0x0000003B","",""
"","TEXT_FESSUM203_02138_HILDELANA_000_020<tab>Oh, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>! I'm glad you're here. This weather hasn't been particularly motivating and I could do with a training partner! Did you bring any of that shaved ice with you?","TEXT_FESSUM203_02138_HILDELANA_000_020<tab>Ah, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>. Schön, dass du hier bist. Das Wetter motiviert mich nicht gerade und ich könnte <var 08 E905 ((eine Trainingspartnerin)) ((einen Trainingspartner)) /var> gebrauchen! Hast du wieder Wassereis mitgebracht?","","False","0x0000003C","",""
"","TEXT_FESSUM203_02138_HILDELANA_000_021<tab>Bah! I think it will take me a while to become accustomed to the touch of ice upon my skin. In any case, you remember the rules to our little game, don't you?","TEXT_FESSUM203_02138_HILDELANA_000_021<tab>Brrr! Das ist ja eisig kalt. Behalte du es lieber erst mal. Du erinnerst dich doch noch an die Regeln von unserem kleinen Spiel, oder?","","False","0x0000003D","",""
"","TEXT_FESSUM203_02138_HILDELANA_000_022<tab>Excellent! I have grown faster and stronger since we last met, so I shall set my goal to three hundred squats. Now, without any further ado, let's get started!","TEXT_FESSUM203_02138_HILDELANA_000_022<tab>Sehr gut! Ich bin seit dem letzten Mal schneller und stärker geworden, daher werde ich nun versuchen, 300 Kniebeugen zu machen, ehe du mich finden kannst. Also dann, auf geht's!","","False","0x0000003E","",""
