"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_TSTPLN104_02148_SEQ_00<tab>宝杖通りのムムニは、満足していない様子だ。","TEXT_TSTPLN104_02148_SEQ_00<tab>宝杖通りのムムニは、満足していない様子だ。","","False","0x00000000","",""
"","TEXT_TSTPLN104_02148_SEQ_01<tab>ムムニとともに、ワラビモチ職人を探すことになった。イシュガルドの聖バルロアイアン広場で「クズキリ」を探そう。","TEXT_TSTPLN104_02148_SEQ_01<tab>ムムニとともに、ワラビモチ職人を探すことになった。イシュガルドの聖バルロアイアン広場で「クズキリ」を探そう。","","False","0x00000001","",""
"","TEXT_TSTPLN104_02148_SEQ_02<tab>クズキリから事情を聞いた。クレクレスイーツ団に奪われた彼の荷物を取り戻しに行くため、高地ドラヴァニアのテイルフェザー東で「クズキリ」と合流しよう。","TEXT_TSTPLN104_02148_SEQ_02<tab>クズキリから事情を聞いた。クレクレスイーツ団に奪われた彼の荷物を取り戻しに行くため、高地ドラヴァニアのテイルフェザー東で「クズキリ」と合流しよう。","","False","0x00000002","",""
"","TEXT_TSTPLN104_02148_SEQ_03<tab>クズキリと合流し、クレクレスイーツ団の根城を目指すことになった。道中、クレクレスイーツ団が襲ってくる可能性があるそうだ。テイルフェザー東の「つつやき小道」を進み、妨害されたら退けよう。","TEXT_TSTPLN104_02148_SEQ_03<tab>クズキリと合流し、クレクレスイーツ団の根城を目指すことになった。道中、クレクレスイーツ団が襲ってくる可能性があるそうだ。テイルフェザー東の「つつやき小道」を進み、妨害されたら退けよう。","","False","0x00000003","",""
"","TEXT_TSTPLN104_02148_SEQ_04<tab>襲いかかってきたクレクレスイーツ団員を退けた。再度「つつやき小道」を進み、妨害されたら退けよう。","TEXT_TSTPLN104_02148_SEQ_04<tab>襲いかかってきたクレクレスイーツ団員を退けた。再度「つつやき小道」を進み、妨害されたら退けよう。","","False","0x00000004","",""
"","TEXT_TSTPLN104_02148_SEQ_05<tab>再び襲いかかってきたクレクレスイーツ団員を退けた。さらに「つつやき小道」を進み、妨害されたら退けよう。","TEXT_TSTPLN104_02148_SEQ_05<tab>再び襲いかかってきたクレクレスイーツ団員を退けた。さらに「つつやき小道」を進み、妨害されたら退けよう。","","False","0x00000005","",""
"","TEXT_TSTPLN104_02148_SEQ_06<tab>さらに襲いかかってきたクレクレスイーツ団員を退けた。テイルフェザー北の「クズキリ」と話そう。","TEXT_TSTPLN104_02148_SEQ_06<tab>さらに襲いかかってきたクレクレスイーツ団員を退けた。テイルフェザー北の「クズキリ」と話そう。","","False","0x00000006","",""
"","TEXT_TSTPLN104_02148_SEQ_07<tab>クズキリと話した。クレクレスイーツ団の根城は、北東にある洞窟らしい。チョコボの森の北東にある洞窟で、妨害を退けつつ、「奪われた荷物」から「ワラビ粉」を入手しよう。","TEXT_TSTPLN104_02148_SEQ_07<tab>クズキリと話した。クレクレスイーツ団の根城は、北東にある洞窟らしい。チョコボの森の北東にある洞窟で、妨害を退けつつ、「奪われた荷物」から「ワラビ粉」を入手しよう。","","False","0x00000007","",""
"","TEXT_TSTPLN104_02148_SEQ_08<tab>ワラビ粉を入手した。テイルフェザー北の「クズキリ」に「ワラビ粉」を渡そう。","TEXT_TSTPLN104_02148_SEQ_08<tab>ワラビ粉を入手した。テイルフェザー北の「クズキリ」に「ワラビ粉」を渡そう。","","False","0x00000008","",""
"","TEXT_TSTPLN104_02148_SEQ_09<tab>クズキリに、ワラビ粉を渡した。これでワラビモチを作ってもらえそうだ。聖バルロアイアン広場の「ムムニ」と話そう。","TEXT_TSTPLN104_02148_SEQ_09<tab>クズキリに、ワラビ粉を渡した。これでワラビモチを作ってもらえそうだ。聖バルロアイアン広場の「ムムニ」と話そう。","","False","0x00000009","",""
