"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_HEAVNC103_02233_SEQ_00<tab>Alphinaud has reached a decision.","TEXT_HEAVNC103_02233_SEQ_00<tab>Alphinaud denkt über Minfilia und Zodiark nach.","","False","0x00000000","",""
"","TEXT_HEAVNC103_02233_SEQ_01<tab>Although Alphinaud intends to inform Tataru and Urianger of Minfilia's fate, he asks that you share with no one else what you have learned─especially F'lhaminn. He then states that you have more than earned a rest, only to suddenly recall that he but recently received a missive from Ser Aymeric. It would seem that the lord commander is planning a ceremony of some sort and would like you to attend. However, he neglected to provide details, and so a visit to the Congregation appears to be in order.","TEXT_HEAVNC103_02233_SEQ_01<tab>Alphinaud will Tataru und Urianger darüber informieren, was ihr über Minfilia und Zodiark herausgefunden habt. Dir rät er, dich von den Strapazen zu erholen, und schlägt vor, der Einladung von Großmeister Aymeric zur Friedensfeier zu folgen. Begib dich zur Kongregation der Tempelritter in Ishgard und sprich dort mit der Wache der Kommandantur, um zur Kommandantur des Großmeisters vorgelassen zu werden.","","False","0x00000001","",""
"","TEXT_HEAVNC103_02233_SEQ_02<tab>Never one to let an opportunity pass him by, Ser Aymeric wishes to take advantage of the recent shift in public sentiment towards the Dravanians to reestablish relations with their neighbors. To that end, he has begun making formal arrangements for a peace conference in Falcon's Nest, to be attended by Vidofnir...and by you, if possible. He admits that your presence would be more than a symbolic gesture, as he fears that Nidhogg and his followers may attempt to disrupt the proceedings. Moved by his passion, you agree, and prepare to leave for Falcon's Nest and speak with Lucia. In that moment, however, Ser Aymeric calls out, asking that you share a drink once the conference has concluded─doubtless a gesture of gratitude and camaraderie. Yet, in that moment, a thought unbidden of a woman in white floating before a great crystal gives you pause...and though you accept his invitation, it is with a heavy heart.","TEXT_HEAVNC103_02233_SEQ_02<tab>Großmeister Aymeric bekräftigt seine Einladung zu der Feier, die den Frieden zwischen Ishgard und den Drachen besiegeln soll. Sie wird in Falkenhorst im westlichen Hochland von Coerthas stattfinden. Aymeric drückt auch seinen Wunsch aus, mit dir auf den Frieden anzustoßen, wenn alles vorbei ist. Der Gedanke an Minfilias kürzlichen Tod trübt deine Stimmung, doch du nimmst seine Einladung an. Vorerst solltest du dich aber bei Lucia in Falkenhorst melden.","","False","0x00000002","",""
"","TEXT_HEAVNC103_02233_SEQ_03<tab>Most are blessed with precious few chances to choose their course in life, and Lucia is no different. Dispatched to a foreign nation as a spy, it was her duty to infiltrate Ishgardian society for her masters' ends. In the end, however, she chose a different path─to pledge herself to another nation's cause, and to join in their war. As she watches the masons of Falcon's Nest put the finishing touches on a relief, she reflects on what that war's resolution could mean for her...and for the country whose faith she has come to share.","TEXT_HEAVNC103_02233_SEQ_03<tab>Lucia empfängt dich freudig in Falkenhorst und erzählt dir, dass die Vor<var 16 /var>bereitungen fast abgeschlossen sind. Besonders freut sie sich auf ein Relief, das Großmeister Aymeric in Auftrag gegeben hat und bei der Feier enthüllt werden soll. Bis dahin ist noch etwas Zeit, die du dir nach Belieben in Falkenhorst vertreiben kannst.","","False","0x00000003","",""
"","TEXT_HEAVNC103_02233_SEQ_04<tab>","TEXT_HEAVNC103_02233_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_HEAVNC103_02233_SEQ_05<tab>","TEXT_HEAVNC103_02233_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_HEAVNC103_02233_SEQ_06<tab>","TEXT_HEAVNC103_02233_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_HEAVNC103_02233_SEQ_07<tab>","TEXT_HEAVNC103_02233_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_HEAVNC103_02233_SEQ_08<tab>","TEXT_HEAVNC103_02233_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_HEAVNC103_02233_SEQ_09<tab>","TEXT_HEAVNC103_02233_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_HEAVNC103_02233_SEQ_10<tab>","TEXT_HEAVNC103_02233_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_HEAVNC103_02233_SEQ_11<tab>","TEXT_HEAVNC103_02233_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_HEAVNC103_02233_SEQ_12<tab>","TEXT_HEAVNC103_02233_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_HEAVNC103_02233_SEQ_13<tab>","TEXT_HEAVNC103_02233_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_HEAVNC103_02233_SEQ_14<tab>","TEXT_HEAVNC103_02233_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_HEAVNC103_02233_SEQ_15<tab>","TEXT_HEAVNC103_02233_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_HEAVNC103_02233_SEQ_16<tab>","TEXT_HEAVNC103_02233_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_HEAVNC103_02233_SEQ_17<tab>","TEXT_HEAVNC103_02233_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_HEAVNC103_02233_SEQ_18<tab>","TEXT_HEAVNC103_02233_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_HEAVNC103_02233_SEQ_19<tab>","TEXT_HEAVNC103_02233_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_HEAVNC103_02233_SEQ_20<tab>","TEXT_HEAVNC103_02233_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_HEAVNC103_02233_SEQ_21<tab>","TEXT_HEAVNC103_02233_SEQ_21<tab>","","False","0x00000015","",""
