"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANMOG607_02319_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>Mogek waves his little paws excitedly.","TEXT_BANMOG607_02319_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>Règle spéciale<var 1D /var>:  synchronisation de quête<var 49 01 /var><var 48 01 /var><br>Mogek agite ses petites pattes frénétiquement.","","False","0x00000000","",""
"","TEXT_BANMOG607_02319_SEQ_01<tab>After discovering that the roar of dragons can strengthen the aspect of crystals in the vicinity, Mogek wonders whether the roar will have the same effect on kupa trees, strengthening the crystals growing within their massive trunks. He asks you to call upon Whei Ahf to test the theory, while also taking advantage of the opportunity to have him roar to strengthen a crystal cluster.<br><br>※Please note that the difficulty of this quest has been synced to your current level.","TEXT_BANMOG607_02319_SEQ_01<tab>* <var 1A 02 /var>Cette quête est <var 48 F201FC /var><var 49 F201FD /var> synchronisée<var 49 01 /var><var 48 01 /var> avec votre niveau.<var 1A 01 /var><br><br>Mogek vous a dit qu'il pensait pouvoir améliorer la qualité des cristaux et accélérer leur croissance en les dynamisant à l'aide du rugissement des dragons. Une théorie intéressante qui ne demande qu'à être validée... ou réfutée. Allez parler au dragonnet aux ailes bleues et demandez-lui d'appeler Whei Ahf pour que vous puissiez le chevaucher.","","False","0x00000001","",""
"","TEXT_BANMOG607_02319_SEQ_02<tab>With a flip and a flick of the tail, the dextrous dragonet calls for Whei Ahf, whom you bestride and guide to the kupa tree.<br><br>※Speak with the dextrous dragonet in Bahrr Lehs to mount Whei Ahf.","TEXT_BANMOG607_02319_SEQ_02<tab>Le dragonnet a appelé son chef et vous êtes monté<var 08 E905 ((e)) (()) /var> sur son dos. À présent, allez à Ohl Tahn et faites rugir Whei Ahf devant le kupoirier.<br>* Si vous descendez de votre monture, adressez-vous au dragonnet aux ailes bleues pour qu'il vous laisse remonter sur son dos.","","False","0x00000002","",""
"","TEXT_BANMOG607_02319_SEQ_03<tab>Whei Ahf roars upon the crystal, which begins to strongly gleam. The moogle nearby observes the growth excitedly as you take off to find the crystal cluster.","TEXT_BANMOG607_02319_SEQ_03<tab>Grâce au rugissement de Whei Ahf, les cristaux du kupoirier se sont mis à briller intensément, au grand plaisir du Mog en charge de surveiller le végétal. Dirigez-vous maintenant du côté de Tharl Oom Khash, et trouvez l'autre source à dynamiser.","","False","0x00000003","",""
"","TEXT_BANMOG607_02319_SEQ_04<tab>Whei Ahf brings his magicks to bear on the crystal cluster, which shines brighter in response. Return to Mogek and report what you have seen.","TEXT_BANMOG607_02319_SEQ_04<tab>Whei Ahf a rugi sur l'amas de cristal, qui a im<var 16 /var>mé<var 16 /var>dia<var 16 /var>te<var 16 /var>ment émis une vive lueur. Tout comme le Mog gardien, vous avez ressenti que l'énergie qui s'en dégage est plus puissante qu'auparavant. Retournez voir Mogek et faites-lui un rapport.","","False","0x00000004","",""
"","TEXT_BANMOG607_02319_SEQ_05<tab>While it is too early to tell whether the results of Whei Ahf's roar on the kupa tree have been fruitful, Mogek is relieved that there appear to be no negative outcomes from the experiment. He expresses appreciation to you and Whei Ahf for your efforts.","TEXT_BANMOG607_02319_SEQ_05<tab>Bien qu'il soit trop tôt pour dire si les rugissements de Whei Ahf auront l'effet escompté sur les cristaux, Mogek est heureux de constater que les humains, les dragons et les Mogs arrivent à travailler ensemble autour d'un projet commun. L'union des talents de chacun permettra assurément de réaliser de grandes choses, comme par le passé.","","False","0x00000005","",""
"","TEXT_BANMOG607_02319_SEQ_06<tab>","TEXT_BANMOG607_02319_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANMOG607_02319_SEQ_07<tab>","TEXT_BANMOG607_02319_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANMOG607_02319_SEQ_08<tab>","TEXT_BANMOG607_02319_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANMOG607_02319_SEQ_09<tab>","TEXT_BANMOG607_02319_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_BANMOG607_02319_SEQ_10<tab>","TEXT_BANMOG607_02319_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_BANMOG607_02319_SEQ_11<tab>","TEXT_BANMOG607_02319_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_BANMOG607_02319_SEQ_12<tab>","TEXT_BANMOG607_02319_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_BANMOG607_02319_SEQ_13<tab>","TEXT_BANMOG607_02319_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_BANMOG607_02319_SEQ_14<tab>","TEXT_BANMOG607_02319_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_BANMOG607_02319_SEQ_15<tab>","TEXT_BANMOG607_02319_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_BANMOG607_02319_SEQ_16<tab>","TEXT_BANMOG607_02319_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_BANMOG607_02319_SEQ_17<tab>","TEXT_BANMOG607_02319_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_BANMOG607_02319_SEQ_18<tab>","TEXT_BANMOG607_02319_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_BANMOG607_02319_SEQ_19<tab>","TEXT_BANMOG607_02319_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_BANMOG607_02319_SEQ_20<tab>","TEXT_BANMOG607_02319_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_BANMOG607_02319_SEQ_21<tab>","TEXT_BANMOG607_02319_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_BANMOG607_02319_SEQ_22<tab>","TEXT_BANMOG607_02319_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_BANMOG607_02319_SEQ_23<tab>","TEXT_BANMOG607_02319_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_BANMOG607_02319_TODO_00<tab>Speak with the dextrous dragonet.","TEXT_BANMOG607_02319_TODO_00<tab>Parler au dragonnet aux ailes bleues","","False","0x00000018","",""
"","TEXT_BANMOG607_02319_TODO_01<tab>Ride Whei Ahf and use his Roar ability on the kupa tree.","TEXT_BANMOG607_02319_TODO_01<tab>Monter Whei Ahf et utiliser son rugissement sur le kupoirier","","False","0x00000019","",""
"","TEXT_BANMOG607_02319_TODO_02<tab>Ride Whei Ahf and use his Roar ability on the crystal cluster.","TEXT_BANMOG607_02319_TODO_02<tab>Monter Whei Ahf et utiliser son rugissement sur le cristal brillant","","False","0x0000001A","",""
"","TEXT_BANMOG607_02319_TODO_03<tab>Report to Mogek the Marvelous.","TEXT_BANMOG607_02319_TODO_03<tab>Faire un rapport à Mogek","","False","0x0000001B","",""
"","TEXT_BANMOG607_02319_TODO_04<tab>","TEXT_BANMOG607_02319_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_BANMOG607_02319_TODO_05<tab>","TEXT_BANMOG607_02319_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_BANMOG607_02319_TODO_06<tab>","TEXT_BANMOG607_02319_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_BANMOG607_02319_TODO_07<tab>","TEXT_BANMOG607_02319_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_BANMOG607_02319_TODO_08<tab>","TEXT_BANMOG607_02319_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_BANMOG607_02319_TODO_09<tab>","TEXT_BANMOG607_02319_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_BANMOG607_02319_TODO_10<tab>","TEXT_BANMOG607_02319_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_BANMOG607_02319_TODO_11<tab>","TEXT_BANMOG607_02319_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_BANMOG607_02319_TODO_12<tab>","TEXT_BANMOG607_02319_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_BANMOG607_02319_TODO_13<tab>","TEXT_BANMOG607_02319_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_BANMOG607_02319_TODO_14<tab>","TEXT_BANMOG607_02319_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_BANMOG607_02319_TODO_15<tab>","TEXT_BANMOG607_02319_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_BANMOG607_02319_TODO_16<tab>","TEXT_BANMOG607_02319_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_BANMOG607_02319_TODO_17<tab>","TEXT_BANMOG607_02319_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_BANMOG607_02319_TODO_18<tab>","TEXT_BANMOG607_02319_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_BANMOG607_02319_TODO_19<tab>","TEXT_BANMOG607_02319_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_BANMOG607_02319_TODO_20<tab>","TEXT_BANMOG607_02319_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_BANMOG607_02319_TODO_21<tab>","TEXT_BANMOG607_02319_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_BANMOG607_02319_TODO_22<tab>","TEXT_BANMOG607_02319_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_BANMOG607_02319_TODO_23<tab>","TEXT_BANMOG607_02319_TODO_23<tab>","","False","0x0000002F","",""
