"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_FESXMS204_02378_SEQ_00<tab>Damielliot beams an exultant smile at your return.<br>※This quest is available for a limited time only.","TEXT_FESXMS204_02378_SEQ_00<tab>※本クエストは、期間限定のクエストとなります。<br><br>小児病棟のダミエリオーは、星芒祭の催しについて冒険者に依頼したいことがあるようだ。","","False","0x00000000","",""
"","TEXT_FESXMS204_02378_SEQ_01<tab>Unable to conceal his joy at the sight of your face, Damielliot bids you tell a tale of your adventures across the realm as a special Starlight gift to the younglings. When you are ready, make for the innermost chamber, where Reauverre and his friends eagerly await you.<br><br>※Please note that you will not be able to complete this quest after the seasonal event has ended. For details, check the Lodestone.","TEXT_FESXMS204_02378_SEQ_01<tab>※本クエストは、シーズナルイベント開催中にかぎり、<br>　受注、進行できます。<br>　開催期間終了後は進行できませんので、ご注意ください。<br>　期間等の詳細についてはLodestoneをご覧ください。<br><br>ダミエリオーから、子どもたちに冒険譚を話すよう頼まれた。準備ができたら、小児病棟の「ローヴェル」と話そう。","","False","0x00000001","",""
"","TEXT_FESXMS204_02378_SEQ_02<tab>After regaling the children with a choice story from your many feats of bravery and derring-do, Damielliot invites you to retire for a well-earned rest. Drifting off to slumber, you are greeted in your dreams by what could only be one of the saint's little helpers. You awaken and rise to see a carefully wrapped gift sitting beneath the Starlight tree...","TEXT_FESXMS204_02378_SEQ_02<tab>ローヴェルたちに冒険譚を語った後、ダミエリオーの勧めにしたがい、休ませてもらうことになった。その際に、冒険者は聖人の従者の夢を見る。目覚めてみると、夢で示唆されたように、ツリーの下に贈り物が置いてあった……。小児病棟の「<var 28 ((EObj)) F61EA1CC01 /var>」を入手しよう。","","False","0x00000002","",""
"","TEXT_FESXMS204_02378_SEQ_03<tab>Feeling a sense of awe and wonder, you take the carefully wrapped package into hand. Could this truly be a Starlight gift sent to you by the Saint of Nymeia himself? Mayhap Damielliot might be able to offer some insight.","TEXT_FESXMS204_02378_SEQ_03<tab><var 28 ((EventItem)) F61E8C6001 /var>を入手した。これが何かを確かめるため、小児病棟の「ダミエリオー」に「<var 28 ((EventItem)) F61E8C6001 /var>」を見せよう。","","False","0x00000003","",""
"","TEXT_FESXMS204_02378_SEQ_04<tab>With a knowing smile, Damielliot explains that the gift was prepared by the children and himself, as a show of their gratitude for the kindness you showed them this Starlight─while conceding that the vision you saw suggests that other forces may have had a hand in this miracle. Should you care to bring yet more merriment and good cheer to the younglings, you are welcome to return to the children's ward as often as you like before the season is through.","TEXT_FESXMS204_02378_SEQ_04<tab><var 28 ((EventItem)) F61E8C6001 /var>は、子どもたちとダミエリオーが冒険譚の礼として用意したものだった。星芒祭の期間中、また子どもたちに冒険譚を話してあげるのもよいだろう。","","False","0x00000004","",""
"","TEXT_FESXMS204_02378_SEQ_05<tab>","TEXT_FESXMS204_02378_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_FESXMS204_02378_SEQ_06<tab>","TEXT_FESXMS204_02378_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_FESXMS204_02378_SEQ_07<tab>","TEXT_FESXMS204_02378_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_FESXMS204_02378_SEQ_08<tab>","TEXT_FESXMS204_02378_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_FESXMS204_02378_SEQ_09<tab>","TEXT_FESXMS204_02378_SEQ_09<tab>","","False","0x00000009","",""
