"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_HEAVNF101_02351_SEQ_00<tab>Tataru has a request for you.","TEXT_HEAVNF101_02351_SEQ_00<tab>Tataru hat etwas auf dem kleinen Herzen.","","False","0x00000000","",""
"","TEXT_HEAVNF101_02351_SEQ_01<tab>Tataru asks that you meet her at the Diamond Forge within Rowena's House of Splendors. Though she neglects to explain the nature of her business there, she assures you it will not take long...","TEXT_HEAVNF101_02351_SEQ_01<tab>Was bisher geschah:<br><br>Die Heimatwelt der Krieger der Dunkelheit wurde vom Licht überflutet und drohte, dem Nichts anheimzufallen. Deshalb ließen sich die Krieger auf einen Handel mit den Ascians ein und versuchten, in der Ursprungs<var 16 /var>welt eine Katastrophe herbeizuführen, um die Welten zu verschmelzen, obwohl das den Tod aller Bewohner ihrer Heimat bedeutet hätte. Urianger erkannte die Gefahr und brachte durch eine List die Krieger der Dunkelheit und des Lichts zusammen. Durch die vereinte Kraft ihrer Lichtkristalle versetzten sie Hydaelyn in die Lage, Minfilia freizugeben. Die ehemalige Anführerin des Bundes der Morgenröte verabschiedete sich von ihren Freunden, um als Botin Hydaelyns in die erste Splitter<var 16 /var>welt zu reisen und dort die verhängnisvolle Lichtflut einzudämmen.<br><br> 　　　　　　　　　　　　*　*　* <br><br>Tataru möchte dich in der Diamantschmiede in Rowenas Haus der Wunder treffen, um dir etwas zu zeigen. Warte dort auf sie.","","False","0x00000001","",""
"","TEXT_HEAVNF101_02351_SEQ_02<tab>After being ambushed by the Diamond Forge artisans and their measuring tapes, you are called to attend a meeting with your fellow Scions at the Rising Stones. There, you discuss the future of the organization, only to be interrupted by the arrival of M'naago, a member of the Ala Mhigan Resistance. Between pained gasps, the wounded woman reports that one of the Resistance leaders─a masked man known as the Griffin─has embarked upon a course which will inevitably drag the Eorzean Alliance into conflict with the Empire. Hearing this, Y'shtola bids you bear word of the looming threat to Ishgard while she and the others notify the rest of the Alliance leaders. You resolve to bring the matter before Lucia at the Temple Knights' headquarters.","TEXT_HEAVNF101_02351_SEQ_02<tab>Tataru hat dich in eine Falle gelockt! Auf ihren Befehl hin stürzen sich hinterrücks Künstler der Diamantschmiede auf dich und vermessen dich mit ihren Maßbändern vom Scheitel bis zur Sohle. Was hat Tataru bloß mit deinen Körpermaßen vor? Bevor du ihr die Antwort entlocken kannst, ruft dich Yda zu einer Besprechung des Bundes der Morgenröte, bei der ihr über die Zukunft und die Führung der Organisation diskutiert. Dabei werdet ihr durch die Ankunft einer schwer verletzten Miqo'te unterbrochen. Sie heißt M'naago und ist eine Befreiungskämpferin aus Ala Mhigo. Sie warnt euch, dass der unter dem Namen „Der Greif“ bekannte Anführer der Eisenmasken plant, einen neuen Krieg zwischen Eorzea und dem Garleischen Kaiserreich zu provozieren. Die Anführer der Eorzäischen Allianz müssen umgehend über die Gefahr in Kenntnis gesetzt werden. Deine Aufgabe ist es, als Bote nach Ishgard zu reisen. Melde dich bei Lucia in der Kongregation der Tempelritter.","","False","0x00000002","",""
"","TEXT_HEAVNF101_02351_SEQ_03<tab>Lucia dutifully communicates the Scions' concerns to Ser Aymeric, and the lord commander soon agrees to send an envoy to the Alliance council. The nature of Ishgard's politics, however, requires that he first consult with his counterpart in the House of Commons to decide who will serve as the nation's representative. For the moment, there is little you can do but wait for the decision to be made...","TEXT_HEAVNF101_02351_SEQ_03<tab>Lucia holt Großmeister Aymeric hinzu, der einwilligt, einen Gesandten nach Gridania zu schicken. Allerdings muss er sich bei der Auswahl des Abgesandten mit dem Vorsitzenden des neu gegründeten Unterhauses abstimmen. Er bittet dich, Lucia zum Tor des Urteils zu begleiten und dort auf den offiziellen Abgesandten zu warten.","","False","0x00000003","",""
"","TEXT_HEAVNF101_02351_SEQ_04<tab>","TEXT_HEAVNF101_02351_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_HEAVNF101_02351_SEQ_05<tab>","TEXT_HEAVNF101_02351_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_HEAVNF101_02351_SEQ_06<tab>","TEXT_HEAVNF101_02351_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_HEAVNF101_02351_SEQ_07<tab>","TEXT_HEAVNF101_02351_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_HEAVNF101_02351_SEQ_08<tab>","TEXT_HEAVNF101_02351_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_HEAVNF101_02351_SEQ_09<tab>","TEXT_HEAVNF101_02351_SEQ_09<tab>","","False","0x00000009","",""
