"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_HEAVNF104_02354_SEQ_00<tab>Alisaie seems eager to discuss the council's decision with the other Scions.","TEXT_HEAVNF104_02354_SEQ_00<tab>Alisaie seems eager to discuss the council's decision with the other Scions.","","False","0x00000000","",""
"","TEXT_HEAVNF104_02354_SEQ_01<tab>Having apparently had her fill of the hustle and bustle of the town square, Alisaie declares her intention to retire inside to await the return of her brother and the others. Join her in the Rising Stones.","TEXT_HEAVNF104_02354_SEQ_01<tab>Having apparently had her fill of the hustle and bustle of the town square, Alisaie declares her intention to retire inside to await the return of her brother and the others. Join her in the Rising Stones.","","False","0x00000001","",""
"","TEXT_HEAVNF104_02354_SEQ_02<tab>Shortly after Alphinaud's arrival, a meeting is convened to discuss the outcome of the council. Hoping to convince the Griffin to abandon his course before war engulfs the realm, it is decided that Papalymo, Yda, Thancred, and Yugiri will brave the secret tunnels beneath Baelsar's Wall, and endeavor to confront the Resistance leader directly. You, meanwhile, are to stand ready in the Black Shroud for whatever eventuality may arise. Notify Alphinaud when you have made the necessary preparations.","TEXT_HEAVNF104_02354_SEQ_02<tab>Shortly after Alphinaud's arrival, a meeting is convened to discuss the outcome of the council. Hoping to convince the Griffin to abandon his course before war engulfs the realm, it is decided that Papalymo, Yda, Thancred, and Yugiri will brave the secret tunnels beneath Baelsar's Wall, and endeavor to confront the Resistance leader directly. You, meanwhile, are to stand ready in the Black Shroud for whatever eventuality may arise. Notify Alphinaud when you have made the necessary preparations.","","False","0x00000002","",""
"","TEXT_HEAVNF104_02354_SEQ_03<tab>Alphinaud urges you to conclude any business you have in Revenant's Toll, and meet him at the Hawthorne Hut in the East Shroud.","TEXT_HEAVNF104_02354_SEQ_03<tab>Alphinaud urges you to conclude any business you have in Revenant's Toll, and meet him at the Hawthorne Hut in the East Shroud.","","False","0x00000003","",""
"","TEXT_HEAVNF104_02354_SEQ_04<tab>Outside the Hawthorne Hut, you bid the infiltration team good fortune on their mission. After they depart, Alphinaud mentions that Amarissaix's Spire offers a clear view of the Wall, and suggests that you speak with the Alliance commanders who have gathered atop the lookout platform. Identify yourself to the serpent scout at the foot of the tower.","TEXT_HEAVNF104_02354_SEQ_04<tab>Outside the Hawthorne Hut, you bid the infiltration team good fortune on their mission. After they depart, Alphinaud mentions that Amarissaix's Spire offers a clear view of the Wall, and suggests that you speak with the Alliance commanders who have gathered atop the lookout platform. Identify yourself to the serpent scout at the foot of the tower.","","False","0x00000004","",""
"","TEXT_HEAVNF104_02354_SEQ_05<tab>It would seem that fighting has broken out on Baelsar's Wall. Scouts report that the Griffin has begun his assault, his soldiers apparently clad in Grand Company uniforms... Plainly, the Resistance leader will stop at nothing to drag the Alliance into his conflict. To make matters worse, your fellow Scions are headed into the eye of this storm, wholly unaware of what awaits them on the surface... Despite the danger, Alphinaud resolves to plunge into the thick of the battle in an attempt to save the day. You have little choice but to join your young friend at the approach to the Wall.","TEXT_HEAVNF104_02354_SEQ_05<tab>It would seem that fighting has broken out on Baelsar's Wall. Scouts report that the Griffin has begun his assault, his soldiers apparently clad in Grand Company uniforms... Plainly, the Resistance leader will stop at nothing to drag the Alliance into his conflict. To make matters worse, your fellow Scions are headed into the eye of this storm, wholly unaware of what awaits them on the surface... Despite the danger, Alphinaud resolves to plunge into the thick of the battle in an attempt to save the day. You have little choice but to join your young friend at the approach to the Wall.","","False","0x00000005","",""
"","TEXT_HEAVNF104_02354_SEQ_06<tab>Alphinaud outlines a simple plan wherein he will pursue the infiltration team through the tunnels while you scale the fortifications with a party of your most trusted comrades. You must reach the top of the Wall and force the Griffin to withdraw before the unthinkable happens!

※Challenge Baelsar's Wall with other players via the Duty Finder, or with a party of NPCs via Duty Support. Both systems are accessible from the main menu as well as the dungeon's entrance point.","TEXT_HEAVNF104_02354_SEQ_06<tab>Alphinaud outlines a simple plan wherein he will pursue the infiltration team through the tunnels while you scale the fortifications with a party of your most trusted comrades. You must reach the top of the Wall and force the Griffin to withdraw before the unthinkable happens!

※Challenge Baelsar's Wall with other players via the Duty Finder, or with a party of NPCs via Duty Support. Both systems are accessible from the main menu as well as the dungeon's entrance point.","","False","0x00000006","",""
"","TEXT_HEAVNF104_02354_SEQ_07<tab>You have overpowered the Griffin. See events to their conclusion before making your escape from the top of the Wall.","TEXT_HEAVNF104_02354_SEQ_07<tab>You have overpowered the Griffin. See events to their conclusion before making your escape from the top of the Wall.","","False","0x00000007","",""
"","TEXT_HEAVNF104_02354_SEQ_08<tab>Beneath the mask, the Griffin is revealed to be none other than Ilberd, the disgraced captain of the Crystal Braves. Following his “defeat,” the Resistance leader enacts his true plan─a ritual to summon a nightmarish primal empowered by Ala Mhigan desperation and the might of Nidhogg's eyes. Fearing a disaster to rival the Calamity itself, Papalymo steps forward with Tupsimati, and grimly begins to weave a forbidden magick of confinement... You barely have time to escape on Hilda's airship before the incantation swallows Papalymo and encases the newborn entity in a vast cocoon of light.

Stunned by the unexpected summoning and the loss of her dearest friend, Yda's irrepressible spirit seems to have been broken at last. Offer her what comfort you may.","TEXT_HEAVNF104_02354_SEQ_08<tab>Beneath the mask, the Griffin is revealed to be none other than Ilberd, the disgraced captain of the Crystal Braves. Following his “defeat,” the Resistance leader enacts his true plan─a ritual to summon a nightmarish primal empowered by Ala Mhigan desperation and the might of Nidhogg's eyes. Fearing a disaster to rival the Calamity itself, Papalymo steps forward with Tupsimati, and grimly begins to weave a forbidden magick of confinement... You barely have time to escape on Hilda's airship before the incantation swallows Papalymo and encases the newborn entity in a vast cocoon of light.

Stunned by the unexpected summoning and the loss of her dearest friend, Yda's irrepressible spirit seems to have been broken at last. Offer her what comfort you may.","","False","0x00000008","",""
"","TEXT_HEAVNF104_02354_SEQ_09<tab>You attempt to speak with Yda, but there seems to be nothing you can say that will pierce the shroud of her grief. Thancred offers to watch over her whilst you and the others return to the Rising Stones with the tidings of Papalymo's demise.","TEXT_HEAVNF104_02354_SEQ_09<tab>You attempt to speak with Yda, but there seems to be nothing you can say that will pierce the shroud of her grief. Thancred offers to watch over her whilst you and the others return to the Rising Stones with the tidings of Papalymo's demise.","","False","0x00000009","",""
