"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_HEAVNR302_02336_SEQ_00<tab>Undaunted by recent revelations, Biggs would brief you on the next stage of the rescue mission.","TEXT_HEAVNR302_02336_SEQ_00<tab>シャーレアン工匠街のビッグスは、作戦の概要を伝えるつもりのようだ。","","False","0x00000000","",""
"","TEXT_HEAVNR302_02336_SEQ_01<tab>With the operation to rescue Roundrox─and, in turn, foil the Illuminati's plans for historical domination─set to commence, Biggs briefs you on the details. Your task will be a straightforward if demanding one: enter the colossus through its head and delve deep through its nasal cavity to seize control of a moving platform that will transport the rescue party to Central Control, where Roundrox is being held captive. Cid and the others, meanwhile, will sweep through Midas, eliminating any Illuminati ambushers they encounter before rendezvousing with you in readiness to attempt the rescue. The goblin girl's fate─and that of history itself─hangs in the balance. Once more unto the breach, Warrior of Light!<br><br>※The Breath of the Creator can be accessed via the Duty Finder.","TEXT_HEAVNR302_02336_SEQ_01<tab>前回までの冒険録：<br>アレキサンダーは、時を超え、歴史への介入をも可能とする蛮神だった……！さらにこの蛮神は、コアに強大な秘宝を宿す、破格の存在だと判明。一刻も早くラウンドロクスを救出し、アレキサンダーの制御を奪わねば、歴史全体が「青の手」に掌握される。未曾有の危機は、静かに訪れていた……。<br>　　　　　　　　　　　　*　*　*<br>ラウンドロクス救出作戦が始まった。しっかりと準備を整えて、仲間とともに迷宮に挑もう。<br><br>※コンテンツファインダーから攻略に参加できます。また、シャーレアン工匠街にある<var 28 ((EObj)) F61EA18601 /var>からも挑戦できます。","","False","0x00000001","",""
"","TEXT_HEAVNR302_02336_SEQ_02<tab>Dispatching an oversized Illuminati sellsword, you seize control of the transport platform, securing a shortcut to the heart of the colossus, where Roundrox is being held captive. Ride the platform to your destination to rendezvous with Cid and the others before proceeding with the next phase of the mission.","TEXT_HEAVNR302_02336_SEQ_02<tab>「機工城アレキサンダー：天動編2」を攻略した。昇降機でこの区画から脱出し、ラウンドロクスを救出しよう。","","False","0x00000002","",""
"","TEXT_HEAVNR302_02336_SEQ_03<tab>Successfully infiltrating Central Control, you find Roundrox chained to a metal chair. Projected on the ceiling above her is the <var 1A 02 /var>Enigma Codex<var 1A 01 /var>, its vast knowledge and powers now open to the Illuminati by their cruel manipulation of the goblin girl's mind. Mide rushes to her friend's side, and the delirious Roundrox indicates that Alexander is now fully operational, with the capacity to travel through time. While Mide wistfully contemplates what she might do with such power, Roundrox engages the time travel engine, transporting the colossus and all within three years into the past, to the fateful day when Mide and her fellow treasure hunters attempted to summon the primal. From a perch high atop the colossus, Biggs and Wedge duly bear witness to what truly happened...<br><br><var 1A 02 /var>Illuminati snipers emerge from within the steel fortress and fire upon the treasure hunters in the midst of their ritual. As chaos ensues, their leader, Dayan, declares the summoning a failure, and orders a fresh-faced Mide to seal the primal away, before sacrificing himself to save her life. After watching her beloved disappear into the primal's howling core, she slumps to the earth, bereft and broken. Meanwhile, back atop the colossus, Shanoa conspicuously hurls herself at Backrix, and both the kitten and the goblin's journal go tumbling to the ground below. The former─quite miraculously─scampers away unscathed, while the latter is discovered by the Roundrox of the past...<var 1A 01 /var><br><br>With a blinding flash, the time travel mechanism is disengaged, and the colossus returns to the present time. There, the party is met by Quickthinx, who reveals the most chilling truth of all: that time is a circle, an infinite loop, and the primal that Mide and her companions summoned three years ago was, in fact, the selfsame one that bore you to the past in scant moments before. The Illuminati Grand Master gleefully thanks you for playing out your roles in his preordained history, then summons his lackeys to put an end to you. You successfully retreat, but Mide─devastated by the knowledge that she is powerless to change either her past or her future─remains behind, unwilling to abandon the soul of her beloved.","TEXT_HEAVNR302_02336_SEQ_03<tab>救出されたラウンドロクスが、3年前の世界へと時空移動を敢行した。しかし過去の事件を止めることはできず、逆にミーデの悲劇を引き起こしてしまう。「時の環」が完成し、「定められし未来」が到来する条件がそろったと嗤（わら）う万能のクイックシンクス。低地ドラヴァニアのアレキサンダー頭部にいる「ビッグス」に報告しよう。","","False","0x00000003","",""
"","TEXT_HEAVNR302_02336_SEQ_04<tab>All─save for Mide─emerge from the colossus unscathed if deeply unnerved by recent revelations. Roundrox, though finally free from the clutches of the Illuminati, is heartbroken over the role she played in her Auri friend's downfall, insisting that she will go and save her. Cid swiftly puts paid to this notion, however, assuring the goblin child that she can leave Mide's rescue to you.<br><br>Is Quickthinx truly an all-knowing traveler from the future? Does the soul of Mide's beloved still live on in the heart of the machine? Once again, each answer has given rise to yet more questions, and the steel giant beckons you within once more...","TEXT_HEAVNR302_02336_SEQ_04<tab>ビッグスに報告した。クイックシンクスが、あらかじめこの結果を知っていたと、シドも認めざるをえないようだ。引き続きシドたちと「機工城アレキサンダー：天動編」の攻略を進めていこう。","","False","0x00000004","",""
"","TEXT_HEAVNR302_02336_SEQ_05<tab>","TEXT_HEAVNR302_02336_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_HEAVNR302_02336_SEQ_06<tab>","TEXT_HEAVNR302_02336_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_HEAVNR302_02336_SEQ_07<tab>","TEXT_HEAVNR302_02336_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_HEAVNR302_02336_SEQ_08<tab>","TEXT_HEAVNR302_02336_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_HEAVNR302_02336_SEQ_09<tab>","TEXT_HEAVNR302_02336_SEQ_09<tab>","","False","0x00000009","",""
