"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CLSALC700_02440_SEQ_00<tab>Popokkuli appears to be greatly disappointed.","TEXT_CLSALC700_02440_SEQ_00<tab>Popokkuli scheint enttäuscht zu sein.","","False","0x00000000","",""
"","TEXT_CLSALC700_02440_SEQ_01<tab>Popokkuli tells you that Ansobert has escaped from his warehouse. Travel to the Sapphire Avenue Exchange, and there search for the merchant's lady attendant.","TEXT_CLSALC700_02440_SEQ_01<tab>Popokkuli beklagt, dass der Attentäter aus dem Lagerhaus entkommen konnte, aber er vermutet, dass es sich um Ansobert handelt. Suche auf dem Saphirstraßenmarkt nach seiner Dienerin.","","False","0x00000001","",""
"","TEXT_CLSALC700_02440_SEQ_02<tab>Ansobert's distressed attendant reveals that there is a strange rumor surrounding her master. Travel to Erralig's Burial Chamber and speak with her once more.","TEXT_CLSALC700_02440_SEQ_02<tab>Ansoberts Dienerin hat Angst vor ihrem Herrn und vermutet, er könnte für das Verschwinden ihrer Kollegin verantwortlich sein. Begleite die Zeugin zu Erraligs Grabkammer in Ul'dah.","","False","0x00000002","",""
"","TEXT_CLSALC700_02440_SEQ_03<tab>The distressed attendant confesses to you that the remains found outside the city walls were those of her friend who had gone missing. To continue the hunt for Ansobert, travel to Revenant's Toll and speak with Popokkuli.","TEXT_CLSALC700_02440_SEQ_03<tab>Die traurige Dienerin identifiziert die in der Wildnis von Ul'dah gefundene Leiche als ihre vermisste Kollegin. Reise nach Geisterzoll und sprich dort mit Popokkuli.","","False","0x00000003","",""
"","TEXT_CLSALC700_02440_SEQ_04<tab>Ansobert confesses to the crime of murdering the woman whose corpse was found outside the city. You have seized Heartstrike, and all that remains now is to use it to free Niellefresne from the blade's curse. Return to the Alchemists' Guild to speak with Severian.","TEXT_CLSALC700_02440_SEQ_04<tab>Unter Druck gesteht Ansobert den Mord an seiner Dienerin und übergibt euch die Herzklinge, mit der ihr hoffentlich Niellefresnes Seele befreien könnt. Bitte Meister Severian in der Alche<var 16 /var>misten<var 16 /var>gilde um Rat.","","False","0x00000004","",""
"","TEXT_CLSALC700_02440_SEQ_05<tab>Severian informs you that the curse on Niellefresne can only be broken by destroying Heartstrike and leaving not a trace of it behind. Use a set of dissolvent ingredients to mix a vial of potent dissolvent <var 28 ((Addon)) 0A01 /var>, and then deliver it to Greinfarr at Erralig's Burial Chamber.<br><br>※In the event you lose the ingredients or the synthesis ends in failure, you may try again by speaking with Severian.","TEXT_CLSALC700_02440_SEQ_05<tab>Severian glaubt, der Fluch lässt sich brechen, indem der magische Katalysator der Herzklinge zerstört wird. Synthetisiere <var 32 ((ItemHQ)) 02F2460C020502 /var> und bring sie zu Greinfarr in Erraligs Grabkammer.<br><br>※ Solltest du <var 32 ((Item)) 03F2460B020502 /var> verlieren, kannst du von Severian Nachschub erhalten.","","False","0x00000005","",""
"","TEXT_CLSALC700_02440_SEQ_06<tab>You have seen the vial of potent dissolvent <var 28 ((Addon)) 0A01 /var> to Greinfarr's hands. Freed at last from the curse of Heartstrike, the remains of Niellefresne and the young lady glow the color of aether before disappearing entirely. Speak once more with Greinfarr.","TEXT_CLSALC700_02440_SEQ_06<tab>Mit dem Äther-Lösungsmittel zerstört Greinfarr den Katalysator der Herzklinge. Daraufhin lösen sich die Körper von Niellefresne und der Dienerin auf, ihr Äther leuchtet auf und verblasst. Sprich mit Greinfarr darüber.","","False","0x00000006","",""
"","TEXT_CLSALC700_02440_SEQ_07<tab>Greinfarr has spoken his piece. Return to the Alchemists' Guild and relay to Severian the deep gratitude of F'lhaminn and her friends.","TEXT_CLSALC700_02440_SEQ_07<tab>Greinfarr und F'lhaminn sind überglücklich, dass die Seele ihres alten Freundes befreit werden konnte. Überbringe ihren Dank Meister Severian.","","False","0x00000007","",""
"","TEXT_CLSALC700_02440_SEQ_08<tab>Before returning to his alchemical duties, Severian leaves you with the wisdom that learning to live with the loss of loved ones forces us to face our own weaknesses, and that it is an inevitable part of life itself. His trust and confidence in you have grown by the resolution of this affair at your hands. No doubt your adventures together are far from over.","TEXT_CLSALC700_02440_SEQ_08<tab>Meister Severian erinnert sich noch gut an den Schmerz, als er seine geliebte W'nahja verlor, doch er hat gelernt, mit dem Verlust und seiner eigenen Schwäche zu leben. Dir scheint er uneingeschränkt zu vertrauen und sicher wird er irgendwann wieder deine Hilfe benötigen.","","False","0x00000008","",""
"","TEXT_CLSALC700_02440_SEQ_09<tab>","TEXT_CLSALC700_02440_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_CLSALC700_02440_SEQ_10<tab>","TEXT_CLSALC700_02440_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_CLSALC700_02440_SEQ_11<tab>","TEXT_CLSALC700_02440_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_CLSALC700_02440_SEQ_12<tab>","TEXT_CLSALC700_02440_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_CLSALC700_02440_SEQ_13<tab>","TEXT_CLSALC700_02440_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_CLSALC700_02440_SEQ_14<tab>","TEXT_CLSALC700_02440_SEQ_14<tab>","","False","0x0000000E","",""
