"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CLSWDK601_02441_SEQ_00<tab>Timbermaster Beatin's already furrowed brow deepens.","TEXT_CLSWDK601_02441_SEQ_00<tab>木工師ギルドのベアティヌは、相談したいことがあるようだ。","","False","0x00000000","",""
"","TEXT_CLSWDK601_02441_SEQ_01<tab>Timbermaster Beatin is concerned about a young girl named Cemi who has been in low spirits of late. He has approached her on several occasions to learn what has been troubling her, but she refuses to speak to him of her woes. Believing she would be more willing to open up to you, he requests that you seek her out in front of the guild and ask what has been weighing on her mind.","TEXT_CLSWDK601_02441_SEQ_01<tab>前回までの冒険録：<br>ベアティヌから、ある槍の持ち主を探してほしいと頼まれ、イシュガルドへ向かった冒険者。槍の持ち主の息子であるバルトヴューは、騎士を目指して武功を挙げようと躍起になっていた。冒険者の協力を受けながらも、見事父親の仇であるドラゴンを討ったバルトヴューは、父親の汚名を返上するため、神殿騎士団の門を叩くのだった。<br>　　　　　　　　　　　　*　*　*<br>ベアティヌは、最近入ったばかりの弟子のことを心配しているようだ。木工師ギルド前にいる「チェミ・ジンジャル」と話そう。","","False","0x00000001","",""
"","TEXT_CLSWDK601_02441_SEQ_02<tab>Cemi is quick to reveal that she is concerned about the guild's current state of affairs, or more precisely, the effect they have been having on the guildmaster's health. She tells you of how profits have been dwindling and Beatin has been working himself to the bone to compensate for their losses. Convinced he has pushed his body to its physical limits, she believes it time for decisive action. She then asks that you accompany her to the Carline Canopy, where you are to help interview the local citizens on the types of furniture they are looking to purchase, so you might come up with a viable solution to raise revenue.","TEXT_CLSWDK601_02441_SEQ_02<tab>チェミ・ジンジャルと、流行の家具について調査をすることになった。グリダニアのカーラインカフェにいる者たちから話を聞こう。","","False","0x00000002","",""
"","TEXT_CLSWDK601_02441_SEQ_03<tab>By speaking with the people at the Carline Canopy, you learn that furnishings from the Far East are currently all the rage amongst furniture buyers. It seems people are enamored of the more traditional crafting methods and unique patterns employed in the items exclusive to these regions. Seek out Cemi and inform her of what you have discovered.","TEXT_CLSWDK601_02441_SEQ_03<tab>カーラインカフェでは、東方様式の家具が流行しているらしい。カーラインカフェの「チェミ・ジンジャル」と話そう。","","False","0x00000003","",""
"","TEXT_CLSWDK601_02441_SEQ_04<tab>Based on the information gathered at the Carline Canopy, Cemi concludes that the only way the Carpenters' Guild will stand a chance of surviving is to adapt their wares to the consumer's tastes. To this end, she means to impress upon Beatin the importance of offering Far East-inspired furnishings, and asks that you accompany her back to the guild to lend your voice to this endeavor.","TEXT_CLSWDK601_02441_SEQ_04<tab>チェミ・ジンジャルは、木工師ギルドで東方様式の家具を売り出したいという。木工師ギルドの「ベアティヌ」と話そう。","","False","0x00000004","",""
"","TEXT_CLSWDK601_02441_SEQ_05<tab>Timbermaster Beatin is surprisingly receptive to what Cemi has to say. When she tells him that the guild needs to begin producing Far Eastern-style furniture to keep up with the markets, however, the discussion takes an unexpected turn, and Beatin counters Cemi's suggestion with an idea of his own. He says that he would like for her to travel to the Far East on the guild's behalf and learn the traditional ways of crafting oriental furnishings. Thrilled by the prospect, the young girl scurries off to prepare for departure, pausing only to say that she will send a letter when she reaches her destination.<br><br>※The next carpenter quest will be available from Beatin upon reaching level 63.","TEXT_CLSWDK601_02441_SEQ_05<tab>チェミ・ジンジャルは、ベアティヌの命を受けて、東方様式の家具を学ぶ旅に出た。彼女が無事に東方へと辿り着き、連絡してくるのを待とう。<br><br>※木工師のレベルが63以上になると、木工師ギルドのベアティヌから次の木工師クエストを受注することができます。","","False","0x00000005","",""
"","TEXT_CLSWDK601_02441_SEQ_06<tab>","TEXT_CLSWDK601_02441_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_CLSWDK601_02441_SEQ_07<tab>","TEXT_CLSWDK601_02441_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_CLSWDK601_02441_SEQ_08<tab>","TEXT_CLSWDK601_02441_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_CLSWDK601_02441_SEQ_09<tab>","TEXT_CLSWDK601_02441_SEQ_09<tab>","","False","0x00000009","",""
