"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_JOBAST700_02413_SEQ_00<tab>Kyokuho appears frantic...and Master Murakumo is nowhere to be found.","TEXT_JOBAST700_02413_SEQ_00<tab>Kyokuho semble inquiet.","","False","0x00000000","",""
"","TEXT_JOBAST700_02413_SEQ_01<tab>Murakumo has yet to return from his survey of the southerly shrine, and Kyokuho has a bad feeling that his master may be in grave danger. Hurry to Rakusui Gardens and search the area.","TEXT_JOBAST700_02413_SEQ_01<tab>Murakumo est parti examiner la barrière depuis un bon moment et il n'est toujours pas revenu, ce qui inquiète beaucoup Kyokuho. Allez à l'endroit indiqué, près du hokora du sud aux jardins de Rakusui, pour essayer de retrouver le vieil homme.","","False","0x00000001","",""
"","TEXT_JOBAST700_02413_SEQ_02<tab>Murakumo was not to be found in Rakusui Gardens. Kyokuho suggests you next visit the westerly shrine on the Short Pier.","TEXT_JOBAST700_02413_SEQ_02<tab>Murakumo n'était pas là où vous pensiez le trouver, mais un géomancien du nom de Udoku et ses camarades ont profité de votre venue pour mettre en doute vos avertissements au sujet de la barrière et vous menacer de re<var 16 /var>pré<var 16 /var>sail<var 16 /var>les. Jugeant que ce dialogue de sourds n'avait aucun intérêt, Kyokuho vous a demandé de le rejoindre au hokora de l'ouest à la petite jetée pour continuer à chercher son ami. Rejoignez-le sans plus tarder.","","False","0x00000002","",""
"","TEXT_JOBAST700_02413_SEQ_03<tab>You and Kyokuho arrive to find the aged master clutching a wound suffered at the hands of one of Kinko's minions. Murakumo pleads with his pupil to allow him to be the sacrifice that seals the barrier for good, but before any vital humours are spilled, Lady Leveva appears seemingly out of nowhere to offer a solution that will conveniently save the day, without having to resort to bloodshed. Hurry with Leveva and Kyokuho to Kugane Castle to set the lady's plan in motion.","TEXT_JOBAST700_02413_SEQ_03<tab>Le pauvre Murakumo était bien mal en point lorsque vous avez fini par le retrouver. Il avait été attaqué par les esprits maléfiques, et pour mettre un terme à ses souffrances, il a offert sa vie en sacrifice pour permettre la création d'une nouvelle barrière. Pendant que Kyokuho s'opposait fermement à cette idée, Leveva a fait son entrée en scène pour vous annoncer que le problème pouvait être réglé à l'aide de l'astromancie et du pouvoir de la voûte céleste. Rendez-vous à l'endroit indiqué devant le Château de Kugane et attendez l'arrivée de la divinité.","","False","0x00000003","",""
"","TEXT_JOBAST700_02413_SEQ_04<tab>Following a heated battle that takes you through the heart of Kugane, Kinko is finally defeated, her spirit cleansed and her anger quelled.","TEXT_JOBAST700_02413_SEQ_04<tab>Avec l'aide de Kyokuho et Leveva, vous avez réussi à apaiser le Renard doré pour de bon.","","False","0x00000004","",""
"","TEXT_JOBAST700_02413_SEQ_05<tab>A new barrier has been erected using energies drawn from both land and heavens. With Kugane safe, Kyokuho must decide where his journey shall take him next. Speak with the geomancer atop Tasogare Bridge.","TEXT_JOBAST700_02413_SEQ_05<tab>La divinité tutélaire de la forêt n'est plus une menace pour Kugane et la barrière autour de la ville a été définitivement restaurée. Parlez à Kyokuho sur le pont Tasogare.","","False","0x00000005","",""
"","TEXT_JOBAST700_02413_SEQ_06<tab>The prophecy has been fulfilled─friends new and old having joined to overcome disaster and achieve hope and new knowledge. One day, maybe the star-crossed companions' paths will cross again.

※The next astrologian quest will be available from Jannequinard once you have met the following requirements:
※ FINAL FANTASY XIV: Shadowbringers must be registered to your service account.
※ You must have completed the main scenario quest “Shadowbringers.”
※ You must have completed the role quest “The Soul of Temperance.”","TEXT_JOBAST700_02413_SEQ_06<tab>Grâce à vos efforts, les Kuganiens ont retrouvé leur tran<var 16 /var>quil<var 16 /var>li<var 16 /var>té. Pour sa part, Kyokuho a décidé de rester un moment dans sa ville natale pour former les autres géomanciens, mais il a promis à Leveva de retourner à Ishgard aussitôt que possible pour continuer ses études d'astromancie. Nul doute que leurs retrouvailles seront l'occasion d'une effusion passionnée autour de l'avenir commun de l'astromancie et de la géomancie<var 1D /var>!

* Remplir les conditions ci-dessous vous permettra de commencer une nouvelle quête de soigneur auprès de Jannequinard<var 1D /var>:
 1. Avoir accès à l'extension FINAL FANTASY XIV<var 1D /var>: Shadowbringers
 2. Avoir terminé la quête de l'épopée “Porteurs d'ombre”
 3. Avoir terminé les quêtes de rôle des soigneurs.","","False","0x00000006","",""
"","TEXT_JOBAST700_02413_SEQ_07<tab>","TEXT_JOBAST700_02413_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_JOBAST700_02413_SEQ_08<tab>","TEXT_JOBAST700_02413_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_JOBAST700_02413_SEQ_09<tab>","TEXT_JOBAST700_02413_SEQ_09<tab>","","False","0x00000009","",""
