"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_JOBMNK601_02426_SEQ_00<tab>Professor Erik eyes you with a look of self-satisfaction.","TEXT_JOBMNK601_02426_SEQ_00<tab>Erik a semble-t-il quelque chose à vous demander.","","False","0x00000000","",""
"","TEXT_JOBMNK601_02426_SEQ_01<tab>Greeting you with his customary condescension, Professor Erik informs you that Widargelt is troubled by some matter or other. The professor has been unable to prise the details out of the tight-lipped monk, but he believes that you will fare better. Make your way to Revenant's Toll, where Widargelt is based, and make yourself available to your brother-in-arms.","TEXT_JOBMNK601_02426_SEQ_01<tab>Vous avez échangé quelques mots avec Erik, qui est visiblement inquiet pour Widargelt. Il voit bien que son ami est tourmenté et qu'il n'ose pas se confier. Peut-être que face à vous, le moine videra son sac<var 1D /var>? Allez le rejoindre de ce pas au Glas des revenants.","","False","0x00000001","",""
"","TEXT_JOBMNK601_02426_SEQ_02<tab>As the professor predicts, Widargelt readily reveals to you his woes. The Ala Mhigan Resistance has invited him to rejoin the cause, and though he is resolved to turn down the offer, the event has set him to thinking about his purpose─what he can do in aid of his beleaguered homeland. O'tchakha and D'zentsa ask that you keep an eye on their master as he goes to meet with the Resistance representative in Little Ala Mhigo.","TEXT_JOBMNK601_02426_SEQ_02<tab>Les membres de l'armée de libération d'Ala Mhigo ont invité Widargelt à rejoindre leurs rangs, mais le moine n'a pas l'air com<var 16 /var>plè<var 16 /var>te<var 16 /var>ment convaincu. Il est parti leur annoncer sa réponse, ce qui n'est pas sans inquiéter ses deux jeunes élèves. Suivez Widargelt à Petite Ala Mhigo, dans le Thanalan méridional, et adressez-lui la parole.","","False","0x00000002","",""
"","TEXT_JOBMNK601_02426_SEQ_03<tab>You arrive in time to witness Widargelt giving Gundobald his answer. Though the old soldier expresses his understanding, saying that fighting is not the only way to serve one's nation, his words leave Widargelt wondering about his own path. Wishing to be alone, he takes his leave and heads for an unknown location. Find him and offer him your support.","TEXT_JOBMNK601_02426_SEQ_03<tab>Widargelt a annoncé à Gundobald qu'il ne rejoindrait pas ses troupes dans la bataille, mais ça ne veut pas dire qu'il a décidé d'abandonner les siens. Retrouvez-le à Petite Ala Mhigo et demandez-lui quels sont ses projets.","","False","0x00000003","",""
"","TEXT_JOBMNK601_02426_SEQ_04<tab>You find Widargelt in contemplation before the mark of the Destroyer. As he relates to you how the Fist of Rhalgr, once the foremost faith among Ala Mhigans, has all but died out in his homeland, the monk finally realizes what he must do. He bids you return with him to Revenant's Toll, where he will share his plans with everyone.","TEXT_JOBMNK601_02426_SEQ_04<tab>Widargelt sait ce qu'il veut faire pour Ala Mhigo et les siens. Suivez-le au Glas des revenants pour poursuivre cette con<var 16 /var>ver<var 16 /var>sa<var 16 /var>tion avec lui.","","False","0x00000004","",""
"","TEXT_JOBMNK601_02426_SEQ_05<tab>Before his gathered friends and pupils, Widargelt reveals that he means to go to Gyr Abania on a mission to revive the Fist of Rhalgr. O'tchakha, D'zentsa, and the professor offer to accompany him, and naturally so do you. Overwhelmed by the support, Widargelt expresses his gratitude and determination, and bids you see to your preparations.<br><br>※The next monk quest will be available from Widargelt upon reaching level 63.","TEXT_JOBMNK601_02426_SEQ_05<tab>Widargelt veut rétablir l'ordre du Poing de Rhalgr, mais c'est plus facile à dire qu'à faire. Il ne partira certes pas seul, mais il voudrait que vous les accompagniez, lui et les autres. Entraînez-vous, car la route sera périlleuse<var 1D /var>!<br>* Widargelt propose la prochaine quête aux moines de niveau 63.","","False","0x00000005","",""
"","TEXT_JOBMNK601_02426_SEQ_06<tab>","TEXT_JOBMNK601_02426_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_JOBMNK601_02426_SEQ_07<tab>","TEXT_JOBMNK601_02426_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_JOBMNK601_02426_SEQ_08<tab>","TEXT_JOBMNK601_02426_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_JOBMNK601_02426_SEQ_09<tab>","TEXT_JOBMNK601_02426_SEQ_09<tab>","","False","0x00000009","",""
