"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_JOBWHM630_02415_SEQ_00<tab>Sylphie seems eager to speak with you.","TEXT_JOBWHM630_02415_SEQ_00<tab>カストルム・オリエンスのシルフィーは、冒険者と話したいようだ。","","False","0x00000000","",""
"","TEXT_JOBWHM630_02415_SEQ_01<tab>Sylphie tells you of the hints of the disturbance she felt while accompanying the serpent scouts on patrol. Meet with her near Bittermill and investigate further.","TEXT_JOBWHM630_02415_SEQ_01<tab>シルフィーから、双蛇党の偵察コースから外れた場所の調査に同行するよう依頼された。ギラバニア辺境地帯のビターミル付近にいる「シルフィー」と話そう。","","False","0x00000001","",""
"","TEXT_JOBWHM630_02415_SEQ_02<tab>Whilst searching for the origin of the elementals' disquiet, you and Sylphie encounter the same strange girl you spotted once before. The child flees upon being discovered, and you hurry off in pursuit at Sylphie's urgent behest...","TEXT_JOBWHM630_02415_SEQ_02<tab>シルフィーと話していたところ、彼女が精霊のざわめきを察知した。その源は、以前、冒険者が見かけた異様な雰囲気の少女のようだ。ギラバニア辺境地帯で、逃げていく「異様な雰囲気の少女」を追いかけよう。","","False","0x00000002","",""
"","TEXT_JOBWHM630_02415_SEQ_03<tab>You find the trembling child being attacked by a pack of vicious voidsent, and act quickly to dispatch the fiendish creatures. Coaxed by Sylphie's gentle words, the girl then tells you her name─Gatty─and that she and her mother live in the borderland forest. Before Sylphie can tend to her wounds, however, you are both distracted by another surge of power, and look back to find that Gatty has disappeared. Convinced that the girl and her potent aura are connected to the disturbance, Sylphie suggests that a report to Brother E<var 1F /var>Sumi<var 1F /var>Yan is in order.","TEXT_JOBWHM630_02415_SEQ_03<tab>妖異に襲われている異様な雰囲気の少女を助け出し、話を聞いた。その少女はガッティと名乗り、冒険者たちが目を離したすきに姿を消した。グリダニアの幻術士ギルドにいる「エ・スミ・ヤン」に報告しよう。","","False","0x00000003","",""
"","TEXT_JOBWHM630_02415_SEQ_04<tab>Upon hearing Sylphie's summary of events, Brother E<var 1F /var>Sumi<var 1F /var>Yan agrees with her assessment. He surmises that Gatty's uncontrolled aetherial gifts are likely acting as a beacon for marauding voidsent─the presence of the malevolent creatures subsequently agitating the elementals. Return to Castrum Oriens once more, and help Sylphie with her plan to question the elusive girl at her forest home.","TEXT_JOBWHM630_02415_SEQ_04<tab>エ・スミ・ヤンに調査の報告をした。精霊のざわめきは、ガッティの魔力を狙って、集まってくる妖異に怯えていたせいらしい。ギラバニア辺境地帯のカストルム・オリエンスにいる「シルフィー」と話そう。","","False","0x00000004","",""
"","TEXT_JOBWHM630_02415_SEQ_05<tab>Sylphie hopes that her search will be successful, but wonders if Gatty and her mother will be willing to talk. Thinking back on how the girl reacted to her offer of healing, the acolyte fears that an outburst of emotion might lead to yet another battle with the voidsent...

※The next white mage quest will be available from Sylphie upon reaching level 65.","TEXT_JOBWHM630_02415_SEQ_05<tab>シルフィーと話した。シルフィーは、人とのかかわりを避けるガッティから、事情を聞き出すことができるだろうか？

※白魔道士のレベルが65以上になると、カストルム・オリエンスのシルフィーから、次の白魔道士クエストを受注することができます。","","False","0x00000005","",""
"","TEXT_JOBWHM630_02415_SEQ_06<tab>","TEXT_JOBWHM630_02415_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_JOBWHM630_02415_SEQ_07<tab>","TEXT_JOBWHM630_02415_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_JOBWHM630_02415_SEQ_08<tab>","TEXT_JOBWHM630_02415_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_JOBWHM630_02415_SEQ_09<tab>","TEXT_JOBWHM630_02415_SEQ_09<tab>","","False","0x00000009","",""
