"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_STMBDA206_02475_SEQ_00<tab>Lyse would like to ask Gyodo a few questions...","TEXT_STMBDA206_02475_SEQ_00<tab>Лиз хотела бы задать Гиодо несколько вопросов...","","False","0x00000000","",""
"","TEXT_STMBDA206_02475_SEQ_01<tab>Speak with Hancock.","TEXT_STMBDA206_02475_SEQ_01<tab>Поговорите с Хэнкоком.","","False","0x00000001","",""
"","TEXT_STMBDA206_02475_SEQ_02<tab>Follow Hancock to the Sekiseigumi Barracks.","TEXT_STMBDA206_02475_SEQ_02<tab>Следуйте за Хэнкоком к баракам Сэкисэйгуми.","","False","0x00000002","",""
"","TEXT_STMBDA206_02475_SEQ_03<tab>Wait outside the barracks.","TEXT_STMBDA206_02475_SEQ_03<tab>Ждите у бараков.","","False","0x00000003","",""
"","TEXT_STMBDA206_02475_SEQ_04<tab>Continue waiting outside the barracks.","TEXT_STMBDA206_02475_SEQ_04<tab>Подождите ещё немного у бараков.","","False","0x00000004","",""
"","TEXT_STMBDA206_02475_SEQ_05<tab>Speak with Lyse.","TEXT_STMBDA206_02475_SEQ_05<tab>Поговорите с Лиз.","","False","0x00000005","",""
"","TEXT_STMBDA206_02475_SEQ_06<tab>","","","False","0x00000006","",""
"","TEXT_STMBDA206_02475_SEQ_07<tab>","","","False","0x00000007","",""
"","TEXT_STMBDA206_02475_SEQ_08<tab>","","","False","0x00000008","",""
"","TEXT_STMBDA206_02475_SEQ_09<tab>","","","False","0x00000009","",""
"","TEXT_STMBDA206_02475_SEQ_10<tab>","","","False","0x0000000A","",""
"","TEXT_STMBDA206_02475_SEQ_11<tab>","","","False","0x0000000B","",""
"","TEXT_STMBDA206_02475_SEQ_12<tab>","","","False","0x0000000C","",""
"","TEXT_STMBDA206_02475_SEQ_13<tab>","","","False","0x0000000D","",""
"","TEXT_STMBDA206_02475_SEQ_14<tab>","","","False","0x0000000E","",""
"","TEXT_STMBDA206_02475_SEQ_15<tab>","","","False","0x0000000F","",""
"","TEXT_STMBDA206_02475_SEQ_16<tab>","","","False","0x00000010","",""
"","TEXT_STMBDA206_02475_SEQ_17<tab>","","","False","0x00000011","",""
"","TEXT_STMBDA206_02475_SEQ_18<tab>","","","False","0x00000012","",""
"","TEXT_STMBDA206_02475_SEQ_19<tab>","","","False","0x00000013","",""
"","TEXT_STMBDA206_02475_SEQ_20<tab>","","","False","0x00000014","",""
"","TEXT_STMBDA206_02475_SEQ_21<tab>","","","False","0x00000015","",""
"","TEXT_STMBDA206_02475_SEQ_22<tab>","","","False","0x00000016","",""
"","TEXT_STMBDA206_02475_SEQ_23<tab>","","","False","0x00000017","",""
"","TEXT_STMBDA206_02475_TODO_00<tab>Speak with Hancock.","TEXT_STMBDA206_02475_TODO_00<tab>Поговорите с Хэнкоком.","","False","0x00000018","",""
"","TEXT_STMBDA206_02475_TODO_01<tab>Speak with Hancock.","TEXT_STMBDA206_02475_TODO_01<tab>Поговорите с Хэнкоком.","","False","0x00000019","",""
"","TEXT_STMBDA206_02475_TODO_02<tab>Follow Hancock to the Sekiseigumi Barracks.","TEXT_STMBDA206_02475_TODO_02<tab>Следуйте за Хэнкоком к баракам Сэкисэйгуми.","","False","0x0000001A","",""
"","TEXT_STMBDA206_02475_TODO_03<tab>Wait outside the barracks.","TEXT_STMBDA206_02475_TODO_03<tab>Ждите у бараков.","","False","0x0000001B","",""
"","TEXT_STMBDA206_02475_TODO_04<tab>Continue waiting outside the barracks.","TEXT_STMBDA206_02475_TODO_04<tab>Подождите ещё немного у бараков.","","False","0x0000001C","",""
"","TEXT_STMBDA206_02475_TODO_05<tab>Speak with Lyse.","TEXT_STMBDA206_02475_TODO_05<tab>Поговорите с Лиз.","","False","0x0000001D","",""
"","TEXT_STMBDA206_02475_TODO_06<tab>","","","False","0x0000001E","",""
"","TEXT_STMBDA206_02475_TODO_07<tab>","","","False","0x0000001F","",""
"","TEXT_STMBDA206_02475_TODO_08<tab>","","","False","0x00000020","",""
"","TEXT_STMBDA206_02475_TODO_09<tab>","","","False","0x00000021","",""
"","TEXT_STMBDA206_02475_TODO_10<tab>","","","False","0x00000022","",""
"","TEXT_STMBDA206_02475_TODO_11<tab>","","","False","0x00000023","",""
"","TEXT_STMBDA206_02475_TODO_12<tab>","","","False","0x00000024","",""
"","TEXT_STMBDA206_02475_TODO_13<tab>","","","False","0x00000025","",""
"","TEXT_STMBDA206_02475_TODO_14<tab>","","","False","0x00000026","",""
"","TEXT_STMBDA206_02475_TODO_15<tab>","","","False","0x00000027","",""
"","TEXT_STMBDA206_02475_TODO_16<tab>","","","False","0x00000028","",""
"","TEXT_STMBDA206_02475_TODO_17<tab>","","","False","0x00000029","",""
"","TEXT_STMBDA206_02475_TODO_18<tab>","","","False","0x0000002A","",""
"","TEXT_STMBDA206_02475_TODO_19<tab>","","","False","0x0000002B","",""
"","TEXT_STMBDA206_02475_TODO_20<tab>","","","False","0x0000002C","",""
"","TEXT_STMBDA206_02475_TODO_21<tab>","","","False","0x0000002D","",""
"","TEXT_STMBDA206_02475_TODO_22<tab>","","","False","0x0000002E","",""
"","TEXT_STMBDA206_02475_TODO_23<tab>","","","False","0x0000002F","",""
"","TEXT_STMBDA206_02475_ALPHINAUD_000_001<tab>All things considered, that went rather well. Thanks to Soroban, that is.","TEXT_STMBDA206_02475_ALPHINAUD_000_001<tab>Учитывая произошедшее, мы легко отделались. Спасибо Соробану за это.","","False","0x00000030","",""
"","TEXT_STMBDA206_02475_SOROBAN_000_005<tab>Though we Kojin are of the sea, we often come ashore to sell our wares and peruse your markets. It is my hope that an arrangement with the East Aldenard Trading Company will help us to more quickly obtain the treasures that we seek.","TEXT_STMBDA206_02475_SOROBAN_000_005<tab>Мы, кодзины, хоть и живём в море, но всё же часто выходим на берег - продать наши товары на рынках. Надеюсь, договор с Восточной торговой компанией позволит нам быстрее отыскать наши сокровища","","False","0x00000031","",""
"","TEXT_STMBDA206_02475_HANCOCK_000_010<tab>You are doubtless wondering why our objectively <var 1A 02 /var>green<var 1A 01 /var>-hued friend here refers to himself as a Kojin of the Blue. The answer is quite fascinating, really. The Kojin language has many similarities with ancient Hingan, you see, and in ancient Hingan, the word for green, “ao,” can mean green and or blue─though I do the word a disservice by even attempting to translate it, so steeped in meaning as it is. Why they elected to keep on calling themselves the “blue” in modern times is anyone's guess─I for one would have much preferred “Kojin of the Ao”─but one theory posits that they prefer the sound of the word “blue” when spoken. Another is that they are physically incapable of distinguishing between the two, which would have interesting implications in their everyday lives...","TEXT_STMBDA206_02475_HANCOCK_000_010<tab>Гадаете, почему нашего зеленошкурого друга зовут кодзин-синий? Ответ занимательный, ведь язык кодзинов имеет много общего с древнехинганским. Слово ""ао"" может означать как зелёный, так и синий цвет - как видите, даже переводы одного слова противоречат друг другу. Ныне никто уже и не поймёт, почему они решили называть себя ""синими"". Предполагают, что им удобнее было говорить это слово, чем слово ""зелёный"", когда, вместе с древним языком, ушло словосочетание ""кодзин-ао"". Другие думают, будто бы они вообще не различают эти два цвета...","","False","0x00000032","",""
"","TEXT_STMBDA206_02475_ALISAIE_000_015<tab>There's no denying that they were imperials. They were wearing the same uniforms as the ones outside the consulate.","TEXT_STMBDA206_02475_ALISAIE_000_015<tab>Никаких сомнений, это были имперцы. Те же самые униформы, что и на стражниках Консульства.","","False","0x00000033","",""
"","TEXT_STMBDA206_02475_LYSE_000_020<tab>Right, then. Gyodo should be coming round soon.","TEXT_STMBDA206_02475_LYSE_000_020<tab>Так, ну что ж. Гиодо скоро придёт в себя.","","False","0x00000034","",""
"","TEXT_STMBDA206_02475_LYSE_000_021<tab>I think it's time we had a little chat, don't you?","TEXT_STMBDA206_02475_LYSE_000_021<tab>Настало время немного поболтать, так?","","False","0x00000035","",""
"","TEXT_STMBDA206_02475_LYSE_000_030<tab>Rise and shine, little fishy. I know you can hear me, so stop pretending to be asleep or I'll give you another ride on my boot.","TEXT_STMBDA206_02475_LYSE_000_030<tab>Утро доброе, рыбка моя. Я знаю, ты меня слышишь. Прекрати притворяться, что ты спишь, иначе я ещё разок прокачу тебя на своём сапоге.","","False","0x00000036","",""
"","TEXT_STMBDA206_02475_GYODO_000_031<tab>...No! No, no, no more boots! All my secrets are yours for the asking!","TEXT_STMBDA206_02475_GYODO_000_031<tab>...Нет! Нет, нет, хватит сапогов! Все мои секреты - ваши, спрашивайте!","","False","0x00000037","",""
"","TEXT_STMBDA206_02475_LYSE_000_032<tab>Tell us what you know about Yugiri and Gosetsu. Every last detail.","TEXT_STMBDA206_02475_LYSE_000_032<tab>Говори, что знаешь о Югири и Госэцу. Каждую маленькую деталь.","","False","0x00000038","",""
"","TEXT_STMBDA206_02475_LYSE_000_033<tab>And if I find out later that you lied to me─","TEXT_STMBDA206_02475_LYSE_000_033<tab>И если позже я узнаю, что ты мне солгал...","","False","0x00000039","",""
"","TEXT_STMBDA206_02475_GYODO_000_034<tab>No, no, no more lies! The clear, unvarnished truth! You have my word!","TEXT_STMBDA206_02475_GYODO_000_034<tab>Нет, нет, я не буду врать! Чистая, незамутнённая правда! Даю слово!","","False","0x0000003A","",""
"","TEXT_STMBDA206_02475_GYODO_000_035<tab>Only the samurai did I meet. Yes, yes, only him! He asked after a ship, so I provided an introduction to...to the Garleans...","TEXT_STMBDA206_02475_GYODO_000_035<tab>Я видел только самурая. Да, да, только его! Он просил корабля, как и вы, так что я свёл его с... с гарлеанцами...","","False","0x0000003B","",""
"","TEXT_STMBDA206_02475_ALISAIE_000_036<tab>You mean you led him into a trap, as you did us. Because you are an imperial spy.","TEXT_STMBDA206_02475_ALISAIE_000_036<tab>То есть, завёл его в ловушку, как и нас. Потому что ты имперский шпион.","","False","0x0000003C","",""
"","TEXT_STMBDA206_02475_GYODO_000_037<tab>No, no, I am no spy! It was just business! Fewer ships pass through Kugane these days, and we have struggled to make ends meet...","TEXT_STMBDA206_02475_GYODO_000_037<tab>Нет, нет, я не шпион! Это просто бизнес! Сейчас в Кугане так мало кораблей... мы едва сводим концы с концами...","","False","0x0000003D","",""
"","TEXT_STMBDA206_02475_GYODO_000_038<tab>So when the Garleans offered a bounty for any Domans found in Kugane─","TEXT_STMBDA206_02475_GYODO_000_038<tab>Поэтому, когда гарлеанцы объявили о награде за каждого доманца, найденного в Кугане...","","False","0x0000003E","",""
"","TEXT_STMBDA206_02475_ALISAIE_000_039<tab>Oh, my mistake! You're not a spy, but a common cutthroat! Not that I'm surprised─you need half a brain to be a spy. So what happened to the samurai?","TEXT_STMBDA206_02475_ALISAIE_000_039<tab>Ха, слишком высоко тебя оценила! Ты не шпион, а всего лишь жалкий бандит! Ничего удивительного, мозгов маловато. Так что с самураем?","","False","0x0000003F","",""
"","TEXT_STMBDA206_02475_GYODO_000_040<tab>Such a cruel, vicious tongue you have...
He would not go quietly, no, no. Blades were drawn, men were cut down, and the Sekiseigumi came. They took the samurai away.","TEXT_STMBDA206_02475_GYODO_000_040<tab>Какая ты жестокая, суровая леди...
Он не захотел сдаваться, нет, нет. В ход пошли клинки, пролилась кровь, явились Сэкисэйгуми. Они забрали самурая.","","False","0x00000040","",""
"","TEXT_STMBDA206_02475_HANCOCK_000_041<tab>Hold on a moment! You mean to tell me the ijin they arrested the other day was <var 1A 02 /var>Gosetsu<var 1A 01 /var>?","TEXT_STMBDA206_02475_HANCOCK_000_041<tab>Погоди-ка! Ты хочешь сказать, что идзин, которого арестовали пару дней назад, это Госэцу?","","False","0x00000041","",""
