"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_JOBBLM680_02591_SEQ_00<tab>Lalai would seek your aid in doing Shatotto's bidding.","TEXT_JOBBLM680_02591_SEQ_00<tab>Lalai souhaite réunir tous les partis concernés par le problème des golems.","","False","0x00000000","",""
"","TEXT_JOBBLM680_02591_SEQ_01<tab>Lalai has been in close communication with Shatotto, who is ready to commence the final stage of her plan. That said, even the ever-confident mother of black magic would not go at it alone. And so it is that you and Lalai set out for Burgundy Falls in the hopes of conferring with your beastman allies.","TEXT_JOBBLM680_02591_SEQ_01<tab>L'esprit de Shatotto, qui a pris la direction des opérations en ce qui concerne le problème des golems rétifs, souhaite se concerter avec vos amis mages afin d'établir la suite de son plan. Rejoignez Lalai aux Chutes bordeaux.","","False","0x00000001","",""
"","TEXT_JOBBLM680_02591_SEQ_02<tab>No sooner have your allies given you a warm welcome than you are joined once more by the reawakened memory of Shatotto, who shares her latest insights into the golem menace. It would appear that the greatest threat is posed not by the man-made creatures that you have faced thus far, but rather self-animated monstrosities formed of materials attracted by the burgeoning aetheric power of the gemstones. In hopes of assessing the true nature of the threat, the Hearer Zhai'a Nelhah sets out in one direction in the company of the beastman trio, entrusting you and Shatotto to look into troubling reports from the village of Ala Gannha.","TEXT_JOBBLM680_02591_SEQ_02<tab>Vous avez retrouvé vos amis Zhai'a Nelhah, Kazagg Chah, Dozol Meloc et Da Za pour une réunion au sommet, chapeautée par Shatotto. La mère de la magie noire vous a appris que des golems pouvaient se former spontanément dans la nature autour de corps chargés d'énergie occulte. Certains de ces golems naturels porteraient en eux des gemmes magiques et courraient donc le risque de céder à l'influence néfaste de la comète. C'est d'ailleurs pro<var 16 /var>ba<var 16 /var>ble<var 16 /var>ment le cas de golems végétaux repérés à Ala Gannha, un village situé à l'est, dans la région des Pics de Gyr Abania. Rejoignez Shatotto, non loin du village, afin de mener l'enquête sur les mystérieux “arbres qui bougent”.","","False","0x00000002","",""
"","TEXT_JOBBLM680_02591_SEQ_03<tab>You arrive in Ala Gannha to find no sign of the animated monstrosities you seek. At Shatotto's suggestion, you split up to cover more ground and properly survey the surrounding wilderness.","TEXT_JOBBLM680_02591_SEQ_03<tab>Shatotto soupçonne la présence de golems à l'ouest d'Ala Gannha. Inspectez les alentours à l'endroit indiqué et terrassez les éventuels colosses végétaux que vous croiserez.","","False","0x00000003","",""
"","TEXT_JOBBLM680_02591_SEQ_04<tab>Your search bears fruit, as you come to discover─and promptly dispatch─two golems made of wood that would seem to prove Shatotto's hypothesis. Venture back to the east and see how the sorceress fares.","TEXT_JOBBLM680_02591_SEQ_04<tab>Shatotto ne s'y était pas trompée<var 1D /var>: il n'a pas fallu longtemps avant que vous ne croisiez la route de plusieurs golems végétaux, par<var 16 /var>ti<var 16 /var>cu<var 16 /var>liè<var 16 /var>rement remontés. Heu<var 16 /var>reu<var 16 /var>se<var 16 /var>ment, ils n'étaient pas de taille face à vous. Faites le point avec votre coéquipière, à l'ouest d'Ala Gannha.","","False","0x00000004","",""
"","TEXT_JOBBLM680_02591_SEQ_05<tab>You find Shatotto standing over the crumpled forms of two golems who were unfortunate enough to have crossed her path. She congratulates you on your own efforts, then shares a troubling sight she witnessed. As she tells it, the golems are turning upon each other, as if driven by an animal instinct to seek greater and greater power. Your conversation is interrupted by a linkpearl transmission from Zhai'a Nelhah, who claims to have witnessed a still more fearsome sight─a veritable legion of golems assembling in Dravania for purposes unknown. As Shatotto and the Hearer make for the Observatorium to see what has been learned of the comet, you set off on a return path to Burgundy Falls, that you and your beastman friends might discuss your next course of action.","TEXT_JOBBLM680_02591_SEQ_05<tab>Shatotto a fait une troublante découverte<var 1D /var>: les golems s'entre-tueraient avant de se dévorer le cœur, sans doute dans le but d'accroître leur puissance. Votre chasse a ensuite été brusquement interrompue par une alarmante nouvelle en provenance de Dravania, où étaient partis en recon<var 16 /var>nais<var 16 /var>san<var 16 /var>ce Zhai'a Nelhah et les hommes-bêtes. Pour une raison obscure, des golems venus des quatre coins d'Éorzéa se dirigeraient en masse vers cette région du monde. Shatotto et Zhai'a Nelhah vont tenter de percer le secret de ce com<var 16 /var>por<var 16 /var>te<var 16 /var>ment à l'Observatoire. Pendant ce temps, retournez aux Chutes bordeaux et parlez à Kazagg Chah.","","False","0x00000005","",""
"","TEXT_JOBBLM680_02591_SEQ_06<tab>Putting together all the knowledge at your disposal, Shatotto is able to reason out the golems' ultimate goal: they converge as one upon Sohm Al in hopes of summoning the ultimate source of power─the calamitous comet Shatotto blasted out of the heavens some two thousand years ago─back to Eorzea, where they would feast upon its aether. In the face of certain doom, Shatotto reveals her master plan: put simply, you will wait for the golems to cannibalize each other time and again until but a single golem remains. You will then confront this creation─the mother of all golems, as it were─and blast it to tiny fragments with the power of your black magic. For whatever it is worth, Shatotto and Zhai'a Nelhah appear to have the utmost confidence in your ability to succeed in this daunting task. As Shatotto prepares to return to slumber in anticipation of the final confrontation, you, too, make for Ul'dah, that you might speak with Lalai one last time before resuming your studies.","TEXT_JOBBLM680_02591_SEQ_06<tab>Shatotto a mis le doigt sur ce qui attire les golems à Dravania<var 1D /var>: la comète, source incommensurable d'énergie magique, se rapproche inexorablement d'Éorzéa<var 1D /var>; ainsi les golems convergent-ils en toute logique vers Sohm Al, son pic le plus élevé. Ce faisant, ils dévient cependant la trajectoire de l'astre, qui est fait du même matériau que leur cœur. Alors qu'elle devait se contenter de frôler Hydaelyn, la comète menace désormais de s'écraser sur Éorzéa... Pour Shatotto, la solution est simple<var 1D /var>: il faut laisser les golems s'entre-tuer jusqu'à ce qu'il n'en reste plus qu'une poignée, voire un seul à abattre. Et c'est évidemment vous qui devrez vous frotter à ce golem surpuissant... Informez Lalai, au sanctuaire de Milvaneth, de ce plan d'action pour le moins radical.","","False","0x00000006","",""
"","TEXT_JOBBLM680_02591_SEQ_07<tab>You return to the Sacrarium to find Lalai having regained her consciousness, with a message from Shatotto instructing you to ready yourself well for the battle to come. You take your leave, determined to master the art of destruction to levels heretofore scarcely fathomed.<br><br>※The next black mage quest will be available from Lalai upon reaching level 70.","TEXT_JOBBLM680_02591_SEQ_07<tab>Lalai a pris note du plan de Shatotto et a souhaité plus que jamais que vous peaufiniez votre art occulte afin d'être fin <var 08 E905 ((prête)) ((prêt)) /var> le jour de l'af<var 16 /var>fron<var 16 /var>te<var 16 /var>ment final.<br>* Lalai propose la prochaine quête aux mages noirs de niveau 70.","","False","0x00000007","",""
"","TEXT_JOBBLM680_02591_SEQ_08<tab>","TEXT_JOBBLM680_02591_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_JOBBLM680_02591_SEQ_09<tab>","TEXT_JOBBLM680_02591_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_JOBBLM680_02591_SEQ_10<tab>","TEXT_JOBBLM680_02591_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_JOBBLM680_02591_SEQ_11<tab>","TEXT_JOBBLM680_02591_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_JOBBLM680_02591_SEQ_12<tab>","TEXT_JOBBLM680_02591_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_JOBBLM680_02591_SEQ_13<tab>","TEXT_JOBBLM680_02591_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_JOBBLM680_02591_SEQ_14<tab>","TEXT_JOBBLM680_02591_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_JOBBLM680_02591_SEQ_15<tab>","TEXT_JOBBLM680_02591_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_JOBBLM680_02591_SEQ_16<tab>","TEXT_JOBBLM680_02591_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_JOBBLM680_02591_SEQ_17<tab>","TEXT_JOBBLM680_02591_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_JOBBLM680_02591_SEQ_18<tab>","TEXT_JOBBLM680_02591_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_JOBBLM680_02591_SEQ_19<tab>","TEXT_JOBBLM680_02591_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_JOBBLM680_02591_SEQ_20<tab>","TEXT_JOBBLM680_02591_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_JOBBLM680_02591_SEQ_21<tab>","TEXT_JOBBLM680_02591_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_JOBBLM680_02591_SEQ_22<tab>","TEXT_JOBBLM680_02591_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_JOBBLM680_02591_SEQ_23<tab>","TEXT_JOBBLM680_02591_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_JOBBLM680_02591_TODO_00<tab>Speak with Lalai at Burgundy Falls.","TEXT_JOBBLM680_02591_TODO_00<tab>Parler à Lalai, aux Chutes bordeaux","","False","0x00000018","",""
"","TEXT_JOBBLM680_02591_TODO_01<tab>Rendezvous with Shatotto at Ala Gannha.","TEXT_JOBBLM680_02591_TODO_01<tab>Rejoindre Shatotto près d'Ala Gannha","","False","0x00000019","",""
"","TEXT_JOBBLM680_02591_TODO_02<tab>Survey the area and slay any golems that appear.","TEXT_JOBBLM680_02591_TODO_02<tab>Inspecter les alentours à l'endroit indiqué<br> et vaincre les golems","","False","0x0000001A","",""
"","TEXT_JOBBLM680_02591_TODO_03<tab>Report to Shatotto.","TEXT_JOBBLM680_02591_TODO_03<tab>Faire un rapport à Shatotto","","False","0x0000001B","",""
"","TEXT_JOBBLM680_02591_TODO_04<tab>Speak with Kazagg Chah at Burgundy Falls.","TEXT_JOBBLM680_02591_TODO_04<tab>Parler à Kazagg Chah, aux Chutes bordeaux","","False","0x0000001C","",""
"","TEXT_JOBBLM680_02591_TODO_05<tab>Speak with Lalai at Milvaneth Sacrarium.","TEXT_JOBBLM680_02591_TODO_05<tab>Parler à Lalai, au sanctuaire de Milvaneth","","False","0x0000001D","",""
"","TEXT_JOBBLM680_02591_TODO_06<tab>","TEXT_JOBBLM680_02591_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_JOBBLM680_02591_TODO_07<tab>","TEXT_JOBBLM680_02591_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_JOBBLM680_02591_TODO_08<tab>","TEXT_JOBBLM680_02591_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_JOBBLM680_02591_TODO_09<tab>","TEXT_JOBBLM680_02591_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_JOBBLM680_02591_TODO_10<tab>","TEXT_JOBBLM680_02591_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_JOBBLM680_02591_TODO_11<tab>","TEXT_JOBBLM680_02591_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_JOBBLM680_02591_TODO_12<tab>","TEXT_JOBBLM680_02591_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_JOBBLM680_02591_TODO_13<tab>","TEXT_JOBBLM680_02591_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_JOBBLM680_02591_TODO_14<tab>","TEXT_JOBBLM680_02591_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_JOBBLM680_02591_TODO_15<tab>","TEXT_JOBBLM680_02591_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_JOBBLM680_02591_TODO_16<tab>","TEXT_JOBBLM680_02591_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_JOBBLM680_02591_TODO_17<tab>","TEXT_JOBBLM680_02591_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_JOBBLM680_02591_TODO_18<tab>","TEXT_JOBBLM680_02591_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_JOBBLM680_02591_TODO_19<tab>","TEXT_JOBBLM680_02591_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_JOBBLM680_02591_TODO_20<tab>","TEXT_JOBBLM680_02591_TODO_20<tab>","","False","0x0000002C","",""
