"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_STMBDA403_02502_SEQ_00<tab>Cirina knows where you might find Lord Hien.","TEXT_STMBDA403_02502_SEQ_00<tab>Cirina weiß, wo sich Hien aufhalten könnte.","","False","0x00000000","",""
"","TEXT_STMBDA403_02502_SEQ_01<tab>Your search for the missing heir of Doma on the Azim Steppe has led you to Cirina, a young woman of the Mol tribe. Long ago, guided by a vision received by her grandmother, she ventured into the southern mountains and there found Hien, near death. Cirina brought the Doman lord to her village, where they nursed him back to health, and there he has remained ever since, until such time as he can repay his debt to them. He often accompanies her to Reunion, though he has a habit of frequenting a spot atop the cliff to the east of the marketplace...","TEXT_STMBDA403_02502_SEQ_01<tab>Auf eurer Suche nach Hien macht ihr die Bekanntschaft mit Cirina, einer jungen Mol, die den Prinzen einst halb tot in der Wüste auffand und ihn in ihrer Siedlung gesund pflegte. Cirina hat eine Vermutung, wo sich Hien aufhalten könnte, und markiert für euch den Ort auf der Karte. Finde Hien.","","False","0x00000001","",""
"","TEXT_STMBDA403_02502_SEQ_02<tab>At long last you come face<var 1F /var>to<var 1F /var>face with the young heir to Doma's throne, who greets you as a friend. Yet even after you tell him of Doma's rekindled spirits, he states that he cannot go home─not until he has won the ceremonial battle known as the Naadam and thereby earned the right to bid the Xaela follow him to Doma. A daunting task, by any measure, but likely a necessary one, given the Liberation Front's depleted forces. Reluctantly, Yugiri departs to deliver the news to your comrades in the south, leaving you, Lyse, and Gosetsu to assist Lord Hien in his bold endeavor.","TEXT_STMBDA403_02502_SEQ_02<tab>Ihr findet Hien auf einem Felsvorsprung sitzend, in Gedanken versunken. Er möchte am großen Kampf Naadam teilnehmen, um die Au Ra der Azim-Steppe als Verbündete im Befreiungskampf zu gewinnen. Sprich erneut mit Hien.","","False","0x00000002","",""
"","TEXT_STMBDA403_02502_SEQ_03<tab>Being a man who puts great store by honor and respect, Hien thanks you once more for your many deeds in service to Doma. But he recognizes that you are also a practical <var 08 E905 ((woman)) ((man)) /var>, disinclined to listen to long speeches and flowery words, and would gladly tell you more of his plan to win the Naadam.","TEXT_STMBDA403_02502_SEQ_03<tab>Hien stellt sich als der neue König von Doma vor, betont jedoch, dass er als Herrscher noch unerfahren sei und ihr ihn als Kampfgefährten betrachten sollt. Unterstütze Hien, damit sein Traum von einem freien Doma wahr wird.","","False","0x00000003","",""
"","TEXT_STMBDA403_02502_SEQ_04<tab>","TEXT_STMBDA403_02502_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_STMBDA403_02502_SEQ_05<tab>","TEXT_STMBDA403_02502_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_STMBDA403_02502_SEQ_06<tab>","TEXT_STMBDA403_02502_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_STMBDA403_02502_SEQ_07<tab>","TEXT_STMBDA403_02502_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_STMBDA403_02502_SEQ_08<tab>","TEXT_STMBDA403_02502_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_STMBDA403_02502_SEQ_09<tab>","TEXT_STMBDA403_02502_SEQ_09<tab>","","False","0x00000009","",""
