"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CLSCUL601_02604_SEQ_00<tab>Lyngsath has a visitor he would like you to meet.","TEXT_CLSCUL601_02604_SEQ_00<tab>Lyngsath has a visitor he would like you to meet.","","False","0x00000000","",""
"","TEXT_CLSCUL601_02604_SEQ_01<tab>Lyngsath greets you with the news that someone has come calling who wishes to meet the guild's most decorated chef─your good self. Like you, the individual in question is an adventurer-cook, and owing to this he sees you as an inspiration. Take yourself to the Bismarck's dining area and seek out a man named Raulf.","TEXT_CLSCUL601_02604_SEQ_01<tab>Lyngsath greets you with the news that someone has come calling who wishes to meet the guild's most decorated chef─your good self. Like you, the individual in question is an adventurer-cook, and owing to this he sees you as an inspiration. Take yourself to the Bismarck's dining area and seek out a man named Raulf.","","False","0x00000001","",""
"","TEXT_CLSCUL601_02604_SEQ_02<tab>Raulf tells you of his efforts at being an adventurer and culinarian both, but juggling two careers has led to lackluster results. Recognizing his limits, he has resolved to focus purely on the culinary arts and has taken up a post at Rowena's café. In order to distinguish himself in this crowded profession, he intends to incorporate Far Eastern dishes into the menu and cater to the local Doman population. However, he concedes that it is no easy task to master a foreign cuisine, and so he has come to you for aid. If you are willing to lend your expertise, take yourself to Revenant's Toll and seek out Raulf at Rowena's House of Splendors.","TEXT_CLSCUL601_02604_SEQ_02<tab>Raulf tells you of his efforts at being an adventurer and culinarian both, but juggling two careers has led to lackluster results. Recognizing his limits, he has resolved to focus purely on the culinary arts and has taken up a post at Rowena's café. In order to distinguish himself in this crowded profession, he intends to incorporate Far Eastern dishes into the menu and cater to the local Doman population. However, he concedes that it is no easy task to master a foreign cuisine, and so he has come to you for aid. If you are willing to lend your expertise, take yourself to Revenant's Toll and seek out Raulf at Rowena's House of Splendors.","","False","0x00000002","",""
"","TEXT_CLSCUL601_02604_SEQ_03<tab>Raulf is ecstatic that you have agreed to help him. Using his connections, he will look into what the local Domans desire to eat. Until he identifies a likely dish to test out, continue applying yourself to your craft in readiness for venturing into the culinary unknown.<br><br>※The next culinarian quest will be available from Raulf upon reaching level 63.","TEXT_CLSCUL601_02604_SEQ_03<tab>Raulf is ecstatic that you have agreed to help him. Using his connections, he will look into what the local Domans desire to eat. Until he identifies a likely dish to test out, continue applying yourself to your craft in readiness for venturing into the culinary unknown.<br><br>※The next culinarian quest will be available from Raulf upon reaching level 63.","","False","0x00000003","",""
"","TEXT_CLSCUL601_02604_SEQ_04<tab>","TEXT_CLSCUL601_02604_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_CLSCUL601_02604_SEQ_05<tab>","TEXT_CLSCUL601_02604_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_CLSCUL601_02604_SEQ_06<tab>","TEXT_CLSCUL601_02604_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_CLSCUL601_02604_SEQ_07<tab>","TEXT_CLSCUL601_02604_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_CLSCUL601_02604_SEQ_08<tab>","TEXT_CLSCUL601_02604_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_CLSCUL601_02604_SEQ_09<tab>","TEXT_CLSCUL601_02604_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_CLSCUL601_02604_SEQ_10<tab>","TEXT_CLSCUL601_02604_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_CLSCUL601_02604_SEQ_11<tab>","TEXT_CLSCUL601_02604_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_CLSCUL601_02604_SEQ_12<tab>","TEXT_CLSCUL601_02604_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_CLSCUL601_02604_SEQ_13<tab>","TEXT_CLSCUL601_02604_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_CLSCUL601_02604_SEQ_14<tab>","TEXT_CLSCUL601_02604_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_CLSCUL601_02604_SEQ_15<tab>","TEXT_CLSCUL601_02604_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_CLSCUL601_02604_SEQ_16<tab>","TEXT_CLSCUL601_02604_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_CLSCUL601_02604_SEQ_17<tab>","TEXT_CLSCUL601_02604_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_CLSCUL601_02604_SEQ_18<tab>","TEXT_CLSCUL601_02604_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_CLSCUL601_02604_SEQ_19<tab>","TEXT_CLSCUL601_02604_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_CLSCUL601_02604_SEQ_20<tab>","TEXT_CLSCUL601_02604_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_CLSCUL601_02604_SEQ_21<tab>","TEXT_CLSCUL601_02604_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_CLSCUL601_02604_SEQ_22<tab>","TEXT_CLSCUL601_02604_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_CLSCUL601_02604_SEQ_23<tab>","TEXT_CLSCUL601_02604_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_CLSCUL601_02604_TODO_00<tab>Speak with Raulf.","TEXT_CLSCUL601_02604_TODO_00<tab>Speak with Raulf.","","False","0x00000018","",""
"","TEXT_CLSCUL601_02604_TODO_01<tab>Speak with Raulf at Revenant's Toll.","TEXT_CLSCUL601_02604_TODO_01<tab>Speak with Raulf at Revenant's Toll.","","False","0x00000019","",""
"","TEXT_CLSCUL601_02604_TODO_02<tab>","TEXT_CLSCUL601_02604_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_CLSCUL601_02604_TODO_03<tab>","TEXT_CLSCUL601_02604_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_CLSCUL601_02604_TODO_04<tab>","TEXT_CLSCUL601_02604_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_CLSCUL601_02604_TODO_05<tab>","TEXT_CLSCUL601_02604_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_CLSCUL601_02604_TODO_06<tab>","TEXT_CLSCUL601_02604_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_CLSCUL601_02604_TODO_07<tab>","TEXT_CLSCUL601_02604_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_CLSCUL601_02604_TODO_08<tab>","TEXT_CLSCUL601_02604_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_CLSCUL601_02604_TODO_09<tab>","TEXT_CLSCUL601_02604_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_CLSCUL601_02604_TODO_10<tab>","TEXT_CLSCUL601_02604_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_CLSCUL601_02604_TODO_11<tab>","TEXT_CLSCUL601_02604_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_CLSCUL601_02604_TODO_12<tab>","TEXT_CLSCUL601_02604_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_CLSCUL601_02604_TODO_13<tab>","TEXT_CLSCUL601_02604_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_CLSCUL601_02604_TODO_14<tab>","TEXT_CLSCUL601_02604_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_CLSCUL601_02604_TODO_15<tab>","TEXT_CLSCUL601_02604_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_CLSCUL601_02604_TODO_16<tab>","TEXT_CLSCUL601_02604_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_CLSCUL601_02604_TODO_17<tab>","TEXT_CLSCUL601_02604_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_CLSCUL601_02604_TODO_18<tab>","TEXT_CLSCUL601_02604_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_CLSCUL601_02604_TODO_19<tab>","TEXT_CLSCUL601_02604_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_CLSCUL601_02604_TODO_20<tab>","TEXT_CLSCUL601_02604_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_CLSCUL601_02604_TODO_21<tab>","TEXT_CLSCUL601_02604_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_CLSCUL601_02604_TODO_22<tab>","TEXT_CLSCUL601_02604_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_CLSCUL601_02604_TODO_23<tab>","TEXT_CLSCUL601_02604_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_CLSCUL601_02604_LYNGSATH_000_000<tab>Ah, good timin', <var 08 E905 ((lass)) ((lad)) /var>. There's someone come callin' as wants to meet our most decorated chef.<br>...That's <var 1A 02 /var>you<var 1A 01 /var>, ye daft sod.","TEXT_CLSCUL601_02604_LYNGSATH_000_000<tab>Ah, good timin', <var 08 E905 ((lass)) ((lad)) /var>. There's someone come callin' as wants to meet our most decorated chef.<br>...That's <var 1A 02 /var>you<var 1A 01 /var>, ye daft sod.","","False","0x00000030","",""
"","TEXT_CLSCUL601_02604_LYNGSATH_000_001<tab>Yer sickenin' modesty aside, yer visitor says 'e's an adventurer what took up cookin' on that side, not unlike yer good self. Owin' to that, 'e sees ye as somethin' of an inspiration.","TEXT_CLSCUL601_02604_LYNGSATH_000_001<tab>Yer sickenin' modesty aside, yer visitor says 'e's an adventurer what took up cookin' on that side, not unlike yer good self. Owin' to that, 'e sees ye as somethin' of an inspiration.","","False","0x00000031","",""
"","TEXT_CLSCUL601_02604_LYNGSATH_000_002<tab>Anyroad, be a dear an' go an' say 'ello, would ye? Ye'll find 'im out by the dinin' area, a brawny sort o' bloke name o' Raulf.","TEXT_CLSCUL601_02604_LYNGSATH_000_002<tab>Anyroad, be a dear an' go an' say 'ello, would ye? Ye'll find 'im out by the dinin' area, a brawny sort o' bloke name o' Raulf.","","False","0x00000032","",""
"","TEXT_CLSCUL601_02604_LYNGSATH_000_005<tab>Yer visitor is out by the dinin' area, a brawny sort o' bloke name o' Raulf. Be a dear an' go an' say 'ello.","TEXT_CLSCUL601_02604_LYNGSATH_000_005<tab>Yer visitor is out by the dinin' area, a brawny sort o' bloke name o' Raulf. Be a dear an' go an' say 'ello.","","False","0x00000033","",""
"","TEXT_CLSCUL601_02604_RAULF_000_010<tab>By Rhalgr, it's really you! The famous <var 29 EB02 /var> in the flesh!","TEXT_CLSCUL601_02604_RAULF_000_010<tab>By Rhalgr, it's really you! The famous <var 29 EB02 /var> in the flesh!","","False","0x00000034","",""
"","TEXT_CLSCUL601_02604_RAULF_000_011<tab>I first heard about you through your adventuring exploits, and I was already plenty impressed. But then I learned that you were a renowned culinarian besides, and I knew that I just had to meet you!","TEXT_CLSCUL601_02604_RAULF_000_011<tab>I first heard about you through your adventuring exploits, and I was already plenty impressed. But then I learned that you were a renowned culinarian besides, and I knew that I just had to meet you!","","False","0x00000035","",""
"","TEXT_CLSCUL601_02604_RAULF_000_012<tab>You see, for a time I was also trying to make my way as an adventurer and a culinarian both, but it soon became apparent that I was spreading my limited talent too thin.","TEXT_CLSCUL601_02604_RAULF_000_012<tab>You see, for a time I was also trying to make my way as an adventurer and a culinarian both, but it soon became apparent that I was spreading my limited talent too thin.","","False","0x00000036","",""
"","TEXT_CLSCUL601_02604_RAULF_000_013<tab>So I decided to kiss the adventuring life good-bye and took up a post at Miss Rowena's café at Revenant's Toll.","TEXT_CLSCUL601_02604_RAULF_000_013<tab>So I decided to kiss the adventuring life good-bye and took up a post at Miss Rowena's café at Revenant's Toll.","","False","0x00000037","",""
"","TEXT_CLSCUL601_02604_RAULF_000_014<tab>The thing is, with or without distractions, it's not easy to succeed as a chef. It's a crowded profession, as I'm sure you can appreciate, and if I'm to make a name for myself, I can't be making what everyone else is making. Nay, I need to venture into unexplored territory.","TEXT_CLSCUL601_02604_RAULF_000_014<tab>The thing is, with or without distractions, it's not easy to succeed as a chef. It's a crowded profession, as I'm sure you can appreciate, and if I'm to make a name for myself, I can't be making what everyone else is making. Nay, I need to venture into unexplored territory.","","False","0x00000038","",""
"","TEXT_CLSCUL601_02604_RAULF_000_015<tab>To that end, I came up with a brilliant idea. I'd incorporate Far Eastern dishes into our menu and cater to the Doman residents of Revenant's Toll! Promising, right? Right!","TEXT_CLSCUL601_02604_RAULF_000_015<tab>To that end, I came up with a brilliant idea. I'd incorporate Far Eastern dishes into our menu and cater to the Doman residents of Revenant's Toll! Promising, right? Right!","","False","0x00000039","",""
"","TEXT_CLSCUL601_02604_RAULF_000_016<tab>The thing is, brilliant idea or no, it's not easy to learn a foreign cuisine, and Far Eastern is just about as foreign as they come. It's plain I'm going to need help, and of the well-traveled sort. And so I decided to turn to the most accomplished adventuring culinarian I know─you, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>.","TEXT_CLSCUL601_02604_RAULF_000_016<tab>The thing is, brilliant idea or no, it's not easy to learn a foreign cuisine, and Far Eastern is just about as foreign as they come. It's plain I'm going to need help, and of the well-traveled sort. And so I decided to turn to the most accomplished adventuring culinarian I know─you, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>.","","False","0x0000003A","",""
"","TEXT_CLSCUL601_02604_RAULF_000_017<tab>Now, I realize you're a busy <var 08 E905 ((woman)) ((man)) /var> and we've only just met. If you say no, I won't think ill of you. But if you'd be so kind as to help out a brother, I'll be waiting for you at Revenant's Toll.","TEXT_CLSCUL601_02604_RAULF_000_017<tab>Now, I realize you're a busy <var 08 E905 ((woman)) ((man)) /var> and we've only just met. If you say no, I won't think ill of you. But if you'd be so kind as to help out a brother, I'll be waiting for you at Revenant's Toll.","","False","0x0000003B","",""
"","TEXT_CLSCUL601_02604_LYNGSATH_000_019<tab>Bloke's fixin' to serve up Far Eastern dishes, is 'e? Reckon that's a fine opportunity fer ye to expand yer repertoire. If I was you, I'd lend this Raulf a hand.","TEXT_CLSCUL601_02604_LYNGSATH_000_019<tab>Bloke's fixin' to serve up Far Eastern dishes, is 'e? Reckon that's a fine opportunity fer ye to expand yer repertoire. If I was you, I'd lend this Raulf a hand.","","False","0x0000003C","",""
