"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CLSGLD650_02601_SEQ_00<tab>Emeloth has a new worry to replace the old.","TEXT_CLSGLD650_02601_SEQ_00<tab>Emeloth scheint neue Sorgen zu haben.","","False","0x00000000","",""
"","TEXT_CLSGLD650_02601_SEQ_01<tab>Not long after you address the issue of the two brothers' shortcomings, a new problem arises with J'khebica. In spite of her many promising qualities, it turns out she is remarkably clumsy, suffering repeated mishaps while applying the finishing touches. Unable to discern the cause, Emeloth bids you look in on the struggling apprentice. Speak with J'khebica and her fellows to see what you might be able to glean.","TEXT_CLSGLD650_02601_SEQ_01<tab>Kaum habt ihr euch um die Schwächen der beiden Brüder gekümmert, scheint es ein neues Problem mit J'khebica zu geben. Trotz ihrer vielseitigen Begabungen scheint sie erstaunlich ungeschickt zu sein und sich wiederholte Schnitzer beim letzten Schliff eines Produktes zu leisten. Da Emeloth die Ursache bisher nicht feststellen konnte, bittet sie dich, mal nach dem Lehrling zu sehen. Sprich mit J'khebica und ihren Kollegen, um zu sehen, ob du etwas in Erfahrung bringen kannst.","","False","0x00000001","",""
"","TEXT_CLSGLD650_02601_SEQ_02<tab>You learn from J'khebica that her struggles are relatively new. Meanwhile, the two brothers offer further insights, namely that she cannot reliably distinguish between the two of them, and that she invariably furrows her brows prior to failing. Take these revelations back to Emeloth for her consideration.","TEXT_CLSGLD650_02601_SEQ_02<tab>Laut J'khebica hat sie erst seit relativ kurzer Zeit Probleme. Die Brüder bemerken zudem, dass sie nicht zwischen den beiden unterscheiden kann und stets die Augen zusammenkneift, bevor ihr ein Fehler unterläuft. Kehre mit diesen Erkenntnissen zu Emeloth zurück.","","False","0x00000002","",""
"","TEXT_CLSGLD650_02601_SEQ_03<tab>Listening in on your report, Kanchana posits that J'khebica's problem may lie with her vision, and Emeloth decides to check her eyesight to ascertain the possibility. Go and summon J'khebica for the test and put the mystery to rest.","TEXT_CLSGLD650_02601_SEQ_03<tab>Nachdem Kanchana eurem Gespräch gelauscht hat, bemerkt sie, dass J'khebica womöglich ein Problem mit ihrer Sehkraft hat. Emeloth entscheidet sich daraufhin, diese zu prüfen. Bitte J'khebica zu einem Sehtest, um diesem Verdacht nachzugehen.","","False","0x00000003","",""
"","TEXT_CLSGLD650_02601_SEQ_04<tab>It quickly becomes apparent that J'khebica's eyesight has deteriorated beyond what her current spectacles are able to correct. Kanchana suggests that you make her a new pair, which would double as the sample for the next task Emeloth has in mind for the apprentices. Synthesize a pair of spectacles for J'khebica, and present the finished product to your deputy for inspection.<br><br>※In the event you lose the materials or the synthesis ends in failure, you may try again by speaking with Kanchana.","TEXT_CLSGLD650_02601_SEQ_04<tab>Bei der Überprüfung von J'khebicas Sehkraft wird schnell klar, dass diese soweit abgenommen hat, dass ihre derzeitige Brille sie nicht mehr ausreichend korrigiert. Emeloth schlägt vor, dass du ihr eine neue anfertigst, die zugleich als Muster für die nächste Aufgabe der Lehrlinge dienen soll. Stelle <var 32 ((ItemHQ)) 02F245F0020502 /var> für J'khebica her und zeige das fertige Produkt bei Emeloth vor.<br><br>※ Falls du die Materialien verlierst oder die Synthese fehlschlägt, sprich mit Kanchana, um dich erneut daran zu versuchen.","","False","0x00000004","",""
"","TEXT_CLSGLD650_02601_SEQ_05<tab>The new spectacles do the trick, and J'khebica is fairly enraptured to have her vision back. Wido observes that, even in her semiblind state, J'khebica was still the better goldsmith, and he and Hal are spurred to greater effort. In this way, all three apprentices resume their training with the fire of their enthusiasm further stoked. Let their zeal inspire you as you continue striving for new heights in your craft.<br><br>※The next goldsmith quest will be available from Emeloth upon reaching level 68.","TEXT_CLSGLD650_02601_SEQ_05<tab>Die neue Brille funktioniert tadellos und J'khebica ist hocherfreut, wieder perfekt sehen zu können. Wido bemerkt, dass J'khebica selbst in ihrem halbblinden Zustand noch eine bessere Goldschmiedin als die beiden Brüder war, was Hal und ihn anspornt, sich noch mehr ins Zeug zu legen. Alle drei Lehrlinge setzen somit ihre Ausbildung mit erneuertem Eifer fort. Lass dich von ihren Anstrengungen inspirieren und verbessere deine eigenen Fertigkeiten weiter.<br><br>※ Sobald du als Goldschmied<var 08 E905 ((in)) (()) /var> Stufe 68 erreicht hast, kannst du von Emeloth den nächsten Auftrag annehmen.","","False","0x00000005","",""
"","TEXT_CLSGLD650_02601_SEQ_06<tab>","TEXT_CLSGLD650_02601_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_CLSGLD650_02601_SEQ_07<tab>","TEXT_CLSGLD650_02601_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_CLSGLD650_02601_SEQ_08<tab>","TEXT_CLSGLD650_02601_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_CLSGLD650_02601_SEQ_09<tab>","TEXT_CLSGLD650_02601_SEQ_09<tab>","","False","0x00000009","",""
