"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CLSFSH700_02899_SEQ_00<tab>Wawalago's eyes exude elation and excitement.","TEXT_CLSFSH700_02899_SEQ_00<tab>Wawalago's eyes exude elation and excitement.","","False","0x00000000","",""
"","TEXT_CLSFSH700_02899_SEQ_01<tab>An ecstatic Wawalago explains that he has unearthed a wealth of wisdom on the Wadatsumi festivities, and is ready to make the journey east and lead the revival of this time-honored tradition. Ready for the most intense fishing challenge of your career, you make your way to Kugane to rendezvous with Reyna.","TEXT_CLSFSH700_02899_SEQ_01<tab>An ecstatic Wawalago explains that he has unearthed a wealth of wisdom on the Wadatsumi festivities, and is ready to make the journey east and lead the revival of this time-honored tradition. Ready for the most intense fishing challenge of your career, you make your way to Kugane to rendezvous with Reyna.","","False","0x00000001","",""
"","TEXT_CLSFSH700_02899_SEQ_02<tab>You arrive in Kugane to find that Reyna's fellow fishing enthusiast Ansaulme has also taken time away from his struggle for succession to join you and your companions in this grand fishing festival─one that, if all goes according to plan, will also result in the return to the seas of the harutsuge, the shooting stars treasured by the Sahagin. Join Master Wawalago in Isari, and let the festivities begin!","TEXT_CLSFSH700_02899_SEQ_02<tab>You arrive in Kugane to find that Reyna's fellow fishing enthusiast Ansaulme has also taken time away from his struggle for succession to join you and your companions in this grand fishing festival─one that, if all goes according to plan, will also result in the return to the seas of the harutsuge, the shooting stars treasured by the Sahagin. Join Master Wawalago in Isari, and let the festivities begin!","","False","0x00000002","",""
"","TEXT_CLSFSH700_02899_SEQ_03<tab>In Isari, Wawalago elaborates on the nature of the festival. At its essence a celebration of the spirit of the cooperation between man and Kojin, the ritual will unfold as follows: the Kojin, joined by Govv, will pursue the plesiosaurs from beneath the waves, chasing them to the surface, where the anglers lying in wait will lure them in. As the guildmaster's most proven protégé, you are tasked by Wawalago with hauling in the lion's share of your prized prey. Make for the waters of Onokoro, and do battle with these ferocious fiends of the deep!","TEXT_CLSFSH700_02899_SEQ_03<tab>In Isari, Wawalago elaborates on the nature of the festival. At its essence a celebration of the spirit of the cooperation between man and Kojin, the ritual will unfold as follows: the Kojin, joined by Govv, will pursue the plesiosaurs from beneath the waves, chasing them to the surface, where the anglers lying in wait will lure them in. As the guildmaster's most proven protégé, you are tasked by Wawalago with hauling in the lion's share of your prized prey. Make for the waters of Onokoro, and do battle with these ferocious fiends of the deep!","","False","0x00000003","",""
"","TEXT_CLSFSH700_02899_SEQ_04<tab>Together with your companions, you haul in heaping pile of plesiosaurs, pleasing the kami of the deep and restoring peace to the oceans and balance to the natural order of things. Govv grows concerned, however, when he can spy no sign of his precious shooting stars despite the removal of their most puissant predator, and dives into the depths in pursuit. At Wawalago's behest, you join him, and after a brief moment of concern, are treated to the stunning sight of a massive school of young harutsuge swimming all around you. Breathing a sigh of relief, you return to the surface with Govv, taking solace that your efforts were not for naught, and these delightful denizens of the sea will survive and prosper. Back in Isari, Wawalago begins to pontificate on the potential repercussions of your actions today, when he is interrupted by an irate Sisipu, who he neglected to inform of his intent to make the journey east. As the two run off, you turn to your companions with a smile, happy to see man and beastman alike united by a deep love of the sea.","TEXT_CLSFSH700_02899_SEQ_04<tab>Together with your companions, you haul in heaping pile of plesiosaurs, pleasing the kami of the deep and restoring peace to the oceans and balance to the natural order of things. Govv grows concerned, however, when he can spy no sign of his precious shooting stars despite the removal of their most puissant predator, and dives into the depths in pursuit. At Wawalago's behest, you join him, and after a brief moment of concern, are treated to the stunning sight of a massive school of young harutsuge swimming all around you. Breathing a sigh of relief, you return to the surface with Govv, taking solace that your efforts were not for naught, and these delightful denizens of the sea will survive and prosper. Back in Isari, Wawalago begins to pontificate on the potential repercussions of your actions today, when he is interrupted by an irate Sisipu, who he neglected to inform of his intent to make the journey east. As the two run off, you turn to your companions with a smile, happy to see man and beastman alike united by a deep love of the sea.","","False","0x00000004","",""
"","TEXT_CLSFSH700_02899_SEQ_05<tab>","TEXT_CLSFSH700_02899_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_CLSFSH700_02899_SEQ_06<tab>","TEXT_CLSFSH700_02899_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_CLSFSH700_02899_SEQ_07<tab>","TEXT_CLSFSH700_02899_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_CLSFSH700_02899_SEQ_08<tab>","TEXT_CLSFSH700_02899_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_CLSFSH700_02899_SEQ_09<tab>","TEXT_CLSFSH700_02899_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_CLSFSH700_02899_SEQ_10<tab>","TEXT_CLSFSH700_02899_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_CLSFSH700_02899_SEQ_11<tab>","TEXT_CLSFSH700_02899_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_CLSFSH700_02899_SEQ_12<tab>","TEXT_CLSFSH700_02899_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_CLSFSH700_02899_SEQ_13<tab>","TEXT_CLSFSH700_02899_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_CLSFSH700_02899_SEQ_14<tab>","TEXT_CLSFSH700_02899_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_CLSFSH700_02899_SEQ_15<tab>","TEXT_CLSFSH700_02899_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_CLSFSH700_02899_SEQ_16<tab>","TEXT_CLSFSH700_02899_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_CLSFSH700_02899_SEQ_17<tab>","TEXT_CLSFSH700_02899_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_CLSFSH700_02899_SEQ_18<tab>","TEXT_CLSFSH700_02899_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_CLSFSH700_02899_SEQ_19<tab>","TEXT_CLSFSH700_02899_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_CLSFSH700_02899_SEQ_20<tab>","TEXT_CLSFSH700_02899_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_CLSFSH700_02899_SEQ_21<tab>","TEXT_CLSFSH700_02899_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_CLSFSH700_02899_SEQ_22<tab>","TEXT_CLSFSH700_02899_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_CLSFSH700_02899_SEQ_23<tab>","TEXT_CLSFSH700_02899_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_CLSFSH700_02899_TODO_00<tab>Speak with Reyna in Kugane.","TEXT_CLSFSH700_02899_TODO_00<tab>Speak with Reyna in Kugane.","","False","0x00000018","",""
"","TEXT_CLSFSH700_02899_TODO_01<tab>Join Wawalago in Isari.","TEXT_CLSFSH700_02899_TODO_01<tab>Join Wawalago in Isari.","","False","0x00000019","",""
"","TEXT_CLSFSH700_02899_TODO_02<tab><var 08 E3E802E803 ((Catch giant plesiosaurs)) ((Deliver the giant plesiosaurs to Wawalago in Isari)) /var>.","TEXT_CLSFSH700_02899_TODO_02<tab><var 08 E3E802E803 ((Catch giant plesiosaurs)) ((Deliver the giant plesiosaurs to Wawalago in Isari)) /var>.","","False","0x0000001A","",""
"","TEXT_CLSFSH700_02899_TODO_03<tab>","TEXT_CLSFSH700_02899_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_CLSFSH700_02899_TODO_04<tab>","TEXT_CLSFSH700_02899_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_CLSFSH700_02899_TODO_05<tab>","TEXT_CLSFSH700_02899_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_CLSFSH700_02899_TODO_06<tab>","TEXT_CLSFSH700_02899_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_CLSFSH700_02899_TODO_07<tab>","TEXT_CLSFSH700_02899_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_CLSFSH700_02899_TODO_08<tab>","TEXT_CLSFSH700_02899_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_CLSFSH700_02899_TODO_09<tab>","TEXT_CLSFSH700_02899_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_CLSFSH700_02899_TODO_10<tab>","TEXT_CLSFSH700_02899_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_CLSFSH700_02899_TODO_11<tab>","TEXT_CLSFSH700_02899_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_CLSFSH700_02899_TODO_12<tab>","TEXT_CLSFSH700_02899_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_CLSFSH700_02899_TODO_13<tab>","TEXT_CLSFSH700_02899_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_CLSFSH700_02899_TODO_14<tab>","TEXT_CLSFSH700_02899_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_CLSFSH700_02899_TODO_15<tab>","TEXT_CLSFSH700_02899_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_CLSFSH700_02899_TODO_16<tab>","TEXT_CLSFSH700_02899_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_CLSFSH700_02899_TODO_17<tab>","TEXT_CLSFSH700_02899_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_CLSFSH700_02899_TODO_18<tab>","TEXT_CLSFSH700_02899_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_CLSFSH700_02899_TODO_19<tab>","TEXT_CLSFSH700_02899_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_CLSFSH700_02899_TODO_20<tab>","TEXT_CLSFSH700_02899_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_CLSFSH700_02899_TODO_21<tab>","TEXT_CLSFSH700_02899_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_CLSFSH700_02899_TODO_22<tab>","TEXT_CLSFSH700_02899_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_CLSFSH700_02899_TODO_23<tab>","TEXT_CLSFSH700_02899_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_CLSFSH700_02899_WAWALAGO_000_000<tab>Ho there, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>! How are you holding up? For my part, I'm happy to say that I've housed in my head a wide wealth of wisdom regarding this Wadatsumi festival!","TEXT_CLSFSH700_02899_WAWALAGO_000_000<tab>Ho there, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>! How are you holding up? For my part, I'm happy to say that I've housed in my head a wide wealth of wisdom regarding this Wadatsumi festival!","","False","0x00000030","",""
"","TEXT_CLSFSH700_02899_WAWALAGO_000_002<tab>Are you ready to fish as if the future depended on it? 'Cause if it's the future of the harutsuge we're discussing, I daresay it most definitely does!","TEXT_CLSFSH700_02899_WAWALAGO_000_002<tab>Are you ready to fish as if the future depended on it? 'Cause if it's the future of the harutsuge we're discussing, I daresay it most definitely does!","","False","0x00000031","",""
"","TEXT_CLSFSH700_02899_WAWALAGO_000_003<tab>And with Sisipu being sympathetic for once and sanctioning my sabbatical, there's nothing stopping me from journeying east to join in the festivities! Now if you'll pardon me, I do believe there's a certain lovely lass awaiting our arrival in Kugane.","TEXT_CLSFSH700_02899_WAWALAGO_000_003<tab>And with Sisipu being sympathetic for once and sanctioning my sabbatical, there's nothing stopping me from journeying east to join in the festivities! Now if you'll pardon me, I do believe there's a certain lovely lass awaiting our arrival in Kugane.","","False","0x00000032","",""
"","TEXT_CLSFSH700_02899_SISIPU_000_005<tab>As usual, Wawalago is too busy running about to give me the time of day. I trust everything's going swimmingly with whatever it was that you two were working on?","TEXT_CLSFSH700_02899_SISIPU_000_005<tab>As usual, Wawalago is too busy running about to give me the time of day. I trust everything's going swimmingly with whatever it was that you two were working on?","","False","0x00000033","",""
"","TEXT_CLSFSH700_02899_WAWALAGO_000_010<tab>My heart's beating so fast it's like to burst out of my body! To Isari, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>! It's up to us to see that this festival is a sensational success!","TEXT_CLSFSH700_02899_WAWALAGO_000_010<tab>My heart's beating so fast it's like to burst out of my body! To Isari, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>! It's up to us to see that this festival is a sensational success!","","False","0x00000034","",""
"","TEXT_CLSFSH700_02899_ANSAULME_000_015<tab>The greatest fishing festival in the Far East? Hah! Let my brother do his worst─I wouldn't have missed this for the world!","TEXT_CLSFSH700_02899_ANSAULME_000_015<tab>The greatest fishing festival in the Far East? Hah! Let my brother do his worst─I wouldn't have missed this for the world!","","False","0x00000035","",""
"","TEXT_CLSFSH700_02899_REYNA_000_020<tab>We've been waiting for you, friend! Master Wawalago's already gone on ahead to Isari─he couldn't quite contain his excitement. And just look what we have here─Ansaulme's joined us as well.","TEXT_CLSFSH700_02899_REYNA_000_020<tab>We've been waiting for you, friend! Master Wawalago's already gone on ahead to Isari─he couldn't quite contain his excitement. And just look what we have here─Ansaulme's joined us as well.","","False","0x00000036","",""
"","TEXT_CLSFSH700_02899_REYNA_000_021<tab>Even with his terrible brother wreaking havoc back in the Holy See, he said he couldn't bear to miss it. Truly, the man's ardor for angling knows no bounds─not that I'm one to talk, of course.","TEXT_CLSFSH700_02899_REYNA_000_021<tab>Even with his terrible brother wreaking havoc back in the Holy See, he said he couldn't bear to miss it. Truly, the man's ardor for angling knows no bounds─not that I'm one to talk, of course.","","False","0x00000037","",""
"","TEXT_CLSFSH700_02899_REYNA_000_022<tab>Anyhow, we'd best not keep the guildmaster waiting any longer. Shall we be off to Isari, then?","TEXT_CLSFSH700_02899_REYNA_000_022<tab>Anyhow, we'd best not keep the guildmaster waiting any longer. Shall we be off to Isari, then?","","False","0x00000038","",""
"","TEXT_CLSFSH700_02899_REYNA_000_025<tab>So this is Isari! So quiet and peaceful, it certainly has all the makings of a fisher's paradise. Anyhow, shall we get the festivities started?","TEXT_CLSFSH700_02899_REYNA_000_025<tab>So this is Isari! So quiet and peaceful, it certainly has all the makings of a fisher's paradise. Anyhow, shall we get the festivities started?","","False","0x00000039","",""
"","TEXT_CLSFSH700_02899_ANSAULME_000_030<tab>Ah, how long has it been since I took fishing rod in hand and truly left my worries behind? Mark my words, I will make the most of this day!","TEXT_CLSFSH700_02899_ANSAULME_000_030<tab>Ah, how long has it been since I took fishing rod in hand and truly left my worries behind? Mark my words, I will make the most of this day!","","False","0x0000003A","",""
"","TEXT_CLSFSH700_02899_UKIMONO_000_035<tab>We meet again, friend. Know that my fellow Kojin are just off the shore, ready to swim to our aid at a moment's notice.","TEXT_CLSFSH700_02899_UKIMONO_000_035<tab>We meet again, friend. Know that my fellow Kojin are just off the shore, ready to swim to our aid at a moment's notice.","","False","0x0000003B","",""
"","TEXT_CLSFSH700_02899_GOVV_000_040<tab>Pssshhh! Finally, the day has come! We will ssspear these plesssiosaur fiends, and the shooting ssstars will grace the ssseas once more!","TEXT_CLSFSH700_02899_GOVV_000_040<tab>Pssshhh! Finally, the day has come! We will ssspear these plesssiosaur fiends, and the shooting ssstars will grace the ssseas once more!","","False","0x0000003C","",""
"","TEXT_CLSFSH700_02899_JISYOU_000_045<tab>How many years has it been since our Kojin friends graced us with their presence? The sight alone warms this old man's heart. Speaking of which, who─or what─is that talking fish that stands on two legs?","TEXT_CLSFSH700_02899_JISYOU_000_045<tab>How many years has it been since our Kojin friends graced us with their presence? The sight alone warms this old man's heart. Speaking of which, who─or what─is that talking fish that stands on two legs?","","False","0x0000003D","",""
"","TEXT_CLSFSH700_02899_WAWALAGO_000_050<tab>I assume we're all accounted for? Excellent! It's time we got the gaieties off the ground, as it were. Obviously, I'll be overseeing the operation.","TEXT_CLSFSH700_02899_WAWALAGO_000_050<tab>I assume we're all accounted for? Excellent! It's time we got the gaieties off the ground, as it were. Obviously, I'll be overseeing the operation.","","False","0x0000003E","",""
"","TEXT_CLSFSH700_02899_WAWALAGO_000_051<tab>Our prize and prey is the giant plesiosaur, a massive monstrosity of a fish as fierce and ferocious as any you'll find. Go after one without a precise plan of attack, and you're like as not to get swallowed and spit out a skeleton.","TEXT_CLSFSH700_02899_WAWALAGO_000_051<tab>Our prize and prey is the giant plesiosaur, a massive monstrosity of a fish as fierce and ferocious as any you'll find. Go after one without a precise plan of attack, and you're like as not to get swallowed and spit out a skeleton.","","False","0x0000003F","",""
"","TEXT_CLSFSH700_02899_WAWALAGO_000_052<tab>So it is that the fishermen of Isari have traditionally enlisted the trusty talents of the Kojin in a testament to the power of teamwork.","TEXT_CLSFSH700_02899_WAWALAGO_000_052<tab>So it is that the fishermen of Isari have traditionally enlisted the trusty talents of the Kojin in a testament to the power of teamwork.","","False","0x00000040","",""
"","TEXT_CLSFSH700_02899_WAWALAGO_000_053<tab>Here's how it will happen: the Kojin will pursue the prey underwater, pressing them ever closer to the water's crest. From there, us landlubbers will lower our lures and hook them, hauling them to shore in one swift swoop.","TEXT_CLSFSH700_02899_WAWALAGO_000_053<tab>Here's how it will happen: the Kojin will pursue the prey underwater, pressing them ever closer to the water's crest. From there, us landlubbers will lower our lures and hook them, hauling them to shore in one swift swoop.","","False","0x00000041","",""
"","TEXT_CLSFSH700_02899_WAWALAGO_000_054<tab>The consummate celebration of cooperation and camaraderie between beastman and beach-dweller─this is the true essence of this time-honored tradition.","TEXT_CLSFSH700_02899_WAWALAGO_000_054<tab>The consummate celebration of cooperation and camaraderie between beastman and beach-dweller─this is the true essence of this time-honored tradition.","","False","0x00000042","",""
"","TEXT_CLSFSH700_02899_WAWALAGO_000_055<tab>Govv! Ukimono! Join the Kojin beneath the billowing waves! When I give the signal, swim after the plesiosaurs and push them in close proximity to Onokoro!","TEXT_CLSFSH700_02899_WAWALAGO_000_055<tab>Govv! Ukimono! Join the Kojin beneath the billowing waves! When I give the signal, swim after the plesiosaurs and push them in close proximity to Onokoro!","","False","0x00000043","",""
"","TEXT_CLSFSH700_02899_WAWALAGO_000_056<tab>My friends and fellow fishers! When the stragglers stray near the surface, lower your lures and reel them in with reckless abandon!","TEXT_CLSFSH700_02899_WAWALAGO_000_056<tab>My friends and fellow fishers! When the stragglers stray near the surface, lower your lures and reel them in with reckless abandon!","","False","0x00000044","",""
"","TEXT_CLSFSH700_02899_WAWALAGO_000_057<tab>...A moment, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>, if you don't mightily mind. Speaking with all sincerity, I'm skeptical that even the most accomplished among us will be able to angle in even one of those primordial piscine predators.","TEXT_CLSFSH700_02899_WAWALAGO_000_057<tab>...A moment, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>, if you don't mightily mind. Speaking with all sincerity, I'm skeptical that even the most accomplished among us will be able to angle in even one of those primordial piscine predators.","","False","0x00000045","",""
"","TEXT_CLSFSH700_02899_WAWALAGO_000_058<tab>With the extraordinary exception of you, that is. Yes, if any of us has the aptitude and acumen to face this fearsome foe in the eye and emerge exultant, it's you.","TEXT_CLSFSH700_02899_WAWALAGO_000_058<tab>With the extraordinary exception of you, that is. Yes, if any of us has the aptitude and acumen to face this fearsome foe in the eye and emerge exultant, it's you.","","False","0x00000046","",""
"","TEXT_CLSFSH700_02899_WAWALAGO_000_059<tab>I'm counting on you, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>, to prove Wawalago prescient and procure a healthy haul of those plesiosaurs. This will test your talents as a fisher as nothing before. Step forth, and may the seas smile on you!","TEXT_CLSFSH700_02899_WAWALAGO_000_059<tab>I'm counting on you, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>, to prove Wawalago prescient and procure a healthy haul of those plesiosaurs. This will test your talents as a fisher as nothing before. Step forth, and may the seas smile on you!","","False","0x00000047","",""
"","TEXT_CLSFSH700_02899_REYNA_000_140<tab>They say a band of pirates calling themselves the Confederacy prowls the seas beyond this point? I don't feel like walking any planks, so I'll set up right here, thank you very much.","TEXT_CLSFSH700_02899_REYNA_000_140<tab>They say a band of pirates calling themselves the Confederacy prowls the seas beyond this point? I don't feel like walking any planks, so I'll set up right here, thank you very much.","","False","0x00000048","",""
"","TEXT_CLSFSH700_02899_ANSAULME_000_145<tab>For this day, I could not care less what my brother is up to at home. Today I live to fish, and only to fish!","TEXT_CLSFSH700_02899_ANSAULME_000_145<tab>For this day, I could not care less what my brother is up to at home. Today I live to fish, and only to fish!","","False","0x00000049","",""
"","TEXT_CLSFSH700_02899_UKIMONO_000_150<tab>How fare you, friend? Have any of those great beasts found your hooks?","TEXT_CLSFSH700_02899_UKIMONO_000_150<tab>How fare you, friend? Have any of those great beasts found your hooks?","","False","0x0000004A","",""
"","TEXT_CLSFSH700_02899_GOVV_000_155<tab>Pssshhh! To sssee the shooting ssstars return to these seasss, I will ssspare no effort!","TEXT_CLSFSH700_02899_GOVV_000_155<tab>Pssshhh! To sssee the shooting ssstars return to these seasss, I will ssspare no effort!","","False","0x0000004B","",""
