"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_STMBDZ992_02886_SEQ_00<tab>Gundobald wishes to honor the memory of a brave warrior.","TEXT_STMBDZ992_02886_SEQ_00<tab>Gundobald wishes to honor the memory of a brave warrior.","","False","0x00000000","",""
"","TEXT_STMBDZ992_02886_SEQ_01<tab>Gundobald would like to commemorate the life of Wilred, who died fighting for the Crystal Braves. He hands you the warrior's old sword and bids you present it to Bertliana, Wilred's childhood friend.","TEXT_STMBDZ992_02886_SEQ_01<tab>Gundobald would like to commemorate the life of Wilred, who died fighting for the Crystal Braves. He hands you the warrior's old sword and bids you present it to Bertliana, Wilred's childhood friend.","","False","0x00000001","",""
"","TEXT_STMBDZ992_02886_SEQ_02<tab>Bertliana recovers from the initial shock of seeing her friend's sword to introduce herself to you. She goes on to explain that it has long been her dream to someday take one of Wilred's belongings with her to Ala Mhigo, if it was liberated during her lifetime. Bertliana sets about packing the blade up and asks you to inform Gundobald that she will soon be ready to depart.","TEXT_STMBDZ992_02886_SEQ_02<tab>Bertliana recovers from the initial shock of seeing her friend's sword to introduce herself to you. She goes on to explain that it has long been her dream to someday take one of Wilred's belongings with her to Ala Mhigo, if it was liberated during her lifetime. Bertliana sets about packing the blade up and asks you to inform Gundobald that she will soon be ready to depart.","","False","0x00000002","",""
"","TEXT_STMBDZ992_02886_SEQ_03<tab>Gundobald clearly thinks highly of Bertliana─noting that she has done incredibly well to overcome all the hardships she has had to endure. You are given a list containing the names of the first group that has decided to make the journey to their homeland and asked to see if they still harbor any doubts about the move.","TEXT_STMBDZ992_02886_SEQ_03<tab>Gundobald clearly thinks highly of Bertliana─noting that she has done incredibly well to overcome all the hardships she has had to endure. You are given a list containing the names of the first group that has decided to make the journey to their homeland and asked to see if they still harbor any doubts about the move.","","False","0x00000003","",""
"","TEXT_STMBDZ992_02886_SEQ_04<tab>Everyone you speak with has their own worries, but you are able to reassure them that everything will be fine. You head back to Gundobald to relay that the group is now ready to make tracks.","TEXT_STMBDZ992_02886_SEQ_04<tab>Everyone you speak with has their own worries, but you are able to reassure them that everything will be fine. You head back to Gundobald to relay that the group is now ready to make tracks.","","False","0x00000004","",""
"","TEXT_STMBDZ992_02886_SEQ_05<tab>Gundobald informs you that Bertliana will be in charge of leading the group back to Ala Mhigo. He bids you let her know that she is free to give the order to leave whenever she is ready.","TEXT_STMBDZ992_02886_SEQ_05<tab>Gundobald informs you that Bertliana will be in charge of leading the group back to Ala Mhigo. He bids you let her know that she is free to give the order to leave whenever she is ready.","","False","0x00000005","",""
"","TEXT_STMBDZ992_02886_SEQ_06<tab>","TEXT_STMBDZ992_02886_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_STMBDZ992_02886_SEQ_07<tab>","TEXT_STMBDZ992_02886_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_STMBDZ992_02886_SEQ_08<tab>","TEXT_STMBDZ992_02886_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_STMBDZ992_02886_SEQ_09<tab>","TEXT_STMBDZ992_02886_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_STMBDZ992_02886_SEQ_10<tab>","TEXT_STMBDZ992_02886_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_STMBDZ992_02886_SEQ_11<tab>","TEXT_STMBDZ992_02886_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_STMBDZ992_02886_SEQ_12<tab>","TEXT_STMBDZ992_02886_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_STMBDZ992_02886_SEQ_13<tab>","TEXT_STMBDZ992_02886_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_STMBDZ992_02886_SEQ_14<tab>","TEXT_STMBDZ992_02886_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_STMBDZ992_02886_SEQ_15<tab>","TEXT_STMBDZ992_02886_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_STMBDZ992_02886_SEQ_16<tab>","TEXT_STMBDZ992_02886_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_STMBDZ992_02886_SEQ_17<tab>","TEXT_STMBDZ992_02886_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_STMBDZ992_02886_SEQ_18<tab>","TEXT_STMBDZ992_02886_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_STMBDZ992_02886_SEQ_19<tab>","TEXT_STMBDZ992_02886_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_STMBDZ992_02886_SEQ_20<tab>","TEXT_STMBDZ992_02886_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_STMBDZ992_02886_SEQ_21<tab>","TEXT_STMBDZ992_02886_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_STMBDZ992_02886_SEQ_22<tab>","TEXT_STMBDZ992_02886_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_STMBDZ992_02886_SEQ_23<tab>","TEXT_STMBDZ992_02886_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_STMBDZ992_02886_TODO_00<tab>Present Wilred's sword to Bertliana.","TEXT_STMBDZ992_02886_TODO_00<tab>Present Wilred's sword to Bertliana.","","False","0x00000018","",""
"","TEXT_STMBDZ992_02886_TODO_01<tab>Speak with Gundobald.","TEXT_STMBDZ992_02886_TODO_01<tab>Speak with Gundobald.","","False","0x00000019","",""
"","TEXT_STMBDZ992_02886_TODO_02<tab>Speak with those who wish to return to Ala Mhigo.","TEXT_STMBDZ992_02886_TODO_02<tab>Speak with those who wish to return to Ala Mhigo.","","False","0x0000001A","",""
"","TEXT_STMBDZ992_02886_TODO_03<tab>Report to Gundobald.","TEXT_STMBDZ992_02886_TODO_03<tab>Report to Gundobald.","","False","0x0000001B","",""
"","TEXT_STMBDZ992_02886_TODO_04<tab>","TEXT_STMBDZ992_02886_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_STMBDZ992_02886_TODO_05<tab>","TEXT_STMBDZ992_02886_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_STMBDZ992_02886_TODO_06<tab>","TEXT_STMBDZ992_02886_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_STMBDZ992_02886_TODO_07<tab>","TEXT_STMBDZ992_02886_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_STMBDZ992_02886_TODO_08<tab>","TEXT_STMBDZ992_02886_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_STMBDZ992_02886_TODO_09<tab>","TEXT_STMBDZ992_02886_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_STMBDZ992_02886_TODO_10<tab>","TEXT_STMBDZ992_02886_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_STMBDZ992_02886_TODO_11<tab>","TEXT_STMBDZ992_02886_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_STMBDZ992_02886_TODO_12<tab>","TEXT_STMBDZ992_02886_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_STMBDZ992_02886_TODO_13<tab>","TEXT_STMBDZ992_02886_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_STMBDZ992_02886_TODO_14<tab>","TEXT_STMBDZ992_02886_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_STMBDZ992_02886_TODO_15<tab>","TEXT_STMBDZ992_02886_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_STMBDZ992_02886_TODO_16<tab>","TEXT_STMBDZ992_02886_TODO_16<tab>","","False","0x00000028","",""
