"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_FESANV301_02961_SEQ_00<tab>Nonora is seeking help in her search for a missing friend.<br>※This quest is available for a limited time only.","TEXT_FESANV301_02961_SEQ_00<tab>※ Dieser Auftrag ist nur für die Dauer des saisonalen Ereignisses verfügbar.<br><br>Nonora macht ein geplagtes Gesicht.","","False","0x00000000","",""
"","TEXT_FESANV301_02961_SEQ_01<tab>According to Nonora, a mechanical menace thought long since defeated has returned to disrupt the realm's celebration of remembrance. Hoping to resolve the matter quickly, and without incident, she enlisted the aid of the wandering minstrel who helped drive off these insectoid machines once before. Though there have been no sightings of the creatures for several days, the wandering minstrel has yet to return, causing Nonora to worry. She bids you venture to Nophica's Wells, where she last heard word from him, and see what you can find.<br><br>※Please note that you will not be able to complete this quest after the seasonal event has ended. For details, check the Lodestone.","TEXT_FESANV301_02961_SEQ_01<tab>※ Dieser Auftrag kann nur für die Dauer des saisonalen Ereignisses angenommen und gespielt werden. Nach Ende des saisonalen Ereignisses kann er nicht mehr abgeschlossen werden. Weitere Informationen findest du auf dem Lodestone.<br><br>Nonora hat den Fahrenden Sänger ausgesandt, um einer neuen Bug-Plage Herr zu werden, doch er ist noch nicht zurückgekehrt. Suche an Nophicas Brunnen nach Hinweisen auf den Fahrenden Sänger.","","False","0x00000001","",""
"","TEXT_FESANV301_02961_SEQ_02<tab>Not long after arriving at Nophica's Wells you discover a strange aetherial rift near the water, as well as several metallic bugs strewn across the ground. Though he is nowhere in sight, you are certain this is the handiwork of the wandering minstrel. While you know naught of the origins of the void hovering silently above the bugs' remains, a closer examination of it may offer a clue as to the minstrel's whereabouts.","TEXT_FESANV301_02961_SEQ_02<tab>Du hast ein mysteriöses Transport-Äthergramm gefunden. Ob der Fahrende Sänger es geöffnet hat? Es gibt nur eine Möglichkeit, das herauszufinden: Betritt das Äthergramm!","","False","0x00000002","",""
"","TEXT_FESANV301_02961_SEQ_03<tab>No sooner do you approach the rift than you are hurtled through time and space into what appears to be a prison cell. Within this dark, dank chamber you at last find the wandering minstrel. Hopefully he has not come to harm.","TEXT_FESANV301_02961_SEQ_03<tab>Das Äthergramm hat dich in einen Kerker transportiert, in dem der Fahrende Sänger schmachtet. Hilf ihm!","","False","0x00000003","",""
"","TEXT_FESANV301_02961_SEQ_04<tab>The wandering minstrel appears no worse for wear, but it seems he fell into a trap while carrying out his mission of exterminating the insectoid menace. Destroying the final bug triggered peculiar magicks that not only transported him to your present surroundings, but also stripped him of his ability to teleport. With no way out, he thought to examine the remains of a bug that followed him through the void. He deduced there is a secret command that, once uttered, will dispel the magicks that hold him there. He attempted to probe its mechanical mind but what he found was a complex labyrinth seemingly bereft of rhyme or reason. Having exhausted himself after days of searching, he asks that you take up the quest in his stead.","TEXT_FESANV301_02961_SEQ_04<tab>Der Fahrende Sänger ist den Bugs in die Falle gegangen und kann, anders als du, nicht nach Eorzea zurückkehren. Um das Siegel zu öffnen, das ihn im Kerker gefangen hält, ist ein Losungswort erforderlich, das sich tief im Labyrinth der Gedankengänge eines Bugs befindet. Berühre das Exoskelett im Mordion-Kerker, um das Antike Gewölbe zu betreten.","","False","0x00000004","",""
"","TEXT_FESANV301_02961_SEQ_05<tab>After navigating the seemingly endless corridors of the insectoid's mind for what feels to be ages, you discover a pattern and soon ascertain the command that will grant the wandering minstrel his freedom. With a strum of his harp he utters the words and you are whisked away, but not back to Nophica's Well. You find yourself on a plane between time and space, and are soon confronted by one Naoki Yoshida...","TEXT_FESANV301_02961_SEQ_05<tab>Du hast das Antike Gewölbe überwunden und das Losungswort erfahren. Kehre nun ins westliche Thanalan zurück.","","False","0x00000005","",""
"","TEXT_FESANV301_02961_SEQ_06<tab>You open your eyes, and the figure before you is not Naoki Yoshida but the wandering minstrel. Was it all a dream? In any case, the both of you are returned to Eorzea safe and sound. Together you make for Ul'dah, lest Nonora grow sick with worry. ","TEXT_FESANV301_02961_SEQ_06<tab>Das Siegel ist geöffnet und der Fahrende Sänger befreit. Er bittet dich, ihn zum Rubinstraßenmarkt zu begleiten, damit ihr Nonora von seiner Rettung berichten könnt.","","False","0x00000006","",""
"","TEXT_FESANV301_02961_SEQ_07<tab>Nonora's eyes grow wide with wonder as you regale her with your tale of rescue. With peace assured for the ongoing celebration, the minstrel offers you his thanks with a short tribute to your heroism in verse. The final note from his harp still hangs in the air as fireworks blossom in the skies above. The three of you bask in the warm glow of the illuminations, quietly offering prayers to those lost in the Calamity.","TEXT_FESANV301_02961_SEQ_07<tab>Nonora ist erleichtert, den Fahrenden Sänger unversehrt wiederzusehen. Vor lauter Freude dichtet der Sänger gleich ein Lied auf deine Heldentaten, und zum ersten Mal kommen dir Zweifel an seinem Talent. Zum Abschluss findet er aber doch noch die richtigen Worte zum Fest der Wiedergeburt, mit dem die Eorzäer den Opfern der Siebten Katastrophe gedenken.","","False","0x00000007","",""
"","TEXT_FESANV301_02961_SEQ_08<tab>","TEXT_FESANV301_02961_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_FESANV301_02961_SEQ_09<tab>","TEXT_FESANV301_02961_SEQ_09<tab>","","False","0x00000009","",""
