"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_JOBDRG700_02914_SEQ_00<tab>Orn Khai is in very low spirits.","TEXT_JOBDRG700_02914_SEQ_00<tab>Orn Khai ist entschlossen, Faunehm zu helfen. Nur weiß er noch nicht genau, wie.","","False","0x00000000","",""
"","TEXT_JOBDRG700_02914_SEQ_01<tab>Upon approaching Orn Khai it becomes obvious that he is quite down in the dumps. He laments that he has little to show for all his years, and has been unable to uncover the source of Faunehm's rage. However, as luck would have it, it is Orn Khai's despair that allows him to see the truth─Faunehm's current state is a result of having to bear centuries of solitude. Just as he happens upon this theory, the warrior you previously met informs you that some Qestiri merchants have hired a dragon hunter. You hurry with Orn Khai to get to Faunehm before the hunter can.","TEXT_JOBDRG700_02914_SEQ_01<tab>Orn Khai hat eine Idee, warum Faunehm so außer sich ist. Sie leidet an einem jahrhundertealtem Schmerz, der sich in ihr Herz gefressen hat, und den sie ohne den Trost ihres Geliebten nicht verarbeiten kann.
Ihr erfahrt, dass ein Qestir-Händler einen Meister der Drachenjagd auf Faunehm angesetzt hat. Ihr macht euch auf den Weg, um Faunehm zu warnen.","","False","0x00000001","",""
"","TEXT_JOBDRG700_02914_SEQ_02<tab>As you search frantically for Faunehm, you are approached by none other than Estinien, the dragon hunter tasked with slaying Faunehm. He explains how he came to find himself in the area and agrees to lend you his aid upon hearing of your quest to reunite Orn Khai's father with his consort.","TEXT_JOBDRG700_02914_SEQ_02<tab>Bei dem Drachentöter handelt es sich um keinen anderen als den Azur-Drachenreiter Estinien! Er weiß, dass Nidhogg im Augenblick seiner Niederlage einen Todesschrei ausgestoßen hat, mit dem er seine Brut auf den Kampf gegen die Sterblichen eingeschworen hat. Dieser Befehl ist Teil des Schmerzes, an dem Faunehm leidet.
Ihr setzt Estiniens Plan, die rasende Faunehm im Kampf zu schwächen, damit Orn Khai ihr sein Anliegen mit einem Drachenbrüllen übermitteln kann, in die Tat um. Sprich in einer Kampfpause mit Orn Khai.","","False","0x00000002","",""
"","TEXT_JOBDRG700_02914_SEQ_03<tab>The three of you do battle with Faunehm, Orn Khai trying in vain to clear the haze that shrouds her mind, but he does succeed in alerting his father to their presence. Vedrfolnir is able to return his consort to her former self, allowing the battle to reach a peaceful conclusion.","TEXT_JOBDRG700_02914_SEQ_03<tab>Zwar erreicht Orn Khai Faunehm mit seinem Brüllen nicht ganz, aber sein Vater Vedrfölnir erhört den Ruf und erscheint. Das Wieder<var 16 /var>sehen mit ihrem Geliebten löst Faunehms Schmerz, und die beiden Drachen sind wieder vereint, wie Orn Khai es wollte. Sprich noch einmal mit Orn Khai, bevor ihr wieder getrennte Wege geht.","","False","0x00000003","",""
"","TEXT_JOBDRG700_02914_SEQ_04<tab>After a millennium apart, Faunehm and Vedrfolnir are reunited at last and free once again to soar the skies above Dravania. You bid farewell to the former Azure Dragoon and your dragon ally, dreaming of future adventures.

※The next dragoon quest will be available from Alberic once you have met the following requirements:
※ FINAL FANTASY XIV: Shadowbringers must be registered to your service account.
※ You must have completed the main scenario quest “Shadowbringers.”
※ You must have completed the role quest “Courage Born of Fear.”","TEXT_JOBDRG700_02914_SEQ_04<tab>Estinien, Orn Khai und du verabschiedet euch. Auch Estinien, der meint, ein ähnliches Schicksal wie Faunehm erlitten zu haben, ist froh, dass Orn Khais Suche ein glückliches Ende genommen hat. Orn Khai steigt mit seinem Vater und Faunehm in die Himmel auf, einer Zukunft als mächtiger Großer Drache entgegen.

※ Die Auftragsreihe wird bei Alberic am Observatorium für Ätherische und Astrologische Phänomene fortgesetzt, wenn die folgenden Voraus<var 16 /var>setzungen erfüllt sind:
1. Es wurde eine Spiellizenz für die Erweiterung „Shadowbringers“ registriert.
2. Der Auftrag des Hauptszenarios (Shadowbringers) „Schattenbringer“ ist abgeschlossen.
3. Die Rollenaufträge für physische Angreifer wurden abgeschlossen.","","False","0x00000004","",""
"","TEXT_JOBDRG700_02914_SEQ_05<tab>","TEXT_JOBDRG700_02914_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_JOBDRG700_02914_SEQ_06<tab>","TEXT_JOBDRG700_02914_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_JOBDRG700_02914_SEQ_07<tab>","TEXT_JOBDRG700_02914_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_JOBDRG700_02914_SEQ_08<tab>","TEXT_JOBDRG700_02914_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_JOBDRG700_02914_SEQ_09<tab>","TEXT_JOBDRG700_02914_SEQ_09<tab>","","False","0x00000009","",""
