"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_STMBDR105_02932_SEQ_00<tab>Cid is eager to tackle the Deltascape's final test subject.","","","False","0x00000000","",""
"","TEXT_STMBDR105_02932_SEQ_01<tab>Ahead of your battle with Subject Delta IV, Nero furnishes you with some much-needed intelligence. Your opponent is a being known as Exdeath, who commands the power of the void. Like Halicarnassus before him, he is apparently the defeated antagonist of an age-old folktale. It is at this moment that Cid finally gives voice to his earlier quandary: why did Omega choose the vanquished instead of the vanquishers? Before you can contemplate the question, Cid receives a call from Biggs and Wedge, who report that they have been unable to repair the stasis system. And so it is decided that you must continue with Omega's experiment, at least for the time being. As always, Alpha is ready to proceed when you are.

※In the event that you leave the Interdimensional Rift, you may re-enter by speaking with the Ironworks hand at the Yawn.","","","False","0x00000001","",""
"","TEXT_STMBDR105_02932_SEQ_02<tab>In but three kwehs, Alpha expresses his determination to settle matters in the Deltascape. Fixing your gaze upon the nearby portal, you gird yourself for the coming trial.

※Deltascape V4.0 can be accessed via the Duty Finder.","","","False","0x00000002","",""
"","TEXT_STMBDR105_02932_SEQ_03<tab>Exdeath proves to be a fearsome foe, but following in the footsteps of the tale's heroes, you succeed in vanquishing him. In the wake of the battle, your comrades join you in the Deltascape, which is the Deltascape no more, having been summarily shut down by Omega, its purpose served. After congratulating you on your victory, your host bids you rest while you await the next call, and you are glad of the opportunity to leave the rift behind.","","","False","0x00000003","",""
"","TEXT_STMBDR105_02932_SEQ_04<tab>You find yourself back on the surface at the Yawn, your companions gathered nearby.","","","False","0x00000004","",""
"","TEXT_STMBDR105_02932_SEQ_05<tab>Cid thanks you for the pivotal role you have played in advancing the investigation. Though there are many and more battles to come, you have taken a momentous step towards solving the mystery that is Omega, and may now enjoy some well-earned respite.","","","False","0x00000005","",""
"","TEXT_STMBDR105_02932_SEQ_06<tab>","","","False","0x00000006","",""
"","TEXT_STMBDR105_02932_SEQ_07<tab>","","","False","0x00000007","",""
"","TEXT_STMBDR105_02932_SEQ_08<tab>","","","False","0x00000008","",""
"","TEXT_STMBDR105_02932_SEQ_09<tab>","","","False","0x00000009","",""
"","TEXT_STMBDR105_02932_SEQ_10<tab>","","","False","0x0000000A","",""
"","TEXT_STMBDR105_02932_SEQ_11<tab>","","","False","0x0000000B","",""
"","TEXT_STMBDR105_02932_SEQ_12<tab>","","","False","0x0000000C","",""
"","TEXT_STMBDR105_02932_SEQ_13<tab>","","","False","0x0000000D","",""
"","TEXT_STMBDR105_02932_SEQ_14<tab>","","","False","0x0000000E","",""
"","TEXT_STMBDR105_02932_SEQ_15<tab>","","","False","0x0000000F","",""
"","TEXT_STMBDR105_02932_SEQ_16<tab>","","","False","0x00000010","",""
"","TEXT_STMBDR105_02932_SEQ_17<tab>","","","False","0x00000011","",""
"","TEXT_STMBDR105_02932_SEQ_18<tab>","","","False","0x00000012","",""
"","TEXT_STMBDR105_02932_SEQ_19<tab>","","","False","0x00000013","",""
"","TEXT_STMBDR105_02932_SEQ_20<tab>","","","False","0x00000014","",""
"","TEXT_STMBDR105_02932_SEQ_21<tab>","","","False","0x00000015","",""
"","TEXT_STMBDR105_02932_SEQ_22<tab>","","","False","0x00000016","",""
"","TEXT_STMBDR105_02932_SEQ_23<tab>","","","False","0x00000017","",""
"","TEXT_STMBDR105_02932_TODO_00<tab>Speak with Alpha.","","","False","0x00000018","",""
"","TEXT_STMBDR105_02932_TODO_01<tab>Enter Deltascape V4.0.","","","False","0x00000019","",""
"","TEXT_STMBDR105_02932_TODO_02<tab>Enter Deltascape V4.0.","","","False","0x0000001A","",""
"","TEXT_STMBDR105_02932_TODO_03<tab>Speak with Cid.","","","False","0x0000001B","",""
"","TEXT_STMBDR105_02932_TODO_04<tab>","","","False","0x0000001C","",""
"","TEXT_STMBDR105_02932_TODO_05<tab>","","","False","0x0000001D","",""
"","TEXT_STMBDR105_02932_TODO_06<tab>","","","False","0x0000001E","",""
"","TEXT_STMBDR105_02932_TODO_07<tab>","","","False","0x0000001F","",""
"","TEXT_STMBDR105_02932_TODO_08<tab>","","","False","0x00000020","",""
"","TEXT_STMBDR105_02932_TODO_09<tab>","","","False","0x00000021","",""
"","TEXT_STMBDR105_02932_TODO_10<tab>","","","False","0x00000022","",""
"","TEXT_STMBDR105_02932_TODO_11<tab>","","","False","0x00000023","",""
"","TEXT_STMBDR105_02932_TODO_12<tab>","","","False","0x00000024","",""
"","TEXT_STMBDR105_02932_TODO_13<tab>","","","False","0x00000025","",""
"","TEXT_STMBDR105_02932_TODO_14<tab>","","","False","0x00000026","",""
"","TEXT_STMBDR105_02932_TODO_15<tab>","","","False","0x00000027","",""
"","TEXT_STMBDR105_02932_TODO_16<tab>","","","False","0x00000028","",""
"","TEXT_STMBDR105_02932_TODO_17<tab>","","","False","0x00000029","",""
"","TEXT_STMBDR105_02932_TODO_18<tab>","","","False","0x0000002A","",""
"","TEXT_STMBDR105_02932_TODO_19<tab>","","","False","0x0000002B","",""
"","TEXT_STMBDR105_02932_TODO_20<tab>","","","False","0x0000002C","",""
"","TEXT_STMBDR105_02932_TODO_21<tab>","","","False","0x0000002D","",""
"","TEXT_STMBDR105_02932_TODO_22<tab>","","","False","0x0000002E","",""
"","TEXT_STMBDR105_02932_TODO_23<tab>","","","False","0x0000002F","",""
"","TEXT_STMBDR105_02932_ALPHA_000_000<tab>Kw...kwibbit?","","","False","0x00000030","",""
"","TEXT_STMBDR105_02932_NERO_000_005<tab>So that was Halicarnassus. I must congratulate Omega on her appearance. She looked exactly as I imagined her.","","","False","0x00000031","",""
"","TEXT_STMBDR105_02932_NERO_000_006<tab>Though, if I were to pick fault, it <var 1A 02 /var>did<var 1A 01 /var> take certain liberties with her character. The queen of the tale was rather more restrained.","","","False","0x00000032","",""
"","TEXT_STMBDR105_02932_GARLONDGATEKEEPER_000_007<tab>Good <var 08 E3E90C0D ((<var 08 E3E90C05 ((evening)) ((morrow)) /var>)) ((<var 08 E3E90C12 ((day)) ((evening)) /var>)) /var> to you, <var 08 E905 ((madam)) ((sir)) /var>. Will you be descending into the Yawn?","","","False","0x00000033","",""
"","TEXT_STMBDR105_02932_SYSTEM_000_008<tab>Enter the Interdimensional Rift?","","","False","0x00000034","",""
"","TEXT_STMBDR105_02932_CID_000_010<tab>The next battle is with Subject Delta IV─this test world's final resident.","","","False","0x00000035","",""
"","TEXT_STMBDR105_02932_NERO_000_011<tab>From what I have been able to gather, your opponent is, and I quote, “a great tree born of an agglomeration of evil will, which assumes the form of a dark mage.” All of which I suggest you ignore.","","","False","0x00000036","",""
"","TEXT_STMBDR105_02932_NERO_000_012<tab>His name is Exdeath, and he plays the role of chief antagonist in another ancient tale.","","","False","0x00000037","",""
"","TEXT_STMBDR105_02932_NERO_000_013<tab>Though I was unable to glean the specifics of his abilities, he appears to command the power of the void─as indeed the story states.","","","False","0x00000038","",""
"","TEXT_STMBDR105_02932_NERO_000_014<tab>When I first encountered the work, I naturally assumed said power to be a metaphor of sorts. But I am quite sure Omega will have interpreted it as something more tangible.","","","False","0x00000039","",""
"","TEXT_STMBDR105_02932_NERO_000_015<tab>Alas, no amount of analysis can tell us what may happen when Exdeath calls upon the power of the void. Which is to say: beware.","","","False","0x0000003A","",""
"","TEXT_STMBDR105_02932_CID_000_016<tab>Tell me something, Nero. What happens at the end of the tale?","","","False","0x0000003B","",""
"","TEXT_STMBDR105_02932_NERO_000_017<tab>Why, good triumphs over evil and the heroes defeat Exdeath, of course. What did you expect?","","","False","0x0000003C","",""
"","TEXT_STMBDR105_02932_CID_000_018<tab>I expected exactly that, which is precisely what troubled me earlier. If the heroes won, why did Omega not make them its test subjects?","","","False","0x0000003D","",""
"","TEXT_STMBDR105_02932_CID_000_019<tab>If it seeks to determine the strongest being, why would it bother with those who were defeated?","","","False","0x0000003E","",""
"","TEXT_STMBDR105_02932_CID_000_020<tab>One moment─linkpearl. ...Ah, Biggs. At the control room, are you? What news?","","","False","0x0000003F","",""
"","TEXT_STMBDR105_02932_CID_000_021<tab>...I see. Very well. I'll tell the others. You two take care over there.","","","False","0x00000040","",""
"","TEXT_STMBDR105_02932_CID_000_022<tab>Sorry for the interruption. That was Biggs.","","","False","0x00000041","",""
"","TEXT_STMBDR105_02932_CID_000_023<tab>He reports that the stasis system shows every sign of being engaged, despite the fact that it clearly isn't.","","","False","0x00000042","",""
"","TEXT_STMBDR105_02932_CID_000_024<tab>It can only be a malfunction. While we were able to turn it off, it would seem the reverse is not possible.","","","False","0x00000043","",""
"","TEXT_STMBDR105_02932_NERO_000_025<tab>The system may have taken damage during the Calamity. Does it look like it can be repaired?","","","False","0x00000044","",""
"","TEXT_STMBDR105_02932_CID_000_026<tab>Hard to say. They tell me it seems complex even by Allagan standards. While they may be able to fix it, there's no telling how long it might take.","","","False","0x00000045","",""
"","TEXT_STMBDR105_02932_NERO_000_027<tab>Well then, we must keep on fighting the good fight here, must we not?","","","False","0x00000046","",""
"","TEXT_STMBDR105_02932_CID_000_028<tab>Nero has the right of it. At this time, focusing on Exdeath would seem to be our only recourse.","","","False","0x00000047","",""
"","TEXT_STMBDR105_02932_NERO_000_029<tab>The chocobo certainly has no objections. Come then, I would see you follow in the footsteps of the heroes of the tale!","","","False","0x00000048","",""
"","TEXT_STMBDR105_02932_CID_000_030<tab>The void... 'Tis not unlike the nothingness that Emperor Xande sought in the Crystal Tower.","","","False","0x00000049","",""
"","TEXT_STMBDR105_02932_CID_000_031<tab>To desire nothingness is to deny life, yet life seeks to endure─to perpetuate itself. It is the nature of all creation. Be it reality or fantasy, man shall ever fight to survive.","","","False","0x0000004A","",""
"","TEXT_STMBDR105_02932_CID_000_032<tab>Biggs and Wedge had a further message for you. They said they were sorry they couldn't resolve things at their end, and wished you luck in the coming battle. I do too, old friend─unless I'm mistaken, this is like to be the toughest test yet.","","","False","0x0000004B","",""
"","TEXT_STMBDR105_02932_NERO_000_035<tab>According to the tale, when the power of the void is finally unleashed, the laws of the universe will give way to chaos. I for one am eager to find out what <var 1A 02 /var>that<var 1A 01 /var> looks like.","","","False","0x0000004C","",""
"","TEXT_STMBDR105_02932_ALPHA_000_040<tab>Kweh, kweh! Kweeeh!","","","False","0x0000004D","",""
"","TEXT_STMBDR105_02932_SYSTEM_000_041<tab>Alpha is the picture of resolve. You may enter Deltascape V4.0 whenever you are ready.","","","False","0x0000004E","",""
"","TEXT_STMBDR105_02932_ALPHA_000_050<tab>Kweh, kweh! Kweeeh!","","","False","0x0000004F","",""
"","TEXT_STMBDR105_02932_CID_000_100<tab><var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>! Thank the gods you're safe! When the shell around this place began to crack, we feared the worst!","","","False","0x00000050","",""
